id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4878098233560343,MwLGTeWcT,1757852851,Hoo_Wing,马水振宝宝超话马水振宝宝超话马水振宝宝超话马水振宝宝超话水振你快点好起来吧，大家都很想你回到手术前活奔乱跳的样子，爸爸账号在文末图片，谢谢好心人啦O网页链接马水振宝宝超话#马水振##马水宣宝宝##马水宣##小孩爱说的烂梗越来越多了##中国政法大学校长谈大学生就业##感染甲流会有全身症状##同城快送收到背去世老人下楼订单##刘亦菲后置摄像头自拍##一一牛杂火锅店吃出老鼠被立案调查##台湾有观光点1人限购2颗茶叶蛋#http://mapi/005A6gM4gy1hbr6jcd6aej30y4230gvx,,,,"马水振,马水宣宝宝,马水宣,小孩爱说的烂梗越来越多了,中国政法大学校长谈大学生就业,感染甲流会有全身症状,同城快送收到背去世老人下楼订单,刘亦菲后置摄像头自拍,一一牛杂火锅店吃出老鼠被立案调查,台湾有观光点1人限购2颗茶叶蛋",1,4,21,2023-03-11 13:31,马水振宝宝超话,,,,广东,普通用户
4877044997163530,Mwki7u3yO,1757852851,Hoo_Wing,马水振宝宝超话马水振宝宝超话马水振宝宝超话水振你快点好起来吧，大家都很想你回到手术前活奔乱跳的样子，爸爸账号在文末图片，谢谢好心人啦O网页链接马水振宝宝超话#马水振##马水宣宝宝##马水宣##小孩爱说的烂梗越来越多了##中国政法大学校长谈大学生就业##感染甲流会有全身症状##同城快送收到背去世老人下楼订单##刘亦菲后置摄像头自拍##一一牛杂火锅店吃出老鼠被立案调查##台湾有观光点1人限购2颗茶叶蛋#http://mapi/005A6gM4gy1hbr6jcd6aej30y4230gvx,,,,"马水振,马水宣宝宝,马水宣,小孩爱说的烂梗越来越多了,中国政法大学校长谈大学生就业,感染甲流会有全身症状,同城快送收到背去世老人下楼订单,刘亦菲后置摄像头自拍,一一牛杂火锅店吃出老鼠被立案调查,台湾有观光点1人限购2颗茶叶蛋",0,0,4,2023-03-08 15:46,马水振宝宝超话,,,,广东,普通用户
4877044913275015,MwkhZdJYP,1757852851,Hoo_Wing,马水振宝宝超话马水振宝宝超话马水振宝宝超话水振，看到你难受虚弱的样子真的好心疼，已经发烧20多天了，你一定要好起来啊❤️#马水振##马水宣宝宝##马水宣##小孩爱说的烂梗越来越多了##中国政法大学校长谈大学生就业##感染甲流会有全身症状##同城快送收到背去世老人下楼订单##刘亦菲后置摄像头自拍##一一牛杂火锅店吃出老鼠被立案调查##台湾有观光点1人限购2颗茶叶蛋#,,,,"马水振,马水宣宝宝,马水宣,小孩爱说的烂梗越来越多了,中国政法大学校长谈大学生就业,感染甲流会有全身症状,同城快送收到背去世老人下楼订单,刘亦菲后置摄像头自拍,一一牛杂火锅店吃出老鼠被立案调查,台湾有观光点1人限购2颗茶叶蛋",0,0,2,2023-03-08 15:46,马水振宝宝超话,https://wx3.sinaimg.cn/large/68c6b4b3gy1hbshzeo4zwj20v91vo1kx.jpg,,,广东,普通用户
4877025719882480,MwjN1FsSQ,1843773975,礁点视频,【#同城快送收到背去世老人下楼订单#顺丰：用户主动取消订单未完成】近日，四川自贡，网传有同城配送员接到“背去世老人下楼”订单，在完成订单后还收到老人家属的30元红包。此外，还有配送员接到“购买五刀纸钱及丧葬用品”的订单。据红星新闻报道，#顺丰回应接到背去世老人下楼订单#，顺丰同城方面称，两则订单确有用户下单，也有骑士抢单，但用户均主动取消，属于未完成订单。网传“骑士讲述接单背去世老人及完单经过”，与平台和订单无关。L礁点视频的微博视频,,,,"同城快送收到背去世老人下楼订单,顺丰回应接到背去世老人下楼订单",0,0,0,2023-03-08 14:30,iPhone客户端,,"http://f.video.weibocdn.com/o0/WM5dmDm0lx083HUFiNDO010412002sQK0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725812727&ssig=d6GZDMndyv&KID=unistore,video",,,蓝V
4877010360861323,Mwjog3C4j,6534896847,小小格温_,#同城快送收到背去世老人下楼订单#什么布里吉斯,,,,同城快送收到背去世老人下楼订单,0,0,0,2023-03-08 13:29,Redmi K30 全速热爱,,,,河南,普通用户
4876872075182218,MwfNdlK8a,6890793656,老夏8573,#同城快送收到背去世老人下楼订单#,,,,同城快送收到背去世老人下楼订单,0,0,0,2023-03-08 04:19,OPPO Find X3,,,,新疆,普通用户
4876435317331310,Mw4qLuLcW,2248834985,四川魏静,【#同城快送收到背去世老人下楼订单#顺丰：用户主动取消订单未完成】近日，四川自贡，网传有同城配送员接到“背去世老人下楼”订单，在完成订单后还收到老人家属的30元红包。此外，还有配送员接到“购买五刀纸钱及丧葬用品”的订单。据红星新闻报道，#顺丰回应接到背去世老人下楼订单#，顺丰同城方面称，两则订单确有用户下单，也有骑士抢单，但用户均主动取消，属于未完成订单。网传“骑士讲述接单背去世老人及完单经过”，与平台和订单无关。L信号财经的微博视频,,自贡,,"同城快送收到背去世老人下楼订单,顺丰回应接到背去世老人下楼订单",0,2,2,2023-03-06 23:24,iPhone 7,,"http://f.video.weibocdn.com/o0/YZBKhOIHlx083FdNVQ3S01041200blLz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725812729&ssig=O%2FsbPbOcfj&KID=unistore,video",,四川,红V
4876427055597861,Mw4drnug5,5821025486,刻度视频,【#同城快送收到背去世老人下楼订单#顺丰：用户主动取消订单未完成】近日，四川自贡，网传有同城配送员接到“背去世老人下楼”订单，在完成订单后还收到老人家属的30元红包。此外，还有配送员接到“购买五刀纸钱及丧葬用品”的订单。据红星新闻报道，#顺丰回应接到背去世老人下楼订单#，顺丰同城方面称，两则订单确有用户下单，也有骑士抢单，但用户均主动取消，属于未完成订单。网传“骑士讲述接单背去世老人及完单经过”，与平台和订单无关。@信号财经L信号财经的微博视频,,,信号财经,"同城快送收到背去世老人下楼订单,顺丰回应接到背去世老人下楼订单",0,0,2,2023-03-06 22:51,微博视频号,,"http://f.video.weibocdn.com/o0/YZBKhOIHlx083FdNVQ3S01041200blLz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725812729&ssig=O%2FsbPbOcfj&KID=unistore,video",,北京,普通用户
4876419366653912,Mw412rUZa,7461692962,墨凹杨左使,#同城快送收到背去世老人下楼订单#日前，四川自贡一则“同城取送平台收到背去世老人下楼订单”的信息引发网络关注。3月6日，涉事平台回应称，确有用户下单，也有一骑士抢单，但用户主动取消了，属于未完成订单。至于网传“骑士讲述接单及完单经过”，与平台和订单无关。3月6日，顺丰同城平台方面对上述两条网传订单回应称，“经核实，用户于3月2日20：01下单，20：02被一骑士抢单，20：03用户主动取消，订单未完成；网传以完成订单骑士角度所写的接单及完单经过，与我平台和该订单无关。”而另一条“购买五刀纸钱及丧葬用品”的订单，经核实，用户于3月2日2：10下单，13秒后被一骑士抢单，2：11用户主动取消，订单未完成。平台方面表示，“顺丰同城是同城取送买办平台，之前也收到过代买丧葬用品和代扫墓献花这类订单；但背过世人员这个是第一次。感谢大家对顺丰同城平台的关注及信任，在此我们也呼吁大家在遵守法律法规和公序良俗，了解平台规则的情况下，按需下单。”笔者言：背着去世老人下楼的订单很惊悚也很奇葩！（墨凹杨左使辑）🙏注：图文来自网络，图片与文章无关，如有侵权请联系删除。,,,,同城快送收到背去世老人下楼订单,0,0,0,2023-03-06 22:20,荣耀20S,"https://wx1.sinaimg.cn/large/0088Yvculy1hbqhzknpvhj30z50uitj9.jpg,https://wx2.sinaimg.cn/large/0088Yvculy1hbqhzl5wv1j310k0n80xq.jpg,https://wx4.sinaimg.cn/large/0088Yvculy1hbqhzlu1bfj30xc0p0ted.jpg",,,天津,普通用户
4876418842624311,Mw40cb0HB,3515267842,一点资讯,【#同城快送收到背去世老人下楼订单#顺丰：用户主动取消订单未完成】近日，四川自贡，网传有同城配送员接到“背去世老人下楼”订单，在完成订单后还收到老人家属的30元红包。此外，还有配送员接到“购买五刀纸钱及丧葬用品”的订单。据红星新闻报道，#顺丰回应接到背去世老人下楼订单#，顺丰同城方面称，两则订单确有用户下单，也有骑士抢单，但用户均主动取消，属于未完成订单。网传“骑士讲述接单背去世老人及完单经过”，与平台和订单无关。@信号财经L信号财经的微博视频,,,信号财经,"同城快送收到背去世老人下楼订单,顺丰回应接到背去世老人下楼订单",0,1,0,2023-03-06 22:18,微博视频号,,"http://f.video.weibocdn.com/o0/YZBKhOIHlx083FdNVQ3S01041200blLz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725812729&ssig=O%2FsbPbOcfj&KID=unistore,video",,,蓝V
4876416900141254,Mw3X40AKi,7343316773,光芒视频,【#同城快送收到背去世老人下楼订单#顺丰：用户主动取消订单未完成】近日，四川自贡，网传有同城配送员接到“背去世老人下楼”订单，在完成订单后还收到老人家属的30元红包。此外，还有配送员接到“购买五刀纸钱及丧葬用品”的订单。据红星新闻报道，#顺丰回应接到背去世老人下楼订单#，顺丰同城方面称，两则订单确有用户下单，也有骑士抢单，但用户均主动取消，属于未完成订单。网传“骑士讲述接单背去世老人及完单经过”，与平台和订单无关。@信号财经L信号财经的微博视频,,,信号财经,"同城快送收到背去世老人下楼订单,顺丰回应接到背去世老人下楼订单",0,0,0,2023-03-06 22:10,微博视频号,,"http://f.video.weibocdn.com/o0/YZBKhOIHlx083FdNVQ3S01041200blLz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725812729&ssig=O%2FsbPbOcfj&KID=unistore,video",,,蓝V
4876415125687886,Mw3UcnRG6,5145725878,沸点视频,【#同城快送收到背去世老人下楼订单#顺丰：用户主动取消订单未完成】近日，四川自贡，网传有同城配送员接到“背去世老人下楼”订单，在完成订单后还收到老人家属的30元红包。此外，还有配送员接到“购买五刀纸钱及丧葬用品”的订单。据红星新闻报道，#顺丰回应接到背去世老人下楼订单#，顺丰同城方面称，两则订单确有用户下单，也有骑士抢单，但用户均主动取消，属于未完成订单。网传“骑士讲述接单背去世老人及完单经过”，与平台和订单无关。L信号财经的微博视频,,自贡,,"同城快送收到背去世老人下楼订单,顺丰回应接到背去世老人下楼订单",4,6,47,2023-03-06 22:03,Android,,"http://f.video.weibocdn.com/o0/YZBKhOIHlx083FdNVQ3S01041200blLz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725812729&ssig=O%2FsbPbOcfj&KID=unistore,video",,,蓝V
4876414241734921,Mw3SM7hkB,7282830801,一点资讯财经,【#同城快送收到背去世老人下楼订单#顺丰：用户主动取消订单未完成】近日，四川自贡，网传有同城配送员接到“背去世老人下楼”订单，在完成订单后还收到老人家属的30元红包。此外，还有配送员接到“购买五刀纸钱及丧葬用品”的订单。据红星新闻报道，#顺丰回应接到背去世老人下楼订单#，顺丰同城方面称，两则订单确有用户下单，也有骑士抢单，但用户均主动取消，属于未完成订单。网传“骑士讲述接单背去世老人及完单经过”，与平台和订单无关。L信号财经的微博视频,,自贡,,"同城快送收到背去世老人下楼订单,顺丰回应接到背去世老人下楼订单",193,2175,45969,2023-03-06 22:00,微博视频号,,"http://f.video.weibocdn.com/o0/YZBKhOIHlx083FdNVQ3S01041200blLz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725812729&ssig=O%2FsbPbOcfj&KID=unistore,video",,,蓝V
4876396763549996,Mw3qAeTw0,1700648435,成都商报,【#同城取送平台收到背去世老人下楼订单#，平台回应：用户主动取消，订单未完成】#平台回应收到背去世老人下楼订单#日前，一则“同城取送平台收到背去世老人下楼订单”的信息引发网络关注。有网友称，“订单太过惊悚。”“敢接这种单子的外卖小哥，不仅胆大，也够拼的。”但也有网友质疑，“莫不是恶作剧？”3月6日，涉事平台回应称，确有用户下单，也有一骑士抢单，但用户主动取消了，属于未完成订单。至于网传“骑士讲述接单及完单经过”，与平台和订单无关。#同城快送收到背去世老人下楼订单#O网页链接,,,,"同城取送平台收到背去世老人下楼订单,平台回应收到背去世老人下楼订单,同城快送收到背去世老人下楼订单",2,5,12,2023-03-06 20:50,微博网页版,https://wx3.sinaimg.cn/large/001R5Kltly1hbqf0dpn1ij60dh0psjwf02.jpg,,,,蓝V
4876696120200490,Mwbdq0Q9I,2458565150,电商头条,#同城快送收到背去世老人下楼订单##顺丰回应接到背去世老人下楼订单#近日，四川自贡，网传有同城配送员接到“背去世老人下楼”订单，在完成订单后还收到老人家属的30元红包。此外，还有配送员接到“购买五刀纸钱及丧葬用品”的订单。顺丰同城方面称，两则订单确有用户下单，也有骑士抢单，但用户均主动取消，属于未完成订单。网传“骑士讲述接单背去世老人及完单经过”，与平台和订单无关。L信号财经的微博视频,,,,"同城快送收到背去世老人下楼订单,顺丰回应接到背去世老人下楼订单",110,21,186,2023-03-07 16:40,微博视频号,,"http://f.video.weibocdn.com/o0/YZBKhOIHlx083FdNVQ3S01041200blLz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725812756&ssig=yMb61pCTKk&KID=unistore,video",,,蓝V
4876691802950858,Mwb6scnEu,2178678047,曲韵流觞,#同城快送收到背去世老人下楼订单#我觉得讨论钱也没什么呀！既然是社会问题，就该社会讨论，各种观点都可以说出来。就比如：我觉得小哥接单时候可能不止是当作商务单，可能是当作好事做的。但是另一方面，我觉得家属应该给予小哥更高的报酬，使其收入与付出成正比。还有一方面就是，小哥接完这一单，还有没有其他的客户需要他接单。别的客户如果知道上一单的情况，心里会不会介意。,,,,同城快送收到背去世老人下楼订单,0,0,0,2023-03-07 16:23,微博搜索,,,,北京,普通用户
4876688900492144,Mwb1M241O,2178678047,曲韵流觞,#同城快送收到背去世老人下楼订单#想起来我国80年代去日本的一批人，好多就是在从事背S这个行业。日本高层楼电梯不让运S，就要人力从高层走楼梯背下来。那个行业属于收入很高，本地人不愿意干的。,,,,同城快送收到背去世老人下楼订单,0,0,0,2023-03-07 16:11,微博搜索,,,,北京,普通用户
4876682097856441,MwaQNwXON,5747518861,七槿_66,马水振宝宝超话马水振宝宝超话#马水振##马水宣宝宝##马水宣#水振宝宝，赶紧退烧吧，早点好起来，我们都在等你#小孩爱说的烂梗越来越多了##中国政法大学校长谈大学生就业##感染甲流会有全身症状##同城快送收到背去世老人下楼订单##刘亦菲后置摄像头自拍##一一牛杂火锅店吃出老鼠被立案调查##台湾有观光点1人限购2颗茶叶蛋#,,,,"马水振,马水宣宝宝,马水宣,小孩爱说的烂梗越来越多了,中国政法大学校长谈大学生就业,感染甲流会有全身症状,同城快送收到背去世老人下楼订单,刘亦菲后置摄像头自拍,一一牛杂火锅店吃出老鼠被立案调查,台湾有观光点1人限购2颗茶叶蛋",0,3,10,2023-03-07 15:44,马水振宝宝超话,,,,云南,普通用户
4876674996634332,MwaFlrPTm,1889392913,主持人行行,骑手收到“背去世老人下楼”订单，如何看待此类情况？#热点大家说##顺丰回应接到背去世老人下楼订单##同城快送收到背去世老人下楼订单#L主持人行行的微博视频,,,,"热点大家说,顺丰回应接到背去世老人下楼订单,同城快送收到背去世老人下楼订单",0,0,1,2023-03-07 15:16,微博视频号,,"http://f.video.weibocdn.com/o0/aeSUVlMnlx083GmYwLiw01041200t8l20E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725812758&ssig=SHWY3R%2FiFP&KID=unistore,video",,北京,黄V
