id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4638245222091650,Kg2VQ8M8i,7037307291,聚焦四川热点,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里##聚焦四川热点#（四川观察）L四川观察的微博视频,,,,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里,聚焦四川热点",0,0,0,2021-05-18 16:41,微博视频号,,"http://f.video.weibocdn.com/bTteSEdxlx07MJCM1QEw01041200qRxW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015885&ssig=DuUTK60V%2BT&KID=unistore,video",,,蓝V
4638191473133244,Kg1x9d96c,3275115274,中国吉林网,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里#@四川观察L四川观察的微博视频,,,四川观察,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",0,0,0,2021-05-18 13:08,微博视频号,,"http://f.video.weibocdn.com/bTteSEdxlx07MJCM1QEw01041200qRxW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015885&ssig=DuUTK60V%2BT&KID=unistore,video",,,蓝V
4638137370022040,Kg07T05Ju,5104225074,绵阳生态环境,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里#（四川观察）L四川观察的微博视频,,,,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",3,2,6,2021-05-18 09:33,微博视频号,,"http://f.video.weibocdn.com/bTteSEdxlx07MJCM1QEw01041200qRxW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015885&ssig=DuUTK60V%2BT&KID=unistore,video",,,蓝V
4638124862869141,KfZNIc2ot,6204166582,内江环境,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里#（四川观察）L四川观察的微博视频,,,,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",0,0,0,2021-05-18 08:43,微博视频号,,"http://f.video.weibocdn.com/bTteSEdxlx07MJCM1QEw01041200qRxW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015885&ssig=DuUTK60V%2BT&KID=unistore,video",,,蓝V
4637978250708856,KfVZf2Ypa,5384801243,徽州反邪教,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里#@四川观察L四川观察的微博视频,,,四川观察,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",0,0,0,2021-05-17 23:00,微博视频号,,"http://f.video.weibocdn.com/bTteSEdxlx07MJCM1QEw01041200qRxW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015885&ssig=DuUTK60V%2BT&KID=unistore,video",,,蓝V
4637977886331627,KfVYEqz91,3080066552,水韵温江,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里#（四川观察）L四川观察的微博视频,,,,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",0,0,0,2021-05-17 22:59,Android,,"http://f.video.weibocdn.com/bTteSEdxlx07MJCM1QEw01041200qRxW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015885&ssig=DuUTK60V%2BT&KID=unistore,video",,,蓝V
4637974857783384,KfVTLwEOs,3357984530,成都水务,#四川老人骑行丈量祖国山河##四川老人退休2年骑行1.5万公里#你期望的退休生活是怎样的？你期望的退休生活是怎样的？,,,,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",0,0,54,2021-05-17 22:47,vivo X50专业影像旗舰,,,,,蓝V
4637973590841768,KfVRJ3wYU,5412034672,仪陇播报,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里#（四川观察）L四川观察的微博视频,,,,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",0,0,0,2021-05-17 22:42,Android,,"http://f.video.weibocdn.com/bTteSEdxlx07MJCM1QEw01041200qRxW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015887&ssig=8xbFVXrkMr&KID=unistore,video",,,蓝V
4637972027149520,KfVPctZUQ,1796087453,荔枝新闻,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里#@四川观察L四川观察的微博视频,,,四川观察,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",0,2,13,2021-05-17 22:36,微博视频号,,"http://f.video.weibocdn.com/bTteSEdxlx07MJCM1QEw01041200qRxW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015887&ssig=8xbFVXrkMr&KID=unistore,video",,,蓝V
4637971074784723,KfVNFk4IX,5419112495,植发医生马天顺,#四川老人退休2年骑行1.5万公里#其实这也是我退休之后想做的事情,,,,四川老人退休2年骑行1.5万公里,0,0,0,2021-05-17 22:32,HUAWEI P30,,,,,黄V
4637960040088248,KfVvS0mXm,1274460913,吉林交通广播,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里#（四川观察）L四川观察的微博视频,,,,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",0,0,1,2021-05-17 21:48,微博视频号,,"http://f.video.weibocdn.com/bTteSEdxlx07MJCM1QEw01041200qRxW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015887&ssig=8xbFVXrkMr&KID=unistore,video",,,蓝V
4637953693586489,KfVlDf30B,6641712733,成都生活印记,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里#L四川观察的微博视频,,成都,,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",0,0,0,2021-05-17 21:23,iPhone X,,"http://f.video.weibocdn.com/bTteSEdxlx07MJCM1QEw01041200qRxW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015887&ssig=8xbFVXrkMr&KID=unistore,video",,,黄V
4637950724281601,KfVgQhXQ5,2557375422,浦东发布,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】据四川观察，内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里#L浦东发布的微博视频,,,,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",0,0,4,2021-05-17 21:11,微博视频号,,"http://f.video.weibocdn.com/VcydGsoUlx07MJEp7fqo0104120081ot0E010.mp4?label=mp4_hd&template=640x360.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015887&ssig=dMkWdd%2FS1s&KID=unistore,video",,,蓝V
4637950480745337,KfVgs37Tz,3229962754,陕视新闻,【#四川老人骑行丈量祖国山河#：2年共骑行了一万五千公里】内江有一位63岁的老人张俊华，他在退休后找到了自己的爱好——骑行。两年时间里，他用骑行方式丈量着祖国的美好河山。2019年6月20日，张俊华开始了第一次独自长途骑行，只用了17天时间，张俊华就到达了2300公里外的拉萨，完成了他的第一次远行。到目前为止他独自骑行了一万五千公里。#四川老人退休2年骑行1.5万公里#@四川观察L四川观察的微博视频,,,四川观察,"四川老人骑行丈量祖国山河,四川老人退休2年骑行1.5万公里",2,3,5,2021-05-17 21:10,陕视小姐姐Android,,"http://f.video.weibocdn.com/bTteSEdxlx07MJCM1QEw01041200qRxW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015887&ssig=8xbFVXrkMr&KID=unistore,video",,,蓝V
