id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4991572091338991,NCqcV5CkD,3860033349,潍坊市中级人民法院,"【提高警惕！#团伙扮菜贩子用假币换钱专坑老人#】自去年6月，成都公安陆续接到报案，称有群众收到假币。警方调查后发现，涉案嫌疑人假扮成“菜贩子”流动”卖菜“，通过""零钱换整钱""的方式，将假币调换给老年人。警方通过摸排走访，最终锁定了使用假币的犯罪团伙并将其一网打尽，现场查获了3.7万余元假币。L荔枝新闻的微博视频",,,,团伙扮菜贩子用假币换钱专坑老人,0,0,0,2024-01-18 16:36,微博视频号,,"http://f.video.weibocdn.com/o0/qhghPeS0lx08bBUtm6Ja01041200yS9O0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987080&ssig=gnQIzI8KDF&KID=unistore,video",,,蓝V
4991181151014201,NCg2n4fQ5,5091956958,拱墅检察,"【提高警惕！#团伙扮菜贩子用假币换钱专坑老人#】自去年6月，成都公安陆续接到报案，称有群众收到假币。警方调查后发现，涉案嫌疑人假扮成“菜贩子”流动”卖菜“，通过""零钱换整钱""的方式，将假币调换给老年人。警方通过摸排走访，最终锁定了使用假币的犯罪团伙并将其一网打尽，现场查获了3.7万余元假币。",,,,团伙扮菜贩子用假币换钱专坑老人,6,0,6,2024-01-17 14:43,微博网页版,,,,,蓝V
4991101542862042,NCdXYc0xY,6505901464,潍坊高新检察,"【提高警惕！#团伙扮菜贩子用假币换钱专坑老人#】自去年6月，成都公安陆续接到报案，称有群众收到假币。警方调查后发现，涉案嫌疑人假扮成“菜贩子”流动”卖菜“，通过""零钱换整钱""的方式，将假币调换给老年人。警方通过摸排走访，最终锁定了使用假币的犯罪团伙并将其一网打尽，现场查获了3.7万余元假币。L荔枝新闻的微博视频",,,,团伙扮菜贩子用假币换钱专坑老人,0,0,0,2024-01-17 09:26,微博视频号,,"http://f.video.weibocdn.com/o0/qhghPeS0lx08bBUtm6Ja01041200yS9O0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987080&ssig=gnQIzI8KDF&KID=unistore,video",,,蓝V
4990907728530583,NC8VmzNc3,3212590852,山亭发布,"【提高警惕！#团伙扮菜贩子用假币换钱专坑老人#】自去年6月，成都公安陆续接到报案，称有群众收到假币。警方调查后发现，涉案嫌疑人假扮成“菜贩子”流动”卖菜“，通过""零钱换整钱""的方式，将假币调换给老年人。警方通过摸排走访，最终锁定了使用假币的犯罪团伙并将其一网打尽，现场查获了3.7万余元假币。L荔枝新闻的微博视频",,,,团伙扮菜贩子用假币换钱专坑老人,4,65,1,2024-01-16 20:36,微博视频号,,"http://f.video.weibocdn.com/o0/qhghPeS0lx08bBUtm6Ja01041200yS9O0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987080&ssig=gnQIzI8KDF&KID=unistore,video",,,蓝V
4990857178514542,NC7BPzJ1k,5399140185,奎文发布,"【提高警惕！#团伙扮菜贩子用假币换钱专坑老人#】自去年6月，成都公安陆续接到报案，称有群众收到假币。警方调查后发现，涉案嫌疑人假扮成“菜贩子”流动”卖菜“，通过""零钱换整钱""的方式，将假币调换给老年人。警方通过摸排走访，最终锁定了使用假币的犯罪团伙并将其一网打尽，现场查获了3.7万余元假币。L荔枝新闻的微博视频",,,,团伙扮菜贩子用假币换钱专坑老人,33,32,34,2024-01-16 17:15,微博视频号,,"http://f.video.weibocdn.com/o0/qhghPeS0lx08bBUtm6Ja01041200yS9O0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987080&ssig=gnQIzI8KDF&KID=unistore,video",,,蓝V
4990855884050351,NC7zKgZGf,3860033349,潍坊市中级人民法院,"【提高警惕！#团伙扮菜贩子用假币换钱专坑老人#】自去年6月，成都公安陆续接到报案，称有群众收到假币。警方调查后发现，涉案嫌疑人假扮成“菜贩子”流动”卖菜“，通过""零钱换整钱""的方式，将假币调换给老年人。警方通过摸排走访，最终锁定了使用假币的犯罪团伙并将其一网打尽，现场查获了3.7万余元假币。L荔枝新闻的微博视频",,,,团伙扮菜贩子用假币换钱专坑老人,0,0,0,2024-01-16 17:10,微博视频号,,"http://f.video.weibocdn.com/o0/qhghPeS0lx08bBUtm6Ja01041200yS9O0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987080&ssig=gnQIzI8KDF&KID=unistore,video",,,蓝V
4989286472485500,NBsKraqAI,6259484379,黑龙江-平安黑龙江,【提高警惕！#团伙扮菜贩子用假币换钱专坑老人#】自去年6月，成都公安陆续接到报案，称有群众收到假币。警方调查后发现，涉案嫌疑人假扮成“菜贩子”流动“卖菜”，通过“零钱换整钱”的方式，将假币调换给老年人。警方通过摸排走访，最终锁定了使用假币的犯罪团伙并将其一网打尽，现场查获了3.7万余元假币。@荔枝新闻L荔枝新闻的微博视频,,,荔枝新闻,团伙扮菜贩子用假币换钱专坑老人,4,1,1,2024-01-12 09:14,微博视频号,,"http://f.video.weibocdn.com/o0/qhghPeS0lx08bBUtm6Ja01041200yS9O0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987080&ssig=gnQIzI8KDF&KID=unistore,video",,,
4989401288150416,NBvJCycik,1663521665,大庆检察,【提高警惕！#团伙扮菜贩子用假币换钱专坑老人#】,,,,团伙扮菜贩子用假币换钱专坑老人,0,0,1,2024-01-12 16:50,微博网页版,,,4989286472485500,,蓝V
4989368349760506,NBuSuEX9w,5255924403,红兴隆人民法院,【提高警惕！#团伙扮菜贩子用假币换钱专坑老人#】自去年6月，成都公安陆续接到报案，称有群众收到假币。警方调查后发现，涉案嫌疑人假扮成“菜贩子”流动“卖菜”，通过“零钱换整钱”的方式，将假币调换给老年人。警方通过摸排走访，最终锁定了使用假币的犯罪团伙并将其一网打尽，现场查获了3.7万余元假币。@荔枝新闻L荔枝新闻的微博视频,,,荔枝新闻,团伙扮菜贩子用假币换钱专坑老人,1,0,1,2024-01-12 14:39,微博视频号,,"http://f.video.weibocdn.com/o0/qhghPeS0lx08bBUtm6Ja01041200yS9O0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987080&ssig=gnQIzI8KDF&KID=unistore,video",,,蓝V
4989297276750059,NBt1RsjZV,6269541641,鹤岗警务,【提高警惕！#团伙扮菜贩子用假币换钱专坑老人#】,,,,团伙扮菜贩子用假币换钱专坑老人,0,0,1,2024-01-12 09:57,微博网页版,,,4989286472485500,,蓝V
