id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5041480777598230,Ohp6tvSE6,6543943216,新传考研秃头研究所,🪵新传考研每日一背：【数字移民】🪵经典网络传播学名词！🍃名词解释音频同步更新「小宇宙」：搜索「新传考研名词解释|秃头所」选择订阅栏目，即可每日连续收听秃头研究所的名词解释背诵内容。🍃一句话减负背诵：数字移民是指习惯文本阅读，对新技术的使用偏向滞后的人群，我国学界习惯将60后、70后视为数字移民。数字移民与数字原住民相比更有可能存在网络媒介接入困难，因而需要通过数字反哺等方式帮助其提高信息素养，从而缩减代际间数字鸿沟。🪵《新传考研名词解释》小册子/全面改版/48小时内快递发货OTTS《新传考研名词解释》24更新版｜“它是我们对于「新传无用」的一次反抗”新传考研超话✈️#秃头研究所名词解释##每日学习打卡##秃头研究所新传考研##考研##学习##新传考研##学习打卡##消除数字鸿沟##国家出手破除老年人智能鸿沟##数字生存挑战##网络普及对人类社会的影响#,,,,"秃头研究所名词解释,每日学习打卡,秃头研究所新传考研,考研,学习,新传考研,学习打卡,消除数字鸿沟,国家出手破除老年人智能鸿沟,数字生存挑战,网络普及对人类社会的影响",1,1,2,2024-06-04 09:55,新传考研超话,https://wx2.sinaimg.cn/large/0078RIzely1hqd367vylij31to4ok4qs.jpg,,,江苏,黄V
4760048453026884,Lpc8lcHqI,5687896712,十一在摸鱼,这年头没手机是寸步难行特别还疫情肆虐，很难想象那种七八十老年人使用老年手机用不了智能机，子女又不在身边应该怎么办，哎…当我到了那个岁数，我又是被哪个东西被这个社会给淘汰了……#国家出手破除老年人智能鸿沟#,,,,国家出手破除老年人智能鸿沟,0,0,0,2022-04-19 19:24,iPhone客户端,,,,,普通用户
4719860304840937,L8kEKkjlD,6649889880,TyserLiu,填补数字鸿沟，多方跟上是关键“数字鸿沟”一直是国家高度重视的话题，为加速解决这一问题，实行推广app“老年人模式”的方法，虽取得阶段性成效，但仍有不少app靠此牟取私利。为弥合数字鸿沟，不让老年人成为数字时代的“边缘人”，多方一起努力才能取得关键的效果。推广app“老年人模式”是良策，可促进填补老年人数字鸿沟的进程。互联网时代，科技技术在不断进步，仍在不断制造出新的“鸿沟”，这一模式的推出有利于帮助老人适应互联网社会，促进家人关系。既要推广app“老年人模式”，便不能打着这一口号“坑”老年群体。数字化时代，为了让老年人早日融入互联网生活，就要做出一些实质性内容，而不是打着“老年人模式”，“欺负”他们难辨信息，在app中充斥着做任务、领现金等广告，借此机会牟取私利。为帮助老年人适应数字化生存方式，多方携手前进是关键。政府应当出台相关政策，加大对各地实行的情况，严惩借此转空子的人；互联网企业应当加大技术投入，开发多种版本以适应不同地区的老年人；年轻人应率先起“反哺”的作用，帮助老人使用智能软件。#老人##国家出手破除老年人智能鸿沟#,,都江堰,,"老人,国家出手破除老年人智能鸿沟",0,0,2,2021-12-29 21:50,nova7你在焦点在,https://wx1.sinaimg.cn/large/007g2g8oly1gxv1k209ikj30n50g4ae1.jpg,,,,普通用户
4613926808194654,K5QiAynNQ,2097174010,今日建德,【智能手机应用培训让老年人也跟得上智能时代】为了帮助老人更好地融入智能时代，杭州建德市老年大学开放“公益课堂”。现场教学，银龄互助，帮助更多的老年人跨越“数字鸿沟”，让老年人也跟得上智能时代。#国家出手破除老年人智能鸿沟##上周五也是这么想的#L今日建德的微博视频,,,,"国家出手破除老年人智能鸿沟,上周五也是这么想的",0,0,1,2021-03-12 14:08,微博视频号,,"http://f.video.weibocdn.com/X9jrCZFSlx07L1UBOHG801041200dbQP0E010.mp4?label=mp4_hd&template=848x478.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&ori=0&ps=1BVp4ysnknHVZu&Expires=1726523279&ssig=FzL2dA21q8&KID=unistore,video",,,蓝V
4598835270134749,JFt9J0z3n,6054769224,VaXiaoya,#国家出手破除老年人智能鸿沟#,,,,国家出手破除老年人智能鸿沟,0,0,0,2021-01-29 22:40,iPhone客户端,,,,,普通用户
4595862884057415,JEdPyh1wb,6109428342,陕西政协,#央行严肃整治拒收人民币现金行为#【国务院办公厅：#高频服务事项应保留线下办理渠道#】#国家出手破除老年人智能鸿沟#，提出①支持社保卡增加交通出行功能，鼓励推行老年人凭身份证、老年卡等乘坐城市公共交通；②医疗、生活缴费等服务事项，保留线下办理渠道；③鼓励企业提供相关应用的“关怀模式”、“长辈模式”，将无障碍改造纳入日常维护。L央视新闻的微博视频,,,,"央行严肃整治拒收人民币现金行为,高频服务事项应保留线下办理渠道,国家出手破除老年人智能鸿沟",1,0,0,2021-01-21 17:49,微博视频号,,"http://f.video.weibocdn.com/MMejvAiylx07IhpKtZr2010412006uaL0E010.mp4?label=mp4_hd&template=480x864.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1726523341&ssig=Ws%2BzulD9rD&KID=unistore,video",,,蓝V
4595862519677368,JEdOXEBwA,1891503444,西安日报,#央行严肃整治拒收人民币现金行为#【国务院办公厅：#高频服务事项应保留线下办理渠道#】#国家出手破除老年人智能鸿沟#，提出①支持社保卡增加交通出行功能，鼓励推行老年人凭身份证、老年卡等乘坐城市公共交通；②医疗、生活缴费等服务事项，保留线下办理渠道；③鼓励企业提供相关应用的“关怀模式”、“长辈模式”，将无障碍改造纳入日常维护。L央视新闻的微博视频,,,,"央行严肃整治拒收人民币现金行为,高频服务事项应保留线下办理渠道,国家出手破除老年人智能鸿沟",4,0,2,2021-01-21 17:47,iPhone客户端,,"http://f.video.weibocdn.com/MMejvAiylx07IhpKtZr2010412006uaL0E010.mp4?label=mp4_hd&template=480x864.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1726523341&ssig=Ws%2BzulD9rD&KID=unistore,video",,,蓝V
4595859352456121,JEdJRaiWR,1698784044,三秦都市报,#央行严肃整治拒收人民币现金行为#【国务院办公厅：#高频服务事项应保留线下办理渠道#】#国家出手破除老年人智能鸿沟#，提出①支持社保卡增加交通出行功能，鼓励推行老年人凭身份证、老年卡等乘坐城市公共交通；②医疗、生活缴费等服务事项，保留线下办理渠道；③鼓励企业提供相关应用的“关怀模式”、“长辈模式”，将无障碍改造纳入日常维护。L央视新闻的微博视频,,,,"央行严肃整治拒收人民币现金行为,高频服务事项应保留线下办理渠道,国家出手破除老年人智能鸿沟",0,2,0,2021-01-21 17:35,微博视频号,,"http://f.video.weibocdn.com/MMejvAiylx07IhpKtZr2010412006uaL0E010.mp4?label=mp4_hd&template=480x864.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1726523341&ssig=Ws%2BzulD9rD&KID=unistore,video",,,蓝V
4592221020758327,JCH5A3bh5,6528869840,邦先生官微,#国家出手破除老年人智能鸿沟#让老人也能享受到的智能。简单、易操作，我们一直在努力。#邦先生智能晾衣机#,,,,"国家出手破除老年人智能鸿沟,邦先生智能晾衣机",0,0,3,2021-01-11 16:37,微博 weibo.com,https://wx2.sinaimg.cn/large/0077Qtigly1gmjueprny2j30ly0y5wnr.jpg,,,,蓝V
4591722048784713,JCu6MARiV,1810492553,天然找乐自己乐,#国家出手破除老年人智能鸿沟#其实不止老年人，中国有70万城镇，很多城镇居民到了大城市都有巨大的智能鸿沟，交通枢纽的智能化，医疗体系的智能化，消费的智能化现金储备的缺失，都能深切感受到发展速度与人们接受程度的割裂。,,,,国家出手破除老年人智能鸿沟,0,0,0,2021-01-10 07:35,iPhone客户端,,,,,普通用户
