id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4948171999679846,NkdaLECay,2271051770,重庆日报,【#国庆后老年人购火车票半价系谣言#】据互联网联合辟谣平台，中秋国庆假期临近，不少网络平台流传“从2023年10月1日起，60岁以上老年人乘火车可以享受5折优惠”等说法。对此，记者联系国铁集团求证获知，该说法不实，没有此项规定。铁路部门只提供了面向儿童、学生、残疾军人、残疾旅客的票价优惠政策。L读特新闻的微博视频,,,,国庆后老年人购火车票半价系谣言,0,0,2,2023-09-20 22:20,微博视频号,,"http://f.video.weibocdn.com/u0/sW3o1VTKgx088KXinZ3q010412003Cxh0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020559&ssig=IlxB986gRN&KID=unistore,video",,,蓝V
4948166463719873,Nkd1QfBHX,1893278624,深圳特区报,【#国庆后老年人购火车票半价系谣言#】据互联网联合辟谣平台，中秋国庆假期临近，不少网络平台流传“从2023年10月1日起，60岁以上老年人乘火车可以享受5折优惠”等说法。对此，记者联系国铁集团求证获知，该说法不实，没有此项规定。铁路部门只提供了面向儿童、学生、残疾军人、残疾旅客的票价优惠政策。L读特新闻的微博视频,,,,国庆后老年人购火车票半价系谣言,0,0,0,2023-09-20 21:58,微博视频号,,"http://f.video.weibocdn.com/u0/sW3o1VTKgx088KXinZ3q010412003Cxh0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020559&ssig=IlxB986gRN&KID=unistore,video",,,蓝V
4948149241119601,NkcA44Hg5,5816696988,读特新闻,【#国庆后老年人购火车票半价系谣言#】据互联网联合辟谣平台，中秋国庆假期临近，不少网络平台流传“从2023年10月1日起，60岁以上老年人乘火车可以享受5折优惠”等说法。对此，记者联系国铁集团求证获知，该说法不实，没有此项规定。铁路部门只提供了面向儿童、学生、残疾军人、残疾旅客的票价优惠政策。L读特新闻的微博视频,,,,国庆后老年人购火车票半价系谣言,0,0,0,2023-09-20 20:49,微博视频号,,"http://f.video.weibocdn.com/u0/sW3o1VTKgx088KXinZ3q010412003Cxh0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020559&ssig=IlxB986gRN&KID=unistore,video",,,蓝V
4948004538944831,Nk8OFBwXt,7754806583,湖北网络辟谣,【国庆后老年人购火车票半价？假的！优惠政策没有变化】#国庆后老年人购火车票半价系谣言#据上观新闻报道：中秋国庆假期临近，不少网络平台流传“从2023年10月1日起，60岁以上老年人乘火车可以享受5折优惠”等说法。上海辟谣平台也收到粉丝留言，问是不是真的。对此，记者联系国铁集团求证获知，该说法是假的，没有此项规定。铁路部门只提供了面向儿童、学生、残疾军人、残疾旅客的票价优惠政策。#微博辟谣#,,,,"国庆后老年人购火车票半价系谣言,微博辟谣",0,1,0,2023-09-20 11:14,Android,"https://wx1.sinaimg.cn/large/008sOnrxgy1hi2vl0xnsoj30m80eudij.jpg,https://wx1.sinaimg.cn/large/008sOnrxgy1hi2vl17jbsj30m80kqjsd.jpg",,,,蓝V
4947976482980677,Nk85qcvpr,1959437653,西安传力传播,#头条新闻#【#国庆后老年人购火车票半价系谣言#】中秋国庆假期临近，不少网络平台流传“从2023年10月1日起，60岁以上老年人乘火车可以享受5折优惠”等说法。国铁集团称，该说法是假的，没有此项规定。（上观新闻）#男子高铁霸座骂乘警是不是嫌命长#,,,,"头条新闻,国庆后老年人购火车票半价系谣言,男子高铁霸座骂乘警是不是嫌命长",0,0,0,2023-09-20 09:23,,https://wx2.sinaimg.cn/large/74caa555ly1hi2sd15dmxj20hs0bvwfp.jpg,,,,普通用户
4947968711461953,Nk7ST68jT,1131491197,老李随想,#国庆后老年人购火车票半价系谣言##老李讲故事#上观新闻报道，网上流传的“从2023年10月1日起，60岁以上老年人乘火车可以享受5折优惠”等说法是谣言！媒体联系到国铁集团，称，该说法是假的，没有此项规定，铁路部门提供面向儿童、学生、残疾军人、残疾旅客的票价优惠政策。网传所谓的老年人“8大特权”也是拼凑编造而成，大部分是根据铁路方面推出的重点旅客服务内容进行的演绎，相关配图存在误导。铁路方面提供的重点旅客服务，是受理依靠轮椅、担架等辅助器具旅行的老年、伤病、残疾等已购票旅客服务需求。铁路站车可提供优先进站、协助乘降、便利出站等服务。可通过12306预约。,,,,"国庆后老年人购火车票半价系谣言,老李讲故事",0,0,0,2023-09-20 08:52,,https://wx3.sinaimg.cn/large/43712f7dgy1hi2rdxod4sj20m80euju9.jpg,,,,黄V
4947965658007020,Nk7NXxAZu,6724296583,民生温度计,【#国庆后老年人购火车票半价系谣言#】中秋国庆假期临近，不少网络平台流传“从2023年10月1日起，60岁以上老年人乘火车可以享受5折优惠”等说法。国铁集团称，该说法是假的，没有此项规定。（上观新闻）,,,,国庆后老年人购火车票半价系谣言,0,0,0,2023-09-20 08:40,微博发布平台专业版,https://wx1.sinaimg.cn/large/007l4sIvly8hi2r3jqtvjj30hs0bvdh1.jpg,,,,蓝V
4947965656958996,Nk7NXtclS,7750140596,瑞峰财经,【#国庆后老年人购火车票半价系谣言#】中秋国庆假期临近，不少网络平台流传“从2023年10月1日起，60岁以上老年人乘火车可以享受5折优惠”等说法。国铁集团称，该说法是假的，没有此项规定。（上观新闻）,,,,国庆后老年人购火车票半价系谣言,0,0,0,2023-09-20 08:40,微博发布平台专业版,https://wx2.sinaimg.cn/large/008suNBGly8hi2r3jqnjzj30hs0bvdh1.jpg,,,,蓝V
4947965656957799,Nk7NXtc2z,7750822151,新浪新闻滚动,【#国庆后老年人购火车票半价系谣言#】中秋国庆假期临近，不少网络平台流传“从2023年10月1日起，60岁以上老年人乘火车可以享受5折优惠”等说法。国铁集团称，该说法是假的，没有此项规定。（上观新闻）,,,,国庆后老年人购火车票半价系谣言,0,0,0,2023-09-20 08:40,微博发布平台专业版,https://wx3.sinaimg.cn/large/008sxEUvly8hi2r3jr073j30hs0bvgmt.jpg,,,,蓝V
4947965656434982,Nk7NXr022,6724296556,新浪民生,【#国庆后老年人购火车票半价系谣言#】中秋国庆假期临近，不少网络平台流传“从2023年10月1日起，60岁以上老年人乘火车可以享受5折优惠”等说法。国铁集团称，该说法是假的，没有此项规定。（上观新闻）,,,,国庆后老年人购火车票半价系谣言,0,0,0,2023-09-20 08:40,微博发布平台专业版,https://wx4.sinaimg.cn/large/007l4sI4ly8hi2r3jr3cvj30hs0bvgmt.jpg,,,,蓝V
