id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4941970121952418,NhBPK8bUC,2055916827,南京国防动员,#晚安#【#地铁工作人员多看一眼帮老人转危为安#】#南京温度#前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。（来源：@江苏新闻编辑：殷静审核：向军发布：姚峰）L南京发布的微博视频,,,江苏新闻,"晚安,地铁工作人员多看一眼帮老人转危为安,南京温度",2,16,5,2023-09-03 19:35,晚安超话,,"http://f.video.weibocdn.com/o0/IRkC3L1mlx088jgbbHj201041200nGSi0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015773&ssig=xYGohwX7QX&KID=unistore,video",,,蓝V
4941901252264238,NhA2F9v1Y,2860954042,鼓楼微讯,【#地铁工作人员多看一眼帮老人转危为安#】#南京温度#前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。@江苏新闻L南京发布的微博视频,,,江苏新闻,"地铁工作人员多看一眼帮老人转危为安,南京温度",3,0,0,2023-09-03 15:02,iPhone客户端,,"http://f.video.weibocdn.com/o0/IRkC3L1mlx088jgbbHj201041200nGSi0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015773&ssig=xYGohwX7QX&KID=unistore,video",,,蓝V
4941894888194960,NhzSoynSM,2986699172,溧水发布,【#地铁工作人员多看一眼帮老人转危为安#】#南京温度#前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。L南京发布的微博视频,,,,"地铁工作人员多看一眼帮老人转危为安,南京温度",0,0,0,2023-09-03 14:37,微博视频号,,"http://f.video.weibocdn.com/o0/IRkC3L1mlx088jgbbHj201041200nGSi0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015773&ssig=xYGohwX7QX&KID=unistore,video",,,蓝V
4941892544889465,NhzOCkvYl,3166580017,南京文明网,【#地铁工作人员多看一眼帮老人转危为安#】#南京温度#前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。@江苏新闻L南京发布的微博视频,,,江苏新闻,"地铁工作人员多看一眼帮老人转危为安,南京温度",0,0,0,2023-09-03 14:27,微博视频号,,"http://f.video.weibocdn.com/o0/IRkC3L1mlx088jgbbHj201041200nGSi0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015773&ssig=xYGohwX7QX&KID=unistore,video",,,蓝V
4941858130626638,NhyV72D14,2055916827,南京国防动员,#南京温度#【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。L南京发布的微博视频（来源：南京发布编辑：殷静审核：向军发布：姚峰）,,,,"南京温度,地铁工作人员多看一眼帮老人转危为安",2,0,1,2023-09-03 12:10,微博视频号,,"http://f.video.weibocdn.com/o0/IRkC3L1mlx088jgbbHj201041200nGSi0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015773&ssig=xYGohwX7QX&KID=unistore,video",,,蓝V
4941856812831896,NhySZbSHK,2097024354,南京发布,【#地铁工作人员多看一眼帮老人转危为安#】#南京温度#前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。@江苏新闻L南京发布的微博视频,,,江苏新闻,"地铁工作人员多看一眼帮老人转危为安,南京温度",0,0,8,2023-09-03 12:05,微博视频号,,"http://f.video.weibocdn.com/o0/IRkC3L1mlx088jgbbHj201041200nGSi0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015773&ssig=xYGohwX7QX&KID=unistore,video",,,蓝V
4941649237511278,Nhtubvw1E,7764931195,淄博日报,【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。#遇见美好#L江苏新闻的微博视频,,,,"地铁工作人员多看一眼帮老人转危为安,遇见美好",1,0,1,2023-09-02 22:20,微博视频号,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015773&ssig=CZYlaJxpX2&KID=unistore,video",,,蓝V
4941648129688284,NhtsoEEmE,5479875664,博览新闻,【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。#遇见美好#L江苏新闻的微博视频,,,,"地铁工作人员多看一眼帮老人转危为安,遇见美好",1,0,0,2023-09-02 22:16,微博视频号,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015773&ssig=CZYlaJxpX2&KID=unistore,video",,,蓝V
4941646828407058,Nhtqizh3I,2894982024,九江瑞昌发布,【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。#遇见美好#L江苏新闻的微博视频,,,,"地铁工作人员多看一眼帮老人转危为安,遇见美好",0,0,1,2023-09-02 22:11,微博视频号,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015773&ssig=CZYlaJxpX2&KID=unistore,video",,,蓝V
4941640349780931,NhtfQF2sX,3804173419,各界导报社官微,【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。#遇见美好#L江苏新闻的微博视频,,,,"地铁工作人员多看一眼帮老人转危为安,遇见美好",0,0,0,2023-09-02 21:45,微博视频号,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015773&ssig=CZYlaJxpX2&KID=unistore,video",,,蓝V
4941640333264332,NhtfPdHcw,7126605018,各界新闻网官微,【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。#遇见美好#L江苏新闻的微博视频,,,,"地铁工作人员多看一眼帮老人转危为安,遇见美好",0,1,0,2023-09-02 21:45,微博视频号,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015775&ssig=Xhu%2B8yVqjm&KID=unistore,video",,,蓝V
4941637451254206,Nhtbb5gh8,3794238893,永兴法院,【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。#遇见美好#L江苏新闻的微博视频,,,,"地铁工作人员多看一眼帮老人转危为安,遇见美好",0,0,0,2023-09-02 21:34,微博视频号,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015775&ssig=Xhu%2B8yVqjm&KID=unistore,video",,,蓝V
4941637144808879,NhtaGkb0z,3302689634,永州发布,【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。#遇见美好#L江苏新闻的微博视频,,,,"地铁工作人员多看一眼帮老人转危为安,遇见美好",0,0,2,2023-09-02 21:32,微博视频号,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015775&ssig=Xhu%2B8yVqjm&KID=unistore,video",,,蓝V
4941579866344581,NhrGiqCvX,7832471767,终南视频,【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。@江苏新闻L江苏新闻的微博视频,,,江苏新闻,地铁工作人员多看一眼帮老人转危为安,0,0,0,2023-09-02 17:45,iPhone客户端,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015775&ssig=Xhu%2B8yVqjm&KID=unistore,video",,,蓝V
4941577576777312,NhrCBsr5u,3914207834,郴州北湖法院,【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。#遇见美好#L江苏新闻的微博视频,,,,"地铁工作人员多看一眼帮老人转危为安,遇见美好",0,0,0,2023-09-02 17:36,iPhone 12,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015775&ssig=Xhu%2B8yVqjm&KID=unistore,video",,,蓝V
4941577572057953,NhrCB8DmN,2638276292,南京地铁,#地铁暖心故事#【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。L江苏新闻的微博视频,,,,"地铁暖心故事,地铁工作人员多看一眼帮老人转危为安",0,0,6,2023-09-02 17:36,微博视频号,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015775&ssig=Xhu%2B8yVqjm&KID=unistore,video",,,蓝V
4941571671462542,Nhrt568to,5948436527,烟台市蓬莱区融媒体中心,【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。@江苏新闻L江苏新闻的微博视频,,,江苏新闻,地铁工作人员多看一眼帮老人转危为安,1,0,3,2023-09-02 17:12,微博视频号,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015775&ssig=Xhu%2B8yVqjm&KID=unistore,video",,,蓝V
4941550947929562,NhqVExgQa,2096538335,昆山融媒,你曾经接受过陌生人善意的帮助吗？#地铁工作人员多看一眼帮老人转危为安#你曾经接受过陌生人善意的帮助吗？,,,,地铁工作人员多看一眼帮老人转危为安,0,0,6,2023-09-02 15:50,微博网页版,,,,,蓝V
4941545469117048,NhqMOCfLa,1301904252,江苏新闻,你曾经接受过陌生人善意的帮助吗？#地铁工作人员多看一眼帮老人转危为安#你曾经接受过陌生人善意的帮助吗？,,,,地铁工作人员多看一眼帮老人转危为安,0,0,70,2023-09-02 15:28,微博网页版,,,,,蓝V
4941544957675495,NhqLZwcKj,1842312240,荔直播,【#地铁工作人员多看一眼帮老人转危为安#】前不久，70岁的庄爷爷和老伴搭乘南京地铁，庄爷爷突感不适，躺在座椅上。地铁工作人员胡伟发现后，陪同庄爷爷转车，此时庄爷爷又开始呕吐。胡伟立即联系网约车，及时将其送到医院。经查，庄爷爷为急性胰腺炎，所幸送医及时才转危为安。9月2日，家属为胡伟送来锦旗。#遇见美好#L江苏新闻的微博视频,,,,"地铁工作人员多看一眼帮老人转危为安,遇见美好",0,0,0,2023-09-02 15:26,微博视频号,,"http://f.video.weibocdn.com/o0/OdTuRK2Tlx088hSSSUV201041200QRpX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015777&ssig=7kldJGPcqM&KID=unistore,video",,,蓝V
