id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4963281561979350,Nqyf28iV0,2101298760,南昌市应急管理局,#地铁工作人员神反应扶住摔倒老人#【她使出“洪荒之力”，火上了热搜……】10月19日清晨，武汉地铁16号线马影河站，一位老人推着一个折叠好的轮椅，搭乘扶梯时失去平衡，眼看就要摔倒，正在附近巡视的工作人员官志萍一个箭步冲上，及时扶住了老人避免了更严重的后果。视频火上热搜后，网友点赞地铁小姐姐爆发了“洪荒之力”，在此也要提醒广大市民：地铁人流量大，出于便利和安全考虑，建议携带轮椅、手推车、婴儿车或携带大件行李的乘客乘坐垂直电梯上下楼。此外，安全搭乘地铁还有这些安全细节不容忽视↓O网页链接#电梯安全#,,,,"地铁工作人员神反应扶住摔倒老人,电梯安全",0,0,0,2023-11-01 15:00,nova 10 SE,"https://wx3.sinaimg.cn/large/7d3f4648gy1hjfh4m6sygj20hs0jyagn.jpg,https://wx3.sinaimg.cn/large/7d3f4648gy1hjfh4mk4s6j20hs0p5guq.jpg,https://wx1.sinaimg.cn/large/7d3f4648gy1hjfh4n84t5j20rs13g7so.jpg,https://wx4.sinaimg.cn/large/7d3f4648gy1hjfh4rwo8tj20rs13ih6m.jpg,https://wx4.sinaimg.cn/large/7d3f4648gy1hjfh4s9k8jj20rs110n1i.jpg",,,,蓝V
4962179143699320,Nq5yWfwms,3305614637,青春焦作,【官志萍，给你点赞！#乘客险摔倒她冲上去一把托住#】#地铁工作人员神反应扶住摔倒老人#10月19日，湖北武汉。老人推轮椅上手扶电梯，地铁工作人员官志萍一路观察跟随，看见老人险些摔倒，她冲上前去一把接住。她说，乘客和轮椅超过150斤，倒在自己身上那一刻真是用了“洪荒之力“。人民日报的微博视频L人民日报的微博视频,,,,"乘客险摔倒她冲上去一把托住,地铁工作人员神反应扶住摔倒老人",0,0,0,2023-10-29 13:59,微博视频号,,"http://f.video.weibocdn.com/o0/YudaSpkZlx089ztqvu2Y010412007vzv0E010.mp4?label=mp4_720p&template=720x1012.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725183403&ssig=AKHvmaFISu&KID=unistore,video",,,蓝V
4959671342335748,Np2k69NDm,6008483913,山西政法,【官志萍，给你点赞！#乘客险摔倒她冲上去一把托住#】#地铁工作人员神反应扶住摔倒老人#10月19日，湖北武汉。老人推轮椅上手扶电梯，地铁工作人员官志萍一路观察跟随，看见老人险些摔倒，她冲上前去一把接住。她说，乘客和轮椅超过150斤，倒在自己身上那一刻真是用了“洪荒之力“。L人民日报的微博视频,,,,"乘客险摔倒她冲上去一把托住,地铁工作人员神反应扶住摔倒老人",39,12,15,2023-10-22 15:54,微博视频号,,"http://f.video.weibocdn.com/o0/YudaSpkZlx089ztqvu2Y010412007vzv0E010.mp4?label=mp4_720p&template=720x1012.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725183403&ssig=AKHvmaFISu&KID=unistore,video",,,
4961021853960226,NpBslgCeC,7455610176,昔阳政法,//@晋中政法:【官志萍，给你点赞！#乘客险摔倒她冲上去一把托住#】#地铁工作人员神反应扶住摔倒老人#,,,晋中政法,"乘客险摔倒她冲上去一把托住,地铁工作人员神反应扶住摔倒老人",0,0,15,2023-10-26 09:20,iPhone客户端,,,4959671342335748,,蓝V
4960792434442353,NpvujiDER,1749192350,左权_政法,//@晋中政法:【官志萍，给你点赞！#乘客险摔倒她冲上去一把托住#】#地铁工作人员神反应扶住摔倒老人#,,,晋中政法,"乘客险摔倒她冲上去一把托住,地铁工作人员神反应扶住摔倒老人",0,0,15,2023-10-25 18:09,微博网页版,,,4959671342335748,,蓝V
4960762349486516,NpuHMDNSk,3927545944,赣县发布,【官志萍，给你点赞！#乘客险摔倒她冲上去一把托住#】#地铁工作人员神反应扶住摔倒老人#10月19日，湖北武汉。老人推轮椅上手扶电梯，地铁工作人员官志萍一路观察跟随，看见老人险些摔倒，她冲上前去一把接住。她说，乘客和轮椅超过150斤，倒在自己身上那一刻真是用了“洪荒之力“。L人民日报的微博视频,,,,"乘客险摔倒她冲上去一把托住,地铁工作人员神反应扶住摔倒老人",0,0,5,2023-10-25 16:09,iPhone客户端,,"http://f.video.weibocdn.com/o0/YudaSpkZlx089ztqvu2Y010412007vzv0E010.mp4?label=mp4_720p&template=720x1012.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725183403&ssig=AKHvmaFISu&KID=unistore,video",,,蓝V
4960691926338618,NpsScqAXM,7383895654,遂宁高新公安,【官志萍，给你点赞！#乘客险摔倒她冲上去一把托住#】#地铁工作人员神反应扶住摔倒老人#10月19日，湖北武汉。老人推轮椅上手扶电梯，地铁工作人员官志萍一路观察跟随，看见老人险些摔倒，她冲上前去一把接住。她说，乘客和轮椅超过150斤，倒在自己身上那一刻真是用了“洪荒之力“。人民日报的微博视频L人民日报的微博视频,,,,"乘客险摔倒她冲上去一把托住,地铁工作人员神反应扶住摔倒老人",9,19,7,2023-10-25 11:29,iPhone客户端,,"http://f.video.weibocdn.com/o0/YudaSpkZlx089ztqvu2Y010412007vzv0E010.mp4?label=mp4_720p&template=720x1012.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725183403&ssig=AKHvmaFISu&KID=unistore,video",,,蓝V
4959627029776886,Np1aCF1pI,2803301701,人民日报,【官志萍，给你点赞！#乘客险摔倒她冲上去一把托住#】#地铁工作人员神反应扶住摔倒老人#10月19日，湖北武汉。老人推轮椅上手扶电梯，地铁工作人员官志萍一路观察跟随，看见老人险些摔倒，她冲上前去一把接住。她说，乘客和轮椅超过150斤，倒在自己身上那一刻真是用了“洪荒之力“。L人民日报的微博视频,,,,"乘客险摔倒她冲上去一把托住,地铁工作人员神反应扶住摔倒老人",477,1224,16828,2023-10-22 12:58,微博视频号,,"http://f.video.weibocdn.com/o0/YudaSpkZlx089ztqvu2Y010412007vzv0E010.mp4?label=mp4_720p&template=720x1012.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725183403&ssig=AKHvmaFISu&KID=unistore,video",,,
4960657944609658,NprZojlbk,6033268565,武汉地铁,#官志萍，给你点赞！#10月19日，地铁员工官志苹在武汉地铁16号线马影河站值班时，看到一位老人推着轮椅上手扶电梯时即将摔倒，她一个箭步冲上前稳稳托住，避免了意外的发生。#乘客险摔倒她冲上去一把托住##地铁工作人员神反应扶住摔倒老人#,,,,"官志萍，给你点赞！,乘客险摔倒她冲上去一把托住,地铁工作人员神反应扶住摔倒老人",0,0,16828,2023-10-25 09:14,微博网页版,,,4959627029776886,湖北,蓝V
4960646697583075,NprHfvOHF,3163782211,平安天津,#早上好嘞#【官志萍，给你点赞！#乘客险摔倒她冲上去一把托住#】#地铁工作人员神反应扶住摔倒老人#10月19日，湖北武汉。老人推轮椅上手扶电梯，地铁工作人员官志萍一路观察跟随，看见老人险些摔倒，她冲上前去一把接住。她说，乘客和轮椅超过150斤，倒在自己身上那一刻真是用了“洪荒之力“。#不做冷漠路人#L人民日报的微博视频,,,,"早上好嘞,乘客险摔倒她冲上去一把托住,地铁工作人员神反应扶住摔倒老人,不做冷漠路人",11,2,4,2023-10-25 08:30,微博视频号,,"http://f.video.weibocdn.com/o0/YudaSpkZlx089ztqvu2Y010412007vzv0E010.mp4?label=mp4_720p&template=720x1012.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725183403&ssig=AKHvmaFISu&KID=unistore,video",,,蓝V
