id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4889390880656838,MBvsQ2KSa,2541655084,法治青白江,【收益高达7倍的养老投资项目其实是传销骗局，有老人被榨干毕生积蓄】云南保山，警方破获了一起打着养老投资旗号的网络传销诈骗案，全国范围内被骗人员多达1400余人，且多为65岁以上的老年人，涉案金额达到2000多万元，有的被害人被榨干毕生积蓄。目前，该案主要犯罪嫌疑人因涉嫌组织、领导传销活动罪，已被移送当地检察机关审查起诉。#今日说法##多名老人投资养老却误入传销骗局#,,,,"今日说法,多名老人投资养老却误入传销骗局",0,0,0,2023-04-11 17:24,iPhone客户端,https://wx3.sinaimg.cn/large/977e942cly1hcvvw9uzpxj20lzcmrkjm.jpg,,,,蓝V
4884643479031299,MzvXJBTs7,5347246109,临渭检察,【#多名老人投资养老却误入传销骗局#】#揭开投资养老诈骗的层层伪装#云南保山的茶星科技向市民推广“共享康养”的项目，投资6000元之后，每天就可以获得150元的收益，茶星科技公司的董事长每次都会现身讲课现场，与大家签订保本协议。将所有的会员分为10个战队，对优秀的战队进行额外奖励。此时的会员们并没有意识到，这种发展下线的方式，实际上已经构成了传销。突然有一天，祁先生等人发现手机App里的钱无法提现了，大家便报了案。LCCTV法治在线的微博视频,,,,"多名老人投资养老却误入传销骗局,揭开投资养老诈骗的层层伪装",0,0,1,2023-03-29 15:00,微博视频号,,"http://f.video.weibocdn.com/o0/BBsVyjUflx0847BvCXbO01041202yWUJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001388&ssig=sOeeOBxzb1&KID=unistore,video",,,蓝V
4884627494010900,MzvxXgPpW,3938519907,大余县法院,【#多名老人投资养老却误入传销骗局#】#揭开投资养老诈骗的层层伪装#云南保山的茶星科技向市民推广“共享康养”的项目，投资6000元之后，每天就可以获得150元的收益，茶星科技公司的董事长每次都会现身讲课现场，与大家签订保本协议。将所有的会员分为10个战队，对优秀的战队进行额外奖励。此时的会员们并没有意识到，这种发展下线的方式，实际上已经构成了传销。突然有一天，祁先生等人发现手机App里的钱无法提现了，大家便报了案。CCTV法治在线的微博视频L大余县法院的微博视频,,,,"多名老人投资养老却误入传销骗局,揭开投资养老诈骗的层层伪装",2,1,4,2023-03-29 13:56,微博视频号,,"http://f.video.weibocdn.com/o0/IfmkVbV0lx084fn5jtmU01041202mtP30E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001388&ssig=P0zNVoE1OJ&KID=unistore,video",,,蓝V
4884287474633931,MzmHxjruP,5307824403,营口市人民检察院,【#多名老人投资养老却误入传销骗局#】#揭开投资养老诈骗的层层伪装#云南保山的茶星科技向市民推广“共享康养”的项目，投资6000元之后，每天就可以获得150元的收益，茶星科技公司的董事长每次都会现身讲课现场，与大家签订保本协议。将所有的会员分为10个战队，对优秀的战队进行额外奖励。此时的会员们并没有意识到，这种发展下线的方式，实际上已经构成了传销。突然有一天，祁先生等人发现手机App里的钱无法提现了，大家便报了案。LCCTV法治在线的微博视频,,,,"多名老人投资养老却误入传销骗局,揭开投资养老诈骗的层层伪装",0,0,0,2023-03-28 15:25,微博视频号,,"http://f.video.weibocdn.com/o0/BBsVyjUflx0847BvCXbO01041202yWUJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001388&ssig=sOeeOBxzb1&KID=unistore,video",,,蓝V
4884287365843392,MzmHmow8g,5620151036,晋城网警,【#多名老人投资养老却误入传销骗局#】#揭开投资养老诈骗的层层伪装#云南保山的茶星科技向市民推广“共享康养”的项目，投资6000元之后，每天就可以获得150元的收益，茶星科技公司的董事长每次都会现身讲课现场，与大家签订保本协议。将所有的会员分为10个战队，对优秀的战队进行额外奖励。此时的会员们并没有意识到，这种发展下线的方式，实际上已经构成了传销。突然有一天，祁先生等人发现手机App里的钱无法提现了，大家便报了案。#你我同心反诈同行#LCCTV法治在线的微博视频,,,,"多名老人投资养老却误入传销骗局,揭开投资养老诈骗的层层伪装,你我同心反诈同行",0,0,7,2023-03-28 15:25,微博视频号,,"http://f.video.weibocdn.com/o0/BBsVyjUflx0847BvCXbO01041202yWUJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001388&ssig=sOeeOBxzb1&KID=unistore,video",,,蓝V
4883129279709645,MySztEJVb,5038874347,贵州长安网,【#多名老人投资养老却误入传销骗局#】#揭开投资养老诈骗的层层伪装#云南保山的茶星科技向市民推广“共享康养”的项目，投资6000元之后，每天就可以获得150元的收益，茶星科技公司的董事长每次都会现身讲课现场，与大家签订保本协议。将所有的会员分为10个战队，对优秀的战队进行额外奖励。此时的会员们并没有意识到，这种发展下线的方式，实际上已经构成了传销。突然有一天，祁先生等人发现手机App里的钱无法提现了，大家便报了案。LCCTV法治在线的微博视频,,,,"多名老人投资养老却误入传销骗局,揭开投资养老诈骗的层层伪装",12,2,4,2023-03-25 10:43,iPhone客户端,,"http://f.video.weibocdn.com/o0/BBsVyjUflx0847BvCXbO01041202yWUJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001388&ssig=sOeeOBxzb1&KID=unistore,video",,,
4884271481492376,MzmhK6geA,5056475134,贵阳乌当司法,#多名老人投资养老却误入传销骗局#,,,,多名老人投资养老却误入传销骗局,0,0,4,2023-03-28 14:22,微博网页版,,,4883129279709645,,蓝V
4884260651008625,Mzm0h4eo9,5618016269,连池检察,【#多名老人投资养老却误入传销骗局#】#揭开投资养老诈骗的层层伪装#云南保山的茶星科技向市民推广“共享康养”的项目，投资6000元之后，每天就可以获得150元的收益，茶星科技公司的董事长每次都会现身讲课现场，与大家签订保本协议。将所有的会员分为10个战队，对优秀的战队进行额外奖励。此时的会员们并没有意识到，这种发展下线的方式，实际上已经构成了传销。突然有一天，祁先生等人发现手机App里的钱无法提现了，大家便报了案。LCCTV法治在线的微博视频,,,,"多名老人投资养老却误入传销骗局,揭开投资养老诈骗的层层伪装",0,0,0,2023-03-28 13:39,微博视频号,,"http://f.video.weibocdn.com/o0/BBsVyjUflx0847BvCXbO01041202yWUJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001388&ssig=sOeeOBxzb1&KID=unistore,video",,,蓝V
4884199457161990,Mzkpzu39Y,7500304720,毕节市七星关政法委,【#多名老人投资养老却误入传销骗局#】,,,,多名老人投资养老却误入传销骗局,0,0,4,2023-03-28 09:35,微博网页版,,,4883129279709645,,蓝V
4882863533590691,MyLERf46n,5177951246,咸阳检察,【#多名老人投资养老却误入传销骗局#】#揭开投资养老诈骗的层层伪装#云南保山的茶星科技向市民推广“共享康养”的项目，投资6000元之后，每天就可以获得150元的收益，茶星科技公司的董事长每次都会现身讲课现场，与大家签订保本协议。将所有的会员分为10个战队，对优秀的战队进行额外奖励。此时的会员们并没有意识到，这种发展下线的方式，实际上已经构成了传销。突然有一天，祁先生等人发现手机App里的钱无法提现了，大家便报了案。CCTV法治在线的微博视频LCCTV法治在线的微博视频,,,,"多名老人投资养老却误入传销骗局,揭开投资养老诈骗的层层伪装",4,3,6,2023-03-24 17:07,微博视频号,,"http://f.video.weibocdn.com/o0/BBsVyjUflx0847BvCXbO01041202yWUJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001388&ssig=sOeeOBxzb1&KID=unistore,video",,,
