id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4851952335194247,MlNw5lNgb,5816858571,来时花正开,#新冠疫苗##多地开始推进60岁以上老人接种工作#说好的加强60岁以上老人接种率，可是因为疫苗要两个人组合才能打，结果家里老人因为找不到另外一个人组合，所以不知道什么时候可以打第二针，这个事谁管？,,,,"新冠疫苗,多地开始推进60岁以上老人接种工作",0,0,0,2022-12-29 09:57,Redmi Note 11 Pro,,,,,普通用户
4793963289251070,LDqpGCOCO,5290991795,Yuan-Ymy_颖,郑州超话#郑州##新冠疫苗##多地开始推进60岁以上老人接种工作#家有一老如有一宝，没有接种疫苗更是宝中宝，您家如有60岁以上老人并且还没有接种疫苗的宝中宝请和我联系，接种地点：白沙镇卫生院车接车送，服务到家~一针还给六张🧧打完立马兑现！,,,,"郑州,新冠疫苗,多地开始推进60岁以上老人接种工作",0,0,1,2022-07-22 09:29,iPhone客户端,https://wx4.sinaimg.cn/large/005M4sFlly1h4fg4xssdfj30qg0qg781.jpg,,,,普通用户
4793608966505659,LDhccripZ,5424884146,伊尔萨_壹贰叁,郑州超话#郑州##新冠疫苗##多地开始推进60岁以上老人接种工作#家有一老如有一宝，没有接种疫苗更是宝中宝，您家如有60岁以上老人并且还没有接种疫苗的宝中宝请和我联系，郑州市内及周边可上门接种，服务到家~,,,,"郑州,新冠疫苗,多地开始推进60岁以上老人接种工作",0,1,0,2022-07-21 10:01,郑州超话,https://wx2.sinaimg.cn/large/005V8gboly1h4ebgwsxaej30zo0kqq6v.jpg,,,,普通用户
4758293157513116,Lostdvwvi,5588948179,朝颜Alisa,#多地开始推进60岁以上老人接种工作#不知道怎么说，老家奶奶80几岁了，儿子都在外务工，她本身心脑血管就不好，腿脚也没有以前利索，基础病多，打了疫苗之后血压高升，非常高，都吓到家里人了，严重的话可能还会面临脑出血脑梗的风险，现在还是在医院留医。村书记几人多次上门要奶奶去打疫苗，她逼于无奈才遵从去的，拜托!老人真的不能折腾了!他们只是为了完成所谓的任务指标而已!但凡觉得能打，不用催我们也会叫她去打!而不是表面自愿实际强制老人去打!,,,,多地开始推进60岁以上老人接种工作,0,0,0,2022-04-14 23:09,Android,,,,,普通用户
4746946394983681,LjHhZkUtX,1973566625,郫都发布,尽快接种新冠疫苗加强针，持续建立疫情防控屏障！#多地开始推进60岁以上老人接种工作#L郫都发布的微博视频,,成都,,多地开始推进60岁以上老人接种工作,16,4,1,2022-03-14 15:41,iPhone客户端,,"http://f.video.weibocdn.com/o0/zq7wtUdClx07UtnOLGY0010412001YZk0E010.mp4?label=mp4_hd&template=304x640.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013750&ssig=srJSaPGGx0&KID=unistore,video",,,
4746962483808438,LjHHWfYKq,2840521050,法治郫都,尽快接种新冠疫苗加强针，持续建立疫情防控屏障！#多地开始推进60岁以上老人接种工作#L郫都发布的微博视频,,,,多地开始推进60岁以上老人接种工作,0,0,1,2022-03-14 16:45,HUAWEI P30 Pro,,,4746946394983681,,蓝V
4746959845592835,LjHDGnsX1,3357577300,郫都综合执法,尽快接种新冠疫苗加强针，持续建立疫情防控屏障！#多地开始推进60岁以上老人接种工作#L郫都发布的微博视频,,,,多地开始推进60岁以上老人接种工作,0,0,0,2022-03-14 16:34,iPhone客户端,,"http://f.video.weibocdn.com/o0/zq7wtUdClx07UtnOLGY0010412001YZk0E010.mp4?label=mp4_hd&template=304x640.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013750&ssig=srJSaPGGx0&KID=unistore,video",,,蓝V
4746957253512363,LjHzveJJ1,5127624884,郫都区融媒体中心,尽快接种新冠疫苗加强针，持续建立疫情防控屏障！#多地开始推进60岁以上老人接种工作#,,,,多地开始推进60岁以上老人接种工作,0,0,1,2022-03-14 16:24,微博网页版,,,4746946394983681,,蓝V
4746956071502462,LjHxB6iRg,3264174244,郫都生态环境,尽快接种新冠疫苗加强针，持续建立疫情防控屏障！#多地开始推进60岁以上老人接种工作#L郫都发布的微博视频,,,,多地开始推进60岁以上老人接种工作,0,0,0,2022-03-14 16:19,微博视频号,,"http://f.video.weibocdn.com/o0/zq7wtUdClx07UtnOLGY0010412001YZk0E010.mp4?label=mp4_hd&template=304x640.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013750&ssig=srJSaPGGx0&KID=unistore,video",,,蓝V
4746955802019988,LjHxa8tus,3768727660,郫都交通,尽快接种新冠疫苗加强针，持续建立疫情防控屏障！#多地开始推进60岁以上老人接种工作#,,,,多地开始推进60岁以上老人接种工作,0,1,1,2022-03-14 16:18,微博网页版,,,4746946394983681,,蓝V
