id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5023554033422351,O9SKnemjd,5603835855,karry0921lotus,公益辅助平台超话#12306回应年轻人卧铺挂帘子#【#大妈吐槽年轻人卧铺挂帘子不让老年人坐#：“让70多岁的老年人没地方坐”】据杭州日报：4月14日，某列车上一乘客吐槽年轻人在卧铺下铺挂帘子，不让70岁老人坐！对此中国铁路12306客服接受采访时表示：“没有明确规定不能使用，在不妨碍其他乘客的情况下可以使用。”L杭州日报的微博视频,,,,"12306回应年轻人卧铺挂帘子,大妈吐槽年轻人卧铺挂帘子不让老年人坐",0,0,7,2024-04-15 22:41,公益辅助平台超话,,"http://f.video.weibocdn.com/o0/7qfPh1jelx08e6jKenlK01041200avAs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005819&ssig=ljwem7o6pc&KID=unistore,video",,,黄V
5023520595906305,O9RSroMuZ,7832471767,终南视频,#12306回应年轻人卧铺挂帘子#【#大妈吐槽年轻人卧铺挂帘子不让老年人坐#：“让70多岁的老年人没地方坐”】据杭州日报：4月14日，某列车上一乘客吐槽年轻人在卧铺下铺挂帘子，不让70岁老人坐！对此中国铁路12306客服接受采访时表示：“没有明确规定不能使用，在不妨碍其他乘客的情况下可以使用。”L杭州日报的微博视频,,,,"12306回应年轻人卧铺挂帘子,大妈吐槽年轻人卧铺挂帘子不让老年人坐",0,0,0,2024-04-15 20:28,iPhone客户端,,"http://f.video.weibocdn.com/o0/7qfPh1jelx08e6jKenlK01041200avAs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005819&ssig=ljwem7o6pc&KID=unistore,video",,,蓝V
5023501607504152,O9RnOvuaI,6532102014,冷暖视频,#12306回应年轻人卧铺挂帘子#【#大妈吐槽年轻人卧铺挂帘子不让老年人坐#：“让70多岁的老年人没地方坐”】据杭州日报：4月14日，某列车上一乘客吐槽年轻人在卧铺下铺挂帘子，不让70岁老人坐！对此中国铁路12306客服接受采访时表示：“没有明确规定不能使用，在不妨碍其他乘客的情况下可以使用。”L杭州日报的微博视频,,,,"12306回应年轻人卧铺挂帘子,大妈吐槽年轻人卧铺挂帘子不让老年人坐",0,0,0,2024-04-15 19:12,微博视频号,,"http://f.video.weibocdn.com/o0/7qfPh1jelx08e6jKenlK01041200avAs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005819&ssig=ljwem7o6pc&KID=unistore,video",,,蓝V
5023501443924199,O9RnygsRx,1590751275,新浪生活,【小调查：坐卧铺你会考虑挂帘子的吗？】#12306回应年轻人卧铺挂帘子##大妈吐槽年轻人卧铺挂帘子不让老年人坐#坐卧铺你会考虑挂帘子的吗？,,,,"12306回应年轻人卧铺挂帘子,大妈吐槽年轻人卧铺挂帘子不让老年人坐",0,0,0,2024-04-15 19:12,微博发布平台专业版,,,,,蓝V
5023501441044442,O9Rny4nHQ,7750349114,新浪出行,【小调查：坐卧铺你会考虑挂帘子的吗？】#12306回应年轻人卧铺挂帘子##大妈吐槽年轻人卧铺挂帘子不让老年人坐#坐卧铺你会考虑挂帘子的吗？,,,,"12306回应年轻人卧铺挂帘子,大妈吐槽年轻人卧铺挂帘子不让老年人坐",0,0,0,2024-04-15 19:12,微博发布平台专业版,,,,,蓝V
5023501439733241,O9RnxEQ3L,6969117632,BOOM视频,【小调查：坐卧铺你会考虑挂帘子的吗？】#12306回应年轻人卧铺挂帘子##大妈吐槽年轻人卧铺挂帘子不让老年人坐#坐卧铺你会考虑挂帘子的吗？,,,,"12306回应年轻人卧铺挂帘子,大妈吐槽年轻人卧铺挂帘子不让老年人坐",0,0,0,2024-04-15 19:12,微博发布平台专业版,,,,,蓝V
5023501438422381,O9Rnxzl2R,6724296583,民生温度计,【小调查：坐卧铺你会考虑挂帘子的吗？】#12306回应年轻人卧铺挂帘子##大妈吐槽年轻人卧铺挂帘子不让老年人坐#坐卧铺你会考虑挂帘子的吗？,,,,"12306回应年轻人卧铺挂帘子,大妈吐槽年轻人卧铺挂帘子不让老年人坐",0,0,0,2024-04-15 19:12,微博发布平台专业版,,,,,蓝V
5023501435799483,O9RnxokI3,7761805397,微资讯,【小调查：坐卧铺你会考虑挂帘子的吗？】#12306回应年轻人卧铺挂帘子##大妈吐槽年轻人卧铺挂帘子不让老年人坐#坐卧铺你会考虑挂帘子的吗？,,,,"12306回应年轻人卧铺挂帘子,大妈吐槽年轻人卧铺挂帘子不让老年人坐",0,0,0,2024-04-15 19:12,微博发布平台专业版,,,,,蓝V
5023499826234129,O9RkWq9Mt,2318910945,新浪热点,【小调查：坐卧铺你会考虑挂帘子的吗？】#12306回应年轻人卧铺挂帘子##大妈吐槽年轻人卧铺挂帘子不让老年人坐#坐卧铺你会考虑挂帘子的吗？,,,,"12306回应年轻人卧铺挂帘子,大妈吐槽年轻人卧铺挂帘子不让老年人坐",6,24,4983,2024-04-15 19:05,微博网页版,,,,,蓝V
5023493854858618,O9RbjknWO,6083245339,贵溪发布,#12306回应年轻人卧铺挂帘子#【#大妈吐槽年轻人卧铺挂帘子不让老年人坐#：“让70多岁的老年人没地方坐”】据杭州日报：4月14日，某列车上一乘客吐槽年轻人在卧铺下铺挂帘子，不让70岁老人坐！对此中国铁路12306客服接受采访时表示：“没有明确规定不能使用，在不妨碍其他乘客的情况下可以使用。”L杭州日报的微博视频,,,,"12306回应年轻人卧铺挂帘子,大妈吐槽年轻人卧铺挂帘子不让老年人坐",12,2,12,2024-04-15 18:42,微博视频号,,"http://f.video.weibocdn.com/o0/7qfPh1jelx08e6jKenlK01041200avAs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005819&ssig=ljwem7o6pc&KID=unistore,video",,,蓝V
