id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5039694662601417,OgEDEaUKl,7514984576,荔枝起跑线,【暖心！#大学生用镜头记录乡村老人最美笑容#】近日，@贵州黔南科技学院的10余名师生志愿者走进黔南州惠水县好花红镇满玉村，为村里的空巢老人拍照，现场打印高清照片送给老人。参与的李同学表示，农村老人们很多都没有智能手机，也没有一张像样的照片，于是就想到为他们拍摄一张最美笑容的照片，留住他们的美好瞬间。L荔枝起跑线的微博视频,,,贵州黔南科技学院,大学生用镜头记录乡村老人最美笑容,47,31,33,2024-05-30 11:38,微博视频号,,"http://f.video.weibocdn.com/o0/GZMZE5R8lx08ffSMdZUQ01041200hB3Q0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004820&ssig=eM9FYM7928&KID=unistore,video",,,
5040520856605363,Oh08drIm7,7799181171,汐汐子琪,#大学生免费给农村空巢老人拍照#耶棒棒棒,,,,大学生免费给农村空巢老人拍照,0,0,33,2024-06-01 18:21,iPhone客户端,,,5039694662601417,,普通用户
5039726537214348,OgFt3ugMs,5731585393,JOJO去研学,【#大学生免费给农村空巢老人拍照#】近日，贵州一高校十余名师生志愿者走进黔南州惠水县好花红镇满玉村，为村里留守老人拍照，用相机定格下他们的美好时刻，并现场打印高清照片，装裱完成后送到手中，老人们拿到照片爱不释手。#校园热点运营官#LJOJO去研学的微博视频,,,,"大学生免费给农村空巢老人拍照,校园热点运营官",151,31,33,2024-05-30 13:45,微博视频号,,"http://f.video.weibocdn.com/o0/uUAZBYbGlx08fg1tyet201041200c0E50E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004820&ssig=3CYp2qO0I%2F&KID=unistore,video",,,
5040487708494012,OgZgKzDGc,7765699484,樱岛屿汐,#大学生免费给农村空巢老人拍照#,,,,大学生免费给农村空巢老人拍照,0,0,33,2024-06-01 16:09,iPhone客户端,,,5039726537214348,,普通用户
5040005636424387,OgMJdqXh9,6324084959,望城坡老农民,#大学生免费给农村空巢老人拍照##大学生用镜头记录乡村老人最美笑容#,,,,"大学生免费给农村空巢老人拍照,大学生用镜头记录乡村老人最美笑容",0,0,33,2024-05-31 08:14,一加 Ace 2,,,5039694662601417,,普通用户
5039853388169711,OgILEyhjx,7156817936,打烊Close_-,#大学生免费给农村空巢老人拍照#upup,,,,大学生免费给农村空巢老人拍照,0,0,0,2024-05-30 22:09,OPPO A57 5G,,,,,普通用户
5039853238488079,OgILpzC8v,7156817936,打烊Close_-,#大学生免费给农村空巢老人拍照#大学生免费拍照，大学生好；老人笑得开心，老人好,,,,大学生免费给农村空巢老人拍照,0,0,33,2024-05-30 22:08,OPPO A57 5G,,,5039726537214348,,普通用户
5039805233104495,OgHvZd1Cv,7297414568,梦苏201909,#大学生免费给农村空巢老人拍照#,,,,大学生免费给农村空巢老人拍照,0,1,33,2024-05-30 18:57,荣耀70 5G,,,5039694662601417,,普通用户
5039799985506323,OgHnwn6rF,7788382211,冲锋衣呀,#大学生免费给农村空巢老人拍照#,,,,大学生免费给农村空巢老人拍照,0,0,33,2024-05-30 18:36,vivo S17t,,,5039694662601417,,普通用户
5039798550528789,OgHld2dyR,7222132876,yang一小只,#大学生免费给农村空巢老人拍照#是一群有爱的人,,,,大学生免费给农村空巢老人拍照,0,0,33,2024-05-30 18:31,Hi nova 9 Pro,,,5039726537214348,,普通用户
