id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4640033002754256,KgNrmbyvu,1704588860,半岛每日播报,【#大学生办班教老人用智能手机#还贴心制作纸质课本】@四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。L梨视频的微博视频@梨视频,,,"四川外国语大学,梨视频",大学生办班教老人用智能手机,0,0,0,2021-05-23 15:05,微博视频号,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016328&ssig=5KI8BQWtQl&KID=unistore,video",,,蓝V
4640026564233677,KgNgYhLn7,2712601544,香港衛視HKS,【#大学生办班教老人用智能手机#还贴心制作纸质课本】四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。L梨视频的微博视频,,,,大学生办班教老人用智能手机,1,0,10,2021-05-23 14:40,微博视频号,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016328&ssig=5KI8BQWtQl&KID=unistore,video",,,蓝V
4640003916039797,KgMGrple5,2799724554,十堰晚报,【#大学生办班教老人用智能手机#还贴心制作纸质课本】@四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。L梨视频的微博视频,,,四川外国语大学,大学生办班教老人用智能手机,0,0,5,2021-05-23 13:10,微博视频号,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016328&ssig=5KI8BQWtQl&KID=unistore,video",,,蓝V
4640001414923225,KgMCpkEKR,1806646411,北方频道,【#大学生办班教老人用智能手机#还贴心制作纸质课本】@四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。L梨视频的微博视频@梨视频,,,"四川外国语大学,梨视频",大学生办班教老人用智能手机,0,0,0,2021-05-23 13:00,新浪微博4G版,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016328&ssig=5KI8BQWtQl&KID=unistore,video",,,蓝V
4639988816023135,KgMi5pgTl,2620088113,大众网,【#大学生办班教老人用智能手机#还贴心制作纸质课本】@四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。L梨视频的微博视频@梨视频,,,"四川外国语大学,梨视频",大学生办班教老人用智能手机,3,0,7,2021-05-23 12:10,微博视频号,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016328&ssig=5KI8BQWtQl&KID=unistore,video",,,
4639994012503732,KgMqtavkM,3195195483,大众网济宁,【#大学生办班教老人用智能手机#还贴心制作纸质课本】,,,,大学生办班教老人用智能手机,0,0,7,2021-05-23 12:30,微博网页版,,,4639988816023135,,蓝V
4639988816546479,KgMi5rt2n,6867368137,海报新闻,【#大学生办班教老人用智能手机#还贴心制作纸质课本】@四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。L梨视频的微博视频@梨视频,,,"四川外国语大学,梨视频",大学生办班教老人用智能手机,0,0,0,2021-05-23 12:10,微博视频号,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016328&ssig=5KI8BQWtQl&KID=unistore,video",,,蓝V
4639980858642886,KgM5fAgpo,1844967414,内蒙古晨报,【#大学生办班教老人用智能手机#还贴心制作纸质课本】@四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。 L梨视频的微博视频,,,四川外国语大学,大学生办班教老人用智能手机,0,0,0,2021-05-23 11:38,微博视频号,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016328&ssig=5KI8BQWtQl&KID=unistore,video",,,蓝V
4639967253628471,KgLJjfdVJ,7200301960,今日国土杂志社,【#大学生办班教老人用智能手机#还贴心制作纸质课本】@四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。 L梨视频的微博视频,,,四川外国语大学,大学生办班教老人用智能手机,0,0,0,2021-05-23 10:44,Android,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016328&ssig=5KI8BQWtQl&KID=unistore,video",,,蓝V
4639966963699445,KgLIQfwot,1154814271,新浪新闻客户端,【#大学生办班教老人用智能手机#还贴心制作纸质课本】@四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。 L梨视频的微博视频,,,四川外国语大学,大学生办班教老人用智能手机,0,0,0,2021-05-23 10:43,微博视频号,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016328&ssig=5KI8BQWtQl&KID=unistore,video",,,蓝V
4639966963698168,KgLIQfw3S,1778758223,新浪看点,【#大学生办班教老人用智能手机#还贴心制作纸质课本】@四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。 L梨视频的微博视频,,,四川外国语大学,大学生办班教老人用智能手机,2,3,14,2021-05-23 10:43,微博视频号,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016330&ssig=e2OjKIIpc1&KID=unistore,video",,,蓝V
4639966963697536,KgLIQfvTG,1712686623,手机上的新浪,【#大学生办班教老人用智能手机#还贴心制作纸质课本】@四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。 L梨视频的微博视频,,,四川外国语大学,大学生办班教老人用智能手机,1,1,17,2021-05-23 10:43,微博视频号,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016330&ssig=e2OjKIIpc1&KID=unistore,video",,,蓝V
4639966962911021,KgLIQcdhX,2318910945,新浪热点,【#大学生办班教老人用智能手机#还贴心制作纸质课本】@四川外国语大学的大学生们组建了老年人智能手机培训班，66名志愿者一对一教老人使用手机。为帮助老年人更好地记住操作流程，他们还贴心地制作了纸质教程。老人对课程非常满意，还认真做了笔记。 L梨视频的微博视频,,,四川外国语大学,大学生办班教老人用智能手机,12,12,105,2021-05-23 10:43,微博视频号,,"http://f.video.weibocdn.com/004DmpOsgx07MRyoRUNF01041200LGBA0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016330&ssig=e2OjKIIpc1&KID=unistore,video",,,蓝V
