id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5035102306044680,OeJaCpmuQ,1644489953,南方都市报,【温暖继续！#大麦老人婉拒店主为他安排工作#】5月16日，青岛西海岸新区，店主陈相民打烊后重新开门为老人准备餐食的事情引网友点赞。近日，陈相民找到这位老人，并打算在店里为他安排一份工作。但是老人表示自己是一名瓦工，还能自食其力，感谢陈相民的好意，更感谢全国网友对他的关爱。陈相民尊重老人的想法，双向奔赴的结局很暖！#店家深夜打烊遇拾荒老人接下来太暖#@半岛都市报L半岛都市报的微博视频,,,半岛都市报,"大麦老人婉拒店主为他安排工作,店家深夜打烊遇拾荒老人接下来太暖",5,4,26,2024-05-17 19:30,微博视频号,,"http://f.video.weibocdn.com/o0/4oM8Izn3lx08eV12RP0s01041200FI7m0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014198&ssig=x%2F9wX6e9xN&KID=unistore,video",,,蓝V
5035057005989540,OeHZyp89u,2133637794,宜人宜宾,【温暖继续！#大麦老人婉拒店主为他安排工作#】5月16日，青岛西海岸新区，店主陈相民打烊后重新开门为老人准备餐食的事情引网友点赞。近日，陈相民找到这位老人，并打算在店里为他安排一份工作。但是老人表示自己是一名瓦工，还能自食其力，感谢陈相民的好意，更感谢全国网友对他的关爱。陈相民尊重老人的想法，双向奔赴的结局很暖！#店家深夜打烊遇拾荒老人接下来太暖#@半岛都市报半岛都市报的微博视频L半岛都市报的微博视频,,,半岛都市报,"大麦老人婉拒店主为他安排工作,店家深夜打烊遇拾荒老人接下来太暖",0,0,0,2024-05-17 16:30,微博视频号,,"http://f.video.weibocdn.com/o0/4oM8Izn3lx08eV12RP0s01041200FI7m0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014198&ssig=x%2F9wX6e9xN&KID=unistore,video",,,蓝V
5035053411469727,OeHTL6alh,7797700732,东明县融媒体中心,【温暖继续！#大麦老人婉拒店主为他安排工作#】5月16日，青岛西海岸新区，店主陈相民打烊后重新开门为老人准备餐食的事情引网友点赞。近日，陈相民找到这位老人，并打算在店里为他安排一份工作。但是老人表示自己是一名瓦工，还能自食其力，感谢陈相民的好意，更感谢全国网友对他的关爱。陈相民尊重老人的想法，双向奔赴的结局很暖！#店家深夜打烊遇拾荒老人接下来太暖#@半岛都市报L半岛都市报的微博视频,,,半岛都市报,"大麦老人婉拒店主为他安排工作,店家深夜打烊遇拾荒老人接下来太暖",0,1,0,2024-05-17 16:15,微博视频号,,"http://f.video.weibocdn.com/o0/4oM8Izn3lx08eV12RP0s01041200FI7m0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014198&ssig=x%2F9wX6e9xN&KID=unistore,video",,,蓝V
5035050213836225,OeHOBg5YB,2139684615,文明成都,【温暖继续！#大麦老人婉拒店主为他安排工作#】5月16日，青岛西海岸新区，店主陈相民打烊后重新开门为老人准备餐食的事情引网友点赞。近日，陈相民找到这位老人，并打算在店里为他安排一份工作。但是老人表示自己是一名瓦工，还能自食其力，感谢陈相民的好意，更感谢全国网友对他的关爱。陈相民尊重老人的想法，双向奔赴的结局很暖！#店家深夜打烊遇拾荒老人接下来太暖#@半岛都市报L半岛都市报的微博视频,,,半岛都市报,"大麦老人婉拒店主为他安排工作,店家深夜打烊遇拾荒老人接下来太暖",5,3,2,2024-05-17 16:03,微博视频号,,"http://f.video.weibocdn.com/o0/4oM8Izn3lx08eV12RP0s01041200FI7m0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014198&ssig=x%2F9wX6e9xN&KID=unistore,video",,,蓝V
5035034913015038,OeHpVcElE,2177987263,淄川发布-融媒体,【温暖继续！#大麦老人婉拒店主为他安排工作#】5月16日，青岛西海岸新区，店主陈相民打烊后重新开门为老人准备餐食的事情引网友点赞。近日，陈相民找到这位老人，并打算在店里为他安排一份工作。但是老人表示自己是一名瓦工，还能自食其力，感谢陈相民的好意，更感谢全国网友对他的关爱。陈相民尊重老人的想法，双向奔赴的结局很暖！#店家深夜打烊遇拾荒老人接下来太暖#L半岛都市报的微博视频,,,,"大麦老人婉拒店主为他安排工作,店家深夜打烊遇拾荒老人接下来太暖",0,1,1,2024-05-17 15:02,微博视频号,,"http://f.video.weibocdn.com/o0/4oM8Izn3lx08eV12RP0s01041200FI7m0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014198&ssig=x%2F9wX6e9xN&KID=unistore,video",,,蓝V
5035034085954498,OeHoAoZ2i,3214972460,福山发布,【温暖继续！#大麦老人婉拒店主为他安排工作#】5月16日，青岛西海岸新区，店主陈相民打烊后重新开门为老人准备餐食的事情引网友点赞。近日，陈相民找到这位老人，并打算在店里为他安排一份工作。但是老人表示自己是一名瓦工，还能自食其力，感谢陈相民的好意，更感谢全国网友对他的关爱。陈相民尊重老人的想法，双向奔赴的结局很暖！#店家深夜打烊遇拾荒老人接下来太暖#@半岛都市报L半岛都市报的微博视频,,,半岛都市报,"大麦老人婉拒店主为他安排工作,店家深夜打烊遇拾荒老人接下来太暖",1,1,1,2024-05-17 14:58,微博视频号,,"http://f.video.weibocdn.com/o0/4oM8Izn3lx08eV12RP0s01041200FI7m0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014198&ssig=x%2F9wX6e9xN&KID=unistore,video",,,蓝V
5035026138533204,OeHbLzNSk,7730900846,声誉传媒,授人以鱼不如授人以渔。【温暖继续！#大麦老人婉拒店主为他安排工作#】5月16日，青岛西海岸新区，店主陈相民打烊后重新开门为老人准备餐食的事情引网友点赞。近日，陈相民找到这位老人，并打算在店里为他安排一份工作。但是老人表示自己是一名瓦工，还能自食其力，感谢陈相民的好意，更感谢全国网友对他的关爱。陈相民尊重老人的想法，双向奔赴的结局很暖！#店家深夜打烊遇拾荒老人接下来太暖#@半岛都市报L半岛都市报的微博视频,,,半岛都市报,"大麦老人婉拒店主为他安排工作,店家深夜打烊遇拾荒老人接下来太暖",0,0,0,2024-05-17 14:27,微博视频号,,"http://f.video.weibocdn.com/o0/4oM8Izn3lx08eV12RP0s01041200FI7m0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014198&ssig=x%2F9wX6e9xN&KID=unistore,video",,,蓝V
5035024544432837,OeH9ciBbn,1557605344,山东商报,【温暖继续！#大麦老人婉拒店主为他安排工作#】5月16日，青岛西海岸新区，店主陈相民打烊后重新开门为老人准备餐食的事情引网友点赞。近日，陈相民找到这位老人，并打算在店里为他安排一份工作。但是老人表示自己是一名瓦工，还能自食其力，感谢陈相民的好意，更感谢全国网友对他的关爱。陈相民尊重老人的想法，双向奔赴的结局很暖！#店家深夜打烊遇拾荒老人接下来太暖#@半岛都市报L半岛都市报的微博视频,,,半岛都市报,"大麦老人婉拒店主为他安排工作,店家深夜打烊遇拾荒老人接下来太暖",1,0,4,2024-05-17 14:21,橙叽HarmonyOS设备,,"http://f.video.weibocdn.com/o0/4oM8Izn3lx08eV12RP0s01041200FI7m0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014198&ssig=x%2F9wX6e9xN&KID=unistore,video",,,蓝V
5034998765454250,OeGtCmSTM,1909377960,起点新闻,【温暖继续！#大麦老人婉拒店主为他安排工作#】5月16日，青岛西海岸新区，店主陈相民打烊后重新开门为老人准备餐食的事情引网友点赞。近日，陈相民找到这位老人，并打算在店里为他安排一份工作。但是老人表示自己是一名瓦工，还能自食其力，感谢陈相民的好意，更感谢全国网友对他的关爱。陈相民尊重老人的想法，双向奔赴的结局很暖！#店家深夜打烊遇拾荒老人接下来太暖#@半岛都市报L半岛都市报的微博视频,,,半岛都市报,"大麦老人婉拒店主为他安排工作,店家深夜打烊遇拾荒老人接下来太暖",0,0,1,2024-05-17 12:38,Android,,"http://f.video.weibocdn.com/o0/4oM8Izn3lx08eV12RP0s01041200FI7m0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014198&ssig=x%2F9wX6e9xN&KID=unistore,video",,,蓝V
5034979721740938,OeFYU7iTE,1924558143,大参考,【温暖继续！#大麦老人婉拒店主为他安排工作#】5月16日，青岛西海岸新区，店主陈相民打烊后重新开门为老人准备餐食的事情引网友点赞。近日，陈相民找到这位老人，并打算在店里为他安排一份工作。但是老人表示自己是一名瓦工，还能自食其力，感谢陈相民的好意，更感谢全国网友对他的关爱。陈相民尊重老人的想法，双向奔赴的结局很暖！#店家深夜打烊遇拾荒老人接下来太暖#@半岛都市报L半岛都市报的微博视频,,,半岛都市报,"大麦老人婉拒店主为他安排工作,店家深夜打烊遇拾荒老人接下来太暖",1,0,1,2024-05-17 11:22,微博视频号,,"http://f.video.weibocdn.com/o0/4oM8Izn3lx08eV12RP0s01041200FI7m0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014198&ssig=x%2F9wX6e9xN&KID=unistore,video",,,蓝V
