id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4929528402543747,NcoasaFKb,1915096531,武汉交通广播,【#天气突变邻居带娃帮独居老人收玉米#】近日，在广西崇左。73岁独居老人在家晒玉米遇上天气突变，邻居带娃帮忙抢收。老人儿子赵先生称，自己在外打工，还好有邻居帮忙，赶在下雨前将玉米都收回了。平时邻居也是帮忙照顾很多，很感谢他们。网友：#这是中国人骨子里的温暖#！（河南都市频道）L新华网的微博视频,,,,"天气突变邻居带娃帮独居老人收玉米,这是中国人骨子里的温暖",0,0,0,2023-07-31 11:37,微博视频号,,"http://f.video.weibocdn.com/o0/LHEdo401lx087pMJVthm01041200361c0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001318&ssig=TAMpTdus3s&KID=unistore,video",,,蓝V
4929512297729272,NcnKtwqJG,2090512390,北青网,【#天气突变邻居带娃帮独居老人收玉米#】近日，在广西崇左。73岁独居老人在家晒玉米遇上天气突变，邻居带娃帮忙抢收。老人儿子赵先生称：“自己在外打工，还好有邻居帮忙，赶在下雨前将玉米都收回了，平时邻居也是帮忙照顾很多，很感谢他们。”网友：#这是中国人骨子里的温暖#！（河南都市频道）L新华网的微博视频,,,,"天气突变邻居带娃帮独居老人收玉米,这是中国人骨子里的温暖",0,0,0,2023-07-31 10:33,微博视频号,,"http://f.video.weibocdn.com/o0/LHEdo401lx087pMJVthm01041200361c0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001318&ssig=TAMpTdus3s&KID=unistore,video",,,蓝V
4929489643504233,Ncn9WeHBT,1797237782,美丽开远,【#天气突变邻居带娃帮独居老人收玉米#】近日，在广西崇左。73岁独居老人在家晒玉米遇上天气突变，邻居带娃帮忙抢收。老人儿子赵先生称，自己在外打工，还好有邻居帮忙，赶在下雨前将玉米都收回了。平时邻居也是帮忙照顾很多，很感谢他们。网友：#这是中国人骨子里的温暖#！（河南都市频道）L新华网的微博视频,,,,"天气突变邻居带娃帮独居老人收玉米,这是中国人骨子里的温暖",0,0,0,2023-07-31 09:02,微博视频号,,"http://f.video.weibocdn.com/o0/LHEdo401lx087pMJVthm01041200361c0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001318&ssig=TAMpTdus3s&KID=unistore,video",,,蓝V
4929444709401167,NclZsDrFJ,2135586780,闪直播,【#天气突变邻居带娃帮独居老人收玉米#】近日，在广西崇左。73岁独居老人在家晒玉米遇上天气突变，邻居带娃帮忙抢收。老人儿子赵先生称：“自己在外打工，还好有邻居帮忙，赶在下雨前将玉米都收回了，平时邻居也是帮忙照顾很多，很感谢他们。”网友：#这是中国人骨子里的温暖#！（河南都市频道）L新华网的微博视频,,,,"天气突变邻居带娃帮独居老人收玉米,这是中国人骨子里的温暖",0,0,0,2023-07-31 06:04,微博视频号,,"http://f.video.weibocdn.com/o0/LHEdo401lx087pMJVthm01041200361c0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001318&ssig=TAMpTdus3s&KID=unistore,video",,,蓝V
4929340700365738,NcjhI1x90,1749990115,北京青年报,【#天气突变邻居带娃帮独居老人收玉米#】近日，在广西崇左。73岁独居老人在家晒玉米遇上天气突变，邻居带娃帮忙抢收。老人儿子赵先生称：“自己在外打工，还好有邻居帮忙，赶在下雨前将玉米都收回了，平时邻居也是帮忙照顾很多，很感谢他们。”网友：#这是中国人骨子里的温暖#！（河南都市频道）L新华网的微博视频,,,,"天气突变邻居带娃帮独居老人收玉米,这是中国人骨子里的温暖",2,3,12,2023-07-30 23:11,微博视频号,,"http://f.video.weibocdn.com/o0/LHEdo401lx087pMJVthm01041200361c0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001318&ssig=TAMpTdus3s&KID=unistore,video",,,蓝V
4929340087998224,NcjgIxyHC,5908184802,吉林政法声音,【#天气突变邻居带娃帮独居老人收玉米#】近日，在广西崇左。73岁独居老人在家晒玉米遇上天气突变，邻居带娃帮忙抢收。老人儿子赵先生称，自己在外打工，还好有邻居帮忙，赶在下雨前将玉米都收回了。平时邻居也是帮忙照顾很多，很感谢他们。网友：#这是中国人骨子里的温暖#！（河南都市频道）L新华网的微博视频,,,,"天气突变邻居带娃帮独居老人收玉米,这是中国人骨子里的温暖",0,1,0,2023-07-30 23:08,微博视频号,,"http://f.video.weibocdn.com/o0/LHEdo401lx087pMJVthm01041200361c0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001318&ssig=TAMpTdus3s&KID=unistore,video",,,蓝V
4929330348824764,Ncj10B1IU,3514732862,广西日报,【#天气突变邻居带娃帮独居老人收玉米#】近日，在广西崇左。73岁独居老人在家晒玉米遇上天气突变，邻居带娃帮忙抢收。老人的儿子赵先生称，自己在外打工，还好有邻居帮忙，赶在下雨前将玉米都收回了。平时邻居也是帮忙照顾很多，很感谢他们。网友：#这是中国人骨子里的温暖#！（来源∶河南都市频道、新华网）L新华网的微博视频,,,,"天气突变邻居带娃帮独居老人收玉米,这是中国人骨子里的温暖",0,0,8,2023-07-30 22:30,微博视频号,,"http://f.video.weibocdn.com/o0/LHEdo401lx087pMJVthm01041200361c0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001319&ssig=samZtG9ZHZ&KID=unistore,video",,,蓝V
4929329895575619,Ncj0hnotl,2608036021,山高路远林密,积极帮助//@新华网:给热心的邻居点赞！#天气突变邻居带娃帮独居老人收玉米#//@三三_201210:远亲不如近邻！//@祥康驿站:中国好邻居，的确格外佳。//@阿良飞翔721118:这是中国人骨子里的善良//@锅盔辣子加泡馍:远亲不如近邻，邻里之间相互帮助,,,"新华网,三三_201210,祥康驿站,阿良飞翔721118,锅盔辣子加泡馍",天气突变邻居带娃帮独居老人收玉米,0,0,0,2023-07-30 22:28,HUAWEI nova 3i,,,,,黄V
4929322798811507,NciOPAYh5,2131593523,羊城晚报金羊网,【#天气突变邻居带娃帮独居老人收玉米#】近日，在广西崇左。73岁独居老人在家晒玉米遇上天气突变，邻居带娃帮忙抢收。老人儿子赵先生称，自己在外打工，还好有邻居帮忙，赶在下雨前将玉米都收回了。平时邻居也是帮忙照顾很多，很感谢他们。网友：#这是中国人骨子里的温暖#！L新华网的微博视频,,,,"天气突变邻居带娃帮独居老人收玉米,这是中国人骨子里的温暖",1,0,1,2023-07-30 22:00,微博视频号,,"http://f.video.weibocdn.com/o0/LHEdo401lx087pMJVthm01041200361c0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001319&ssig=samZtG9ZHZ&KID=unistore,video",,,蓝V
4929296366049688,Nci8cpnNC,2748597475,中国青年网,【#天气突变邻居带娃帮独居老人收玉米#】近日，在广西崇左。73岁独居老人在家晒玉米遇上天气突变，邻居带娃帮忙抢收。老人儿子赵先生称，自己在外打工，还好有邻居帮忙，赶在下雨前将玉米都收回了。平时邻居也是帮忙照顾很多，很感谢他们。网友：这是中国人骨子里的温暖！#中国人的故事#（河南都市频道）L新华网的微博视频,,,,"天气突变邻居带娃帮独居老人收玉米,中国人的故事",1,0,3,2023-07-30 20:14,微博视频号,,"http://f.video.weibocdn.com/o0/LHEdo401lx087pMJVthm01041200361c0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001319&ssig=samZtG9ZHZ&KID=unistore,video",,,蓝V
