id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4759547182321351,LoZ5Q9JT9,1273517125,花房禅意,#平凡之美给我最多感动#【#女子4年免费为2000位空巢老人拍照#：会一直拍下去！】近日，陕西省商洛市，一名“85后”女子杨鑫利用业余时间，来到山区给老人们免费拍摄人像照片。据杨鑫女士介绍，这里的大山里，很多年轻人都在外打工，村里基本上只有老人和孩子。而老人们生活比较节俭，很多老人一生来，也没有一张体面的照片，有的老人甚至一辈子只拍过身份证上面的照片，而再没有拍摄过其它的照片。L猛犸新闻的微博视频,,,,"平凡之美给我最多感动,女子4年免费为2000位空巢老人拍照",0,0,0,2022-04-18 10:12,微博视频号,,"http://f.video.weibocdn.com/o0/ebAGyYsclx07VlDTsW1O01041200PVTM0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011874&ssig=Q0YR5pg3TS&KID=unistore,video",,,黄V
4759515322387649,LoYgsa18t,5786405834,延安同城事儿,【#女子4年免费为2000位空巢老人拍照#：会一直拍下去！】近日，陕西省商洛市，一名“85后”女子杨鑫利用业余时间，来到山区给老人们免费拍摄人像照片。据杨鑫女士介绍，这里的大山里，很多年轻人都在外打工，村里基本上只有老人和孩子。而老人们生活比较节俭，很多老人一生来，也没有一张体面的照片，有的老人甚至一辈子只拍过身份证上面的照片，而再没有拍摄过其它的照片。（猛犸新闻）#陕西看点#L猛犸新闻的微博视频,,,,"女子4年免费为2000位空巢老人拍照,陕西看点",0,0,0,2022-04-18 08:05,微博视频号,,"http://f.video.weibocdn.com/o0/ebAGyYsclx07VlDTsW1O01041200PVTM0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011874&ssig=Q0YR5pg3TS&KID=unistore,video",,,黄V
4759493512267263,LoXHh9vOL,7474220766,哨兵哨位,#女子免费帮2000位山区老人拍遗照#85后女孩子这一举措满满能量#哨兵哨位说事#,,,,"女子免费帮2000位山区老人拍遗照,哨兵哨位说事",14,6,27,2022-04-18 06:39,,https://wx2.sinaimg.cn/large/0089P4fQly1h1dhe3jzhbj30n01dswz1.jpg,,,,
4759511413294555,LoYa9dP3Z,6573191475,突破那一天,总有平凡人让我感动#女子4年免费为2000位空巢老人拍照#,,,,女子4年免费为2000位空巢老人拍照,0,0,27,2022-04-18 07:50,,,,4759493512267263,,黄V
4759502748125665,LoXWay5R7,5711338701,微观大秦,【#女子4年免费为2000位空巢老人拍照#：会一直拍下去！】近日，陕西省商洛市，一名“85后”女子杨鑫利用业余时间，来到山区给老人们免费拍摄人像照片。据杨鑫女士介绍，这里的大山里，很多年轻人都在外打工，村里基本上只有老人和孩子。而老人们生活比较节俭，很多老人一生来，也没有一张体面的照片，有的老人甚至一辈子只拍过身份证上面的照片，而再没有拍摄过其它的照片。（猛犸新闻）#陕西看点#L猛犸新闻的微博视频,,,,"女子4年免费为2000位空巢老人拍照,陕西看点",21,2,45,2022-04-18 07:15,大秦观察超话,,"http://f.video.weibocdn.com/o0/ebAGyYsclx07VlDTsW1O01041200PVTM0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011874&ssig=Q0YR5pg3TS&KID=unistore,video",,,黄V
4759354512769163,LoU55bCnV,5641987326,武功爆料,【#女子4年免费为2000位空巢老人拍照#：会一直拍下去！】近日，陕西省商洛市，一名“85后”女子杨鑫利用业余时间，来到山区给老人们免费拍摄人像照片。据杨鑫女士介绍，这里的大山里，很多年轻人都在外打工，村里基本上只有老人和孩子。而老人们生活比较节俭，很多老人一生来，也没有一张体面的照片，有的老人甚至一辈子只拍过身份证上面的照片，而再没有拍摄过其它的照片。#发现身边的温暖#@猛犸新闻L猛犸新闻的微博视频,,,猛犸新闻,"女子4年免费为2000位空巢老人拍照,发现身边的温暖",0,0,0,2022-04-17 21:26,微博视频号,,"http://f.video.weibocdn.com/o0/ebAGyYsclx07VlDTsW1O01041200PVTM0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011874&ssig=Q0YR5pg3TS&KID=unistore,video",,,普通用户
4759351543988464,LoU0igJA4,3003665760,1018陕广新闻,【#女子4年免费为2000位空巢老人拍照#：会一直拍下去！】近日，陕西省商洛市，一名“85后”女子杨鑫利用业余时间，来到山区给老人们免费拍摄人像照片。据杨鑫女士介绍，这里的大山里，很多年轻人都在外打工，村里基本上只有老人和孩子。而老人们生活比较节俭，很多老人一生来，也没有一张体面的照片，有的老人甚至一辈子只拍过身份证上面的照片，而再没有拍摄过其它的照片。#发现身边的温暖#@猛犸新闻L猛犸新闻的微博视频,,,猛犸新闻,"女子4年免费为2000位空巢老人拍照,发现身边的温暖",0,0,0,2022-04-17 21:14,微博视频号,,"http://f.video.weibocdn.com/o0/ebAGyYsclx07VlDTsW1O01041200PVTM0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011874&ssig=Q0YR5pg3TS&KID=unistore,video",,,蓝V
4759316160840143,LoT5e3wyH,6329817319,唐局长,【#女子4年免费为2000位空巢老人拍照#：会一直拍下去！】近日，陕西省商洛市，一名“85后”女子杨鑫利用业余时间，来到山区给老人们免费拍摄人像照片。据杨鑫女士介绍，这里的大山里，很多年轻人都在外打工，村里基本上只有老人和孩子。而老人们生活比较节俭，很多老人一生来，也没有一张体面的照片，有的老人甚至一辈子只拍过身份证上面的照片，而再没有拍摄过其它的照片。#发现身边的温暖#@猛犸新闻L猛犸新闻的微博视频,,郴州,猛犸新闻,"女子4年免费为2000位空巢老人拍照,发现身边的温暖",15,9,54,2022-04-17 18:54,微博视频号,,"http://f.video.weibocdn.com/o0/ebAGyYsclx07VlDTsW1O01041200PVTM0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011874&ssig=Q0YR5pg3TS&KID=unistore,video",,,红V
4759293793143874,LoSv9dbRE,1913366611,河北新闻广播,【#女子4年免费为2000位空巢老人拍照#：会一直拍下去！】近日，陕西省商洛市，一名“85后”女子杨鑫利用业余时间，来到山区给老人们免费拍摄人像照片。据杨鑫女士介绍，这里的大山里，很多年轻人都在外打工，村里基本上只有老人和孩子。而老人们生活比较节俭，很多老人一生来，也没有一张体面的照片，有的老人甚至一辈子只拍过身份证上面的照片，而再没有拍摄过其它的照片。#发现身边的温暖#@猛犸新闻L猛犸新闻的微博视频,,,猛犸新闻,"女子4年免费为2000位空巢老人拍照,发现身边的温暖",0,0,0,2022-04-17 17:25,微博视频号,,"http://f.video.weibocdn.com/o0/ebAGyYsclx07VlDTsW1O01041200PVTM0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011874&ssig=Q0YR5pg3TS&KID=unistore,video",,,蓝V
4759292685588497,LoStmnrP3,3229962754,陕视新闻,【#女子4年免费为2000位空巢老人拍照#：会一直拍下去！】近日，陕西省商洛市，一名“85后”女子杨鑫利用业余时间，来到山区给老人们免费拍摄人像照片。据杨鑫女士介绍，这里的大山里，很多年轻人都在外打工，村里基本上只有老人和孩子。而老人们生活比较节俭，很多老人一生来，也没有一张体面的照片，有的老人甚至一辈子只拍过身份证上面的照片，而再没有拍摄过其它的照片。#发现身边的温暖#@猛犸新闻L猛犸新闻的微博视频,,,猛犸新闻,"女子4年免费为2000位空巢老人拍照,发现身边的温暖",0,0,9,2022-04-17 17:21,iPhone客户端,,"http://f.video.weibocdn.com/o0/ebAGyYsclx07VlDTsW1O01041200PVTM0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011874&ssig=Q0YR5pg3TS&KID=unistore,video",,,蓝V
