id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4742144240387908,LhGmA1CUA,2621577681,家游学院,【家游学院精品课程】天文小课堂：在夜晚纵观地图，竟能以灯光来判断贫富？！一起来看看......#家游学院##中老年##养老##如何应对老龄化挑战#@中老年椰@老年文摘@老年文摘@老年新媒体@尚贞涛L家游学院的微博视频,,,"中老年椰,老年文摘,老年新媒体,尚贞涛","家游学院,中老年,养老,如何应对老龄化挑战",0,0,1,2022-03-01 09:39,微博视频号,,"http://f.video.weibocdn.com/o0/sBpGbKOvlx07U8fnra3m010412004dMq0E010.mp4?label=mp4_720p&template=800x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010649&ssig=f6IgfKxlMv&KID=unistore,video",,,蓝V
4722665295973061,L9vCVp3RH,2621577681,家游学院,【家游学院精品课程】天文小课堂：还记得以前学过的关于太阳的知识吗？让我们一起来重温“日珥”“耀斑”......#中老年##如何应对老龄化挑战##家游学院##家游怡伴#@养老产业田叔叔@老年新媒体@养老刘鑫@尚贞涛L家游学院的微博视频,,,"养老产业田叔叔,老年新媒体,养老刘鑫,尚贞涛","中老年,如何应对老龄化挑战,家游学院,家游怡伴",0,0,0,2022-01-06 15:36,微博视频号,,"http://f.video.weibocdn.com/o0/NkjEjv3Llx07SKvQfOj6010412005N760E010.mp4?label=mp4_720p&template=784x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010649&ssig=Eleid9NcHL&KID=unistore,video",,,蓝V
4722326090810954,L9mNP3oXU,6615148662,阿克苏市融媒体中心,【#如何应对老龄化挑战#？】人口老龄化将是我国今后一段时期的基本国情，给经济社会发展带来挑战的同时，也蕴藏着巨大的“长寿红利”，合理挖掘“长寿红利”将为我国经济社会的可持续发展提供新的动能。即日起，人民网研究院和“领导留言板”围绕#长寿红利#开展问题建议征集活动，如何应对老龄化挑战，培育积极老龄观，快来留言→,,,,"如何应对老龄化挑战,长寿红利",0,0,0,2022-01-05 17:08,TRS微博管理平台,https://wx1.sinaimg.cn/large/007dGumaly8gy2wrso0uwj30dj0m8q42.jpg,,,,蓝V
4722232938728165,L9knzACAR,2621577681,家游学院,发布了头条文章：《梁春晓谈“老龄挑战”：不光关注养老更要重视社会转型》#中老年##如何应对老龄化挑战##家游学院##家游怡伴#@养老产业田叔叔@老年新媒体@养老刘鑫@尚贞涛O梁春晓谈“老龄挑战”：不光关注养老更要重视社会转型,http://t.cn/A6JAALpg,,"养老产业田叔叔,老年新媒体,养老刘鑫,尚贞涛","中老年,如何应对老龄化挑战,家游学院,家游怡伴",0,0,0,2022-01-05 10:58,微博 weibo.com,,,,,蓝V
4720223079629764,L8u5REp8M,2107988150,闵行-华漕,#如何应对老龄化挑战#,,,,如何应对老龄化挑战,0,0,0,2021-12-30 21:52,微博 weibo.com,,,,,蓝V
4720149129071240,L8saAC3Qk,7238845741,快看沙雅-,【#如何应对老龄化挑战#？】人口老龄化将是我国今后一段时期的基本国情，给经济社会发展带来挑战的同时，也蕴藏着巨大的“长寿红利”，合理挖掘“长寿红利”将为我国经济社会的可持续发展提供新的动能。即日起，人民网研究院和“领导留言板”围绕#长寿红利#开展问题建议征集活动，如何应对老龄化挑战，培育积极老龄观，快来留言→,,,,"如何应对老龄化挑战,长寿红利",0,0,0,2021-12-30 16:58,TRS微博管理平台,"https://wx4.sinaimg.cn/large/007TTsstly8gxvyr1tm54j30dj0m8ab6.jpg,https://wx1.sinaimg.cn/large/007TTsstly8gxvyr248k8j30dj0m8ab6.jpg",,,,蓝V
4720056674815562,L8pLtkcKm,3806438282,昆明经济技术开发区管委会,【#如何应对老龄化挑战#？】人口老龄化将是我国今后一段时期的基本国情，给经济社会发展带来挑战的同时，也蕴藏着巨大的“长寿红利”，合理挖掘“长寿红利”将为我国经济社会的可持续发展提供新的动能。即日起，人民网研究院和“领导留言板”围绕#长寿红利#开展问题建议征集活动，如何应对老龄化挑战，培育积极老龄观，快来留言→,,,,"如何应对老龄化挑战,长寿红利",0,0,0,2021-12-30 10:51,微博 weibo.com,https://wx2.sinaimg.cn/large/e2e1a38agy1gxvo4sqa8oj20dj0m83zn.jpg,,,,蓝V
4720051367707264,L8pCUwl0I,1932383433,传说中的女网警,#女网警说#【#如何应对老龄化挑战#？】,,,,"女网警说,如何应对老龄化挑战",0,1,0,2021-12-30 10:30,HUAWEI Mate 40E,,,,,黄V
4720043260118949,L8ppQ0uWx,3846487316,昆明盘龙发布,#小龙女说身边事#【#如何应对老龄化挑战#？】人口老龄化将是我国今后一段时期的基本国情，给经济社会发展带来挑战的同时，也蕴藏着巨大的“长寿红利”，人民网研究院和“领导留言板”围绕#长寿红利#开展问题建议征集活动，如何应对老龄化挑战，培育积极老龄观，快来留言→O网页链接,,,,"小龙女说身边事,如何应对老龄化挑战,长寿红利",0,0,0,2021-12-30 09:57,荣耀10青春版,,,,,蓝V
4720041231387111,L8pmz5OQL,1152594637,营口日报,【#如何应对老龄化挑战#？】,,,,如何应对老龄化挑战,0,0,0,2021-12-30 09:49,小米10 青春版 5G,,,,,蓝V
4720038931857828,L8piR7NiY,3974870414,菏泽市图书馆,【#如何应对老龄化挑战#？】,,,,如何应对老龄化挑战,0,0,0,2021-12-30 09:40,微博 weibo.com,,,,,蓝V
4720038088541504,L8phuzQ2c,3840904562,昆明官渡发布,【#如何应对老龄化挑战#？】人口老龄化将是我国今后一段时期的基本国情，给经济社会发展带来挑战的同时，也蕴藏着巨大的“长寿红利”，合理挖掘“长寿红利”将为我国经济社会的可持续发展提供新的动能。即日起，人民网研究院和“领导留言板”围绕#长寿红利#开展问题建议征集活动，如何应对老龄化挑战，培育积极老龄观，快来留言→O网页链接,,,,"如何应对老龄化挑战,长寿红利",0,0,0,2021-12-30 09:37,iPhone客户端,https://wx4.sinaimg.cn/large/e4ef8d72ly1gxvlzxrcjoj20dj0m8gmq.jpg,,,,蓝V
4720036960801134,L8pfG3mpw,2611754991,兰州公安七里河分局,【#如何应对老龄化挑战#？】,,,,如何应对老龄化挑战,0,0,0,2021-12-30 09:32,微博网页版,,,,,蓝V
4720034263336308,L8pbkdZVq,2467794115,廉洁青白江,【#如何应对老龄化挑战#？】人口老龄化将是我国今后一段时期的基本国情，给经济社会发展带来挑战的同时，也蕴藏着巨大的“长寿红利”，合理挖掘“长寿红利”将为我国经济社会的可持续发展提供新的动能。即日起，人民网研究院和“领导留言板”围绕#长寿红利#开展问题建议征集活动，如何应对老龄化挑战，培育积极老龄观，快来留言→O网页链接,,,,"如何应对老龄化挑战,长寿红利",0,0,0,2021-12-30 09:22,微博 weibo.com,https://wx2.sinaimg.cn/large/93178cc3gy1gxvlk4f4ywj20dj0m8768.jpg,,,,蓝V
4720033328530647,L8p9OzNd5,5044208315,华亭检察,【#如何应对老龄化挑战#？】人口老龄化将是我国今后一段时期的基本国情，给经济社会发展带来挑战的同时，也蕴藏着巨大的“长寿红利”，合理挖掘“长寿红利”将为我国经济社会的可持续发展提供新的动能。即日起，人民网研究院和“领导留言板”围绕#长寿红利#开展问题建议征集活动，如何应对老龄化挑战，培育积极老龄观，快来留言→O网页链接,,,,"如何应对老龄化挑战,长寿红利",0,12,6,2021-12-30 09:18,Android,https://wx4.sinaimg.cn/large/005vmZ0Dly1gxvlg9edwoj30dj0m80u1.jpg,,,,蓝V
4720033030211594,L8p9l0T2O,3840902209,昆明五华发布,【#如何应对老龄化挑战#？】人口老龄化将是我国今后一段时期的基本国情，给经济社会发展带来挑战的同时，也蕴藏着巨大的“长寿红利”，合理挖掘“长寿红利”将为我国经济社会的可持续发展提供新的动能。即日起，人民网研究院和“领导留言板”围绕#长寿红利#开展问题建议征集活动，如何应对老龄化挑战，培育积极老龄观，快来留言→O网页链接,,,,"如何应对老龄化挑战,长寿红利",0,0,0,2021-12-30 09:17,,https://wx4.sinaimg.cn/large/e4ef8441gy1gxvlf1qyhhj20dj0m8q48.jpg,,,,蓝V
4720032267896307,L8p86x8bN,5475404191,数字传播,【#如何应对老龄化挑战#？】人口老龄化将是我国今后一段时期的基本国情，给经济社会发展带来挑战的同时，也蕴藏着巨大的“长寿红利”，合理挖掘“长寿红利”将为我国经济社会的可持续发展提供新的动能。即日起，人民网研究院和“领导留言板”围绕#长寿红利#开展问题建议征集活动，如何应对老龄化挑战，培育积极老龄观，快来留言→（来源：人民网）O网页链接,,,,"如何应对老龄化挑战,长寿红利",0,0,0,2021-12-30 09:14,360安全浏览器,https://wx4.sinaimg.cn/large/005YyeKPly1gxvlbsm86gj30dj0m840g.jpg,,,,普通用户
4720030149771319,L8p4GEZXV,1932383433,传说中的女网警,#女网警说#【#如何应对老龄化挑战#？】,,,,"女网警说,如何应对老龄化挑战",1,0,0,2021-12-30 09:05,HUAWEI Mate 40E,,,,,黄V
4720028560132503,L8p280yt9,1457639120,韩刚口译快乐译声,【#如何应对老龄化挑战#？】长寿红利longevitydividend人口老龄化将是我国今后一段时期的基本国情，给经济社会发展带来挑战的同时，也蕴藏着巨大的“长寿红利”，合理挖掘“长寿红利”将为我国经济社会的可持续发展提供新的动能provideanewdriverfor...。#长寿红利##mti##catti#考研英语超话韩刚翻译超话,,,,"如何应对老龄化挑战,长寿红利,mti,catti",1,0,14,2021-12-30 08:59,HUAWEI Mate 20 Pro,,,,,黄V
