id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5045457042802576,Oj4xObL4Q,1835081942,扬州日报,#1.2亿农村老人如何养老#【#如何提升农村老人社会保障#，减轻养老压力？】中国人民大学老年学研究所所长杜鹏：这个是和整个国家发展的大背景下结合在一起的，比如说去年5月，国家推出了《推进基本养老服务体系建设的意见》，其中有基本养老服务清单，它面向城市和农村是一样的，也就是说要加强托底的能力，在农村的养老设施中，政府来购买服务的时候，就要加大这方面的投入。关于长期护理保险，2016年到现在，在49个城市试点的基础上，今年两会提出推进建设长期护理保险。有了长期护理保险，对农村老年人养老服务的支付能力有了很大的一个帮助。L新闻一加一的微博视频,,,,"1.2亿农村老人如何养老,如何提升农村老人社会保障",0,0,1,2024-06-15 09:16,微博视频号,,"http://f.video.weibocdn.com/o0/i65K2bAZlx08fCWsmReg010412005Czt0E010.mp4?label=mp4_ld&template=480x270.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017564&ssig=88YPOGmlh6&KID=unistore,video",,,蓝V
5045246038120172,OiZ3ty4qw,2702452820,上海三农,#1.2亿农村老人如何养老#【#如何提升农村老人社会保障#，减轻养老压力？】中国人民大学老年学研究所所长杜鹏：这个是和整个国家发展的大背景下结合在一起的，比如说去年5月，国家推出了《推进基本养老服务体系建设的意见》，其中有基本养老服务清单，它面向城市和农村是一样的，也就是说要加强托底的能力，在农村的养老设施中，政府来购买服务的时候，就要加大这方面的投入。关于长期护理保险，2016年到现在，在49个城市试点的基础上，今年两会提出推进建设长期护理保险。有了长期护理保险，对农村老年人养老服务的支付能力有了很大的一个帮助。L新闻一加一的微博视频,,,,"1.2亿农村老人如何养老,如何提升农村老人社会保障",0,0,0,2024-06-14 19:17,微博视频号,,"http://f.video.weibocdn.com/o0/i65K2bAZlx08fCWsmReg010412005Czt0E010.mp4?label=mp4_ld&template=480x270.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017564&ssig=88YPOGmlh6&KID=unistore,video",,,蓝V
5045099291217682,OiVeN56M2,2821669511,农民日报,#1.2亿农村老人如何养老#【#如何提升农村老人社会保障#，减轻养老压力？】中国人民大学老年学研究所所长杜鹏：这个是和整个国家发展的大背景下结合在一起的，比如说去年5月，国家推出了《推进基本养老服务体系建设的意见》，其中有基本养老服务清单，它面向城市和农村是一样的，也就是说要加强托底的能力，在农村的养老设施中，政府来购买服务的时候，就要加大这方面的投入。关于长期护理保险，2016年到现在，在49个城市试点的基础上，今年两会提出推进建设长期护理保险。有了长期护理保险，对农村老年人养老服务的支付能力有了很大的一个帮助。L新闻一加一的微博视频,,,,"1.2亿农村老人如何养老,如何提升农村老人社会保障",2,4,7,2024-06-14 09:34,微博视频号,,"http://f.video.weibocdn.com/o0/i65K2bAZlx08fCWsmReg010412005Czt0E010.mp4?label=mp4_ld&template=480x270.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017564&ssig=88YPOGmlh6&KID=unistore,video",,,
5045231785083819,OiYGulkx5,5804913696,新浪集团乡村振兴合作办公室,#1.2亿农村老人如何养老#【#如何提升农村老人社会保障#，减轻养老压力？】#点亮美丽乡村#,,,,"1.2亿农村老人如何养老,如何提升农村老人社会保障,点亮美丽乡村",0,0,7,2024-06-14 18:20,Xiaomi 12 Pro,,,5045099291217682,,蓝V
5045229999359412,OiYDBDgOg,6697886053,微博三农,#1.2亿农村老人如何养老#【#如何提升农村老人社会保障#，减轻养老压力？】#点亮美丽乡村#,,,,"1.2亿农村老人如何养老,如何提升农村老人社会保障,点亮美丽乡村",0,0,7,2024-06-14 18:13,Xiaomi 12 Pro,,,5045099291217682,,蓝V
5045172288886658,OiX8wBhPc,1729845610,法人杂志,【#如何提升农村老人社会保障#，减轻养老压力？】#1.2亿农村老人如何养老#中国人民大学老年学研究所所长杜鹏：这个是和整个国家发展的大背景下结合在一起的，比如说去年5月，国家推出了《推进基本养老服务体系建设的意见》，其中有基本养老服务清单，它面向城市和农村是一样的，也就是说要加强托底的能力，在农村的养老设施中，政府来购买服务的时候，就要加大这方面的投入。关于长期护理保险，2016年到现在，在49个城市试点的基础上，今年两会提出推进建设长期护理保险。有了长期护理保险，对农村老年人养老服务的支付能力有了很大的一个帮助。@新闻一加一新闻一加一的微博视频L新闻一加一的微博视频,,,新闻一加一,"如何提升农村老人社会保障,1.2亿农村老人如何养老",0,0,0,2024-06-14 14:24,微博视频号,,"http://f.video.weibocdn.com/o0/i65K2bAZlx08fCWsmReg010412005Czt0E010.mp4?label=mp4_ld&template=480x270.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017564&ssig=88YPOGmlh6&KID=unistore,video",,,蓝V
5045164609375885,OiWW8Dl5X,1764220904,广东新闻网,【#如何提升农村老人社会保障#，减轻养老压力？】#1.2亿农村老人如何养老#中国人民大学老年学研究所所长杜鹏：这个是和整个国家发展的大背景下结合在一起的，比如说去年5月，国家推出了《推进基本养老服务体系建设的意见》，其中有基本养老服务清单，它面向城市和农村是一样的，也就是说要加强托底的能力，在农村的养老设施中，政府来购买服务的时候，就要加大这方面的投入。关于长期护理保险，2016年到现在，在49个城市试点的基础上，今年两会提出推进建设长期护理保险。有了长期护理保险，对农村老年人养老服务的支付能力有了很大的一个帮助。@新闻一加一L新闻一加一的微博视频,,,新闻一加一,"如何提升农村老人社会保障,1.2亿农村老人如何养老",0,0,2,2024-06-14 13:54,微博视频号,,"http://f.video.weibocdn.com/o0/i65K2bAZlx08fCWsmReg010412005Czt0E010.mp4?label=mp4_ld&template=480x270.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017564&ssig=88YPOGmlh6&KID=unistore,video",,,蓝V
5045159169886959,OiWNmFu35,5170942053,乐生活在济宁,#1.2亿农村老人如何养老#【鲸视频：#如何提升农村老人社会保障#，减轻养老压力？】中国人民大学老年学研究所所长杜鹏：这个是和整个国家发展的大背景下结合在一起的，比如说去年5月，国家推出了《推进基本养老服务体系建设的意见》，其中有基本养老服务清单，它面向城市和农村是一样的，也就是说要加强托底的能力，在农村的养老设施中，政府来购买服务的时候，就要加大这方面的投入。关于长期护理保险，2016年到现在，在49个城市试点的基础上，今年两会提出推进建设长期护理保险。有了长期护理保险，对农村老年人养老服务的支付能力有了很大的一个帮助。（央视）L新闻一加一的微博视频,,,,"1.2亿农村老人如何养老,如何提升农村老人社会保障",0,0,0,2024-06-14 13:32,微博视频号,,"http://f.video.weibocdn.com/o0/i65K2bAZlx08fCWsmReg010412005Czt0E010.mp4?label=mp4_ld&template=480x270.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017564&ssig=88YPOGmlh6&KID=unistore,video",,,黄V
5045159077085451,OiWNdtJft,1885454921,蓝鲸新闻,#1.2亿农村老人如何养老#【鲸视频：#如何提升农村老人社会保障#，减轻养老压力？】中国人民大学老年学研究所所长杜鹏：这个是和整个国家发展的大背景下结合在一起的，比如说去年5月，国家推出了《推进基本养老服务体系建设的意见》，其中有基本养老服务清单，它面向城市和农村是一样的，也就是说要加强托底的能力，在农村的养老设施中，政府来购买服务的时候，就要加大这方面的投入。关于长期护理保险，2016年到现在，在49个城市试点的基础上，今年两会提出推进建设长期护理保险。有了长期护理保险，对农村老年人养老服务的支付能力有了很大的一个帮助。（央视）L新闻一加一的微博视频,,,,"1.2亿农村老人如何养老,如何提升农村老人社会保障",2,1,2,2024-06-14 13:32,微博视频号,,"http://f.video.weibocdn.com/o0/i65K2bAZlx08fCWsmReg010412005Czt0E010.mp4?label=mp4_ld&template=480x270.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017564&ssig=88YPOGmlh6&KID=unistore,video",,,蓝V
5045147748011232,OiWuWxC5q,1838672663,华夏时报,【#如何提升农村老人社会保障#，减轻养老压力？】#1.2亿农村老人如何养老#中国人民大学老年学研究所所长杜鹏：这个是和整个国家发展的大背景下结合在一起的，比如说去年5月，国家推出了《推进基本养老服务体系建设的意见》，其中有基本养老服务清单，它面向城市和农村是一样的，也就是说要加强托底的能力，在农村的养老设施中，政府来购买服务的时候，就要加大这方面的投入。关于长期护理保险，2016年到现在，在49个城市试点的基础上，今年两会提出推进建设长期护理保险。有了长期护理保险，对农村老年人养老服务的支付能力有了很大的一个帮助。@新闻一加一L新闻一加一的微博视频,,,新闻一加一,"如何提升农村老人社会保障,1.2亿农村老人如何养老",0,0,0,2024-06-14 12:47,微博视频号,,"http://f.video.weibocdn.com/o0/i65K2bAZlx08fCWsmReg010412005Czt0E010.mp4?label=mp4_ld&template=480x270.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017564&ssig=88YPOGmlh6&KID=unistore,video",,,蓝V
