id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4966181109500703,NrLFIDRz9,7754601824,泰安岱岳融媒,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,9,9,15,2023-11-09 15:01,微博 weibo.com,,,,,蓝V
4965858120303962,NrDgM1h4C,3947644285,最热科技的Bot,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 17:38,Xiaomi 13 Ultra,,,,,普通用户
4965842699685704,NrCRTEDH2,5692538125,甘孜之声,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 16:37,iPhone客户端,,,,,黄V
4965837153765911,NrCIXfNGv,7613695859,共富视频,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,1,2023-11-08 16:15,真我GT大师探索版,,,,,蓝V
4965829969187462,NrCxmCy4S,1828887503,大河网,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 15:46,iPhone 13,,,,,蓝V
4965826807993414,NrCsgxxs2,7832471767,终南视频,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,1,2023-11-08 15:33,iPhone客户端,,,,,蓝V
4965826075822568,NrCr5oqIo,2029700693,河南公共频道,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 15:31,微博网页版,,,,,蓝V
4965825321897092,NrCpS7Xwg,3039029585,RBRM深一度,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 15:28,OPPO Find X6,,,,,蓝V
4965819370181772,NrCgh0LhO,1714800385,第一帮帮团,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 15:04,微博云剪,,,,,蓝V
4965817447879093,NrCdax3I9,1829407315,蓝媒视频官方微博,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 14:56,微博云剪,,,,,蓝V
4965817353765469,NrCd1fNzn,7141087529,铁骥视频,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,28,6,26,2023-11-08 14:56,微博网页版,,,,,蓝V
4965815885498524,NrCaEn4pS,3848311310,昆明禄劝发布,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 14:50,Android,,,,,蓝V
4965814526547997,NrC8srtqR,3953646138,桂阳法院,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,,如何改变空巢老人的现状,1,2,4,2023-11-08 14:45,微博网页版,,,,,蓝V
4965813561067022,NrC6U4tA2,3756634245,步点视频,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 14:41,iPhone客户端,,,,,黄V
4965813420032084,NrC6G08lu,7367840589,晨观视频,#如何改变空巢老人的现状#你大概多久与家人相聚一次？,,,,如何改变空巢老人的现状,0,0,6,2023-11-08 14:40,,,,,,蓝V
4965812884736127,NrC5OjS59,1294967085,新界视频,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,1,2023-11-08 14:38,iPhone客户端,,,,,蓝V
4965812123470811,NrC4AeyUP,5208603396,板扎零距离,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 14:35,微博云剪,,,,,蓝V
4965812121371398,NrC4A5KLk,3468466672,板扎视频,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 14:35,微博云剪,,,,,蓝V
4965811984008396,NrC4mgOLy,7312182819,用户7312182819,【#如何改变空巢老人的现状#】中国有一句诗词是：“树欲静而风不止，子欲养而亲不待”。这句话告诉年轻的子女，要趁着父母还健在的时候，要去遵守孝道，要陪伴在父母的身边，伺候父母，让父母能够儿孙绕膝，安度晚年。但是，现如今的社会节奏和压力让年轻人不得不离开父母，到大城市打工赚钱，那该如何改变空巢老人的现状？@晨观视频O空巢老人的现状，或许就是将来的你我他，如何改变现状？,,,晨观视频,如何改变空巢老人的现状,0,0,0,2023-11-08 14:35,微博网页版,,,,,蓝V
