id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4708099799909929,L3oIbFA1z,6296036659,蟹肉可乐饼不要可乐,#如何看待北京将进入重度老龄化#与我无关嘻嘻反正不结婚不生孩子，给父母养老之后美美躺平，和地球一起毁灭,,,,如何看待北京将进入重度老龄化,0,2,5,2021-11-27 10:58,nova 9 精彩由我摄定,,,,,普通用户
4707917679039622,L3jYrBVCm,1151243311,琉玄,#如何看待北京将进入重度老龄化#拜托！！北京都这样，那别的城市不是更完球真是哭笑不得了，各种想说说不出来，欲言又止，随便吧！！,,,,如何看待北京将进入重度老龄化,47,153,3520,2021-11-26 22:55,微博搜索,,,,,金V
4707912447956444,L3jQ0xnPK,1944852732,艾小曦之,#如何看待北京将进入重度老龄化#北京为何事重度老龄化？不见老子不见娘，千帕老虎后怕狼，不敢生呀。北京房价４００万，８００万，１２００万一套，政府想过那些普通老百姓吗？当然，做生意的大老板都能买得起，但是当地人不一定都是大老板呀，很多都是老百姓，拿工资，活生生孩子结婚时候，还大家几代人拥挤在一起，为什么？真的买不起。北京姑娘３５岁到４０岁的女孩，没嫁人的多的去了，很多结婚后不生孩子的丁克也很多。活着太久不一定是好事情，何必想尽办法延长人的寿命呢？？？,,,,如何看待北京将进入重度老龄化,0,0,1,2021-11-26 22:34,微博搜索,,,,,黄V
4707835802550381,L3hQoaHtb,3701436420,折耳猫与狸,#如何看待北京将进入重度老龄化#就不也不一样吗？能给你尝尝,,,,如何看待北京将进入重度老龄化,0,0,0,2021-11-26 17:29,HUAWEI P40 5G,,,,,普通用户
4707835772144634,L3hQl8ZUS,2057189270,小铃钉钉铛,#如何看待北京将进入重度老龄化#要严格看待这个问题,,,,如何看待北京将进入重度老龄化,0,0,0,2021-11-26 17:29,三星S20 5G,,,,,普通用户
4707835747241334,L3hQiunNI,1634733012,兮兮仔软糖,#如何看待北京将进入重度老龄化#全国都在老年化,,,,如何看待北京将进入重度老龄化,0,0,0,2021-11-26 17:29,小米11,,,,,普通用户
4707835717881724,L3hQfx4oA,2424674772,小小小啊宅,#如何看待北京将进入重度老龄化#不敢随便议论,,,,如何看待北京将进入重度老龄化,0,0,0,2021-11-26 17:29,小米8青春版 潮流旗舰,,,,,普通用户
4707835597029875,L3hQ3tuN5,7299935227,城与诚1,#如何看待北京将进入重度老龄化#确实越来越老龄化了,,,,如何看待北京将进入重度老龄化,0,0,0,2021-11-26 17:28,nova4自拍极点全面屏,,,,,普通用户
4707835596506941,L3hQ3riKF,3746629422,你眼中有一片天,#如何看待北京将进入重度老龄化#哎年轻人谁愿意去,,,,如何看待北京将进入重度老龄化,0,0,0,2021-11-26 17:28,iPhone客户端,,,,,黄V
4707835504492969,L3hPUiQPf,6499843018,油墨虫子,#如何看待北京将进入重度老龄化#老北京人哈哈,,邯郸,,如何看待北京将进入重度老龄化,0,0,0,2021-11-26 17:28,荣耀20青春版,,,,,黄V
