id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4863020448356973,MqrrSz41T,7065820408,小圆脸XxXx,大蕉学长看到你，送了你一朵白色的花并且叫你靠近点，你娇羞的把脸凑过去，只见大蕉学长一脸凶恶地抬起手要扇你巴掌！你吓得花容失色尖叫跑走了……只剩下大蕉学长一脸茫然，他模仿兔子有这么吓人吗#如何看待老年人越来越会玩#,,,,如何看待老年人越来越会玩,4,6,12,2023-01-28 22:58,小米8周年旗舰手机,"https://wx1.sinaimg.cn/large/007IbsFily1hajr77bw4zj318y0u0djv.jpg,https://wx2.sinaimg.cn/large/007IbsFily1hajrdyuev8j31hc0u0q9v.jpg,https://wx4.sinaimg.cn/large/007IbsFily1hajrdzbd2ej30u01dcdjo.jpg,https://wx3.sinaimg.cn/large/007IbsFily1hajrdzr8waj30u00xcgpk.jpg",,,河北,普通用户
4781893130912552,LympH3PoA,5998079332,Souvenir猫儿,#如何看待老年人越来越会玩#很好啊,,,,如何看待老年人越来越会玩,0,0,0,2022-06-19 02:07,vivo Y73s 5G,,,,广西,普通用户
4781864831682419,LylG373FN,7585086995,软糖娱乐,#如何看待老年人越来越会玩#其实快乐一点，生活没有什么问题呀，就希望我的爷爷奶奶可以好好的玩一玩，多享受一下这个社会吧#新游记#,,,,"如何看待老年人越来越会玩,新游记",0,0,0,2022-06-19 00:14,微博 weibo.com,https://wx1.sinaimg.cn/large/008hkfCPly1h3cum216zwj30l20zkaea.jpg,,,,蓝V
4781863639451131,LylE7DEFB,6985053423,离家出走的AirPodsPro,#如何看待老年人越来越会玩#有时候年轻人心态都没有大爷大妈们心态好，也许生活压力吧，老年人有退休金，不用在为五斗米努力，享受当下生活，心态当然很好了,,,,如何看待老年人越来越会玩,0,0,0,2022-06-19 00:09,Android,,,,山东,普通用户
4781863518602001,LylDVA5LX,7299283603,新虎嗅文艺,#如何看待老年人越来越会玩#突然觉得老年人也挺会玩的，我也非常佩服大家，这也算的上是一个不同的潮流方式了，而且快乐一些也很不错#新游记#,,,,"如何看待老年人越来越会玩,新游记",0,0,0,2022-06-19 00:09,微博 weibo.com,,,,浙江,蓝V
4781863065618033,LylDcnzvr,7547336823,离家出走的锦鲤,#如何看待老年人越来越会玩#我的爷爷奶奶奶就是这样，天气好的话每个月都会出去旅行一次，到处走走玩玩，眼界宽了心态也好了,,,,如何看待老年人越来越会玩,0,0,0,2022-06-19 00:07,K30 至尊纪念版,,,,山东,普通用户
4781862482347853,LylCg9QMB,7726901032,一只芙兰朵,#如何看待老年人越来越会玩#确实很佩服这群老年人，很多项目我都没玩过，心态是真的好好，有这么多兴趣爱好，生活很充实,,,,如何看待老年人越来越会玩,0,0,0,2022-06-19 00:05,HarmonyOS设备,,,,江苏,普通用户
4781862390072335,LylC70iOH,6418785748,快嘴娱乐,#如何看待老年人越来越会玩#现在看到了老年人的这些新鲜方式之后，也是非常佩服大家呀，我以后也要跟这些老年学习一下，享受一下生活#新游记#,,,,"如何看待老年人越来越会玩,新游记",0,0,0,2022-06-19 00:04,微博 weibo.com,,,,,蓝V
4781862327681963,LylC0weqD,1641832237,壮士请留歩_,#如何看待老年人越来越会玩#老年人会玩享受生活挺好的，年纪不是问题心态年轻会一直很快乐,,,,如何看待老年人越来越会玩,0,0,0,2022-06-19 00:04,Android,https://wx4.sinaimg.cn/large/61dc5f2dly1h3cuex406wj20ft0qotab.jpg,,,山东,普通用户
4781862315099548,LylBZloCM,7730702375,朋友岂能说变就变,#如何看待老年人越来越会玩#老年人和年轻人其实只要心态一样，咱们都可以玩到一起的，真的不分年龄,,,,如何看待老年人越来越会玩,0,0,0,2022-06-19 00:04,iPhone客户端,https://wx2.sinaimg.cn/large/008rbePZgy1h3cueqgqr9j30ft0qo404.jpg,,,广东,普通用户
