id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5055448684432628,OngtmiB80,1006876622,Fray求个offer,#如何让老年人摆脱养生骗局#父母被打着养生旗号的无良商家洗脑了，三天两头花高价买一些所谓的治百病的产品回来，实际成本非常低廉，一看就知道智商税。该怎么办啊？,,,,如何让老年人摆脱养生骗局,0,0,1,2024-07-12 22:59,小米11 Pro,,,,,普通用户
4914404749741302,N62JsES9M,2010999701,营养师张淋琳,老年人怎样养生才靠谱？#张淋琳健康超话#①　老年人养生要注意健康合理饮食　　对于老年人来说，在各种生理功能逐步退化的情况下，科学合理地改善膳食结构、均衡营养显得格外重要。　　每个人都要根据自己的体质合理选择饮食。中国人讲究阴阳平衡，人的体质分阴性和阳性。为了保持体质平衡，阴性体质的人应该相对多吃一些温热性的食物，比如牛、羊肉等；同理，阳性体质的人应该相对多吃一些偏凉性的食物，比如豆腐等。　　此外，食物可以分为酸性和碱性：肉、蛋、鱼、米、面食等属酸性食品，蔬菜、海带、茶、水果等属碱性食品，老年人日常饮食的选择还应做到“酸碱平衡”。②　老年人养生要注意科学地锻炼身体　　老年人在锻炼身体时要科学地选择锻炼时间、保持适当的运动强度、选择合适的运动项目。　　很多老年人都喜欢晨练，其实这是不正确的。因为早晨体内交感神经处于兴奋的状态，多数人的血压和心率此时相对较高，如果进行运动，有高血压的老年人容易引发心脑血管疾病。　　因此，对于老年人来说，特别是患有高血压病的老年人在下午4点到6点运动最佳；在运动强度方面，可以通过运动时的心率或运动后恢复正常身体状态的时间来把握。　　运动时心率达到比正常心率增加30-40次/分即可，运动后恢复到运动前的血压和心率等身体状态的时间应为5-6分钟，超过这个时间则说明运动强度过大；另外，老年人锻炼身体应选择有氧运动，其中游泳和快走最为合适。③　老年人养生还要注重养“心”　　有些老年人自尊心强、好面子，凡事爱与人争高下，和人攀比生活条件、子女的学业事业等，比不过就嫉妒、烦躁、郁闷。　　这种不健康的心理状态不仅会加重自己的心理负担，还会带来一系列心理问题，影响血压、血糖等，造成内分泌功能紊乱、免疫力低下，也会给子女造成不必要的压力，滋生家庭矛盾。　　所以老年人应放平心态，多些包容和理解，遇事不“斤斤计较”，通过培养兴趣爱好和结交朋友等来转移生活的重心，从而排解负面情绪，拥有健康的心态。#身体健康##老年人养生##老年人养生迷惑行为大赏##如何让老年人摆脱养生骗局##老年人该如何养生#夏季养生超话健康养生超话端午节超话#厦大新闻学教授谈张雪峰言论##一天之内拒绝了30个学生请假##黄子佼曝大小s吸毒#,,,,"张淋琳健康超话,身体健康,老年人养生,老年人养生迷惑行为大赏,如何让老年人摆脱养生骗局,老年人该如何养生,厦大新闻学教授谈张雪峰言论,一天之内拒绝了30个学生请假,黄子佼曝大小s吸毒",1,0,4,2023-06-19 18:01,微博网页版,"https://wx3.sinaimg.cn/large/77dd6b95ly1hf3cbr7fvbj20rs0iimy9.jpg,https://wx4.sinaimg.cn/large/77dd6b95ly1hf3cbraucuj20b407ljrz.jpg,https://wx2.sinaimg.cn/large/77dd6b95ly1hf3cbrehz3j20b408cmxj.jpg",,,,红V
4907520911738920,N39Ev7in6,7408564391,笑天平安wz,#如何让老年人摆脱养生骗局#现在讲的情商，更多的是表层的行为特征，比如一个人如何待人接物，偏于技巧，而心理和性格修养会涉及人内心深处的一些东西。,,,,如何让老年人摆脱养生骗局,0,0,0,2023-05-31 18:07,荣耀V20 4800万3D相机,"https://wx4.sinaimg.cn/large/0085nA23ly1hehq3np6n6j309s09sdfm.jpg,https://wx1.sinaimg.cn/large/0085nA23ly1hehq3nyadaj309s09sq2q.jpg,https://wx2.sinaimg.cn/large/0085nA23ly1hehq3owqqcj309s09s0sj.jpg,https://wx3.sinaimg.cn/large/0085nA23ly1hehq3p2ckpj309s09s3yf.jpg,https://wx4.sinaimg.cn/large/0085nA23ly1hehq3pc939j309s09s3yt.jpg,https://wx3.sinaimg.cn/large/0085nA23ly1hehq3pkaezj309s09s0t2.jpg,https://wx4.sinaimg.cn/large/0085nA23ly1hehq3px85cj309s09sdgi.jpg,https://wx2.sinaimg.cn/large/0085nA23ly1hehq3q34ekj309s09sjs6.jpg,https://wx3.sinaimg.cn/large/0085nA23ly1hehq3qa5vrj309s09smxr.jpg",,,,普通用户
4905254204739035,N2cGwjSQ3,2144066964,成都残联,#反诈新指南#【转发收藏！#如何识别AI诈骗#？】近日，有地区接连通报了AI诈骗事件，有人短短10分钟内就被骗了430多万。AI诈骗和普通电信诈骗有何不同？AI诈骗有哪些套路？如何识别AI诈骗？戳图读懂AI诈骗↓（北京日报）#如何让老年人摆脱养生骗局#,,,,"反诈新指南,如何识别AI诈骗,如何让老年人摆脱养生骗局",0,2,2,2023-05-25 12:00,微博网页版,https://wx2.sinaimg.cn/large/7fcbdd94ly1heae191kzcj20j64unx6p.jpg,,,,蓝V
4904971181229347,N25k259Ob,3898311280,雅安公安,【转给家中老人！#一组图识破养老诈骗骗局#】目前猖獗的养老诈骗种类之多、危害之大堪称是社会中针对老年人群体的一颗“毒瘤”。通过这组漫画带您识破养老诈骗骗局“图”个明白。#如何让老年人摆脱养生骗局#,,,,"一组图识破养老诈骗骗局,如何让老年人摆脱养生骗局",0,6,4,2023-05-24 17:15,微博网页版,"https://wx3.sinaimg.cn/large/e85b8270gy1he9l97xw0nj20j60y3qdm.jpg,https://wx2.sinaimg.cn/large/e85b8270gy1he9l99a8h1j20j60y37do.jpg,https://wx4.sinaimg.cn/large/e85b8270gy1he9l9bi7jcj20j60y3aju.jpg,https://wx1.sinaimg.cn/large/e85b8270gy1he9l9cxmx8j20j60y348j.jpg,https://wx2.sinaimg.cn/large/e85b8270gy1he9l9en6oej20j60y3n6x.jpg,https://wx1.sinaimg.cn/large/e85b8270gy1he9l9go6rnj20j60y37dg.jpg,https://wx2.sinaimg.cn/large/e85b8270gy1he9l9mblopj20j60y3tis.jpg,https://wx4.sinaimg.cn/large/e85b8270gy1he9l9oo1nnj20j60y3aku.jpg,https://wx4.sinaimg.cn/large/e85b8270gy1he9l9ql5egj20j60y349l.jpg",,,,蓝V
4904968718653434,N25g3Aj9w,6760877342,交通银行,当前养老骗局不断升级，警惕性弱的老年人非常容易被当作诈骗目标，那么#如何让老年人摆脱养生骗局#？关注交行，获取您的防骗指南！O养老骗局又升级？交通银行教您守护钱袋子,,,,如何让老年人摆脱养生骗局,20,2,24,2023-05-24 17:05,微博网页版,,,,,蓝V
4904953098801117,N24QRAVzv,5105612195,高坪公安,【转给家中老人！#一组图识破养老诈骗骗局#】目前猖獗的养老诈骗种类之多、危害之大堪称是社会中针对老年人群体的一颗“毒瘤”。通过这组漫画带您识破养老诈骗骗局“图”个明白。#如何让老年人摆脱养生骗局#,,,,"一组图识破养老诈骗骗局,如何让老年人摆脱养生骗局",0,0,0,2023-05-24 16:03,微博网页版,"https://wx2.sinaimg.cn/large/005zwCXNly1he9j6i6xakj30j60y37fe.jpg,https://wx2.sinaimg.cn/large/005zwCXNly1he9j6kljsxj30j60y312c.jpg,https://wx2.sinaimg.cn/large/005zwCXNly1he9j6looyqj30j60y348f.jpg,https://wx2.sinaimg.cn/large/005zwCXNly1he9j6mx6vdj30j60y3qds.jpg,https://wx3.sinaimg.cn/large/005zwCXNly1he9j6tsdlyj30j60y3ak1.jpg,https://wx1.sinaimg.cn/large/005zwCXNly1he9j6v4mf0j30j60y3gv4.jpg,https://wx3.sinaimg.cn/large/005zwCXNly1he9j6whv5nj30j60y3woy.jpg,https://wx3.sinaimg.cn/large/005zwCXNly1he9j6y5opoj30j60y37f7.jpg,https://wx4.sinaimg.cn/large/005zwCXNly1he9j6zf4w4j30j60y3alo.jpg",,,,蓝V
4904903987695163,N23zEwhRx,1631905691,钮钴禄-山海,#如何让老年人摆脱养生骗局#我爸妈的钱存我名下绑我手机，然后我妈负责保管使用，主打一个互相监督,,,,如何让老年人摆脱养生骗局,0,0,0,2023-05-24 12:48,Xiaomi 12 Pro,,,,,黄V
4904896061246031,N23mS5e9h,5539777260,菏泽日报,#如何让老年人摆脱养生骗局#【#骗子讲述可乐当防癌针骗大妈21万#】去年，浙江杭州刘大妈花21万元打“防癌针”，家人发现后报警。原来，所谓“防癌药”只是可乐。因害怕出事，骗子用空针管扎了一下大妈佯装打针。最终，3人因诈骗罪分别被判刑。#冰城政法微提醒#“神医神药”才不神，骗财害人终害己！#5旬女子花21万打抗癌针竟是可乐#L中国长安网的微博视频@中国长安网,,,中国长安网,"如何让老年人摆脱养生骗局,骗子讲述可乐当防癌针骗大妈21万,冰城政法微提醒,5旬女子花21万打抗癌针竟是可乐",1,7,4,2023-05-24 12:16,iPhone客户端,,"http://f.video.weibocdn.com/o0/zU7HS3MUlx085GpcA38Y01041200a5Y00E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004181&ssig=PL2jx%2B4%2BBW&KID=unistore,video",,,蓝V
4904892554284817,N23hdhYFX,7340786255,哈尔滨政法,#如何让老年人摆脱养生骗局#【#骗子讲述可乐当防癌针骗大妈21万#】去年，浙江杭州刘大妈花21万元打“防癌针”，家人发现后报警。原来，所谓“防癌药”只是可乐。因害怕出事，骗子用空针管扎了一下大妈佯装打针。最终，3人因诈骗罪分别被判刑。#冰城政法微提醒#“神医神药”才不神，骗财害人终害己！#5旬女子花21万打抗癌针竟是可乐#L中国长安网的微博视频@中国长安网,,,中国长安网,"如何让老年人摆脱养生骗局,骗子讲述可乐当防癌针骗大妈21万,冰城政法微提醒,5旬女子花21万打抗癌针竟是可乐",0,27,21,2023-05-24 12:02,微博视频号,,"http://f.video.weibocdn.com/o0/zU7HS3MUlx085GpcA38Y01041200a5Y00E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004181&ssig=PL2jx%2B4%2BBW&KID=unistore,video",,,蓝V
