id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4729090714370990,LccMvil5Q,2141934923,孕事,#婴儿被老人穿8件衣服捂出病#【怕孩子着凉反而导致脑损伤，捂出来的病更难治！】1月5日，江苏淮安，一名11个月大的婴儿被爷爷奶奶送医，医生说孩子当时穿着8件衣服，脸上全是热疹，高烧40度，患“捂热综合征”，该病严重可致呼吸困难、脑损伤等，敲黑板啊，冬天可千万别再这样给宝宝穿衣服了！！！,,,,婴儿被老人穿8件衣服捂出病,0,0,2,2022-01-24 09:09,皮皮时光机,"https://wx2.sinaimg.cn/large/002kXl7tly8gyohodahguj60b41ve0w602.jpg,https://wx1.sinaimg.cn/large/002kXl7tly8gyohodiv5yj60b414oq5902.jpg,https://wx1.sinaimg.cn/large/002kXl7tly8gyohoefr9aj60b411yabn02.jpg,https://wx4.sinaimg.cn/large/002kXl7tly8gyohoelh8pj60b41r4n0r02.jpg,https://wx2.sinaimg.cn/large/002kXl7tly8gyohoewfzmj60b40y8q4h02.jpg,https://wx4.sinaimg.cn/large/002kXl7tly8gyohof6bt9j60b41csacy02.jpg",,,,普通用户
4592561064510684,JCPW2iVqY,2141934923,孕事,#婴儿被老人穿8件衣服捂出病#【怕孩子着凉反而导致脑损伤，捂出来的病更难治！】1月5日，江苏淮安，一名11个月大的婴儿被爷爷奶奶送医，医生说孩子当时穿着8件衣服，脸上全是热疹，高烧40度，患“捂热综合征”，该病严重可致呼吸困难、脑损伤等，敲黑板啊，冬天可千万别再这样给宝宝穿衣服了！！！,,,,婴儿被老人穿8件衣服捂出病,50,18,70,2021-01-12 15:09,皮皮时光机,"https://wx3.sinaimg.cn/large/002kXl7tly1gmkxgorcqej60b41vewi002.jpg,https://wx1.sinaimg.cn/large/002kXl7tly1gmkxgp2jscj60b414ognz02.jpg,https://wx3.sinaimg.cn/large/002kXl7tly1gmkxgpeh4bj60b411y0ud02.jpg,https://wx1.sinaimg.cn/large/002kXl7tly1gmkxgposq6j60b41r4adq02.jpg,https://wx4.sinaimg.cn/large/002kXl7tly1gmkxgpz3c6j60b40y8dhf02.jpg,https://wx4.sinaimg.cn/large/002kXl7tly1gmkxgq518dj60b41csn0402.jpg",,,,普通用户
4591479198057185,JCnN5xO2B,1681029540,新民周刊,【高烧40度，#婴儿被老人穿8件衣服捂出病#】1月5日，江苏淮安。一名11个月大的婴儿被爷爷奶奶送医。医生称孩子当时穿着8件衣服，脸上全是热疹，高烧40度，患“捂热综合征”，该病严重可致呼吸困难、脑损伤等。O高烧40℃，婴儿被老人穿8件衣服患捂热综合征L澎湃新闻的微博视频,,,,婴儿被老人穿8件衣服捂出病,2,2,4,2021-01-09 15:30,微博视频号,,"http://f.video.weibocdn.com/0010hWQYgx07Jq04UaIo01041200GT8I0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007024&ssig=AiB0lIG8j7&KID=unistore,video",,,蓝V
4591387254984320,JCloNkUEg,5323597140,单县人民检察院,【高烧40度，#婴儿被老人穿8件衣服捂出病#】1月5日，江苏淮安。一名11个月大的婴儿被爷爷奶奶送医。医生称孩子当时穿着8件衣服，脸上全是热疹，高烧40度，患“捂热综合征”，该病严重可致呼吸困难、脑损伤等。（澎湃新闻）L澎湃新闻的微博视频,,,,婴儿被老人穿8件衣服捂出病,0,0,1,2021-01-09 09:24,微博视频号,,"http://f.video.weibocdn.com/0010hWQYgx07Jq04UaIo01041200GT8I0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007024&ssig=AiB0lIG8j7&KID=unistore,video",,,蓝V
4591382415807817,JClgZomSt,3460580442,北仑检察,【高烧40度，#婴儿被老人穿8件衣服捂出病#】1月5日，江苏淮安。一名11个月大的婴儿被爷爷奶奶送医。医生称孩子当时穿着8件衣服，脸上全是热疹，高烧40度，患“捂热综合征”，该病严重可致呼吸困难、脑损伤等。L澎湃新闻的微博视频,,,,婴儿被老人穿8件衣服捂出病,0,0,0,2021-01-09 09:05,iPhone,,"http://f.video.weibocdn.com/0010hWQYgx07Jq04UaIo01041200GT8I0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007024&ssig=AiB0lIG8j7&KID=unistore,video",,,蓝V
4591347053363525,JCklXe70p,5182163938,建德检察,【高烧40度，#婴儿被老人穿8件衣服捂出病#】1月5日，江苏淮安。一名11个月大的婴儿被爷爷奶奶送医。医生称孩子当时穿着8件衣服，脸上全是热疹，高烧40度，患“捂热综合征”，该病严重可致呼吸困难、脑损伤等。L澎湃新闻的微博视频,,建德,,婴儿被老人穿8件衣服捂出病,0,2,1,2021-01-09 06:45,微博视频号,,"http://f.video.weibocdn.com/0010hWQYgx07Jq04UaIo01041200GT8I0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007024&ssig=AiB0lIG8j7&KID=unistore,video",,,蓝V
4591278119978561,JCiyLFRSx,2726417763,宋中清主任律师,育儿超话@凤凰周刊【高烧40度，#婴儿被老人穿8件衣服捂出病#】1月5日，江苏淮安。一名11个月大的婴儿被爷爷奶奶送医。医生称孩子当时穿着8件衣服，脸上全是热疹，高烧40度，患“#捂热综合征#”，该病严重可致呼吸困难、脑损伤等。L澎湃新闻的微博视频,,,凤凰周刊,"婴儿被老人穿8件衣服捂出病,捂热综合征",0,12,1,2021-01-09 02:11,育儿超话,,"http://f.video.weibocdn.com/0010hWQYgx07Jq04UaIo01041200GT8I0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007024&ssig=AiB0lIG8j7&KID=unistore,video",,,黄V
4591259752861660,JCi59c0rO,1704269380,律政动态,【高烧40度，#婴儿被老人穿8件衣服捂出病#】1月5日，江苏淮安。一名11个月大的婴儿被爷爷奶奶送医。医生称孩子当时穿着8件衣服，脸上全是热疹，高烧40度，患“捂热综合征”，该病严重可致呼吸困难、脑损伤等。L澎湃新闻的微博视频,,如皋,,婴儿被老人穿8件衣服捂出病,0,0,0,2021-01-09 00:58,华为P9手机摄影再突破,,"http://f.video.weibocdn.com/0010hWQYgx07Jq04UaIo01041200GT8I0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007024&ssig=AiB0lIG8j7&KID=unistore,video",,,黄V
4591257714168680,JCi1RhusM,1267454277,凤凰周刊,【高烧40度，#婴儿被老人穿8件衣服捂出病#】1月5日，江苏淮安。一名11个月大的婴儿被爷爷奶奶送医。医生称孩子当时穿着8件衣服，脸上全是热疹，高烧40度，患“捂热综合征”，该病严重可致呼吸困难、脑损伤等。L澎湃新闻的微博视频,,,,婴儿被老人穿8件衣服捂出病,17,33,102,2021-01-09 00:50,微博视频号,,"http://f.video.weibocdn.com/0010hWQYgx07Jq04UaIo01041200GT8I0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007027&ssig=sizCEv6%2Ffo&KID=unistore,video",,,蓝V
4591233597179101,JChoXu7BX,3567412270,抚州临川发布,【高烧40度，#婴儿被老人穿8件衣服捂出病#】1月5日，江苏淮安。一名11个月大的婴儿被爷爷奶奶送医。医生称孩子当时穿着8件衣服，脸上全是热疹，高烧40度，患“捂热综合征”，该病严重可致呼吸困难、脑损伤等。O高烧40℃，婴儿被老人穿8件衣服患捂热综合征L澎湃新闻的微博视频,,,,婴儿被老人穿8件衣服捂出病,0,0,0,2021-01-08 23:14,微博视频号,,"http://f.video.weibocdn.com/0010hWQYgx07Jq04UaIo01041200GT8I0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007027&ssig=sizCEv6%2Ffo&KID=unistore,video",,,蓝V
