id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5044945432610609,OiReDaX8B,3122799534,不忘初心的芳伶,【让爱延续！#子女免费赠送老人生前的起床器#】老人去世后，留下电动起床器，女儿：刚买回来，用了20多天。子女想免费捐赠给有需要的人，让爱延续。L小莉帮忙的微博视频,,,,子女免费赠送老人生前的起床器,0,0,0,2024-06-13 23:23,微博视频号,,"http://f.video.weibocdn.com/o0/q4M2h9oalx08fCYEt1Ve0104120044Ln0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019389&ssig=bv64ankVnG&KID=unistore,video",,,黄V
5044945429727062,OiReCEOs6,6298334076,暖新社,【让爱延续！#子女免费赠送老人生前的起床器#】老人去世后，留下电动起床器，女儿：刚买回来，用了20多天。子女想免费捐赠给有需要的人，让爱延续。L小莉帮忙的微博视频,,,,子女免费赠送老人生前的起床器,0,0,1,2024-06-13 23:23,微博视频号,,"http://f.video.weibocdn.com/o0/q4M2h9oalx08fCYEt1Ve0104120044Ln0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019389&ssig=bv64ankVnG&KID=unistore,video",,,黄V
5044945429727329,OiReCEOwp,6304954132,吃饭不吃蒜呀,【让爱延续！#子女免费赠送老人生前的起床器#】老人去世后，留下电动起床器，女儿：刚买回来，用了20多天。子女想免费捐赠给有需要的人，让爱延续。L小莉帮忙的微博视频,,,,子女免费赠送老人生前的起床器,0,0,0,2024-06-13 23:23,微博视频号,,"http://f.video.weibocdn.com/o0/q4M2h9oalx08fCYEt1Ve0104120044Ln0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019389&ssig=bv64ankVnG&KID=unistore,video",,,普通用户
5044945429727405,OiReCEOxD,6573835617,被冷风吹的发抖抖,【让爱延续！#子女免费赠送老人生前的起床器#】老人去世后，留下电动起床器，女儿：刚买回来，用了20多天。子女想免费捐赠给有需要的人，让爱延续。L小莉帮忙的微博视频,,,,子女免费赠送老人生前的起床器,0,0,0,2024-06-13 23:23,微博视频号,,"http://f.video.weibocdn.com/o0/q4M2h9oalx08fCYEt1Ve0104120044Ln0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019389&ssig=bv64ankVnG&KID=unistore,video",,,普通用户
5044945429727411,OiReCEOxJ,1995043913,婷不住啊啊啊啊啊,【让爱延续！#子女免费赠送老人生前的起床器#】老人去世后，留下电动起床器，女儿：刚买回来，用了20多天。子女想免费捐赠给有需要的人，让爱延续。L小莉帮忙的微博视频,,,,子女免费赠送老人生前的起床器,0,0,0,2024-06-13 23:23,微博视频号,,"http://f.video.weibocdn.com/o0/q4M2h9oalx08fCYEt1Ve0104120044Ln0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019389&ssig=bv64ankVnG&KID=unistore,video",,,黄V
5044945429989284,OiReCFUFu,1916135301,大辉辉922,【让爱延续！#子女免费赠送老人生前的起床器#】老人去世后，留下电动起床器，女儿：刚买回来，用了20多天。子女想免费捐赠给有需要的人，让爱延续。L小莉帮忙的微博视频,,,,子女免费赠送老人生前的起床器,0,0,0,2024-06-13 23:23,微博视频号,,"http://f.video.weibocdn.com/o0/q4M2h9oalx08fCYEt1Ve0104120044Ln0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019389&ssig=bv64ankVnG&KID=unistore,video",,,黄V
5044945431299806,OiReD5s8C,1988615757,追风的蜘蛛人,【让爱延续！#子女免费赠送老人生前的起床器#】老人去世后，留下电动起床器，女儿：刚买回来，用了20多天。子女想免费捐赠给有需要的人，让爱延续。L小莉帮忙的微博视频,,,,子女免费赠送老人生前的起床器,0,0,0,2024-06-13 23:23,微博视频号,,"http://f.video.weibocdn.com/o0/q4M2h9oalx08fCYEt1Ve0104120044Ln0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019389&ssig=bv64ankVnG&KID=unistore,video",,,黄V
5044945431299874,OiReD5s9I,5054142308,monkeycat466,【让爱延续！#子女免费赠送老人生前的起床器#】老人去世后，留下电动起床器，女儿：刚买回来，用了20多天。子女想免费捐赠给有需要的人，让爱延续。L小莉帮忙的微博视频,,,,子女免费赠送老人生前的起床器,0,0,0,2024-06-13 23:23,微博视频号,,"http://f.video.weibocdn.com/o0/q4M2h9oalx08fCYEt1Ve0104120044Ln0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019389&ssig=bv64ankVnG&KID=unistore,video",,,黄V
5044945431299964,OiReD5sba,5777653280,Do杜先生,【让爱延续！#子女免费赠送老人生前的起床器#】老人去世后，留下电动起床器，女儿：刚买回来，用了20多天。子女想免费捐赠给有需要的人，让爱延续。L小莉帮忙的微博视频,,,,子女免费赠送老人生前的起床器,0,0,0,2024-06-13 23:23,微博视频号,,"http://f.video.weibocdn.com/o0/q4M2h9oalx08fCYEt1Ve0104120044Ln0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019389&ssig=bv64ankVnG&KID=unistore,video",,,黄V
5044945431300058,OiReD5scG,7584326163,铁蛋铁老师,【让爱延续！#子女免费赠送老人生前的起床器#】老人去世后，留下电动起床器，女儿：刚买回来，用了20多天。子女想免费捐赠给有需要的人，让爱延续。L小莉帮忙的微博视频,,,,子女免费赠送老人生前的起床器,0,0,0,2024-06-13 23:23,微博 weibo.com,,"http://f.video.weibocdn.com/o0/q4M2h9oalx08fCYEt1Ve0104120044Ln0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019391&ssig=BvHKte%2Bx0w&KID=unistore,video",,,黄V
5044945431300303,OiReD5sgD,5743889559,乌贼视频,【让爱延续！#子女免费赠送老人生前的起床器#】老人去世后，留下电动起床器，女儿：刚买回来，用了20多天。子女想免费捐赠给有需要的人，让爱延续。L小莉帮忙的微博视频,,,,子女免费赠送老人生前的起床器,0,0,0,2024-06-13 23:23,微博视频号,,"http://f.video.weibocdn.com/o0/q4M2h9oalx08fCYEt1Ve0104120044Ln0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019391&ssig=BvHKte%2Bx0w&KID=unistore,video",,,普通用户
