id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4981499105903910,NycaaoLSm,2431078520,治安那些事儿,【家有老人请注意！#子女在外套装定位器仍没防住老人走失#】12月5日，江苏南京一位老人迷迷糊糊走到南京站，好心旅客以为他丢了身份证，陪他找民警办临时身份证。民警问明情况，迅速联系上了正在四处寻人的老人家属。老人子女表示，之前买了定位器装在老人常穿的羽绒服上，然而当天老人出门没穿羽绒服，还是没防住老人走失。L江苏新闻的微博视频,,,,子女在外套装定位器仍没防住老人走失,0,0,0,2023-12-21 21:30,微博视频号,,"http://f.video.weibocdn.com/o0/MPyyddwwlx08aOq2yKf601041200xANw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018036&ssig=qYvSgLE3AA&KID=unistore,video",,,普通用户
4977508424357032,NwwlAihsI,3877456382,新城法院,金周灋语超话【家有老人请注意！#子女在外套装定位器仍没防住老人走失#】12月5日，江苏南京一位老人迷迷糊糊走到南京站，好心旅客以为他丢了身份证，陪他找民警办临时身份证。民警问明情况，迅速联系上了正在四处寻人的老人家属。老人子女表示，之前买了定位器装在老人常穿的羽绒服上，然而当天老人出门没穿羽绒服，还是没防住老人走失。L江苏新闻的微博视频,,南京,,子女在外套装定位器仍没防住老人走失,0,0,0,2023-12-10 21:12,微博视频号,,"http://f.video.weibocdn.com/o0/MPyyddwwlx08aOq2yKf601041200xANw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018036&ssig=qYvSgLE3AA&KID=unistore,video",,,蓝V
4977507989980446,NwwkSFSmW,2575101417,周至法院,金周灋语超话【家有老人请注意！#子女在外套装定位器仍没防住老人走失#】12月5日，江苏南京一位老人迷迷糊糊走到南京站，好心旅客以为他丢了身份证，陪他找民警办临时身份证。民警问明情况，迅速联系上了正在四处寻人的老人家属。老人子女表示，之前买了定位器装在老人常穿的羽绒服上，然而当天老人出门没穿羽绒服，还是没防住老人走失。L江苏新闻的微博视频,,南京,,子女在外套装定位器仍没防住老人走失,0,4,1,2023-12-10 21:10,微博视频号,,"http://f.video.weibocdn.com/o0/MPyyddwwlx08aOq2yKf601041200xANw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018036&ssig=qYvSgLE3AA&KID=unistore,video",,,蓝V
4977507654701907,NwwkljJbd,5558722309,黔南检察,【家有老人请注意！#子女在外套装定位器仍没防住老人走失#】12月5日，江苏南京一位老人迷迷糊糊走到南京站，好心旅客以为他丢了身份证，陪他找民警办临时身份证。民警问明情况，迅速联系上了正在四处寻人的老人家属。老人子女表示，之前买了定位器装在老人常穿的羽绒服上，然而当天老人出门没穿羽绒服，还是没防住老人走失。L江苏新闻的微博视频,,南京,,子女在外套装定位器仍没防住老人走失,0,3,4,2023-12-10 21:09,iPhone客户端,,"http://f.video.weibocdn.com/o0/MPyyddwwlx08aOq2yKf601041200xANw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018036&ssig=qYvSgLE3AA&KID=unistore,video",,,蓝V
4977394075044802,Nwtn9lanM,3963092958,南京市数据局,【家有老人请注意！#子女在外套装定位器仍没防住老人走失#】12月5日，江苏南京一位老人迷迷糊糊走到南京站，好心旅客以为他丢了身份证，陪他找民警办临时身份证。民警问明情况，迅速联系上了正在四处寻人的老人家属。老人子女表示，之前买了定位器装在老人常穿的羽绒服上，然而当天老人出门没穿羽绒服，还是没防住老人走失。@江苏新闻L南京发布的微博视频,,,江苏新闻,子女在外套装定位器仍没防住老人走失,0,0,0,2023-12-10 13:38,微博视频号,,"http://f.video.weibocdn.com/o0/vhAlnSiTlx08aOwdzslW01041200xC4a0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018036&ssig=L9nWqUDVzQ&KID=unistore,video",,,蓝V
4977355200139022,Nwsms0Aai,1894240657,看宜兴,【家有老人请注意！#子女在外套装定位器仍没防住老人走失#】12月5日，江苏南京一位老人迷迷糊糊走到南京站，好心旅客以为他丢了身份证，陪他找民警办临时身份证。民警问明情况，迅速联系上了正在四处寻人的老人家属。老人子女表示，之前买了定位器装在老人常穿的羽绒服上，然而当天老人出门没穿羽绒服，还是没防住老人走失。L江苏新闻的微博视频（江苏新闻）,,,,子女在外套装定位器仍没防住老人走失,3,2,2,2023-12-10 11:03,微博视频号,,"http://f.video.weibocdn.com/o0/MPyyddwwlx08aOq2yKf601041200xANw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018036&ssig=qYvSgLE3AA&KID=unistore,video",,,蓝V
4977344183799189,Nws4GfWlf,5331173004,薛城区检察院,#薛检播报#【家有老人请注意！#子女在外套装定位器仍没防住老人走失#】12月5日，江苏南京一位老人迷迷糊糊走到南京站，好心旅客以为他丢了身份证，陪他找民警办临时身份证。民警问明情况，迅速联系上了正在四处寻人的老人家属。老人子女表示，之前买了定位器装在老人常穿的羽绒服上，然而当天老人出门没穿羽绒服，还是没防住老人走失。L江苏新闻的微博视频,,,,"薛检播报,子女在外套装定位器仍没防住老人走失",0,0,0,2023-12-10 10:19,微博视频号,,"http://f.video.weibocdn.com/o0/MPyyddwwlx08aOq2yKf601041200xANw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018036&ssig=qYvSgLE3AA&KID=unistore,video",,,蓝V
4977331640993436,NwrKs4ara,1301904252,江苏新闻,【家有老人请注意！#子女在外套装定位器仍没防住老人走失#】12月5日，江苏南京一位老人迷迷糊糊走到南京站，好心旅客以为他丢了身份证，陪他找民警办临时身份证。民警问明情况，迅速联系上了正在四处寻人的老人家属。老人子女表示，之前买了定位器装在老人常穿的羽绒服上，然而当天老人出门没穿羽绒服，还是没防住老人走失。L江苏新闻的微博视频,,,,子女在外套装定位器仍没防住老人走失,0,0,0,2023-12-10 09:30,微博视频号,,"http://f.video.weibocdn.com/o0/MPyyddwwlx08aOq2yKf601041200xANw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018036&ssig=qYvSgLE3AA&KID=unistore,video",,,蓝V
4977182118251164,NwnRhyCvi,1919000695,平安安州,【家有老人请注意！#子女在外套装定位器仍没防住老人走失#】12月5日，江苏南京一位老人迷迷糊糊走到南京站，好心旅客以为他丢了身份证，陪他找民警办临时身份证。民警问明情况，迅速联系上了正在四处寻人的老人家属。老人子女表示，之前买了定位器装在老人常穿的羽绒服上，然而当天老人出门没穿羽绒服，还是没防住老人走失。L江苏新闻的微博视频,,南京,,子女在外套装定位器仍没防住老人走失,0,0,0,2023-12-09 23:35,微博视频号,,"http://f.video.weibocdn.com/o0/MPyyddwwlx08aOq2yKf601041200xANw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018036&ssig=qYvSgLE3AA&KID=unistore,video",,,蓝V
4977146529841402,NwmVSFici,2111875782,南京吃喝玩乐fun,【家有老人请注意！#子女在外套装定位器仍没防住老人走失#】12月5日，江苏南京一位老人迷迷糊糊走到南京站，好心旅客以为他丢了身份证，陪他找民警办临时身份证。民警问明情况，迅速联系上了正在四处寻人的老人家属。老人子女表示，之前买了定位器装在老人常穿的羽绒服上，然而当天老人出门没穿羽绒服，还是没防住老人走失。L江苏新闻的微博视频,,南京,,子女在外套装定位器仍没防住老人走失,0,0,0,2023-12-09 21:14,iPhone客户端,,"http://f.video.weibocdn.com/o0/MPyyddwwlx08aOq2yKf601041200xANw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018038&ssig=8Cmh2WqPef&KID=unistore,video",,,黄V
