id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4823527955895775,M9S4joJL9,2851882493,·玊昱·,"宝子#常回家看看-陈红#@摇摇七喜#世界那么大,常回家看看##别爱得太迟,常回家看看##常回家看看对父母有多重要##常回家看看是法律规定##子女常回家看看对空巢老人有多重要#",,,,"世界那么大,常回家看看,别爱得太迟,常回家看看,常回家看看对父母有多重要,常回家看看是法律规定,子女常回家看看对空巢老人有多重要",0,0,0,2022-10-11 23:29,,,,,北京,普通用户
4817497533187997,M7lbPdnlj,6457450064,峰恋娟20160222,情感超话趁父母健在，常回家看看。陪伴是对父母最好的报答与爱，别让这份报答与爱来的太晚，现在就回家陪陪父母吧！#常回家看看多陪陪父母老人##你有多年后才释怀的事吗##子女常回家看看对空巢老人有多重要#L黑夜守望者2015的微博视频,,,,"常回家看看多陪陪父母老人,你有多年后才释怀的事吗,子女常回家看看对空巢老人有多重要",0,5,4,2022-09-25 08:06,情感超话,,"http://f.video.weibocdn.com/o0/HCf06AYklx07ZtfrHuDC01041200kGF40E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1727273141&ssig=HXnaVI8qeH&KID=unistore,video",,山东,黄V
4817347933903593,M7hixgnvb,5399156455,黑夜守望者2015,农村，家门口，老人与小狗。老人与狗从无语，曳杖徐行陌上来。农村渐渐冷清，父母慢慢变老。别让冷清的农村孤独了变老的父母。他养你长大，你陪他变老。子欲养而亲健在，有种牵挂叫做家。趁父母健在，常回家看看。陪伴是对父母最好的报答与爱，别让这份报答与爱来的太晚，现在就回家陪陪父母吧！#常回家看看多陪陪父母老人##总喜欢半夜找主人玩的狗狗##周围的人突然都结婚了#L黑夜守望者2015的微博视频,,,,"常回家看看多陪陪父母老人,总喜欢半夜找主人玩的狗狗,周围的人突然都结婚了",52,51,13,2022-09-24 22:11,黑夜守望者2015超话,,"http://f.video.weibocdn.com/o0/HCf06AYklx07ZtfrHuDC01041200kGF40E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1727273141&ssig=HXnaVI8qeH&KID=unistore,video",,,
4817362554981556,M7hG7kTVG,6455959589,炳秀健康,农村渐渐冷清，父母慢慢变老。别让冷清的农村孤独了变老的父母。他养你长大，你陪他变老。子欲养而亲健在，有种牵挂叫做家#常回家看看多陪陪父母老人##子女常回家看看对空巢老人有多重要#,,,,"常回家看看多陪陪父母老人,子女常回家看看对空巢老人有多重要",0,0,13,2022-09-24 23:09,全国征兵超话,,,4817347933903593,山东,黄V
4747209944597963,LjO94ji8H,2391034831,追星少女张小寒,#子女常回家看看对空巢老人有多重要#工作再忙也要记得常回家看看，不要让远在家乡的亲人等太久哦～#陪你一起好好吃饭#L郑湫泓Jade的微博视频,,,,"子女常回家看看对空巢老人有多重要,陪你一起好好吃饭",0,0,0,2022-03-15 09:08,iPhone客户端,,"http://f.video.weibocdn.com/o0/Ni5M3devlx07UjMmZsrS01041200m86z0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1727273141&ssig=fMBCaUI2iB&KID=unistore,video",,,黄V
4747207746258345,LjO5wqg53,2308285471,星有剧,#子女常回家看看对空巢老人有多重要#要是没有可岚说出实情，赵孃孃对女儿的思念又不知道要隐藏到什么时候了，赵孃孃还是要多向女儿说说自己的心声呀，不要觉得女儿会嫌麻烦，哪有女儿见妈妈会觉得麻烦的呢～#陪你一起好好吃饭#,,,,"子女常回家看看对空巢老人有多重要,陪你一起好好吃饭",0,0,0,2022-03-15 08:59,iPhone客户端,"https://wx3.sinaimg.cn/large/87a071bdly1h02jl3iwgoj20yz118kih.jpg,https://wx2.sinaimg.cn/large/87a071bdly1h02jl4g1tgj20yy1ddb29.jpg,https://wx2.sinaimg.cn/large/87a071bdly1h02jl5rendj20yy1e9b29.jpg,https://wx1.sinaimg.cn/large/87a071bdly1h02jl7b3t3j20yy1at7wh.jpg,https://wx4.sinaimg.cn/large/87a071bdly1h02jl93l8tj20go0gdds1.jpg,https://wx2.sinaimg.cn/large/87a071bdly1h02jlawr73j20yt13d1kx.jpg,https://wx1.sinaimg.cn/large/87a071bdly1h02jlc7wnrj20yz14y7wh.jpg,https://wx3.sinaimg.cn/large/87a071bdly1h02jl2bu8vj20yy12yb29.jpg,https://wx2.sinaimg.cn/large/87a071bdly1h02jldecc7j20yz1nenpd.jpg",,,,黄V
4745444187703897,Lj4d4wk8p,5774371225,娱小鱼在线,#陪你一起好好吃饭##子女常回家看看对空巢老人有多重要#所以不管工作再忙，也不要忘记常回家陪陪父母呀。,,,,"陪你一起好好吃饭,子女常回家看看对空巢老人有多重要",0,1,0,2022-03-10 12:12,即刻笔记,,,,,黄V
4744860109641458,LiP10Esbo,5453887547,库里南骑瑞虎,#子女常回家看看对空巢老人有多重要#父母就是这样，一心一意的为孩子着想，他们不想成为孩子的负担，有问题也只是报喜不报忧，我们能做的只有常回家看看#陪你一起好好吃饭#,,,,"子女常回家看看对空巢老人有多重要,陪你一起好好吃饭",0,0,0,2022-03-08 21:31,微博极速版,"https://wx4.sinaimg.cn/large/005X5Xibly1h02l9lr8paj30u00u0goj.jpg,https://wx4.sinaimg.cn/large/005X5Xibly1h02l9m7bj1j30u00vx0xs.jpg,https://wx2.sinaimg.cn/large/005X5Xibly1h02l9mitwoj30u00u0wgx.jpg",,,,普通用户
4744849989042641,LiOKGBWp3,2610923087,全球最好看的电影,#子女常回家看看对空巢老人有多重要#赵嬢嬢因为女儿常年在外，不能回家看望自己而伤心想不开，在被余昊@高瀚宇KD和可岚@郑湫泓Jade救起后，赵嬢嬢向两人吐露出自己的心声。即便工作再忙，也不要忘记去多多探望远在家乡的亲人～你有常回家看看吗？#陪你一起好好吃饭#L微博电视剧的微博视频,,,"高瀚宇KD,郑湫泓Jade","子女常回家看看对空巢老人有多重要,陪你一起好好吃饭",0,0,0,2022-03-08 20:50,微博视频号,,"http://f.video.weibocdn.com/o0/MThB2PYklx07Ujss2qJO01041200jNGG0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1727273141&ssig=0BAFvO7JbG&KID=unistore,video",,,黄V
4744825926847991,LiO7SsJtt,7687669523,红色斯斯,#子女常回家看看对空巢老人有多重要#看到赵嬢嬢，我觉得子女对父母的陪伴真的很重要。不过幸好余昊救了赵嬢嬢#陪你一起好好吃饭#,,,,"子女常回家看看对空巢老人有多重要,陪你一起好好吃饭",0,0,0,2022-03-08 19:15,iPhone客户端,"https://wx3.sinaimg.cn/large/008ogG1Jly1h02oubr669j30u00vxdkv.jpg,https://wx2.sinaimg.cn/large/008ogG1Jly1h02oubkhf4j30go0gdac8.jpg,https://wx2.sinaimg.cn/large/008ogG1Jly1h02ouc2yibj30u00z4tfa.jpg",,,,普通用户
