id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4620975251914998,K8NF382b4,5662419358,兔子奶糖DAYTOY,#孤残老人暖心餐#我在“孤残老人暖心餐”项目捐款成功！希望我小小的力量和@Lemon香香香蕉呐一起，在大大的世界里温暖更多人。@北京扶老助残基金会孤残老人暖心餐,,,"Lemon香香香蕉呐,北京扶老助残基金会",孤残老人暖心餐,0,0,1,2021-04-01 00:56,微公益,,,,,普通用户
4620260239999856,K8v3NFXq0,5509578908,aiqihunqiya,#孤残老人暖心餐#予人为乐，与己而乐。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-30 01:35,微公益,,,,,普通用户
4619775382653551,K8irMb8jd,2626340691,52赫兹x,#孤残老人暖心餐#赠人玫瑰，手有余香。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-28 17:29,微公益,,,,,普通用户
4619013839650956,K7YDtEuEA,1428874563,半翅鸟,#孤残老人暖心餐#与爱同路，让爱回家。我在“孤残老人暖心餐”项目捐款成功！愿我和@一身矫情味的小仙女一起放大爱的力量！@北京扶老助残基金会孤残老人暖心餐,,,"一身矫情味的小仙女,北京扶老助残基金会",孤残老人暖心餐,0,0,0,2021-03-26 15:02,微公益,,,,,普通用户
4618904607918509,K7VNixdXT,7335664748,战·舞儿,#孤残老人暖心餐#予人为乐，与己而乐。我在“孤残老人暖心餐”项目捐款成功！让我与@一身矫情味的小仙女一道成为传递爱与快乐的使者。@北京扶老助残基金会孤残老人暖心餐,,,"一身矫情味的小仙女,北京扶老助残基金会",孤残老人暖心餐,0,0,0,2021-03-26 07:48,微公益,,,,,普通用户
4618497080688673,K7Lc02T9D,7398684073,酷盖Wyb平安喜乐,#孤残老人暖心餐#与爱同路，让爱回家。我在“孤残老人暖心餐”项目捐款成功！愿我和@北京扶老助残基金会一起放大爱的力量！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-25 04:49,微公益,,,,,黄V
4616885972504725,K75hravAN,2568188525,莉子先生,#孤残老人暖心餐#希望在大大的世界里，付出一点点温暖。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-20 18:07,微公益,,,,,普通用户
4616819506417185,K73yeqVoZ,7535024878,取什么名字能让战哥看到我,#孤残老人暖心餐#为爱前行，我一直在路上。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-20 13:43,微公益,,,,,普通用户
4616776517684780,K72qTwfa4,6910119430,你你你你你别哭啊,#孤残老人暖心餐#希望在大大的世界里，付出一点点温暖。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-20 10:52,微公益,,,,,黄V
4615643704070174,K6yXMh4PY,5533996029,szxj-123,#孤残老人暖心餐#希望在大大的世界里，付出一点点温暖。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-17 07:51,微公益,,,,,普通用户
4615281400613759,K6pxq2zFl,3887775164,静静的夏Katrina_518,#孤残老人暖心餐#赠人玫瑰，手有余香。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,1,2021-03-16 07:51,微公益,,,,,普通用户
4614562958019685,K66QDxEhL,2479968344,陈志娴7,#孤残老人暖心餐#涓滴之水成海洋，颗颗爱心变希望。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-14 08:16,微公益,,,,,普通用户
4614045388507946,K5TnQzHiW,6303718052,六月一路繁花,#孤残老人暖心餐#我在“孤残老人暖心餐”项目捐款成功！希望我小小的力量和@Lemon香香香蕉呐一起，在大大的世界里温暖更多人。@北京扶老助残基金会孤残老人暖心餐,,,"Lemon香香香蕉呐,北京扶老助残基金会",孤残老人暖心餐,0,0,0,2021-03-12 22:00,微公益,,,,,黄V
4613805936214781,K5N9Dq4Kp,7349642981,域名大大,#孤残老人暖心餐#公益无大小，行动即榜样！和我一起支持“孤残老人暖心餐”项目！孤残老人暖心餐,,,,孤残老人暖心餐,0,0,0,2021-03-12 06:08,,,,,,普通用户
4613263460927422,K5z2G3Tgq,6470309057,simply_mirage,#孤残老人暖心餐#赠人玫瑰，手有余香。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-10 18:13,微公益,,,,,普通用户
4612978508565966,K5rD4zWoK,7335664748,战·舞儿,#孤残老人暖心餐#予人为乐，与己而乐。我在“孤残老人暖心餐”项目捐款成功！让我与@一身矫情味的小仙女一道成为传递爱与快乐的使者。@北京扶老助残基金会孤残老人暖心餐,,,"一身矫情味的小仙女,北京扶老助残基金会",孤残老人暖心餐,0,0,0,2021-03-09 23:20,微公益,,,,,普通用户
4612961174293099,K5rb7i0Px,6137441748,荔枝味小玫瑰,#孤残老人暖心餐#赠人玫瑰，手有余香。我在“孤残老人暖心餐”项目开通月捐！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-09 22:11,微公益,,,,,普通用户
4612748824545383,K5lECj4sD,3837442066,W球球_啵,#孤残老人暖心餐#涓滴之水成海洋，我在“孤残老人暖心餐”项目捐款成功！携手@北京扶老助残基金会，凝聚颗颗爱心点燃更多希望。@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-09 08:08,微公益,,,,,普通用户
4610923895455933,K4AbbmTkV,1701637214,霖小馆,#孤残老人暖心餐#小善意，大温暖。我在“孤残老人暖心餐”项目捐款成功！愿点滴之举温暖更多心灵。@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,1,0,2021-03-04 07:16,微公益,,,,,普通用户
4610557716727178,K4qEzse2S,3887775164,静静的夏Katrina_518,#孤残老人暖心餐#希望在大大的世界里，付出一点点温暖。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-03 07:01,微公益,,,,,普通用户
4610374295356176,K4lSJmtnW,2568188525,莉子先生,#孤残老人暖心餐#小善意，大温暖。我在“孤残老人暖心餐”项目捐款成功！愿点滴之举温暖更多心灵。@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-02 18:52,微公益,,,,,普通用户
4609887302844875,K49dgbW55,5192149579,涧溪水流竹丛生,#孤残老人暖心餐#涓滴之水成海洋，颗颗爱心变希望。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-01 10:37,微公益,,,,,普通用户
4609887202708174,K49d6bmwe,5192149579,涧溪水流竹丛生,#孤残老人暖心餐#小善意，大温暖。我在“孤残老人暖心餐”项目开通月捐！愿点滴之举温暖更多心灵。@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-03-01 10:36,微公益,,,,,普通用户
4609574755634735,K4159nDQP,5608412883,开心鸿源,#孤残老人暖心餐#我发起和“开心鸿源”一起捐，请大家和我一起支持@北京扶老助残基金会助力公益，让我们从现在开始！孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-02-28 13:55,HUAWEI P30 Pro,,,,,黄V
4609342404041305,K3V2ogXkl,7309030803,爱做梦的考拉lala,#孤残老人暖心餐#希望在大大的世界里，付出一点点温暖。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-02-27 22:32,微公益,,,,,普通用户
4609298045341368,K3TSQmpx6,5634220981,一只行走的蛋黄派,#孤残老人暖心餐#赠人玫瑰，手有余香。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-02-27 19:35,微公益,,,,,普通用户
4609189043244250,K3R32dBYC,7430620649,再生繁华大道,#孤残老人暖心餐#予人为乐，与己而乐。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-02-27 12:22,微公益,,,,,普通用户
4609006901398685,K3Mjg5RRr,6659888115,Youyoki,#孤残老人暖心餐#赠人玫瑰，手有余香。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-02-27 00:18,微公益,,,,,普通用户
4607542976584972,K3ae5rD3e,2593958393,荷遇青絲時,#孤残老人暖心餐#希望在大大的世界里，付出一点点温暖。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-02-22 23:21,微公益,,,,,普通用户
4606801527704394,K2QWcwkgq,7349642981,域名大大,#孤残老人暖心餐#公益无大小，行动即榜样！和我一起支持“孤残老人暖心餐”项目！孤残老人暖心餐,,,,孤残老人暖心餐,0,0,0,2021-02-20 22:15,,,,,,普通用户
4606686050387110,K2NVX1CHI,6618918397,黑蟹凯儿,#孤残老人暖心餐#赠人玫瑰，手有余香。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-02-20 14:36,微公益,,,,,普通用户
4606427727668578,K2HdiwaWK,7138919707,任嘉伦de芝芝,#孤残老人暖心餐#赠人玫瑰，手有余香。我在“孤残老人暖心餐”项目捐款成功！愿我和@自我效能班杜拉让爱心传递。@北京扶老助残基金会孤残老人暖心餐,,,"自我效能班杜拉,北京扶老助残基金会",孤残老人暖心餐,0,0,0,2021-02-19 21:30,微公益,,,,,普通用户
4605636191198618,K2mCD51Oy,7349642981,域名大大,#孤残老人暖心餐#公益无大小，行动即榜样！和我一起支持“孤残老人暖心餐”项目！孤残老人暖心餐,,,,孤残老人暖心餐,0,0,0,2021-02-17 17:04,,,,,,普通用户
4605531098191944,K2jT7yn68,5829203806,静雅199506,#孤残老人暖心餐#为爱前行，我一直在路上。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-02-17 10:07,微公益,,,,,普通用户
4605208057613214,K2bu5vWxM,7479845959,bjyx铭,#孤残老人暖心餐#予人为乐，与己而乐。我在“孤残老人暖心餐”项目捐款成功！让我与@一身矫情味的小仙女一道成为传递爱与快乐的使者。@北京扶老助残基金会孤残老人暖心餐,,,"一身矫情味的小仙女,北京扶老助残基金会",孤残老人暖心餐,0,0,0,2021-02-16 12:43,微公益,,,,,普通用户
4603564259036888,K1uINBUUg,3887775164,静静的夏Katrina_518,#孤残老人暖心餐#为爱前行，我一直在路上。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-02-11 23:51,微公益,,,,,普通用户
4601982913876697,K0PAfggvn,7005400254,薔子薇Lynn,#孤残老人暖心餐#赠人玫瑰，手有余香。我在“孤残老人暖心餐”项目捐款成功！@北京扶老助残基金会孤残老人暖心餐,,,北京扶老助残基金会,孤残老人暖心餐,0,0,0,2021-02-07 15:08,微公益,,,,,普通用户
