id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5018355771901249,O7Hw57YBj,7760052289,莱州融媒,#宁波一乡镇为80周岁以上独居老人同庆生日#3月29日，宁波镇海，吃蛋糕、看表演、聊家常，乡镇为80周岁以上独居老人同庆生日，年龄最大的92周岁（宁聚）L宁波倪少的微博视频,,,,宁波一乡镇为80周岁以上独居老人同庆生日,1,0,1,2024-04-01 14:25,微博视频号,,"http://f.video.weibocdn.com/o0/Ko3NM43mlx08dJRUAWsU01041200bTCe0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021508&ssig=t2lG%2B6a4za&KID=unistore,video",,,蓝V
5018346466837531,O7Hh4sGKL,1787538763,宁波同城会,#宁波一乡镇为80周岁以上独居老人同庆生日#暖心,,,,宁波一乡镇为80周岁以上独居老人同庆生日,0,0,0,2024-04-01 13:48,宁波爆料超话,,,,浙江,普通用户
5018346447180613,O7Hh2u80l,1787538763,宁波同城会,#宁波一乡镇为80周岁以上独居老人同庆生日#哇塞🤩,,,,宁波一乡镇为80周岁以上独居老人同庆生日,0,0,0,2024-04-01 13:48,宁波爆料超话,,,,浙江,普通用户
5018346416508064,O7HgZrj2M,3206074957,心动宁波,#宁波一乡镇为80周岁以上独居老人同庆生日#点个赞,,,,宁波一乡镇为80周岁以上独居老人同庆生日,0,0,0,2024-04-01 13:48,宁波爆料超话,,,,浙江,黄V
5018346401825325,O7HgY7EQJ,3206074957,心动宁波,#宁波一乡镇为80周岁以上独居老人同庆生日#收到,,,,宁波一乡镇为80周岁以上独居老人同庆生日,0,0,0,2024-04-01 13:48,宁波爆料超话,,,,浙江,黄V
5018346382951189,O7HgWcnJP,3206074957,心动宁波,#宁波一乡镇为80周岁以上独居老人同庆生日#好的,,,,宁波一乡镇为80周岁以上独居老人同庆生日,0,0,0,2024-04-01 13:47,宁波爆料超话,,,,浙江,黄V
5018346319774741,O7HgPF0R7,7290715536,旅游导刊,#宁波一乡镇为80周岁以上独居老人同庆生日#3月29日，宁波镇海，吃蛋糕、看表演、聊家常，乡镇为80周岁以上独居老人同庆生日，年龄最大的92周岁（宁聚）L宁波倪少的微博视频,,,,宁波一乡镇为80周岁以上独居老人同庆生日,0,0,0,2024-04-01 13:47,旅游导刊超话,,"http://f.video.weibocdn.com/o0/Ko3NM43mlx08dJRUAWsU01041200bTCe0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021508&ssig=t2lG%2B6a4za&KID=unistore,video",,,蓝V
5018346272326756,O7HgL9Lik,7127227661,昊凡视频,#宁波一乡镇为80周岁以上独居老人同庆生日#3月29日，宁波镇海，吃蛋糕、看表演、聊家常，乡镇为80周岁以上独居老人同庆生日，年龄最大的92周岁（宁聚）L宁波倪少的微博视频,,,,宁波一乡镇为80周岁以上独居老人同庆生日,0,0,0,2024-04-01 13:47,微博视频号,,"http://f.video.weibocdn.com/o0/Ko3NM43mlx08dJRUAWsU01041200bTCe0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021508&ssig=t2lG%2B6a4za&KID=unistore,video",,浙江,蓝V
5018346271279575,O7HgL5mSj,6611749026,宁波潮生活,#宁波一乡镇为80周岁以上独居老人同庆生日#3月29日，宁波镇海，吃蛋糕、看表演、聊家常，乡镇为80周岁以上独居老人同庆生日，年龄最大的92周岁（宁聚）L宁波倪少的微博视频,,,,宁波一乡镇为80周岁以上独居老人同庆生日,0,0,0,2024-04-01 13:47,微博视频号,,"http://f.video.weibocdn.com/o0/Ko3NM43mlx08dJRUAWsU01041200bTCe0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021508&ssig=t2lG%2B6a4za&KID=unistore,video",,浙江,黄V
5018346271539320,O7HgL6srK,1686241575,宁波租房在线,#宁波一乡镇为80周岁以上独居老人同庆生日#3月29日，宁波镇海，吃蛋糕、看表演、聊家常，乡镇为80周岁以上独居老人同庆生日，年龄最大的92周岁（宁聚）L宁波倪少的微博视频,,,,宁波一乡镇为80周岁以上独居老人同庆生日,0,0,0,2024-04-01 13:47,微博视频号,,"http://f.video.weibocdn.com/o0/Ko3NM43mlx08dJRUAWsU01041200bTCe0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021508&ssig=t2lG%2B6a4za&KID=unistore,video",,浙江,黄V
