id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4761951056692583,LpZD3s52T,6655098813,懒得思考叫啥名,#安溪教育局回应学生殴打流浪老人#结束了？@央视新闻这就是我们的新一代？批评完事了？,,,央视新闻,安溪教育局回应学生殴打流浪老人,0,0,0,2022-04-25 01:24,HUAWEI Mate 40 Pro,,,,,普通用户
4761403964001149,LpLoEgMSF,7475307216,Mutaaaaaa,#安溪教育局回应学生殴打流浪老人#呃呃呃服了尊滴服了,,,,安溪教育局回应学生殴打流浪老人,0,0,0,2022-04-23 13:10,OPPO R9s,,,,,普通用户
4760479308186570,LpnlgylHs,5664297830,茉莉烏龍喝开水,#安溪教育局回应学生殴打流浪老人#😅😅😅安溪怎么还有这种畜牲,,,,安溪教育局回应学生殴打流浪老人,0,3,1,2022-04-20 23:56,vivo手机,,,,,普通用户
4760472781852273,LpnaK7LRn,7620925539,Imreadyforu,#安溪教育局回应学生殴打流浪老人#安溪渣滓太多了,,,,安溪教育局回应学生殴打流浪老人,0,2,1,2022-04-20 23:30,微博网页版,,,,,普通用户
4760330146677992,LpjsGs1fy,5431849111,想吃你的胭脂,#安溪教育局回应学生殴打流浪老人#未成年保护法，保护了一群这样的未成年去欺凌霸凌??,,,,安溪教育局回应学生殴打流浪老人,0,0,0,2022-04-20 14:03,vivo X50专业影像旗舰,,,,,普通用户
4760230279512929,LpgRBDUKl,3821861152,MingZhC,【福建#安溪教育局回应学生殴打流浪老人#：已对其批评教育】据@奇点财经报道：近日，福建安溪。网传一男孩用棍子殴打流浪老人的视频引起网友热议。画面显示，男孩多次拿棍子殴打老人，老人被打倒地。安溪县教育局工作人员称，网传是之前的视频了，事发之后公安和学校已经对孩子进行了批评教育，目前，该老人身体状况正常。L奇点财经的微博视频,,,奇点财经,安溪教育局回应学生殴打流浪老人,4,14,35,2022-04-20 07:26,微博视频号,,"http://f.video.weibocdn.com/o0/IAOxf02xlx07Vnva9e0M01041200dONS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725528298&ssig=vrpJxCVX1D&KID=unistore,video",,,黄V
4760210290508393,Lpgln28fT,7739844108,你的修勾上线了,#安溪教育局回应学生殴打流浪老人#还他妈学生没被打过是吧,,,,安溪教育局回应学生殴打流浪老人,0,0,0,2022-04-20 06:07,iPhone客户端,,,,,普通用户
4760106421456905,LpdDQ670t,5026307942,JeffSHIM,#安溪教育局回应学生殴打流浪老人#惩戒不到位，就是变相纵容。,,,,安溪教育局回应学生殴打流浪老人,0,0,0,2022-04-19 23:14,iPhone XR(蓝色),,,,,普通用户
4760087678423752,Lpd9BzloY,1558725752,长春太威武,【福建#安溪教育局回应学生殴打流浪老人#：已对其批评教育】据@奇点财经报道：近日，福建安溪。网传一男孩用棍子殴打流浪老人的视频引起网友热议。画面显示，男孩多次拿棍子殴打老人，老人被打倒地。安溪县教育局工作人员称，网传是之前的视频了，事发之后公安和学校已经对孩子进行了批评教育，目前，该老人身体状况正常。L奇点财经的微博视频,,,奇点财经,安溪教育局回应学生殴打流浪老人,0,2,2,2022-04-19 22:00,微博视频号,,"http://f.video.weibocdn.com/o0/IAOxf02xlx07Vnva9e0M01041200dONS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725528298&ssig=vrpJxCVX1D&KID=unistore,video",,,黄V
4760085774206054,Lpd6xhEbA,5251738988,鸢丶布偶,#安溪教育局回应学生殴打流浪老人#批评教育？我现在只想知道老人是否有受伤？是否有把老人送到医院检查？不指望这些社会渣滓能学会做人。掏钱赔钱总会吧。,,,,安溪教育局回应学生殴打流浪老人,0,2,7,2022-04-19 21:52,荣耀20 PRO,,,,,普通用户
4760064521407987,Lpcyg5Uht,6071818426,CIAmrcc,#安溪教育局回应学生殴打流浪老人#建议判死刑,,,,安溪教育局回应学生殴打流浪老人,0,0,3,2022-04-19 20:28,iPhone客户端,,,,,普通用户
4760062830320380,Lpcvx1llq,7200968680,阿夏黎黎,#安溪教育局回应学生殴打流浪老人#这不就是故意伤害罪嘛？？？！！！为什么就只有批评教育啊,,,,安溪教育局回应学生殴打流浪老人,0,0,3,2022-04-19 20:21,Redmi K20 Pro 尊享版,,,,,普通用户
4760049832431035,Lpcazacqf,2939880921,改个什么名字好_,#安溪教育局回应学生殴打流浪老人#古人有云：己所不欲勿施于人既然这么喜欢打，这边建议把老人身上的伤在他自己身上打一遍呢,,,,安溪教育局回应学生殴打流浪老人,0,1,4,2022-04-19 19:29,HUAWEI P20 Pro,,,,,黄V
4760041994060465,LpbXVh2jn,5673003028,榆林321,#安溪教育局回应学生殴打流浪老人#他是连教养都没有吧,,,,安溪教育局回应学生殴打流浪老人,0,0,2,2022-04-19 18:58,vivo Y51s 5G,,,,,普通用户
4760020698794267,LpbpzATN1,6388812168,枇杷叶去哪儿了,#安溪教育局回应学生殴打流浪老人#没打死都不算事儿是吧？我看他牛的很，一口一句wcnm。没能力反手的老人成了这渣崽的泄愤目标，真是令人胆战心惊。,,,,安溪教育局回应学生殴打流浪老人,0,0,8,2022-04-19 17:33,,,,,,普通用户
4759736438754802,Lp415AJwu,2248834985,四川魏静,【福建#安溪教育局回应学生殴打流浪老人#：已对其批评教育】据奇点财经报道：近日，福建安溪。网传一男孩用棍子殴打流浪老人的视频引起网友热议。画面显示，男孩多次拿棍子殴打老人，老人被打倒地。安溪县教育局工作人员称，网传是之前的视频了，事发之后公安和学校已经对孩子进行了批评教育，目前，该老人身体状况正常。L奇点财经的微博视频,,,,安溪教育局回应学生殴打流浪老人,5,12,13,2022-04-18 22:44,iPad Pro,,"http://f.video.weibocdn.com/o0/IAOxf02xlx07Vnva9e0M01041200dONS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725528300&ssig=onXnWpyN1Z&KID=unistore,video",,,
4759985962352921,Lpavy9S6l,6555663972,E电园小编,#安溪教育局回应学生殴打流浪老人#仅仅是批评教育恐怕是不够…,,,,安溪教育局回应学生殴打流浪老人,1,0,13,2022-04-19 15:15,微博 weibo.com,,,4759736438754802,,黄V
4759948979865651,Lp9xTFovp,1723653505,楚流相88白,#安溪教育局回应学生殴打流浪老人##反向背调能倒逼职场改变吗#哎，好的公司还是太少啊？好的环境也不容易啊？,,泉州,,"安溪教育局回应学生殴打流浪老人,反向背调能倒逼职场改变吗",0,0,0,2022-04-19 12:48,小米MIX2S 全面屏,https://wx4.sinaimg.cn/large/66bcdd81gy1h1exn7si0ij20u01o0ngi.jpg,,,,普通用户
4759942467160745,Lp9nou2PT,1838804380,唐初,#安溪教育局回应学生殴打流浪老人#我真的看的很火大气不打一处来，小小年纪就这么坏这不得抓起来严惩,,,,安溪教育局回应学生殴打流浪老人,0,0,0,2022-04-19 12:23,iPhone 12,,,,,黄V
4759919062418895,Lp8LEa9gr,2104693617,二三里资讯,【#教育局回应学生用棍棒殴打流浪老人#：已对其进行批评教育】近日，福建安溪。网传一男孩用棍子殴打流浪老人的视频引起网友热议，画面显示，男孩多次拿棍子殴打老人，老人被打倒地。安溪县教育局工作人员称，网传是之前的视频，事发之后公安和学校已经对孩子进行了批评教育，目前，该老人身体状况正常。#安溪教育局回应学生殴打流浪老人#L二三里资讯的微博视频,,泉州,,"教育局回应学生用棍棒殴打流浪老人,安溪教育局回应学生殴打流浪老人",0,1,3,2022-04-19 10:50,微博视频号,,"http://f.video.weibocdn.com/o0/BNCgmfPPlx07VotSyR4Q01041200401Q0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725528302&ssig=x106FgckrR&KID=unistore,video",,,蓝V
4759912728760145,Lp8BqAKUF,1233435127,hahaha0000000000,我分享了话题#安溪教育局回应学生殴打流浪老人#,,,,安溪教育局回应学生殴打流浪老人,0,0,0,2022-04-19 10:24,微博搜索,,,,,普通用户
4759898858979908,Lp8f3BG5e,3238607927,泉州热门,【福建#安溪教育局回应学生殴打流浪老人#：已对其批评教育】据@奇点财经报道：近日，福建安溪。网传一男孩用棍子殴打流浪老人的视频引起网友热议。画面显示，男孩多次拿棍子殴打老人，老人被打倒地。安溪县教育局工作人员称，网传是之前的视频了，事发之后公安和学校已经对孩子进行了批评教育，目前，该老人身体状况正常。L奇点财经的微博视频,,,奇点财经,安溪教育局回应学生殴打流浪老人,0,0,3,2022-04-19 09:29,微博视频号,,"http://f.video.weibocdn.com/o0/IAOxf02xlx07Vnva9e0M01041200dONS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725528302&ssig=z2rcevbZIj&KID=unistore,video",,,黄V
4759880018169294,Lp7KFyhcO,1357019413,橄榄88888888,//@泰国暹罗飞鸟:#安溪教育局回应学生殴打流浪老人#批评教育,,,泰国暹罗飞鸟,安溪教育局回应学生殴打流浪老人,0,0,0,2022-04-19 08:14,iPhone客户端,,,,,普通用户
4759872066027659,Lp7xQpi4j,6979808407,好噢0_o,#安溪教育局回应学生殴打流浪老人#畜生就是畜生,,,,安溪教育局回应学生殴打流浪老人,0,3,10,2022-04-19 07:43,说废话专用机,,,,,普通用户
4759725491621392,Lp3Jr6NNu,7511148139,凔海之泪,#安溪教育局回应学生殴打流浪老人#孩子所在学校、家庭及孩子本人都值得深思……L奇点财经的微博视频,,,,安溪教育局回应学生殴打流浪老人,9,7,18,2022-04-18 22:00,微博视频号,,"http://f.video.weibocdn.com/o0/IAOxf02xlx07Vnva9e0M01041200dONS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725528304&ssig=%2FTkv3SXmZm&KID=unistore,video",,,
