id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4575197833204059,JvyePdrwn,6619289680,定西交通广播,【#官方通报老人交医保被拒收现金#：已上门为老人办理】11月23日，网曝湖北宜昌一位#老人冒雨用现金交医保被拒#，工作人员称“不收现金，要么叫亲戚，要么你自己在手机上支付”。11月24日，@秭归发布通报：事发后，相关部门工作人员上门为老人办理了居民医保。（梨视频）L一手Video的秒拍视频,,,秭归发布,"官方通报老人交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,0,2020-11-25 17:13,微博视频号,,"http://miaopai.video.weibocdn.com/DasM4Ciglx07IfG7GLLa0104120097xH0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985459&ssig=6A8YIqSvf8&KID=unistore,video",,,蓝V
4574935412642492,Jvrpzb5qQ,2637745350,胡芳芳LucyHu,【#官方通报老人交医保被拒收现金#：已上门为老人办理】11月23日，网曝湖北宜昌一位#老人冒雨用现金交医保被拒#，工作人员称“不收现金，要么叫亲戚，要么你自己在手机上支付”#职业体验师##lucyhu的问答##lucyhu#,,,,"官方通报老人交医保被拒收现金,老人冒雨用现金交医保被拒,职业体验师,lucy hu的问答,lucy hu",0,0,0,2020-11-24 23:51,,,,,,普通用户
4574885067892287,Jvq6mx78X,5194102821,河口检察,#河检君分享#【#官方通报老人交医保被拒收现金#：已上门为老人办理】11月23日，网曝湖北宜昌一位#老人冒雨用现金交医保被拒#，工作人员称“不收现金，要么叫亲戚，要么你自己在手机上支付”。11月24日，@秭归发布通报：事发后，相关部门工作人员上门为老人办理了居民医保。L一手Video的秒拍视频,,,秭归发布,"河检君分享,官方通报老人交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,0,2020-11-24 20:31,微博视频号,,"http://miaopai.video.weibocdn.com/DasM4Ciglx07IfG7GLLa0104120097xH0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985459&ssig=6A8YIqSvf8&KID=unistore,video",,,蓝V
4574868546521013,JvpFIrmpD,1974561081,网易财经,【#官方通报老人交医保被拒收现金#：已上门为老人办理】11月23日，网曝湖北宜昌一位#老人冒雨用现金交医保被拒#，工作人员称“不收现金，要么叫亲戚，要么你自己在手机上支付”。11月24日，@秭归发布通报：事发后，相关部门工作人员上门为老人办理了居民医保。L一手Video的秒拍视频,,,秭归发布,"官方通报老人交医保被拒收现金,老人冒雨用现金交医保被拒",6,18,20,2020-11-24 19:25,微博视频号,,"http://miaopai.video.weibocdn.com/DasM4Ciglx07IfG7GLLa0104120097xH0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985459&ssig=6A8YIqSvf8&KID=unistore,video",,,蓝V
4574867715788694,JvpEnohU2,1641561812,经济观察报,【#官方通报老人交医保被拒收现金#：已上门为老人办理】11月23日，网曝湖北宜昌一位#老人冒雨用现金交医保被拒#，工作人员称“不收现金，要么叫亲戚，要么你自己在手机上支付”。11月24日，@秭归发布通报：事发后，相关部门工作人员上门为老人办理了居民医保。L一手Video的秒拍视频,,,秭归发布,"官方通报老人交医保被拒收现金,老人冒雨用现金交医保被拒",17,69,179,2020-11-24 19:22,微博视频号,,"http://miaopai.video.weibocdn.com/DasM4Ciglx07IfG7GLLa0104120097xH0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985459&ssig=6A8YIqSvf8&KID=unistore,video",,,蓝V
4574852759945465,JvpgfFJgJ,6272613173,改革报社重庆记者站,【#官方通报老人交医保被拒收现金#：已上门为老人办理】【#老人冒雨用现金交医保被拒#工作人员：要么告诉亲戚要么手机支付】11月23日，湖北宜昌，有网友爆料，一名老人独自冒雨来交医保，因为拒收现金满脸无助。工作人员现场回应道：这里不收现金，要么告诉亲戚，要么你自己在手机上支付，这两个方式。L沸点视频的微博视频,,,,"官方通报老人交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,0,2020-11-24 18:22,微博视频号,,"http://f.video.weibocdn.com/NlL4HbXylx07IfljnCcE010412005wzC0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985459&ssig=JIXzGDxw%2Bx&KID=unistore,video",,,蓝V
4574805557515120,Jvo27vx1C,1887344341,观察者网,【#官方通报老人交医保被拒收现金#：已上门为老人办理】11月23日，网曝湖北宜昌一位#老人冒雨用现金交医保被拒#，工作人员称“不收现金，要么叫亲戚，要么你自己在手机上支付”。11月24日，@秭归发布通报：事发后，相关部门工作人员上门为老人办理了居民医保。@一手VideoL一手Video的秒拍视频,,,"秭归发布,一手Video","官方通报老人交医保被拒收现金,老人冒雨用现金交医保被拒",222,552,3122,2020-11-24 15:15,微博视频号,,"http://miaopai.video.weibocdn.com/DasM4Ciglx07IfG7GLLa0104120097xH0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985459&ssig=6A8YIqSvf8&KID=unistore,video",,,
4574836317234421,JvoPJum0d,3556091633,j20老张,//@太湖啥个:【#官方通报老人交医保被拒收现金#：已上门为老人办理】11月23日，网曝湖北宜昌一位#老人冒雨用现金交医保被拒#，工作人员称“不收现金，要么叫亲戚，要么你自己在手机上支付”。11月24日，@秭归发布通报：事发后，相关部门工作人员上门为老人办理了居民医保。,,,"太湖啥个,秭归发布","官方通报老人交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,3122,2020-11-24 17:17,Android,,,4574805557515120,,普通用户
4574829904667057,JvoFojA77,2883169092,陕西农村报,【#官方通报老人交医保被拒收现金#：已上门为老人办理】11月23日，网曝湖北宜昌一位#老人冒雨用现金交医保被拒#，工作人员称“不收现金，要么叫亲戚，要么你自己在手机上支付”。11月24日，@秭归发布通报：事发后，相关部门工作人员上门为老人办理了居民医保。L一手Video的秒拍视频,,,秭归发布,"官方通报老人交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,0,2020-11-24 16:51,微博视频号,,"http://miaopai.video.weibocdn.com/DasM4Ciglx07IfG7GLLa0104120097xH0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985459&ssig=6A8YIqSvf8&KID=unistore,video",,,蓝V
4574823524604659,Jvov6jjSH,6261526742,辽宁易新盈文化传媒有限公司,【#官方通报老人交医保被拒收现金#：已上门为老人办理】11月23日，网曝湖北宜昌一位#老人冒雨用现金交医保被拒#，工作人员称“不收现金，要么叫亲戚，要么你自己在手机上支付”。11月24日，@秭归发布通报：事发后，相关部门工作人员上门为老人办理了居民医保。@一手VideoL一手Video的秒拍视频,,,"秭归发布,一手Video","官方通报老人交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,0,2020-11-24 16:26,微博视频号,,"http://miaopai.video.weibocdn.com/DasM4Ciglx07IfG7GLLa0104120097xH0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985459&ssig=6A8YIqSvf8&KID=unistore,video",,,蓝V
