id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4912580932141323,N5hhP8Z3t,3474738780,贵州司法,【快收藏！如果您的家中有儿童和失智老人，请注意以下几点……】#新时代北京的精气神##家中有儿童和失智老人请注意#当家中有儿童和失智老人走失，您应该这样做：家人走失后要第一时间报警；制作并分发寻人启事；要在家人走失地点查看周边监控摄像头，确定家人行走的方向。如果您家中有失智老人，可以这样做：平时给老人佩戴可以定位的电子产品并及时充电；平时多给老人拍照片，以便制作寻人启事时使用。这么实用的小知识，还不赶紧收藏、转发！O网页链接,,,,"新时代北京的精气神,家中有儿童和失智老人请注意",0,0,0,2023-06-14 17:13,微博视频号,,,,,蓝V
4912251561054726,N58IA4qnI,7798624663,健康知识官,【快收藏！如果您的家中有儿童和失智老人，请注意以下几点……】#新时代北京的精气神##家中有儿童和失智老人请注意#当家中有儿童和失智老人走失，您应该这样做：家人走失后要第一时间报警；制作并分发寻人启事；要在家人走失地点查看周边监控摄像头，确定家人行走的方向。如果您家中有失智老人，可以这样做：平时给老人佩戴可以定位的电子产品并及时充电；平时多给老人拍照片，以便制作寻人启事时使用。这么实用的小知识，还不赶紧收藏、转发！O网页链接,,,,"新时代北京的精气神,家中有儿童和失智老人请注意",0,0,0,2023-06-13 19:25,微博视频号,,,,,蓝V
4912241998569728,N58t9zXnq,2590508284,京西门头沟,【快收藏！如果您的家中有儿童和失智老人，请注意以下几点……】#新时代北京的精气神##家中有儿童和失智老人请注意#当家中有儿童和失智老人走失，您应该这样做：家人走失后要第一时间报警；制作并分发寻人启事；要在家人走失地点查看周边监控摄像头，确定家人行走的方向。如果您家中有失智老人，可以这样做：平时给老人佩戴可以定位的电子产品并及时充电；平时多给老人拍照片，以便制作寻人启事时使用。这么实用的小知识，还不赶紧收藏、转发！O网页链接,,,,"新时代北京的精气神,家中有儿童和失智老人请注意",0,0,0,2023-06-13 18:47,微博视频号,,,,,蓝V
4912208829484566,N57BEDNmS,2590506122,北京朝阳,【快收藏！如果您的家中有儿童和失智老人，请注意以下几点……】#朝阳提示##健康朝阳#//@北京日报:【快收藏！如果您的家中有儿童和失智老人，请注意以下几点……】#新时代北京的精气神##家中有儿童和失智老人请注意#,,,北京日报,"朝阳提示,健康朝阳,新时代北京的精气神,家中有儿童和失智老人请注意",0,0,0,2023-06-13 16:35,微博网页版,,,,,蓝V
4912208096528495,N57Atromj,3856482952,洋县法院,【快收藏！如果您的家中有儿童和失智老人，请注意以下几点……】#新时代北京的精气神##家中有儿童和失智老人请注意#当家中有儿童和失智老人走失，您应该这样做：家人走失后要第一时间报警；制作并分发寻人启事；要在家人走失地点查看周边监控摄像头，确定家人行走的方向。如果您家中有失智老人，可以这样做：平时给老人佩戴可以定位的电子产品并及时充电；平时多给老人拍照片，以便制作寻人启事时使用。这么实用的小知识，还不赶紧收藏、转发！@BRTV新闻O网页链接,,,BRTV新闻,"新时代北京的精气神,家中有儿童和失智老人请注意",0,2,0,2023-06-13 16:32,微博视频号,,,,,蓝V
4912199467796496,N57mywIdW,2090512390,北青网,【快收藏！如果您的家中有儿童和失智老人，请注意以下几点……】#新时代北京的精气神##家中有儿童和失智老人请注意#当家中有儿童和失智老人走失，您应该这样做：家人走失后要第一时间报警；制作并分发寻人启事；要在家人走失地点查看周边监控摄像头，确定家人行走的方向。如果您家中有失智老人，可以这样做：平时给老人佩戴可以定位的电子产品并及时充电；平时多给老人拍照片，以便制作寻人启事时使用。这么实用的小知识，还不赶紧收藏、转发！O网页链接,,,,"新时代北京的精气神,家中有儿童和失智老人请注意",0,0,0,2023-06-13 15:58,微博视频号,,,,,蓝V
4912182494234889,N56VbhLGF,5792055890,昌平报,【快收藏！如果您的家中有儿童和失智老人，请注意以下几点……】#新时代北京的精气神##家中有儿童和失智老人请注意#当家中有儿童和失智老人走失，您应该这样做：家人走失后要第一时间报警；制作并分发寻人启事；要在家人走失地点查看周边监控摄像头，确定家人行走的方向。如果您家中有失智老人，可以这样做：平时给老人佩戴可以定位的电子产品并及时充电；平时多给老人拍照片，以便制作寻人启事时使用。这么实用的小知识，还不赶紧收藏、转发！O网页链接,,,,"新时代北京的精气神,家中有儿童和失智老人请注意",0,0,0,2023-06-13 14:50,iPhone客户端,,,,,蓝V
4912180808122921,N56Ssy58R,2953903975,北京普法,【快收藏！如果您的家中有儿童和失智老人，请注意以下几点……】#新时代北京的精气神##家中有儿童和失智老人请注意#当家中有儿童和失智老人走失，您应该这样做：家人走失后要第一时间报警；制作并分发寻人启事；要在家人走失地点查看周边监控摄像头，确定家人行走的方向。如果您家中有失智老人，可以这样做：平时给老人佩戴可以定位的电子产品并及时充电；平时多给老人拍照片，以便制作寻人启事时使用。这么实用的小知识，还不赶紧收藏、转发！@BRTV新闻O网页链接,,,BRTV新闻,"新时代北京的精气神,家中有儿童和失智老人请注意",0,0,0,2023-06-13 14:43,微博视频号,,,,,蓝V
4912178328504304,N56OszGmc,1749990115,北京青年报,【快收藏！如果您的家中有儿童和失智老人，请注意以下几点……】#新时代北京的精气神##家中有儿童和失智老人请注意#当家中有儿童和失智老人走失，您应该这样做：家人走失后要第一时间报警；制作并分发寻人启事；要在家人走失地点查看周边监控摄像头，确定家人行走的方向。如果您家中有失智老人，可以这样做：平时给老人佩戴可以定位的电子产品并及时充电；平时多给老人拍照片，以便制作寻人启事时使用。这么实用的小知识，还不赶紧收藏、转发！O网页链接,,,,"新时代北京的精气神,家中有儿童和失智老人请注意",2,1,2,2023-06-13 14:34,微博视频号,,,,,蓝V
4912176890118792,N56M90uU0,2590506062,北京亦庄,【快收藏！如果您的家中有儿童和失智老人，请注意以下几点……】#新时代北京的精气神##家中有儿童和失智老人请注意#当家中有儿童和失智老人走失，您应该这样做：家人走失后要第一时间报警；制作并分发寻人启事；要在家人走失地点查看周边监控摄像头，确定家人行走的方向。如果您家中有失智老人，可以这样做：平时给老人佩戴可以定位的电子产品并及时充电；平时多给老人拍照片，以便制作寻人启事时使用。这么实用的小知识，还不赶紧收藏、转发！O网页链接（BRTV新闻）,,,,"新时代北京的精气神,家中有儿童和失智老人请注意",0,0,0,2023-06-13 14:28,iPhone客户端,,,,,蓝V
