id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4978879591355490,Nx6195GCK,1657914910,烟台日报社大小新闻,【#小伙带全村老人直播创收后改善老人生活#】近日，河南濮阳小伙小韩发动村里200多名老人拍视频段子引发热议。@河畔视频致电小韩，小韩表示：自己干装修工作，拍视频是带着村里的老人娱乐，在召集老人们的时候，会给老人发一些日用品。老人们也喜欢和他一起拍视频。拍视频的脚本均是自创，在农闲的时候会带老人们直播，直播所产生的收益变现后会购买日用品发放到老人手中。L河畔视频的微博视频,,,河畔视频,小伙带全村老人直播创收后改善老人生活,0,0,0,2023-12-14 16:01,微博视频号,,"http://f.video.weibocdn.com/o0/fncf9wd6lx08aUyH3UlO01041200f96S0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999220&ssig=Rc2FdHQkdL&KID=unistore,video",,,蓝V
4978837492598060,Nx4VfaTSc,6982382342,搜狐科技,【#小伙带全村老人直播创收后改善老人生活#】近日，河南濮阳小伙小韩发动村里200多名老人拍视频段子引发热议。@河畔视频致电小韩，小韩表示：自己干装修工作，拍视频是带着村里的老人娱乐，在召集老人们的时候，会给老人发一些日用品。老人们也喜欢和他一起拍视频。拍视频的脚本均是自创，在农闲的时候会带老人们直播，直播所产生的收益变现后会购买日用品发放到老人手中。@河畔视频L河畔视频的微博视频,,,河畔视频,小伙带全村老人直播创收后改善老人生活,0,0,0,2023-12-14 13:13,微博视频号,,"http://f.video.weibocdn.com/o0/fncf9wd6lx08aUyH3UlO01041200f96S0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999220&ssig=Rc2FdHQkdL&KID=unistore,video",,,蓝V
4978830414454464,Nx4JPiGOc,6039307533,郑州校园圈儿,【#小伙带全村老人直播创收后改善老人生活#】近日，河南濮阳小伙小韩发动村里200多名老人拍视频段子引发热议。@河畔视频致电小韩，小韩表示：自己干装修工作，拍视频是带着村里的老人娱乐，在召集老人们的时候，会给老人发一些日用品。老人们也喜欢和他一起拍视频。拍视频的脚本均是自创，在农闲的时候会带老人们直播，直播所产生的收益变现后会购买日用品发放到老人手中。@河畔视频L河畔视频的微博视频,,,河畔视频,小伙带全村老人直播创收后改善老人生活,0,0,0,2023-12-14 12:45,河南校园超话,,"http://f.video.weibocdn.com/o0/fncf9wd6lx08aUyH3UlO01041200f96S0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999220&ssig=Rc2FdHQkdL&KID=unistore,video",,,普通用户
4978829455791219,Nx4IhoiyL,3468466672,板扎视频,【#小伙带全村老人直播创收后改善老人生活#】近日，河南濮阳小伙小韩发动村里200多名老人拍视频段子引发热议。@河畔视频致电小韩，小韩表示：自己干装修工作，拍视频是带着村里的老人娱乐，在召集老人们的时候，会给老人发一些日用品。老人们也喜欢和他一起拍视频。拍视频的脚本均是自创，在农闲的时候会带老人们直播，直播所产生的收益变现后会购买日用品发放到老人手中。@河畔视频L河畔视频的微博视频,,,河畔视频,小伙带全村老人直播创收后改善老人生活,0,0,0,2023-12-14 12:41,微博视频号,,"http://f.video.weibocdn.com/o0/fncf9wd6lx08aUyH3UlO01041200f96S0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999220&ssig=Rc2FdHQkdL&KID=unistore,video",,,蓝V
4978821026021991,Nx4uGpgAT,5281956442,丝路阅长安,【#小伙带全村老人直播创收后改善老人生活#】近日，河南濮阳小伙小韩发动村里200多名老人拍视频段子引发热议。@河畔视频致电小韩，小韩表示：自己干装修工作，拍视频是带着村里的老人娱乐，在召集老人们的时候，会给老人发一些日用品。老人们也喜欢和他一起拍视频。拍视频的脚本均是自创，在农闲的时候会带老人们直播，直播所产生的收益变现后会购买日用品发放到老人手中。@河畔视频L河畔视频的微博视频,,,河畔视频,小伙带全村老人直播创收后改善老人生活,0,0,0,2023-12-14 12:08,微博视频号,,"http://f.video.weibocdn.com/o0/fncf9wd6lx08aUyH3UlO01041200f96S0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999220&ssig=Rc2FdHQkdL&KID=unistore,video",,,蓝V
4978816231410803,Nx4mX5V0T,7743322567,纵横财经视点,【#小伙带全村老人直播创收后改善老人生活#】近日，河南濮阳小伙小韩发动村里200多名老人拍视频段子引发热议。@河畔视频致电小韩，小韩表示：自己干装修工作，拍视频是带着村里的老人娱乐，在召集老人们的时候，会给老人发一些日用品。老人们也喜欢和他一起拍视频。拍视频的脚本均是自创，在农闲的时候会带老人们直播，直播所产生的收益变现后会购买日用品发放到老人手中。@河畔视频L河畔视频的微博视频,,,河畔视频,小伙带全村老人直播创收后改善老人生活,0,0,0,2023-12-14 11:49,微博视频号,,"http://f.video.weibocdn.com/o0/fncf9wd6lx08aUyH3UlO01041200f96S0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999220&ssig=Rc2FdHQkdL&KID=unistore,video",,,蓝V
4978815958515816,Nx4mvzJlS,2816167560,重庆广电第1眼,【#小伙带全村老人直播创收后改善老人生活#】近日，河南濮阳小伙小韩发动村里200多名老人拍视频段子引发热议。@河畔视频致电小韩，小韩表示：自己干装修工作，拍视频是带着村里的老人娱乐，在召集老人们的时候，会给老人发一些日用品。老人们也喜欢和他一起拍视频。拍视频的脚本均是自创，在农闲的时候会带老人们直播，直播所产生的收益变现后会购买日用品发放到老人手中。@河畔视频L河畔视频的微博视频,,,河畔视频,小伙带全村老人直播创收后改善老人生活,0,0,1,2023-12-14 11:48,微博视频号,,"http://f.video.weibocdn.com/o0/fncf9wd6lx08aUyH3UlO01041200f96S0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999220&ssig=Rc2FdHQkdL&KID=unistore,video",,,蓝V
4978814428123094,Nx4k2y5bE,7474259554,快报帮,【#小伙带全村老人直播创收后改善老人生活#】近日，河南濮阳小伙小韩发动村里200多名老人拍视频段子引发热议。@河畔视频致电小韩，小韩表示：自己干装修工作，拍视频是带着村里的老人娱乐，在召集老人们的时候，会给老人发一些日用品。老人们也喜欢和他一起拍视频。拍视频的脚本均是自创，在农闲的时候会带老人们直播，直播所产生的收益变现后会购买日用品发放到老人手中。@河畔视频L河畔视频的微博视频,,,河畔视频,小伙带全村老人直播创收后改善老人生活,0,0,0,2023-12-14 11:42,微博视频号,,"http://f.video.weibocdn.com/o0/fncf9wd6lx08aUyH3UlO01041200f96S0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999222&ssig=kmHa1NGBCS&KID=unistore,video",,,蓝V
4978811389349397,Nx4f8DecJ,5116298586,昆明日报掌上春城,【#小伙带全村老人直播创收后改善老人生活#】近日，河南濮阳小伙小韩发动村里200多名老人拍视频段子引发热议。@河畔视频致电小韩，小韩表示：自己干装修工作，拍视频是带着村里的老人娱乐，在召集老人们的时候，会给老人发一些日用品。老人们也喜欢和他一起拍视频。拍视频的脚本均是自创，在农闲的时候会带老人们直播，直播所产生的收益变现后会购买日用品发放到老人手中。@河畔视频L河畔视频的微博视频,,,河畔视频,小伙带全村老人直播创收后改善老人生活,0,0,0,2023-12-14 11:30,微博视频号,,"http://f.video.weibocdn.com/o0/fncf9wd6lx08aUyH3UlO01041200f96S0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999222&ssig=kmHa1NGBCS&KID=unistore,video",,,蓝V
4978808707089936,Nx4aOtKpO,1249548545,今日诸城,【#小伙带全村老人直播创收后改善老人生活#】近日，河南濮阳小伙小韩发动村里200多名老人拍视频段子引发热议。@河畔视频致电小韩，小韩表示：自己干装修工作，拍视频是带着村里的老人娱乐，在召集老人们的时候，会给老人发一些日用品。老人们也喜欢和他一起拍视频。拍视频的脚本均是自创，在农闲的时候会带老人们直播，直播所产生的收益变现后会购买日用品发放到老人手中。@河畔视频L河畔视频的微博视频,,,河畔视频,小伙带全村老人直播创收后改善老人生活,11,10,12,2023-12-14 11:19,微博视频号,,"http://f.video.weibocdn.com/o0/fncf9wd6lx08aUyH3UlO01041200f96S0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999222&ssig=kmHa1NGBCS&KID=unistore,video",,,蓝V
