id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5058530772256695,OoyEt9t4j,2087169013,法治日报,【#一见如故认干爹好心小伙竟是骗子##小伙搀扶摔倒老人后骗取退休金#】老人意外摔倒，小伙子好心帮忙，二人“一见如故”，在得知老人有退休金后，小伙子竟心生歹意，在将老人认作“干爹”获取信任后，以保管为由将老人的退休金全部骗取用尽。近日，重庆市垫江县人民法院审结一起信用卡诈骗案，经审理，以犯信用卡诈骗罪，判决被告人刘某某有期徒刑一年六个月，并处罚金2万元，退赔被害人陈某某全部经济损失3万余元。　　陈大爷在散步时不小心摔倒，刘某某路过见状出于好心上前搀扶，二人因此相识相谈甚欢，并互相留下联系方式，在接下来的时间里，二人经常联系交谈，陈大爷对刘某某大加赞赏。　　在一次交流中，刘某某得知陈大爷每月都有退休金，内心便产生一个邪恶念头，打算将陈大爷的退休金据为己有。为了获取陈大爷的信任，刘某某对陈大爷嘘寒问暖，不久后，刘某某将陈大爷认作“干爹”，并以帮其保管为由获取了领取养老金的银行卡及密码。　　想着“老来得子”今后生活多一份依靠，陈大爷甚是高兴。可在一次生病住院时，陈大爷打算将银行卡里的钱取出来缴纳住院费时才发现卡内已无剩余资金，遂向公安机关报警。2023年7月，刘某某被抓获归案。　　法院审理后认为，被告人刘某某以非法占有为目的，在骗取老人信任后，以代为保管银行卡为由获取银行卡和密码，在被害人不知情的情况下，刘某某先后多次将银行卡内的3万余元取出消费，其行为已构成信用卡诈骗罪，应追究刑事责任。充分考虑被告人刘某某所具有的法定和酌定处罚情节，作出上述判决。目前，该判决已生效。　　承办法官廖子钧表示，本案系一起养老诈骗典型案例。刘某某与被害人的相识源于一次好人好事，刘某某乐于助人的行为本应大力赞扬，可刘某某在得知老人有退休金后却见财起意进而违法犯罪，这样极端的转折实在让人叹息。法官在此提醒老年朋友，切勿将银行卡密码、存款金额等重要信息轻易告知他人，以免上当受骗。（全媒体记者战海峰通讯员高超辜迅）,,,,"一见如故认干爹好心小伙竟是骗子,小伙搀扶摔倒老人后骗取退休金",95,1,8,2024-07-21 11:06,,https://wx4.sinaimg.cn/large/7c67abf5ly1hrvhcgmgujj20wr102aiy.jpg,,,,
5062336388012353,Oq9EyxCnv,6654913655,林林亦66,//@正义南康:【#一见如故认干爹好心小伙竟是骗子##小伙搀扶摔倒老人后骗取退休金#】,,,正义南康,"一见如故认干爹好心小伙竟是骗子,小伙搀扶摔倒老人后骗取退休金",0,0,8,2024-07-31 23:08,iQOO Neo7,,,5058530772256695,,普通用户
5061238315290177,OpH5tmcdr,5780644226,风吹云动721,//@正义南康:【#一见如故认干爹好心小伙竟是骗子##小伙搀扶摔倒老人后骗取退休金#】,,,正义南康,"一见如故认干爹好心小伙竟是骗子,小伙搀扶摔倒老人后骗取退休金",0,0,8,2024-07-28 22:25,vivo S12,,,5058530772256695,,普通用户
5061237541176397,OpH4e4W29,7742847805,用户7742847805,//@正义南康:【#一见如故认干爹好心小伙竟是骗子##小伙搀扶摔倒老人后骗取退休金#】,,,正义南康,"一见如故认干爹好心小伙竟是骗子,小伙搀扶摔倒老人后骗取退休金",0,0,8,2024-07-28 22:22,vivo S12,,,5058530772256695,,普通用户
5061032416120347,OpBJnpGbh,5763417250,余庆检察,#余检转播#【#一见如故认干爹好心小伙竟是骗子##小伙搀扶摔倒老人后骗取退休金#】老人意外摔倒，小伙子好心帮忙，二人“一见如故”，在得知老人有退休金后，小伙子竟心生歹意，在将老人认作“干爹”获取信任后，以保管为由将老人的退休金全部骗取用尽。近日，重庆市垫江县人民法院审结一起信用卡诈骗案，经审理，以犯信用卡诈骗罪，判决被告人刘某某有期徒刑一年六个月，并处罚金2万元，退赔被害人陈某某全部经济损失3万余元。　　陈大爷在散步时不小心摔倒，刘某某路过见状出于好心上前搀扶，二人因此相识相谈甚欢，并互相留下联系方式，在接下来的时间里，二人经常联系交谈，陈大爷对刘某某大加赞赏。　　在一次交流中，刘某某得知陈大爷每月都有退休金，内心便产生一个邪恶念头，打算将陈大爷的退休金据为己有。为了获取陈大爷的信任，刘某某对陈大爷嘘寒问暖，不久后，刘某某将陈大爷认作“干爹”，并以帮其保管为由获取了领取养老金的银行卡及密码。　　想着“老来得子”今后生活多一份依靠，陈大爷甚是高兴。可在一次生病住院时，陈大爷打算将银行卡里的钱取出来缴纳住院费时才发现卡内已无剩余资金，遂向公安机关报警。2023年7月，刘某某被抓获归案。　　法院审理后认为，被告人刘某某以非法占有为目的，在骗取老人信任后，以代为保管银行卡为由获取银行卡和密码，在被害人不知情的情况下，刘某某先后多次将银行卡内的3万余元取出消费，其行为已构成信用卡诈骗罪，应追究刑事责任。充分考虑被告人刘某某所具有的法定和酌定处罚情节，作出上述判决。目前，该判决已生效。　　承办法官廖子钧表示，本案系一起养老诈骗典型案例。刘某某与被害人的相识源于一次好人好事，刘某某乐于助人的行为本应大力赞扬，可刘某某在得知老人有退休金后却见财起意进而违法犯罪，这样极端的转折实在让人叹息。法官在此提醒老年朋友，切勿将银行卡密码、存款金额等重要信息轻易告知他人，以免上当受骗。（法治日报）,,,,"余检转播,一见如故认干爹好心小伙竟是骗子,小伙搀扶摔倒老人后骗取退休金",0,0,2,2024-07-28 08:47,微博网页版,https://wx2.sinaimg.cn/large/006i2I6Kgy1hryvlt4xn2j30a00b0t9c.jpg,,,,蓝V
5060320787958800,OpjdAxorK,5558584537,颍上检察,【#一见如故认干爹好心小伙竟是骗子##小伙搀扶摔倒老人后骗取退休金#】老人意外摔倒，小伙子好心帮忙，二人“一见如故”，在得知老人有退休金后，小伙子竟心生歹意，在将老人认作“干爹”获取信任后，以保管为由将老人的退休金全部骗取用尽。近日，重庆市垫江县人民法院审结一起信用卡诈骗案，经审理，以犯信用卡诈骗罪，判决被告人刘某某有期徒刑一年六个月，并处罚金2万元，退赔被害人陈某某全部经济损失3万余元。　　陈大爷在散步时不小心摔倒，刘某某路过见状出于好心上前搀扶，二人因此相识相谈甚欢，并互相留下联系方式，在接下来的时间里，二人经常联系交谈，陈大爷对刘某某大加赞赏。　　在一次交流中，刘某某得知陈大爷每月都有退休金，内心便产生一个邪恶念头，打算将陈大爷的退休金据为己有。为了获取陈大爷的信任，刘某某对陈大爷嘘寒问暖，不久后，刘某某将陈大爷认作“干爹”，并以帮其保管为由获取了领取养老金的银行卡及密码。　　想着“老来得子”今后生活多一份依靠，陈大爷甚是高兴。可在一次生病住院时，陈大爷打算将银行卡里的钱取出来缴纳住院费时才发现卡内已无剩余资金，遂向公安机关报警。2023年7月，刘某某被抓获归案。　　法院审理后认为，被告人刘某某以非法占有为目的，在骗取老人信任后，以代为保管银行卡为由获取银行卡和密码，在被害人不知情的情况下，刘某某先后多次将银行卡内的3万余元取出消费，其行为已构成信用卡诈骗罪，应追究刑事责任。充分考虑被告人刘某某所具有的法定和酌定处罚情节，作出上述判决。目前，该判决已生效。　　承办法官廖子钧表示，本案系一起养老诈骗典型案例。刘某某与被害人的相识源于一次好人好事，刘某某乐于助人的行为本应大力赞扬，可刘某某在得知老人有退休金后却见财起意进而违法犯罪，这样极端的转折实在让人叹息。法官在此提醒老年朋友，切勿将银行卡密码、存款金额等重要信息轻易告知他人，以免上当受骗。（全媒体记者战海峰通讯员高超辜迅）,,,,"一见如故认干爹好心小伙竟是骗子,小伙搀扶摔倒老人后骗取退休金",0,0,0,2024-07-26 09:39,微博网页版,https://wx3.sinaimg.cn/large/0064bfLjgy1hs16xe8026j30a00b0mxs.jpg,,,,蓝V
5060298115383573,OpiD1mAvP,3206216057,神话里的童话,建议退休人员每人匀一千元给农村老人。现在全国六十岁以上人口大概2.9亿人。大概1.4亿人拿城镇职工退休金，平均工资4000元，多得八九千，一万多，少的也有两千多。农村老人大概也有1.4亿人，拿到的补助大概一百多元。这中间形成了巨大差异。论贡献，谁大？不好说。但是在我看来，平均贡献差不多。你上班在做贡献，农民务农，交公粮，也是贡献。但是老了，干不动了，退休收入天差地别。如果每个城镇职工匀一千给农民，能够很好解决他们的吃饭问题，也不给国家增加负担，这是双赢。基金超话#小伙搀扶摔倒老人后骗取退休金##19岁小伙回应停车救摔倒老人#,,,,"小伙搀扶摔倒老人后骗取退休金,19岁小伙回应停车救摔倒老人",0,0,0,2024-07-26 08:09,基金超话,https://wx1.sinaimg.cn/large/bf1af979ly1hs14bj8wp4j20d4085aav.jpg,,,,普通用户
5059316256344096,OoT5nqCo8,2554679457,安康市汉滨区法院,【#一见如故认干爹好心小伙竟是骗子##小伙搀扶摔倒老人后骗取退休金#】老人意外摔倒，小伙子好心帮忙，二人“一见如故”，在得知老人有退休金后，小伙子竟心生歹意，在将老人认作“干爹”获取信任后，以保管为由将老人的退休金全部骗取用尽。近日，重庆市垫江县人民法院审结一起信用卡诈骗案，经审理，以犯信用卡诈骗罪，判决被告人刘某某有期徒刑一年六个月，并处罚金2万元，退赔被害人陈某某全部经济损失3万余元。　　陈大爷在散步时不小心摔倒，刘某某路过见状出于好心上前搀扶，二人因此相识相谈甚欢，并互相留下联系方式，在接下来的时间里，二人经常联系交谈，陈大爷对刘某某大加赞赏。　　在一次交流中，刘某某得知陈大爷每月都有退休金，内心便产生一个邪恶念头，打算将陈大爷的退休金据为己有。为了获取陈大爷的信任，刘某某对陈大爷嘘寒问暖，不久后，刘某某将陈大爷认作“干爹”，并以帮其保管为由获取了领取养老金的银行卡及密码。　　想着“老来得子”今后生活多一份依靠，陈大爷甚是高兴。可在一次生病住院时，陈大爷打算将银行卡里的钱取出来缴纳住院费时才发现卡内已无剩余资金，遂向公安机关报警。2023年7月，刘某某被抓获归案。　　法院审理后认为，被告人刘某某以非法占有为目的，在骗取老人信任后，以代为保管银行卡为由获取银行卡和密码，在被害人不知情的情况下，刘某某先后多次将银行卡内的3万余元取出消费，其行为已构成信用卡诈骗罪，应追究刑事责任。充分考虑被告人刘某某所具有的法定和酌定处罚情节，作出上述判决。目前，该判决已生效。　　承办法官廖子钧表示，本案系一起养老诈骗典型案例。刘某某与被害人的相识源于一次好人好事，刘某某乐于助人的行为本应大力赞扬，可刘某某在得知老人有退休金后却见财起意进而违法犯罪，这样极端的转折实在让人叹息。法官在此提醒老年朋友，切勿将银行卡密码、存款金额等重要信息轻易告知他人，以免上当受骗。（全媒体记者战海峰通讯员高超辜迅）,,,,"一见如故认干爹好心小伙竟是骗子,小伙搀扶摔倒老人后骗取退休金",0,0,0,2024-07-23 15:07,小米CC9,https://wx1.sinaimg.cn/large/984550a1ly1hrxzk3vf5nj20u00x1q95.jpg,,,,蓝V
5059273577732130,OoRYxwrtM,5193731648,宝鸡检察,【#一见如故认干爹好心小伙竟是骗子##小伙搀扶摔倒老人后骗取退休金#】老人意外摔倒，小伙子好心帮忙，二人“一见如故”，在得知老人有退休金后，小伙子竟心生歹意，在将老人认作“干爹”获取信任后，以保管为由将老人的退休金全部骗取用尽。近日，重庆市垫江县人民法院审结一起信用卡诈骗案，经审理，以犯信用卡诈骗罪，判决被告人刘某某有期徒刑一年六个月，并处罚金2万元，退赔被害人陈某某全部经济损失3万余元。　　陈大爷在散步时不小心摔倒，刘某某路过见状出于好心上前搀扶，二人因此相识相谈甚欢，并互相留下联系方式，在接下来的时间里，二人经常联系交谈，陈大爷对刘某某大加赞赏。　　在一次交流中，刘某某得知陈大爷每月都有退休金，内心便产生一个邪恶念头，打算将陈大爷的退休金据为己有。为了获取陈大爷的信任，刘某某对陈大爷嘘寒问暖，不久后，刘某某将陈大爷认作“干爹”，并以帮其保管为由获取了领取养老金的银行卡及密码。　　想着“老来得子”今后生活多一份依靠，陈大爷甚是高兴。可在一次生病住院时，陈大爷打算将银行卡里的钱取出来缴纳住院费时才发现卡内已无剩余资金，遂向公安机关报警。2023年7月，刘某某被抓获归案。　　法院审理后认为，被告人刘某某以非法占有为目的，在骗取老人信任后，以代为保管银行卡为由获取银行卡和密码，在被害人不知情的情况下，刘某某先后多次将银行卡内的3万余元取出消费，其行为已构成信用卡诈骗罪，应追究刑事责任。充分考虑被告人刘某某所具有的法定和酌定处罚情节，作出上述判决。目前，该判决已生效。　　承办法官廖子钧表示，本案系一起养老诈骗典型案例。刘某某与被害人的相识源于一次好人好事，刘某某乐于助人的行为本应大力赞扬，可刘某某在得知老人有退休金后却见财起意进而违法犯罪，这样极端的转折实在让人叹息。法官在此提醒老年朋友，切勿将银行卡密码、存款金额等重要信息轻易告知他人，以免上当受骗。（来源：法治日报）,,,,"一见如故认干爹好心小伙竟是骗子,小伙搀扶摔倒老人后骗取退休金",3,4,3,2024-07-23 12:18,微博网页版,https://wx1.sinaimg.cn/large/005FumRily1hrwl7z2yarj30j60l442o.jpg,,,,蓝V
5059243187374093,OoRbwuWkZ,1945335465,莫儿-蝴蝶丰胸调经粉睫毛滋养液,把身体养好～毕竟65岁才能领退休金大姨妈退休了人还没得退休[Emm]#小伙搀扶摔倒老人后骗取退休金##老人路边摔倒00后小伙果断停车救人##饮食养生##爱用物分享#,,,,"小伙搀扶摔倒老人后骗取退休金,老人路边摔倒00后小伙果断停车救人,饮食养生,爱用物分享",0,0,0,2024-07-23 10:17,iPhone 7,https://wx4.sinaimg.cn/large/73f376a9gy1hrxr5t3bxwj20u0140q7d.jpg,,,,普通用户
