id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5070486122529540,OtzFiaC32,5516870815,瓦房店检察,【#小伙赶公交玩手机撞倒老人赔16.6万#，法院：致老人九级伤残并遭受精神损害】近日，广东省香洲法院对一起发生在公交站台的人身伤害案件作出判决。2022年12月的一天，林老伯乘坐公交车出行，在车辆停稳后从后门下车时，被着急赶公交且低头刷手机的小赵撞倒。林老伯随即被送往医院，诊断为腰椎骨折，住院治疗16天。经鉴定，林老伯的伤残等级为九级，且该损伤与本次事故存在直接因果关系。事故发生后，双方就赔偿事宜未达成一致。林老伯遂将小赵诉至香洲法院，要求赔偿各项损失共计20.1万余元。香洲法院经审理认为，小赵在公交车停靠站台时低头使用手机，未能注意到正在下车的林老伯并将其撞倒，导致林老伯九级伤残并遭受精神损害，林老伯对此并无过错。经核定，被告小赵应向原告林老伯赔偿医疗费、护理费、鉴定费、残疾赔偿金以及精神损失费等共计16.6万余元。@九派新闻九派新闻的微博视频L九派新闻的微博视频,,,九派新闻,小伙赶公交玩手机撞倒老人赔16.6万,7,1,5,2024-08-23 10:52,微博视频号,,"http://f.video.weibocdn.com/o0/iSz2aIDWlx08hndbGkPm01041200gRoI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005631&ssig=z75urFu5uw&KID=unistore,video",,,蓝V
5070462051418717,Otz2t5X4x,5475670809,济阳检察,【#小伙赶公交玩手机撞倒老人赔16.6万#，法院：致老人九级伤残并遭受精神损害】近日，广东省香洲法院对一起发生在公交站台的人身伤害案件作出判决。2022年12月的一天，林老伯乘坐公交车出行，在车辆停稳后从后门下车时，被着急赶公交且低头刷手机的小赵撞倒。林老伯随即被送往医院，诊断为腰椎骨折，住院治疗16天。经鉴定，林老伯的伤残等级为九级，且该损伤与本次事故存在直接因果关系。事故发生后，双方就赔偿事宜未达成一致。林老伯遂将小赵诉至香洲法院，要求赔偿各项损失共计20.1万余元。香洲法院经审理认为，小赵在公交车停靠站台时低头使用手机，未能注意到正在下车的林老伯并将其撞倒，导致林老伯九级伤残并遭受精神损害，林老伯对此并无过错。经核定，被告小赵应向原告林老伯赔偿医疗费、护理费、鉴定费、残疾赔偿金以及精神损失费等共计16.6万余元。@九派新闻L九派新闻的微博视频,,,九派新闻,小伙赶公交玩手机撞倒老人赔16.6万,46,0,1,2024-08-23 09:17,微博视频号,,"http://f.video.weibocdn.com/o0/iSz2aIDWlx08hndbGkPm01041200gRoI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005631&ssig=z75urFu5uw&KID=unistore,video",,,蓝V
5070222292160078,OtsNL93VY,5515170727,市南检察,【#小伙赶公交玩手机撞倒老人赔16.6万#，法院：致老人九级伤残并遭受精神损害】近日，广东省香洲法院对一起发生在公交站台的人身伤害案件作出判决。2022年12月的一天，林老伯乘坐公交车出行，在车辆停稳后从后门下车时，被着急赶公交且低头刷手机的小赵撞倒。林老伯随即被送往医院，诊断为腰椎骨折，住院治疗16天。经鉴定，林老伯的伤残等级为九级，且该损伤与本次事故存在直接因果关系。事故发生后，双方就赔偿事宜未达成一致。林老伯遂将小赵诉至香洲法院，要求赔偿各项损失共计20.1万余元。香洲法院经审理认为，小赵在公交车停靠站台时低头使用手机，未能注意到正在下车的林老伯并将其撞倒，导致林老伯九级伤残并遭受精神损害，林老伯对此并无过错。经核定，被告小赵应向原告林老伯赔偿医疗费、护理费、鉴定费、残疾赔偿金以及精神损失费等共计16.6万余元。L九派新闻的微博视频,,,,小伙赶公交玩手机撞倒老人赔16.6万,9,0,9,2024-08-22 17:24,微博视频号,,"http://f.video.weibocdn.com/o0/iSz2aIDWlx08hndbGkPm01041200gRoI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005631&ssig=z75urFu5uw&KID=unistore,video",,,蓝V
5070216180008527,OtsDU02dx,1986337587,深圳校园,深圳校园超话【#小伙赶公交玩手机撞倒老人赔16.6万#，法院：致老人九级伤残并遭受精神损害】近日，广东省香洲法院对一起发生在公交站台的人身伤害案件作出判决。2022年12月的一天，林老伯乘坐公交车出行，在车辆停稳后从后门下车时，被着急赶公交且低头刷手机的小赵撞倒。林老伯随即被送往医院，诊断为腰椎骨折，住院治疗16天。经鉴定，林老伯的伤残等级为九级，且该损伤与本次事故存在直接因果关系。事故发生后，双方就赔偿事宜未达成一致。林老伯遂将小赵诉至香洲法院，要求赔偿各项损失共计20.1万余元。香洲法院经审理认为，小赵在公交车停靠站台时低头使用手机，未能注意到正在下车的林老伯并将其撞倒，导致林老伯九级伤残并遭受精神损害，林老伯对此并无过错。经核定，被告小赵应向原告林老伯赔偿医疗费、护理费、鉴定费、残疾赔偿金以及精神损失费等共计16.6万余元。@九派新闻L九派新闻的微博视频,,,九派新闻,小伙赶公交玩手机撞倒老人赔16.6万,0,0,0,2024-08-22 17:00,深圳校园超话,,"http://f.video.weibocdn.com/o0/iSz2aIDWlx08hndbGkPm01041200gRoI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005631&ssig=z75urFu5uw&KID=unistore,video",,,蓝V
5070109696067997,OtpS9psyV,5331173004,薛城区检察院,#薛检播报#【#小伙赶公交玩手机撞倒老人赔16.6万#，法院：致老人九级伤残并遭受精神损害】近日，广东省香洲法院对一起发生在公交站台的人身伤害案件作出判决。2022年12月的一天，林老伯乘坐公交车出行，在车辆停稳后从后门下车时，被着急赶公交且低头刷手机的小赵撞倒。林老伯随即被送往医院，诊断为腰椎骨折，住院治疗16天。经鉴定，林老伯的伤残等级为九级，且该损伤与本次事故存在直接因果关系。事故发生后，双方就赔偿事宜未达成一致。林老伯遂将小赵诉至香洲法院，要求赔偿各项损失共计20.1万余元。香洲法院经审理认为，小赵在公交车停靠站台时低头使用手机，未能注意到正在下车的林老伯并将其撞倒，导致林老伯九级伤残并遭受精神损害，林老伯对此并无过错。经核定，被告小赵应向原告林老伯赔偿医疗费、护理费、鉴定费、残疾赔偿金以及精神损失费等共计16.6万余元。L九派新闻的微博视频,,,,"薛检播报,小伙赶公交玩手机撞倒老人赔16.6万",0,0,0,2024-08-22 09:56,微博视频号,,"http://f.video.weibocdn.com/o0/iSz2aIDWlx08hndbGkPm01041200gRoI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005631&ssig=z75urFu5uw&KID=unistore,video",,,蓝V
5069853824128753,Otjdshk4N,5486700955,济南市中检察,【#小伙赶公交玩手机撞倒老人赔16.6万#，法院：致老人九级伤残并遭受精神损害】近日，广东省香洲法院对一起发生在公交站台的人身伤害案件作出判决。2022年12月的一天，林老伯乘坐公交车出行，在车辆停稳后从后门下车时，被着急赶公交且低头刷手机的小赵撞倒。林老伯随即被送往医院，诊断为腰椎骨折，住院治疗16天。经鉴定，林老伯的伤残等级为九级，且该损伤与本次事故存在直接因果关系。事故发生后，双方就赔偿事宜未达成一致。林老伯遂将小赵诉至香洲法院，要求赔偿各项损失共计20.1万余元。香洲法院经审理认为，小赵在公交车停靠站台时低头使用手机，未能注意到正在下车的林老伯并将其撞倒，导致林老伯九级伤残并遭受精神损害，林老伯对此并无过错。经核定，被告小赵应向原告林老伯赔偿医疗费、护理费、鉴定费、残疾赔偿金以及精神损失费等共计16.6万余元。@九派新闻L九派新闻的微博视频,,,九派新闻,小伙赶公交玩手机撞倒老人赔16.6万,0,0,2,2024-08-21 17:00,微博视频号,,"http://f.video.weibocdn.com/o0/iSz2aIDWlx08hndbGkPm01041200gRoI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005631&ssig=z75urFu5uw&KID=unistore,video",,,蓝V
5069830738676336,OtiCdAp6U,5579290681,峄城区人民检察院,【#小伙赶公交玩手机撞倒老人赔16.6万#，法院：致老人九级伤残并遭受精神损害】近日，广东省香洲法院对一起发生在公交站台的人身伤害案件作出判决。2022年12月的一天，林老伯乘坐公交车出行，在车辆停稳后从后门下车时，被着急赶公交且低头刷手机的小赵撞倒。林老伯随即被送往医院，诊断为腰椎骨折，住院治疗16天。经鉴定，林老伯的伤残等级为九级，且该损伤与本次事故存在直接因果关系。事故发生后，双方就赔偿事宜未达成一致。林老伯遂将小赵诉至香洲法院，要求赔偿各项损失共计20.1万余元。香洲法院经审理认为，小赵在公交车停靠站台时低头使用手机，未能注意到正在下车的林老伯并将其撞倒，导致林老伯九级伤残并遭受精神损害，林老伯对此并无过错。经核定，被告小赵应向原告林老伯赔偿医疗费、护理费、鉴定费、残疾赔偿金以及精神损失费等共计16.6万余元。L九派新闻的微博视频,,,,小伙赶公交玩手机撞倒老人赔16.6万,0,0,0,2024-08-21 15:28,微博视频号,,"http://f.video.weibocdn.com/o0/iSz2aIDWlx08hndbGkPm01041200gRoI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005631&ssig=z75urFu5uw&KID=unistore,video",,,蓝V
5069824532680225,Otisdbffr,6638706253,科技圈赵老师,#小伙赶公交玩手机撞倒老人赔16.6万#以后走路还是长点心了，可不能做低头手机一族了，不然轻则碰到别人丢钱，重则被别人碰到丢命,,,,小伙赶公交玩手机撞倒老人赔16.6万,0,0,0,2024-08-21 15:03,iPhone客户端,https://wx2.sinaimg.cn/large/007fhkLjgy1hsvif0zdwrj30wi1htqm3.jpg,,,,黄V
5069816450255386,Otifb14r8,5501668108,平阴检察,【#小伙赶公交玩手机撞倒老人赔16.6万#，法院：致老人九级伤残并遭受精神损害】近日，广东省香洲法院对一起发生在公交站台的人身伤害案件作出判决。2022年12月的一天，林老伯乘坐公交车出行，在车辆停稳后从后门下车时，被着急赶公交且低头刷手机的小赵撞倒。林老伯随即被送往医院，诊断为腰椎骨折，住院治疗16天。经鉴定，林老伯的伤残等级为九级，且该损伤与本次事故存在直接因果关系。事故发生后，双方就赔偿事宜未达成一致。林老伯遂将小赵诉至香洲法院，要求赔偿各项损失共计20.1万余元。香洲法院经审理认为，小赵在公交车停靠站台时低头使用手机，未能注意到正在下车的林老伯并将其撞倒，导致林老伯九级伤残并遭受精神损害，林老伯对此并无过错。经核定，被告小赵应向原告林老伯赔偿医疗费、护理费、鉴定费、残疾赔偿金以及精神损失费等共计16.6万余元。L九派新闻的微博视频,,,,小伙赶公交玩手机撞倒老人赔16.6万,0,0,0,2024-08-21 14:31,微博视频号,,"http://f.video.weibocdn.com/o0/iSz2aIDWlx08hndbGkPm01041200gRoI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005631&ssig=z75urFu5uw&KID=unistore,video",,,蓝V
5069785064276003,OthqyhWnN,2671889672,平平無奇陳先生MrChan,#小伙赶公交玩手机撞倒老人赔16.6万#要远离,,,,小伙赶公交玩手机撞倒老人赔16.6万,0,0,0,2024-08-21 12:26,HUAWEI Pura 70 Pro,,,,,普通用户
