id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4880252319566307,MxFJdE8Dh,6345732891,茶水间常驻路人甲,#小学生主动帮白发老人推收废品车#一位网友下班路上偶然拍到广西三江县民族实验学校几位小学生主动帮助收废品的白发老人推收废品车上坡，而老人也走在外侧为了更好保证孩子们的安全，这就是教育的意义吧!@艺新视频L艺新视频的微博视频,,,艺新视频,小学生主动帮白发老人推收废品车,98,103,101,2023-03-17 12:11,微博视频号,,"http://f.video.weibocdn.com/o0/x94DuffNlx083VYRZyCk01041200ebDg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725026268&ssig=c%2BuolfqYZB&KID=unistore,video",,,黄V
4880233470102965,MxFeP0qMJ,6434744517,影视彩蛋菌,#小学生主动帮白发老人推收废品车#小朋友都好善良好可爱,,,,小学生主动帮白发老人推收废品车,0,0,0,2023-03-17 10:56,微博轻享版,"https://wx3.sinaimg.cn/large/0071twZTly1hc2o6mwsloj30u00yj777.jpg,https://wx4.sinaimg.cn/large/0071twZTly1hc2o6mxegtj30u00wf76y.jpg,https://wx2.sinaimg.cn/large/0071twZTly1hc2o6mxf5ij30vr0u0dij.jpg,https://wx1.sinaimg.cn/large/0071twZTly1hc2o6n0u5bj30u011xn1o.jpg,https://wx3.sinaimg.cn/large/0071twZTly1hc2o6myjgoj30u014p431.jpg,https://wx3.sinaimg.cn/large/0071twZTly1hc2o6mzo5aj30u00v30v6.jpg",,,,黄V
4880233347680436,MxFeCwe20,6301691879,笑哈哈的日常,#小学生主动帮白发老人推收废品车#优秀的小学生，真的好棒！,,,,小学生主动帮白发老人推收废品车,0,0,0,2023-03-17 10:56,微博轻享版,"https://wx2.sinaimg.cn/large/006StfVBly1hc2o64omqej30u00v0aci.jpg,https://wx4.sinaimg.cn/large/006StfVBly1hc2o64p9mej30vr0u0ju3.jpg,https://wx4.sinaimg.cn/large/006StfVBly1hc2o64s7wej30u00v3aci.jpg,https://wx4.sinaimg.cn/large/006StfVBly1hc2o64sky0j30u014pjvx.jpg",,,,黄V
4880233259599377,MxFetEheF,6580968835,追剧少女韩芳芳w,#小学生主动帮白发老人推收废品车#被感动到了！,,,,小学生主动帮白发老人推收废品车,0,0,1,2023-03-17 10:55,微博轻享版,"https://wx1.sinaimg.cn/large/007bn4CDly1hc2o5ri19ij30u016bwjt.jpg,https://wx1.sinaimg.cn/large/007bn4CDly1hc2o5rj3j3j30u011x0x8.jpg,https://wx3.sinaimg.cn/large/007bn4CDly1hc2o5regaej30vr0u0wh6.jpg,https://wx3.sinaimg.cn/large/007bn4CDly1hc2o5ridtpj30u00wftbd.jpg,https://wx1.sinaimg.cn/large/007bn4CDly1hc2o5rkb9kj30u014ptd8.jpg,https://wx3.sinaimg.cn/large/007bn4CDly1hc2o5rhkvyj30u00v3mzl.jpg",,,,黄V
4880233139016700,MxFehBPEE,6455868572,小娱专治不开心,#小学生主动帮白发老人推收废品车#小朋友们真的很善良！,,,,小学生主动帮白发老人推收废品车,0,0,0,2023-03-17 10:55,微博轻享版,"https://wx4.sinaimg.cn/large/0072Uaksly1hc2o59uv9oj30u00yjgoj.jpg,https://wx2.sinaimg.cn/large/0072Uaksly1hc2o59tw5yj30u00v0aci.jpg,https://wx1.sinaimg.cn/large/0072Uaksly1hc2o59u9kmj30vr0u0q5n.jpg,https://wx2.sinaimg.cn/large/0072Uaksly1hc2o59vngdj30u00wfmzu.jpg,https://wx2.sinaimg.cn/large/0072Uaksly1hc2o59w6bsj30u014pjvx.jpg",,,,黄V
4880233028916388,MxFe6BpyI,6468005526,笑点超低路人甲,#小学生主动帮白发老人推收废品车#小学生好棒！,,,,小学生主动帮白发老人推收废品车,0,0,0,2023-03-17 10:54,iPhone客户端,"https://wx4.sinaimg.cn/large/0073J5HMly1hc2o4ths0mj30u00v0go2.jpg,https://wx1.sinaimg.cn/large/0073J5HMly1hc2o4ti29ij30vr0u0wh7.jpg,https://wx3.sinaimg.cn/large/0073J5HMly1hc2o4tgz5qj30u00v3go2.jpg,https://wx3.sinaimg.cn/large/0073J5HMly1hc2o4tj9qgj30u014pq7h.jpg",,,,黄V
4880227848686561,MxF5KArLP,6468005129,帅哥又在放电,#小学生主动帮白发老人推收废品车#一位网友下班路上偶然拍到广西三江县民族实验学校几位小学生主动帮助收废品的白发老人推收废品车上坡，而老人也走在外侧为了更好保证孩子们的安全，这就是教育的意义吧!@艺新视频L艺新视频的微博视频,,,艺新视频,小学生主动帮白发老人推收废品车,0,0,0,2023-03-17 10:34,微博视频号,,"http://f.video.weibocdn.com/o0/x94DuffNlx083VYRZyCk01041200ebDg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725026270&ssig=BA%2FKJAg90X&KID=unistore,video",,,黄V
4880227807528365,MxF5GvAtf,6455868669,唱情歌的破扫帚,#小学生主动帮白发老人推收废品车#一位网友下班路上偶然拍到广西三江县民族实验学校几位小学生主动帮助收废品的白发老人推收废品车上坡，而老人也走在外侧为了更好保证孩子们的安全，这就是教育的意义吧!@艺新视频L艺新视频的微博视频,,,艺新视频,小学生主动帮白发老人推收废品车,0,0,0,2023-03-17 10:34,Android,,"http://f.video.weibocdn.com/o0/x94DuffNlx083VYRZyCk01041200ebDg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725026270&ssig=BA%2FKJAg90X&KID=unistore,video",,,黄V
4880227216657763,MxF4JrVZh,6468307241,灯灯娱乐,#小学生主动帮白发老人推收废品车#一位网友下班路上偶然拍到广西三江县民族实验学校几位小学生主动帮助收废品的白发老人推收废品车上坡，而老人也走在外侧为了更好保证孩子们的安全，这就是教育的意义吧!@艺新视频L艺新视频的微博视频,,,艺新视频,小学生主动帮白发老人推收废品车,0,0,0,2023-03-17 10:31,iPhone客户端,,"http://f.video.weibocdn.com/o0/x94DuffNlx083VYRZyCk01041200ebDg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725026270&ssig=BA%2FKJAg90X&KID=unistore,video",,,蓝V
4880227005631940,MxF4onD7K,6455868655,大雾娱乐,#小学生主动帮白发老人推收废品车#一位网友下班路上偶然拍到广西三江县民族实验学校几位小学生主动帮助收废品的白发老人推收废品车上坡，而老人也走在外侧为了更好保证孩子们的安全，这就是教育的意义吧!@艺新视频L艺新视频的微博视频,,,艺新视频,小学生主动帮白发老人推收废品车,0,0,0,2023-03-17 10:30,iPhone客户端,,"http://f.video.weibocdn.com/o0/x94DuffNlx083VYRZyCk01041200ebDg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725026270&ssig=BA%2FKJAg90X&KID=unistore,video",,,蓝V
4880227006154106,MxF4opOXM,6525302611,锦鲤迎好运,#小学生主动帮白发老人推收废品车#一位网友下班路上偶然拍到广西三江县民族实验学校几位小学生主动帮助收废品的白发老人推收废品车上坡，而老人也走在外侧为了更好保证孩子们的安全，这就是教育的意义吧!@艺新视频L艺新视频的微博视频,,,艺新视频,小学生主动帮白发老人推收废品车,0,0,0,2023-03-17 10:30,iPhone客户端,,"http://f.video.weibocdn.com/o0/x94DuffNlx083VYRZyCk01041200ebDg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725026270&ssig=BA%2FKJAg90X&KID=unistore,video",,,黄V
