id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5041317562287221,OhkRe9B0F,1590753120,中国反邪教,【为什么“受伤”的总是老年人？】在邪教组织传播、扩散的过程当中，中老年群体往往更加容易“中邪”，成为上当受骗的目标。是什么原因让生活阅历丰富的老人变得“抵抗力”这么薄弱？且听无邪君一一道来。L中国反邪教的微博视频#层出不穷的老年人养生骗局#,,,,层出不穷的老年人养生骗局,144,14,46,2024-06-03 23:07,无邪君的Android,,"http://f.video.weibocdn.com/o0/myeplV4nlx088TOJsNYs01041200S8TX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725499776&ssig=wEaHbDOy8G&KID=unistore,video",,,
5064418410896747,Or1OF3LhF,6044335905,汕头反邪,//@广东反邪教:#层出不穷的老年人养生骗局##珍爱生命远离邪教##对邪教说不#,,,广东反邪教,"层出不穷的老年人养生骗局,珍爱生命远离邪教,对邪教说不",0,0,46,2024-08-06 17:01,微博网页版,,,5041317562287221,,蓝V
5053820585641135,OmA7onFw3,5870516926,圆梦今生,#层出不穷的老年人养生骗局#,,,,层出不穷的老年人养生骗局,0,0,0,2024-07-08 11:09,微博搜索,,,,,普通用户
5045135920599972,OiWbS2w4Y,5601614404,中国移动内蒙古公司,#小移防诈#【打击整治养老诈骗守护老年人“养老钱”】近年来，诈骗套路层出不穷。一些不法分子利用老年人信息闭塞、渴望健康、认知较弱的特点，骗取老年人钱财。常见的诈骗套路有哪些？又该如何防范呢？法官温馨提示：老年人要提高警惕，增强防骗意识。不要轻信所谓熟人的“内部信息”或“特殊优惠”；端正保健观念；作出重要决策前，多与家人沟通交流。戳视频↓↓↓识别养老陷阱，谨防上当受骗。（@昌黎法院）#层出不穷的老年人养生骗局#L人民法院报的微博视频,,,昌黎法院,"小移防诈,层出不穷的老年人养生骗局",0,0,1,2024-06-14 12:00,微博视频号,,"http://f.video.weibocdn.com/o0/BfCaWOAhlx08aSHx37UA01041200IGPE0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725499776&ssig=92ZiKTl4tD&KID=unistore,video",,,蓝V
5045121185480910,OiVO6mZPM,7742523268,蓝马甲,警惕#层出不穷的老年人养生骗局#！“健康管理仪”可以“包治百病”？甚至连医院开的药都不用吃了？假的！近年来，类似骗局可谓是层出不穷。在加大打击力度的同时，我们作为子女小辈更应该给予长辈关心、关怀，多多为他们科普身心健康知识和科学保健理念，帮他们巩固防骗意识～O人民来论：警惕“包治百病”的养生陷阱,,,,层出不穷的老年人养生骗局,0,0,0,2024-06-14 11:01,微博网页版,,,,,蓝V
5044099365473107,Oive0mXNV,7205959835,如东政法,【“银发一族”请留意，防范养老诈骗我们有“画”说】#层出不穷的老年人养生骗局#@潍坊公安,,,潍坊公安,层出不穷的老年人养生骗局,0,1,2,2024-06-11 15:21,vivo Y52s高清影像,https://wx4.sinaimg.cn/large/007RFtkDly1hqlfx7vutdj30j62d7159.jpg,,,,蓝V
5044098610497873,OivcN25wd,6044335905,汕头反邪,//@广东反邪教:#层出不穷的老年人养生骗局##珍爱生命远离邪教##对邪教说不#,,,广东反邪教,"层出不穷的老年人养生骗局,珍爱生命远离邪教,对邪教说不",0,0,46,2024-06-11 15:18,微博网页版,,,5041317562287221,,蓝V
5043846905334888,OioEOmnQA,2781649783,郑房有问有答,专门骗老年人的新骗局。#诈骗##防诈骗##层出不穷的老年人养生骗局#L郑房有问有答的微博视频,,郑州,,"诈骗,防诈骗,层出不穷的老年人养生骗局",27,3,39,2024-06-10 22:37,微博视频号,,"http://f.video.weibocdn.com/o0/mR6A9Kztlx08fy9YGSM001041200GJIa0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725499776&ssig=13cVMzcW1c&KID=unistore,video",,,金V
5043477641430058,Oif3e601s,1819962055,酷客猪,最近一些养生器械都死灰复燃了，很多老年人一个带一个的被骗过去，就是开始给几颗鸡蛋之类的，再免费用，最后自己掏钱买#层出不穷的老年人养生骗局#,,,,层出不穷的老年人养生骗局,0,0,0,2024-06-09 22:10,,,,,,普通用户
5042898810962525,OhZZD42oB,5182101949,河北反邪教,天下无邪超话【为什么“受伤”的总是老年人？】在邪教组织传播、扩散的过程当中，中老年群体往往更加容易“中邪”，成为上当受骗的目标。是什么原因让生活阅历丰富的老人变得“抵抗力”这么薄弱？且听无邪君一一道来。L中国反邪教的微博视频#层出不穷的老年人养生骗局#,,,,层出不穷的老年人养生骗局,3,1,1,2024-06-08 07:50,天下无邪超话,,"http://f.video.weibocdn.com/o0/myeplV4nlx088TOJsNYs01041200S8TX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725499776&ssig=wEaHbDOy8G&KID=unistore,video",,,
5043392708348187,OicQez1Kb,2574374407,前进的信使,//@笨鸟大:一起来看看吧#层出不穷的老年人养生骗局#,,,笨鸟大,层出不穷的老年人养生骗局,0,0,1,2024-06-09 16:33,荣耀20 PRO,,,5042898810962525,,普通用户
5043342201847927,OibwM7KJh,1779533387,艾泽拉斯旧梦,//@笨鸟大:一起来看看吧#层出不穷的老年人养生骗局#,,,笨鸟大,层出不穷的老年人养生骗局,0,0,1,2024-06-09 13:12,HUAWEI Mate 40 Pro,,,5042898810962525,,黄V
5043247170715689,Oi93v30bn,5107015507,笨鸟大,一起来看看吧#层出不穷的老年人养生骗局#,,,,层出不穷的老年人养生骗局,2,1,1,2024-06-09 06:54,,,,5042898810962525,,黄V
5042577109422932,OhRCKDxkM,6044335905,汕头反邪,//@广东反邪教:#层出不穷的老年人养生骗局##珍爱生命远离邪教##对邪教说不#,,,广东反邪教,"层出不穷的老年人养生骗局,珍爱生命远离邪教,对邪教说不",0,0,46,2024-06-07 10:32,微博网页版,,,5041317562287221,,蓝V
5042292681346748,OhKe05ElK,3114011613,西秀公安,【为什么“受伤”的总是老年人？】在邪教组织传播、扩散的过程当中，中老年群体往往更加容易“中邪”，成为上当受骗的目标。是什么原因让生活阅历丰富的老人变得“抵抗力”这么薄弱？且听无邪君一一道来。L中国反邪教的微博视频#层出不穷的老年人养生骗局#,,,,层出不穷的老年人养生骗局,0,0,0,2024-06-06 15:41,微博视频号,,"http://f.video.weibocdn.com/o0/myeplV4nlx088TOJsNYs01041200S8TX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725499777&ssig=weTYFGain%2B&KID=unistore,video",,,蓝V
5042280303431692,OhJU2eoJS,1670986297,视讯中国,【#警惕包治百病的养生陷阱#】#层出不穷的老年人养生骗局#“健康管理仪”可以“包治百病”？甚至连医院开的药都不用吃了？假的！近日，在黑心商家的“忽悠”下，多位老年人花钱购买价格高达15900元的按摩仪。近年来，类似骗局可谓是层出不穷。监管部门应加大对不法商家的打击力度，子女应给予父母多一些关怀，相关机构也应为老年人普及健康知识和科学保健理念，提供法律咨询和法律援助服务。O人民来论：警惕“包治百病”的养生陷阱,,,,"警惕包治百病的养生陷阱,层出不穷的老年人养生骗局",0,0,0,2024-06-06 14:52,微博网页版,,,,,蓝V
5042230777872710,OhIC9x23c,5690891399,盐亭县公安,【“银发一族”请留意，防范养老诈骗我们有“画”说】#层出不穷的老年人养生骗局#,,,,层出不穷的老年人养生骗局,0,6,2,2024-06-06 11:36,,https://wx4.sinaimg.cn/large/006d8oOXgy1hqfd2wx5kbj30j62d7n9p.jpg,,,,蓝V
5042209496238752,OhI3PqaZ2,6304943961,山西平陆反邪教,【为什么“受伤”的总是老年人？】在邪教组织传播、扩散的过程当中，中老年群体往往更加容易“中邪”，成为上当受骗的目标。是什么原因让生活阅历丰富的老人变得“抵抗力”这么薄弱？且听无邪君一一道来。中国反邪教的微博视频#层出不穷的老年人养生骗局#,,,,层出不穷的老年人养生骗局,0,0,46,2024-06-06 10:11,微博网页版,,,5041317562287221,,蓝V
5041978872168807,OhC3R96cL,6061154143,山西晋城反邪教,//@山西反邪教:【为什么“受伤”的总是老年人？】#层出不穷的老年人养生骗局#,,,山西反邪教,层出不穷的老年人养生骗局,0,0,46,2024-06-05 18:55,HUAWEI P50E,,,5041317562287221,,蓝V
5041948968882739,OhBhCBgNZ,6078397755,山西浑源反邪教,//@山西反邪教:【为什么“受伤”的总是老年人？】#层出不穷的老年人养生骗局#,,,山西反邪教,层出不穷的老年人养生骗局,0,0,46,2024-06-05 16:56,微博网页版,,,5041317562287221,,蓝V
5041931325541016,OhAPanfte,6273114765,山西隰县反邪教,//@山西临汾反邪教://@山西反邪教:【为什么“受伤”的总是老年人？】#层出不穷的老年人养生骗局#,,,"山西临汾反邪教,山西反邪教",层出不穷的老年人养生骗局,0,0,46,2024-06-05 15:46,微博网页版,,,5041317562287221,,蓝V
5041925771493859,OhAGd6gCv,5389741206,济南市钢城检察,【#警惕包治百病的养生陷阱#】#层出不穷的老年人养生骗局#“健康管理仪”可以“包治百病”？甚至连医院开的药都不用吃了？假的！近日，在黑心商家的“忽悠”下，多位老年人花钱购买价格高达15900元的按摩仪。近年来，类似骗局可谓是层出不穷。监管部门应加大对不法商家的打击力度，子女应给予父母多一些关怀，相关机构也应为老年人普及健康知识和科学保健理念，提供法律咨询和法律援助服务。O人民来论：警惕“包治百病”的养生陷阱,,,,"警惕包治百病的养生陷阱,层出不穷的老年人养生骗局",0,0,0,2024-06-05 15:24,HUAWEI Mate 60 Pro,,,,,蓝V
5041917257320735,OhAstuIsn,6510667673,斗门区反X教,//@广东反邪教:#层出不穷的老年人养生骗局##珍爱生命远离邪教##对邪教说不#,,,广东反邪教,"层出不穷的老年人养生骗局,珍爱生命远离邪教,对邪教说不",0,0,46,2024-06-05 14:50,微博网页版,,,5041317562287221,,蓝V
5041889841512671,OhzKg6lvV,5885640466,广西反邪教,【为什么“受伤”的总是老年人？】在邪教组织传播、扩散的过程当中，中老年群体往往更加容易“中邪”，成为上当受骗的目标。是什么原因让生活阅历丰富的老人变得“抵抗力”这么薄弱？且听无邪君一一道来。L中国反邪教的微博视频#层出不穷的老年人养生骗局##反邪教知识转播#,,,,"层出不穷的老年人养生骗局,反邪教知识转播",0,6,7,2024-06-05 13:01,FFAndroid,,"http://f.video.weibocdn.com/o0/myeplV4nlx088TOJsNYs01041200S8TX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725499779&ssig=KmBkdmMa%2Bu&KID=unistore,video",,,蓝V
5041889622102984,OhzJU8P56,5921264117,防城港反邪,【为什么“受伤”的总是老年人？】在邪教组织传播、扩散的过程当中，中老年群体往往更加容易“中邪”，成为上当受骗的目标。是什么原因让生活阅历丰富的老人变得“抵抗力”这么薄弱？且听无邪君一一道来。L中国反邪教的微博视频#层出不穷的老年人养生骗局##防城反邪转播#,,,,"层出不穷的老年人养生骗局,防城反邪转播",0,1,3,2024-06-05 13:00,Android,,"http://f.video.weibocdn.com/o0/myeplV4nlx088TOJsNYs01041200S8TX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725499779&ssig=KmBkdmMa%2Bu&KID=unistore,video",,,蓝V
5041861754618213,Ohz0Xjnpj,2118962555,茂名反邪,//@广东反邪教:#层出不穷的老年人养生骗局##珍爱生命远离邪教##对邪教说不#,,,广东反邪教,"层出不穷的老年人养生骗局,珍爱生命远离邪教,对邪教说不",0,0,46,2024-06-05 11:09,微博网页版,,,5041317562287221,,蓝V
5041861615950572,Ohz0JoY0Y,6260489157,山西大宁反邪教,//@山西反邪教:【为什么“受伤”的总是老年人？】#层出不穷的老年人养生骗局#,,,山西反邪教,层出不穷的老年人养生骗局,0,0,46,2024-06-05 11:09,微博网页版,,,5041317562287221,,蓝V
5041852327663843,OhyLKw9In,3849589877,太原市万柏林法院,@中国反邪教【为什么“受伤”的总是老年人？】在邪教组织传播、扩散的过程当中，中老年群体往往更加容易“中邪”，成为上当受骗的目标。是什么原因让生活阅历丰富的老人变得“抵抗力”这么薄弱？且听无邪君一一道来。中国反邪教的微博视频#层出不穷的老年人养生骗局#L中国反邪教的微博视频,,,中国反邪教,层出不穷的老年人养生骗局,0,0,0,2024-06-05 10:32,微博视频号,,"http://f.video.weibocdn.com/o0/myeplV4nlx088TOJsNYs01041200S8TX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725499779&ssig=KmBkdmMa%2Bu&KID=unistore,video",,,蓝V
5041835066785828,OhyjUstiQ,6270052928,山西浮山反邪教,//@山西反邪教:【为什么“受伤”的总是老年人？】#层出不穷的老年人养生骗局#,,,山西反邪教,层出不穷的老年人养生骗局,0,0,46,2024-06-05 09:23,微博网页版,,,5041317562287221,,蓝V
