id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4755287900426681,Lnci21MZX,5380882701,潼关检察,【#居家隔离退休护士隔空指挥救摔晕老人#征得社区同意后又亲自抢救】#全民正能量#4月2日，河北唐山，一退休护士正在居家隔离的时候，看到一位收垃圾的师傅从车上摔下来，疑似有脑外伤，便隔着窗户指导户外居民救援。护士的儿媳李女士称，妈妈在急诊室呆了十几年，看到这种情况后非常着急，后来征得社区的同意，又跑出去抢救，最后，伤者被120拉走救治。@沸点正能量#蓝v视界#L沸点正能量的微博视频,,,沸点正能量,"居家隔离退休护士隔空指挥救摔晕老人,全民正能量,蓝v视界",2,5,6,2022-04-06 16:07,微博视频号,,"http://f.video.weibocdn.com/o0/UPo6Bxozlx07V25sKSD601041200HmkU0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007428&ssig=iGXsUado3L&KID=unistore,video",,,蓝V
4755218816043155,LnauBpm6f,7660811994,新鲜视频,【#居家隔离退休护士隔空指挥救摔晕老人#征得社区同意后又亲自抢救】4月2日，河北唐山，一退休护士正在居家隔离的时候，看到一位收垃圾的师傅从车上摔下来，疑似有脑外伤，便隔着窗户指导户外居民救援。护士的儿媳李女士称，妈妈在急诊室呆了十几年，看到这种情况后非常着急，后来征得社区的同意，又跑出去抢救，最后，伤者被120拉走救治。#蓝V视界#L沸点正能量的微博视频,,,,"居家隔离退休护士隔空指挥救摔晕老人,蓝V视界",0,0,0,2022-04-06 11:32,iPhone客户端,,"http://f.video.weibocdn.com/o0/UPo6Bxozlx07V25sKSD601041200HmkU0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007428&ssig=iGXsUado3L&KID=unistore,video",,,蓝V
4755218695458698,LnaupmU3w,5893968025,呼伦贝尔反邪教,【#居家隔离退休护士隔空指挥救摔晕老人#征得社区同意后又亲自抢救】,,,,居家隔离退休护士隔空指挥救摔晕老人,0,0,0,2022-04-06 11:32,微博 weibo.com,,,,,蓝V
4755212013406032,LnajDei40,6334036730,无邪卓资县,【#居家隔离退休护士隔空指挥救摔晕老人#征得社区同意后又亲自抢救】@内蒙古反邪教,,,内蒙古反邪教,居家隔离退休护士隔空指挥救摔晕老人,0,0,0,2022-04-06 11:05,微博网页版,,,,,蓝V
4754933989771448,Ln35cF000,6155344804,河北长安网,【#居家隔离退休护士隔空指挥救摔晕老人#征得社区同意后又亲自抢救】4月2日，河北唐山，一退休护士正在居家隔离的时候，看到一位收垃圾的师傅从车上摔下来，疑似有脑外伤，便隔着窗户指导户外居民救援。护士的儿媳李女士称，妈妈在急诊室呆了十几年，看到这种情况后非常着急，后来征得社区的同意，又跑出去抢救，最后，伤者被120拉走救治。@唐山长安网L沸点正能量的微博视频,,,唐山长安网,居家隔离退休护士隔空指挥救摔晕老人,8,12,11,2022-04-05 16:41,iPhone客户端,,"http://f.video.weibocdn.com/o0/UPo6Bxozlx07V25sKSD601041200HmkU0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007428&ssig=iGXsUado3L&KID=unistore,video",,,
4755191671555300,Ln9MP6wBu,6292660155,宁晋长安网,【#居家隔离退休护士隔空指挥救摔晕老人#征得社区同意后又亲自抢救】,,,,居家隔离退休护士隔空指挥救摔晕老人,0,0,11,2022-04-06 09:45,微博网页版,,,4754933989771448,,蓝V
4755187879119606,Ln9GHCgqq,7593263604,寻美河北,#寻美河北##寻美中国##唐山身边事#【#居家隔离退休护士隔空指挥救摔晕老人#征得社区同意后又亲自抢救】4月2日，唐山，一退休护士正在居家隔离的时候，看到一位收垃圾的师傅从车上摔下来，疑似有脑外伤，便隔着窗户指导户外居民救援。护士的儿媳李女士称，妈妈在急诊室呆了十几年，看到这种情况后非常着急，后来征得社区的同意，又跑出去抢救，最后，伤者被120拉走救治。via.L沸点正能量的微博视频,,,,"寻美河北,寻美中国,  唐山身边事,居家隔离退休护士隔空指挥救摔晕老人",0,0,0,2022-04-06 09:30,微博视频号,,"http://f.video.weibocdn.com/o0/UPo6Bxozlx07V25sKSD601041200HmkU0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007428&ssig=iGXsUado3L&KID=unistore,video",,,蓝V
4755030932198271,Ln5Bz9dRZ,1199581807,态度岛,【居家隔离退休护士隔空指挥救摔晕老人，征得社区同意后又亲自抢救】4月2日，河北唐山，一退休护士正在居家隔离的时候，看到一位收垃圾的师傅从车上摔下来，疑似有脑外伤，便隔着窗户指导户外居民救援。护士的儿媳李女士称，妈妈在急诊室呆了十几年，看到这种情况后非常着急，后来征得社区的同意，又跑出去抢救，最后，伤者被120拉走救治。#居家隔离退休护士隔空指挥救摔晕老人#L态度岛的微博视频,,,,居家隔离退休护士隔空指挥救摔晕老人,1,0,21,2022-04-05 23:06,微博视频号,,"http://f.video.weibocdn.com/o0/qhzERxpOlx07V2XZ0DIA010412006SHp0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007428&ssig=WHefMOhWtS&KID=unistore,video",,,普通用户
4755026583227053,Ln5uydxvf,6222101460,凯风扎兰,【#居家隔离退休护士隔空指挥救摔晕老人#征得社区同意后又亲自抢救】,,,,居家隔离退休护士隔空指挥救摔晕老人,0,0,0,2022-04-05 22:49,微博网页版,,,,,普通用户
4754987068690076,Ln4sOAsGw,7438064490,芬芳3a,【#居家隔离退休护士隔空指挥救摔晕老人#征得社区同意后又亲自抢救】#全民正能量#4月2日，河北唐山，一退休护士正在居家隔离的时候，看到一位收垃圾的师傅从车上摔下来，疑似有脑外伤，便隔着窗户指导户外居民救援。护士的儿媳李女士称，妈妈在急诊室呆了十几年，看到这种情况后非常着急，后来征得社区的同意，又跑出去抢救，最后，伤者被120拉走救治。@沸点正能量#蓝v视界#O诉求,,唐山,沸点正能量,"居家隔离退休护士隔空指挥救摔晕老人,全民正能量,蓝v视界",0,0,0,2022-04-05 20:12,华为手机 畅享玩不停,,,,,普通用户
