id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5063640401052661,OqHzO4pQp,7853776711,鼎之不是云,#山东101岁独居老人走失遗体被找到#好惨啊，这么大年纪了，子女也不管管吗,,,,山东101岁独居老人走失遗体被找到,0,0,0,2024-08-04 13:30,,,,,,黄V
5063526295536268,OqEBLneeE,7498117867,棠祎悸鸢,#山东101岁独居老人走失遗体被找到#101岁还糊涂，让他独居合适吗？有后代101岁还独居，现在人没了来怀疑车祸,,,,山东101岁独居老人走失遗体被找到,0,0,0,2024-08-04 05:56,iPhone客户端,,,,,红V
5063487290083103,OqDAR0lCn,7541154257,肋骨刺,#山东101岁独居老人走失遗体被找到#为什么101岁还独居子女这都放心吗就算不愿意接回家住也得去个养老院吧唉太惨了,,,,山东101岁独居老人走失遗体被找到,0,8,17,2024-08-04 03:21,iPhone 13,,,,,金V
5063466270066235,OqD2X0hej,6040598118,你好小姑凉88666,#山东101岁独居老人走失遗体被找到#101岁，独居老人？？？我怎么看不懂了？这么大岁数，子女居然放心他独居？,,,,山东101岁独居老人走失遗体被找到,0,0,5,2024-08-04 01:58,一加 Ace 2 Pro,,,,,普通用户
5063461559600510,OqCVlEhwW,1990089712,keikeipoon,#山东101岁独居老人走失遗体被找到#太可怜了,,,,山东101岁独居老人走失遗体被找到,0,0,0,2024-08-04 01:39,iPhone客户端,,,,,普通用户
5063445713780780,OqCvNfRyk,3811367156,涂山青柳dvd-17,#山东101岁独居老人走失遗体被找到#101岁还糊涂，让他独居合适吗？有后代101岁还独居，现在人没了来怀疑车祸。,,,,山东101岁独居老人走失遗体被找到,0,8,58,2024-08-04 00:36,尊都超爱你iPhone 15 Pro,,,,,红V
5063410339283844,OqBAJCX9q,1735937570,江南都市报,【#山东101岁独居老人走失遗体被找到#，警方介入调查死因】8月2日，一份关于青岛百岁老人的寻人启事在网上引发关注。寻人启事显示，老人名叫周某五，男，101岁，于8月2日上午11点左右从家中离开，之后失去联系。走失时穿着浅灰色上衣，戴着草帽，家属已报警。8月3日，记者联系到莱西市鸿天应急救援中心的一名工作人员。他透露，周某五老人已经找到，人已经去世了。“我们从2号一直找到了3号凌晨一点多，3号早上又继续找，3号早上6点半左右，在村子后面，一个桥洞的边上找到了老人。”“应该不是被车撞的，应该是意外。身上没有什么外伤，头部有一点血，躺在桥洞附近。”该工作人员透露，老人于8月2日中午走失，本身的身体状况不太好，有点糊涂。“我们找到后，通知家属过来辨认，家属确认后我们就撤了。”“我们现在正在等待法医鉴定的结果。还没出结果，无法确定是不是被车撞。”周某五的家属告诉记者，监控画面显示，周某五于8月2日11点左右离开家，家属在周某五最后出现的监控画面所在地点，沿着一个方向寻找，但最终周某五在相反方向被找到，在位于高速路下方的桥洞，死亡时间应该是凌晨3、4点。8月3日，莱西市公安局沽河派出所的一名工作人员告诉记者，8月3日早上接到群众报警后，经现场确认，的确是周某五。至于周某五死亡原因，他们正在调查中。对于网上所传的“车祸后抛尸”，该工作人员表示，不要相信网上的谣传信息，以官方消息为准。（潇湘晨报）L潇湘晨报的微博视频,,,,山东101岁独居老人走失遗体被找到,0,0,0,2024-08-03 22:16,微博视频号,,"http://f.video.weibocdn.com/o0/i13lDlg5lx08gVIqFWfK0104120065F00E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010517&ssig=DN4xF8clBY&KID=unistore,video",,,蓝V
5063405659227431,OqBtbCItx,1655444627,潇湘晨报,【小调查：你会留意周边的寻人启事吗？】#山东101岁独居老人走失遗体被找到#你会留意周边的寻人启事吗？,,,,山东101岁独居老人走失遗体被找到,0,0,218,2024-08-03 21:57,,,,,,蓝V
5063394983675119,OqBbYfq47,1751714412,大皖新闻,【#山东101岁独居老人走失遗体被找到#，警方介入调查死因】8月2日，一份关于青岛百岁老人的寻人启事在网上引发关注。寻人启事显示，老人名叫周某五，男，101岁，于8月2日上午11点左右从家中离开，之后失去联系。走失时穿着浅灰色上衣，戴着草帽，家属已报警。8月3日，记者联系到莱西市鸿天应急救援中心的一名工作人员。他透露，周某五老人已经找到，人已经去世了。“我们从2号一直找到了3号凌晨一点多，3号早上又继续找，3号早上6点半左右，在村子后面，一个桥洞的边上找到了老人。”“应该不是被车撞的，应该是意外。身上没有什么外伤，头部有一点血，躺在桥洞附近。”该工作人员透露，老人于8月2日中午走失，本身的身体状况不太好，有点糊涂。“我们找到后，通知家属过来辨认，家属确认后我们就撤了。”“我们现在正在等待法医鉴定的结果。还没出结果，无法确定是不是被车撞。”周某五的家属告诉记者，监控画面显示，周某五于8月2日11点左右离开家，家属在周某五最后出现的监控画面所在地点，沿着一个方向寻找，但最终周某五在相反方向被找到，在位于高速路下方的桥洞，死亡时间应该是凌晨3、4点。8月3日，莱西市公安局沽河派出所的一名工作人员告诉记者，8月3日早上接到群众报警后，经现场确认，的确是周某五。至于周某五死亡原因，他们正在调查中。对于网上所传的“车祸后抛尸”，该工作人员表示，不要相信网上的谣传信息，以官方消息为准。（潇湘晨报）L潇湘晨报的微博视频,,,,山东101岁独居老人走失遗体被找到,0,1,5,2024-08-03 21:15,微博视频号,,"http://f.video.weibocdn.com/o0/i13lDlg5lx08gVIqFWfK0104120065F00E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010518&ssig=iy2INi8chL&KID=unistore,video",,,蓝V
5063332102935891,OqzyycjL5,1426511330,小条本,#山东101岁独居老人走失遗体被找到#对于所传的“车祸后抛尸”……请不要相信网上的谣传信息，以官方消息为准。,,,,山东101岁独居老人走失遗体被找到,0,1,7,2024-08-03 17:05,,https://wx4.sinaimg.cn/large/5506d5e2ly1hsasrp9ruaj20ku0atn50.jpg,,,,金V
