id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4809566385081738,M40REljZw,2028810631,新浪新闻,【#市民骗不愿插队老人是按年龄测核酸#】9月2日，四川成都。老人下楼排队做核酸，与众人一起排队近一个小时，大家都让老人先去测，但老人称是插队不愿意前往。最后大家谎称是按年龄测，老人才到前面去做核酸。@沸点壹刻L沸点壹刻的微博视频,,,沸点壹刻,市民骗不愿插队老人是按年龄测核酸,87,295,2573,2022-09-03 10:50,微博视频号,,"http://f.video.weibocdn.com/o0/xWnIRT0dlx07YUYj9Ada010412007dDk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982887&ssig=9YK3sCRLm0&KID=unistore,video",,,
4809724191840827,M44Yb7ISL,7734838475,众星不如一岄,好人必有好报🙏🙏🙏🙏🙏🙏//@小小酥肉饼干:【#市民骗不愿插队老人是按年龄测核酸#】都是善良的人不是所有老人变老就变坏了,,,小小酥肉饼干,市民骗不愿插队老人是按年龄测核酸,0,0,2573,2022-09-03 21:17,荣耀20i,,,4809566385081738,,黄V
4809644382620391,M42TsaZGn,3844730501,昆明东川发布,【#市民骗不愿插队老人是按年龄测核酸#】9月2日，四川成都。老人下楼排队做核酸，与众人一起排队近一个小时，大家都让老人先去测，但老人称是插队不愿意前往。最后大家谎称是按年龄测，老人才到前面去做核酸。L沸点壹刻的微博视频,,,,市民骗不愿插队老人是按年龄测核酸,0,0,0,2022-09-03 16:00,微博视频号,,"http://f.video.weibocdn.com/o0/xWnIRT0dlx07YUYj9Ada010412007dDk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982887&ssig=9YK3sCRLm0&KID=unistore,video",,,蓝V
4809622785625875,M42kCnBxV,7749447408,小小酥肉饼干,【#市民骗不愿插队老人是按年龄测核酸#】都是善良的人不是所有老人变老就变坏了,,,,市民骗不愿插队老人是按年龄测核酸,1,1,2573,2022-09-03 14:34,iPhone X,,,4809566385081738,,黄V
4809598672051609,M41HJ8BIt,3585793804,叙州之窗,【#市民骗不愿插队老人是按年龄测核酸#】9月2日，四川成都。老人下楼排队做核酸，与众人一起排队近一个小时，大家都让老人先去测，但老人称是插队不愿意前往。最后大家谎称是按年龄测，老人才到前面去做核酸。@沸点壹刻L沸点壹刻的微博视频,,,沸点壹刻,市民骗不愿插队老人是按年龄测核酸,0,0,0,2022-09-03 12:59,微博视频号,,"http://f.video.weibocdn.com/o0/xWnIRT0dlx07YUYj9Ada010412007dDk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982887&ssig=9YK3sCRLm0&KID=unistore,video",,,蓝V
4809594604099145,M41Bahcnf,7537213420,肖兔子的兔子姐姐,#市民骗不愿插队老人是按年龄测核酸#看吧看吧，这样的老人还是很多的！希望多报道一些这样正能量的老人，不要吓坏小朋友，让小朋友们以为所有的老人都是变坏的老人！,,,,市民骗不愿插队老人是按年龄测核酸,0,0,0,2022-09-03 12:42,荣耀 9X,,,,,黄V
4809593215517587,M41yVn9nl,3533603800,寻梦自然,赞！#市民骗不愿插队老人是按年龄测核酸#9月2日，四川成都。老人下楼排队做核酸，与众人一起排队近一个小时，大家都让老人先去测，但老人称是插队不愿意前往。最后大家谎称是按年龄测，老人才到前面去做核酸。@沸点壹刻L沸点壹刻的微博视频,,,沸点壹刻,市民骗不愿插队老人是按年龄测核酸,2,1,1,2022-09-03 12:37,微博视频号,,"http://f.video.weibocdn.com/o0/xWnIRT0dlx07YUYj9Ada010412007dDk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982887&ssig=9YK3sCRLm0&KID=unistore,video",,,黄V
4809586638590004,M41ojA2Es,2781027274,896汽车调频,【#市民骗不愿插队老人是按年龄测核酸#】9月2日，四川成都。老人下楼排队做核酸，与众人一起排队近一个小时，大家都让老人先去测，但老人称是插队不愿意前往。最后大家谎称是按年龄测，老人才到前面去做核酸。@沸点壹刻L沸点壹刻的微博视频,,,沸点壹刻,市民骗不愿插队老人是按年龄测核酸,0,0,0,2022-09-03 12:11,iPhone客户端,,"http://f.video.weibocdn.com/o0/xWnIRT0dlx07YUYj9Ada010412007dDk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982887&ssig=9YK3sCRLm0&KID=unistore,video",,,蓝V
4809574701335747,M41545Buj,2780457263,你能不能多见见世面,【#市民骗不愿插队老人是按年龄测核酸#】9月2日，四川成都一名老人下楼排队做核酸时，与众人一起排队近一个小时。大家都让老人先去测，但老人称是插队不愿意前往。最后，大家谎称是按年龄测，老人才到前面去做核酸。@沸点壹刻L沸点壹刻的微博视频,,,沸点壹刻,市民骗不愿插队老人是按年龄测核酸,0,0,5,2022-09-03 11:23,微博视频号,,"http://f.video.weibocdn.com/o0/xWnIRT0dlx07YUYj9Ada010412007dDk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982887&ssig=9YK3sCRLm0&KID=unistore,video",,,黄V
4809574701338608,M41545Ces,1778758223,新浪看点,【#市民骗不愿插队老人是按年龄测核酸#】9月2日，四川成都一名老人下楼排队做核酸时，与众人一起排队近一个小时。大家都让老人先去测，但老人称是插队不愿意前往。最后，大家谎称是按年龄测，老人才到前面去做核酸。@沸点壹刻L沸点壹刻的微博视频,,,沸点壹刻,市民骗不愿插队老人是按年龄测核酸,1,1,21,2022-09-03 11:23,微博视频号,,"http://f.video.weibocdn.com/o0/xWnIRT0dlx07YUYj9Ada010412007dDk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982887&ssig=9YK3sCRLm0&KID=unistore,video",,,蓝V
