id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4930582792114001,NcPB58RWN,3264195233,宛彼鸣鸠_,#常州一社区食堂开通老年人刷脸就餐补贴#这个社区食堂位置在哪呀,,,,常州一社区食堂开通老年人刷脸就餐补贴,0,0,1,2023-08-03 09:26,OPPO Reno9 Pro+ 5G,,,,,普通用户
4930572667849901,NcPkKwW7j,5671717130,常动态,"#常州身边事#【#常州一社区食堂开通老年人刷脸就餐补贴#】近日，常州天宁区社区食堂""茶饭小馆""开通老年人""刷脸""就餐补贴：点好餐，结账时通过人脸识别，60岁以上的辖区居民就自动享受了各级部门的助餐补贴。根据目前政策，这里的老年人每天享用助餐时，市区两级各补贴2元，承办社区食堂的饭店经营者还额外补贴1元。常州新发现超话L江苏新闻的微博视频",,,,"常州身边事,常州一社区食堂开通老年人刷脸就餐补贴",0,0,0,2023-08-03 08:46,常州新发现超话,,"http://f.video.weibocdn.com/o0/SuLZ9DZVlx087uogjBfy01041200IBpU0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013782&ssig=mCj%2Fw%2FupYs&KID=unistore,video",,,黄V
4930564303885391,NcP7ggiLB,1755339175,作家葛欣,#常州一社区食堂开通老年人刷脸就餐补贴#不错，希望普及。,,,,常州一社区食堂开通老年人刷脸就餐补贴,0,0,1,2023-08-03 08:13,HUAWEI P40 Pro 5G,https://wx4.sinaimg.cn/large/68a059a7ly1hgj8lmrm7nj20zk0zkqkk.jpg,,,,黄V
4930552446322603,NcOO8qwNt,1263692934,第一球迷胖哥,"胖哥论坛超话#苏大强#【#常州一社区食堂开通老年人刷脸就餐补贴#】近日，常州天宁区社区食堂""茶饭小馆""开通老年人“刷脸”就餐补贴：点好餐，结账时通过人脸识别，60岁以上的辖区居民就自动享受了各级部门的助餐补贴。根据目前政策，这里的老年人每天享用助餐时，市区两级各补贴2元，承办社区食堂的饭店经营者还额外补贴1元。#苏大赞#L江苏新闻的微博视频",,,,"苏大强,常州一社区食堂开通老年人刷脸就餐补贴,苏大赞",0,0,0,2023-08-03 07:26,胖哥论坛超话,,"http://f.video.weibocdn.com/o0/SuLZ9DZVlx087uogjBfy01041200IBpU0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013782&ssig=mCj%2Fw%2FupYs&KID=unistore,video",,,金V
4930488475845233,NcN8XowBX,2689289163,乂yu_zu麽办,#常州一社区食堂开通老年人刷脸就餐补贴#希望各地推广,,,,常州一社区食堂开通老年人刷脸就餐补贴,0,0,0,2023-08-03 03:11,iPhone客户端,,,,,普通用户
4930452580208902,NcMd40Slo,6359010179,你能不能别吵了,#常州一社区食堂开通老年人刷脸就餐补贴#这一个挺好的,,,,常州一社区食堂开通老年人刷脸就餐补贴,0,2,3,2023-08-03 00:49,虞书欣老婆Android,,,,,黄V
4930432347410747,NcLGqv5Sb,1415676655,HERMES的小窝,#常州一社区食堂开通老年人刷脸就餐补贴#对，这样的餐厅肯定有补贴才能长久开下去，不要看之前那些盲目开这种餐厅的人,,,,常州一社区食堂开通老年人刷脸就餐补贴,0,0,1,2023-08-02 23:28,,,,,,黄V
4930311815695582,NcIy1nTGe,2616693703,常州发布,"【#常州一社区食堂开通老年人刷脸就餐补贴#】近日，常州天宁区社区食堂""茶饭小馆""开通老年人""刷脸""就餐补贴：点好餐，结账时通过人脸识别，60岁以上的辖区居民就自动享受了各级部门的助餐补贴。根据目前政策，这里的老年人每天享用助餐时，市区两级各补贴2元，承办社区食堂的饭店经营者还额外补贴1元。L江苏新闻的微博视频",,,,常州一社区食堂开通老年人刷脸就餐补贴,1,0,5,2023-08-02 15:30,微博视频号,,"http://f.video.weibocdn.com/o0/SuLZ9DZVlx087uogjBfy01041200IBpU0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013783&ssig=EiD7ZwcIUp&KID=unistore,video",,,蓝V
4930299958396578,NcIeTzekG,1842312240,荔直播,"【#常州一社区食堂开通老年人刷脸就餐补贴#】近日，常州天宁区社区食堂""茶饭小馆""开通老年人""刷脸""就餐补贴：点好餐，结账时通过人脸识别，60岁以上的辖区居民就自动享受了各级部门的助餐补贴。根据目前政策，这里的老年人每天享用助餐时，市区两级各补贴2元，承办社区食堂的饭店经营者还额外补贴1元。L江苏新闻的微博视频",,,,常州一社区食堂开通老年人刷脸就餐补贴,0,0,0,2023-08-02 14:42,微博视频号,,"http://f.video.weibocdn.com/o0/SuLZ9DZVlx087uogjBfy01041200IBpU0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013783&ssig=EiD7ZwcIUp&KID=unistore,video",,,蓝V
4930299517736032,NcIebwsuI,1301904252,江苏新闻,你家附近有社区食堂吗？#常州一社区食堂开通老年人刷脸就餐补贴#你家附近有社区食堂吗？,,,,常州一社区食堂开通老年人刷脸就餐补贴,0,0,168,2023-08-02 14:41,微博网页版,,,,,蓝V
