id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5024217122211304,Oa9ZS9hgc,6482335370,去维修,不站队，不提主观意识，只讲客观事实。IOS比Android下载软件要麻烦，这是事实，虽然麻烦，但对年轻人来讲不成问题，对待老年人我认为则是优点，仅凭借这一点，我就建议给家里长辈使用苹果。我老爸就给我提到过这个问题，幸亏当时不会下载，我过年回去一研究，真tm就是搞诈骗的。2-3000元，搞个二手的苹果给长辈用，最多换个电池，足够了。#年轻人能为老年人防诈骗做些什么#,,,,年轻人能为老年人防诈骗做些什么,3,22,33,2024-04-17 18:36,回收来的iPhone 15 Pro Max,"https://wx2.sinaimg.cn/large/0074Hdyigy1hou04d12osj316h2cc7cv.jpg,https://wx2.sinaimg.cn/large/0074Hdyigy1hou0e9omvvj30un0rd0we.jpg",,,,黄V
4802739349752268,M19giEV0E,5304196660,IT电商报姐,#年轻人能为老年人防诈骗做些什么#近年来诈骗犯罪多发高发，呈跨境化、专业化、集团化特点，不法分子利用通信工具、互联网等手段，给易受骗的老年人量身编制“剧本”，步步设套。L中国青年报的微博视频,,,,年轻人能为老年人防诈骗做些什么,3517,2612,6047,2022-08-15 14:42,微博视频号,,"http://f.video.weibocdn.com/o0/UCfVsCRclx07W4sLu6zC01041201iTH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728948954&ssig=ycNe4BgkIY&KID=unistore,video",,,黄V
4790471618986810,LBXzXBHSy,1948665530,西安经开公安,【守护“养老钱”】#年轻人能为老年人防诈骗做些什么#【编话术、扮角色、设套路电信网络诈骗瞄准老年群体】近年来诈骗犯罪多发高发，呈跨境化、专业化、集团化特点，不法分子利用通信工具、互联网等手段，给易受骗的老年人量身编制“剧本”，步步设套。不久前，北京一位年近八旬的老人就被骗取70多万元。相比于年轻人，老年受害群体有哪些特点？身边的年轻人为防范老年人被骗能做些什么……《探真》视频邀请检察官助理和反诈专家以案释法，进行解读。#打击整治养老诈骗#L中国青年报的微博视频,,,,"年轻人能为老年人防诈骗做些什么,打击整治养老诈骗",0,0,0,2022-07-12 18:14,微博视频号,,"http://f.video.weibocdn.com/o0/UCfVsCRclx07W4sLu6zC01041201iTH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728948954&ssig=ycNe4BgkIY&KID=unistore,video",,,蓝V
4788232225555060,LB1k2nj7K,3310379064,崇州妇联,#年轻人能为老年人防诈骗做些什么#【编话术、扮角色、设套路电信网络诈骗瞄准老年群体】近年来诈骗犯罪多发高发，呈跨境化、专业化、集团化特点，不法分子利用通信工具、互联网等手段，给易受骗的老年人量身编制“剧本”，步步设套。不久前，北京一位年近八旬的老人就被骗取70多万元。相比于年轻人，老年受害群体有哪些特点？身边的年轻人为防范老年人被骗能做些什么……本期《探真》视频邀请检察官助理和反诈专家以案释法，进行解读。L中国青年报的微博视频,,,,年轻人能为老年人防诈骗做些什么,0,0,0,2022-07-06 13:56,微博视频号,,"http://f.video.weibocdn.com/o0/UCfVsCRclx07W4sLu6zC01041201iTH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728948954&ssig=ycNe4BgkIY&KID=unistore,video",,,蓝V
4787817102444385,LAQwuafTz,3310379064,崇州妇联,#年轻人能为老年人防诈骗做些什么#【编话术、扮角色、设套路电信网络诈骗瞄准老年群体】近年来诈骗犯罪多发高发，呈跨境化、专业化、集团化特点，不法分子利用通信工具、互联网等手段，给易受骗的老年人量身编制“剧本”，步步设套。不久前，北京一位年近八旬的老人就被骗取70多万元。相比于年轻人，老年受害群体有哪些特点？身边的年轻人为防范老年人被骗能做些什么……本期《探真》视频邀请检察官助理和反诈专家以案释法，进行解读。L中国青年报的微博视频,,,,年轻人能为老年人防诈骗做些什么,0,0,0,2022-07-05 10:26,微博视频号,,"http://f.video.weibocdn.com/o0/UCfVsCRclx07W4sLu6zC01041201iTH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728948954&ssig=ycNe4BgkIY&KID=unistore,video",,,蓝V
4787581734882014,LAKoRku2a,3495565763,双流区妇女联合会,#年轻人能为老年人防诈骗做些什么#【编话术、扮角色、设套路电信网络诈骗瞄准老年群体】近年来诈骗犯罪多发高发，呈跨境化、专业化、集团化特点，不法分子利用通信工具、互联网等手段，给易受骗的老年人量身编制“剧本”，步步设套。不久前，北京一位年近八旬的老人就被骗取70多万元。相比于年轻人，老年受害群体有哪些特点？身边的年轻人为防范老年人被骗能做些什么……本期《探真》视频邀请检察官助理和反诈专家以案释法，进行解读。L中国青年报的微博视频,,,,年轻人能为老年人防诈骗做些什么,0,0,0,2022-07-04 18:51,iPhone客户端,,"http://f.video.weibocdn.com/o0/UCfVsCRclx07W4sLu6zC01041201iTH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728948954&ssig=ycNe4BgkIY&KID=unistore,video",,,蓝V
4787568744601012,LAK3UjiVS,3557810930,蓉城姐妹,#年轻人能为老年人防诈骗做些什么#【编话术、扮角色、设套路电信网络诈骗瞄准老年群体】近年来诈骗犯罪多发高发，呈跨境化、专业化、集团化特点，不法分子利用通信工具、互联网等手段，给易受骗的老年人量身编制“剧本”，步步设套。不久前，北京一位年近八旬的老人就被骗取70多万元。相比于年轻人，老年受害群体有哪些特点？身边的年轻人为防范老年人被骗能做些什么……本期《探真》视频邀请检察官助理和反诈专家以案释法，进行解读。L中国青年报的微博视频,,,,年轻人能为老年人防诈骗做些什么,0,0,0,2022-07-04 18:00,微博视频号,,"http://f.video.weibocdn.com/o0/UCfVsCRclx07W4sLu6zC01041201iTH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728948954&ssig=ycNe4BgkIY&KID=unistore,video",,,蓝V
4778840716481430,Lx50rrc7c,5105192588,成都市青羊区人民法院,【涉案超百万！#骗子假称免费领净水器专骗老年人#】近日，警方破获了一起针对老年群体的诈骗案抓获犯罪嫌疑人7名，涉案金额达100多万元经查，犯罪分子先是在公园、菜场等老人聚集的地方宣传称60岁以上的老人可以免费领取高端净水器长期喝这款净水器净化过的水不仅可以养生，还能治愈高血压、糖尿病然后哄骗老人购买高价的滤芯成本300元的产品卖出了2000至9000元不等的高价目前，7名嫌疑人已被采取刑事强制措施#年轻人能为老年人防诈骗做些什么#保持警惕，转给你的长辈！L临沂网警巡查执法的微博视频,,,,"骗子假称免费领净水器专骗老年人,年轻人能为老年人防诈骗做些什么",0,0,0,2022-06-10 15:57,微博视频号,,"http://f.video.weibocdn.com/o0/ltDbEg7blx07WG6jjGlq010412009d5c0E010.mp4?label=mp4_ld&template=638x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728948954&ssig=txPCXIGg08&KID=unistore,video",,,蓝V
4778772375535951,Lx3edne9x,2703341725,华蓥青年,L中国青年报的微博视频#年轻人能为老年人防诈骗做些什么#【编话术、扮角色、设套路电信网络诈骗瞄准老年群体】近年来诈骗犯罪多发高发，呈跨境化、专业化、集团化特点，不法分子利用通信工具、互联网等手段，给易受骗的老年人量身编制“剧本”，步步设套。不久前，北京一位年近八旬的老人就被骗取70多万元。相比于年轻人，老年受害群体有哪些特点？身边的年轻人为防范老年人被骗能做些什么……本期《探真》视频邀请检察官助理和反诈专家以案释法，进行解读。,,,,年轻人能为老年人防诈骗做些什么,0,0,0,2022-06-10 11:26,微博视频号,,"http://f.video.weibocdn.com/o0/UCfVsCRclx07W4sLu6zC01041201iTH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728948954&ssig=ycNe4BgkIY&KID=unistore,video",,,蓝V
4778190142178898,LwO5898Pw,5516870815,瓦房店检察,【涉案超百万！#骗子假称免费领净水器专骗老年人#】近日，警方破获了一起针对老年群体的诈骗案抓获犯罪嫌疑人7名，涉案金额达100多万元经查，犯罪分子先是在公园、菜场等老人聚集的地方宣传称60岁以上的老人可以免费领取高端净水器长期喝这款净水器净化过的水不仅可以养生，还能治愈高血压、糖尿病然后哄骗老人购买高价的滤芯成本300元的产品卖出了2000至9000元不等的高价目前，7名嫌疑人已被采取刑事强制措施#年轻人能为老年人防诈骗做些什么#保持警惕，转给你的长辈！临沂网警巡查执法的微博视频L临沂网警巡查执法的微博视频,,,,"骗子假称免费领净水器专骗老年人,年轻人能为老年人防诈骗做些什么",0,0,1,2022-06-08 20:52,微博视频号,,"http://f.video.weibocdn.com/o0/ltDbEg7blx07WG6jjGlq010412009d5c0E010.mp4?label=mp4_ld&template=638x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728948956&ssig=mR6iLpV9R0&KID=unistore,video",,,蓝V
