id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5064080332948347,OqT1ncmZZ,5808256693,雨·寂然,社畜白天上班已经很辛苦了下班还要被公交车上的老太太欺负强烈建议通勤时间取消老人免费坐公交的福利侵占社会资源把年轻人当空气一个比一个横不配享用社会福利#北京公交##通勤##倚老卖老##年轻人该不该给老年人让座##老年人#,,,,"北京公交,通勤,倚老卖老,年轻人该不该给老年人让座,老年人",0,2,0,2024-08-05 18:38,iPhone,"https://wx2.sinaimg.cn/large/006l4QTzly1hsd6k0cmp3j30u01kn0x9.jpg,https://wx2.sinaimg.cn/large/006l4QTzly1hsd6jzh73rj30s20nlmz3.jpg",,,北京,普通用户
5053763733160890,OmyDHdgi6,6122585346,穎凝H,微博不删！那么多人都想杀我要我死。万一哪天我死了。刑警可以查我微博因为微博记录所有和我有仇的人和事！都是证据。#齐齐哈尔新鲜事##黑龙江##警察##职场##极兔快递##极兔快递##抖音##日常##快手##市场监管##年轻人该不该给老年人让座##工会动态##商家##互助拼多多##东北##上海##快递##去年上海60岁及以上老年人口占总人口37.4%#刑警我得罪最多的都是快递！要是我死了就是他们快递干的！咒我死的也是快递说的,,齐齐哈尔,,"齐齐哈尔新鲜事,黑龙江,警察,职场,极兔快递,抖音,日常,快手,市场监管,年轻人该不该给老年人让座,工会动态,商家,互助拼多多,东北,上海,快递,去年上海60岁及以上老年人口占总人口37.4%",0,2,1,2024-07-08 07:23,iPhone客户端,,,,黑龙江,普通用户
5034575915124193,OevtBlv2h,1909442297,Songdadaupupup,由于昨天特殊原因没有开车回家今天特意坐一趟城市公交回去拿车从7:50坐上车合计19站就我一个年轻人（我是付费2元）其余都是老年卡我从开始有位置坐到大概第五站的时候我就已经要站起来让座了即使不舒服不让座又不行#年轻人该不该给老年人让座#年轻人真的挺难的,,,,年轻人该不该给老年人让座,0,1,0,2024-05-16 08:38,iPhone客户端,,,,浙江,普通用户
4994411417307960,NDC4tuF8k,5667343296,不想花钱换名字,地铁到底该不该让座位的问题……我虽然看着年纪轻轻，坐着头晕腰疼，站起来两眼一黑，老年人看着都比我健康。#年轻人该不该给老年人让座#,,,,年轻人该不该给老年人让座,0,0,0,2024-01-26 12:38,iPhone客户端,,,,上海,普通用户
4905926626902894,N2ub4sXL0,6593307352,嘟嘟6593307352,电梯趣事，早高峰#电梯#那是可想而知的，一对老夫妇是最后进来的。殊不知电梯显示超载，只见👴🏻说我下去吧，👵🏻说我们都85了凭什么下去，咱就是说你们是最后上来的，超载不应该先下去吗？可能没有谁对谁错？年轻人上班赶时间不易？老年人年老不易？#年轻人该不该给老年人让座##该不该强制让座##上班早高峰#,,沈阳·滂江街(地铁站),,"电梯,年轻人该不该给老年人让座,该不该强制让座,上班早高峰",0,1,1,2023-05-27 08:31,nova8 我由我掌镜,,,,辽宁,普通用户
4895783110052657,MEbKT0dHj,7440157316,陈芊芊爱上bi8bu,22岁实现送孩子上学自由#孩子上学##孩子上学##孩子上学##年轻人该不该给老年人让座#吉林农业大学超话,,长春·长春市朝阳实验小学(集安路),,"孩子上学,年轻人该不该给老年人让座",0,2,2,2023-04-29 08:45,iPhone客户端,"https://wx1.sinaimg.cn/large/0087w8Nmly1hdg9y2c97rj30u014014l.jpg,https://wx1.sinaimg.cn/large/0087w8Nmly1hdg9y308h0j30u0140akw.jpg,https://wx2.sinaimg.cn/large/0087w8Nmly1hdg9zqolbjj30u0140qew.jpg",,,吉林,普通用户
4892863047664278,MCXN6w9Po,1408581421,嘥话小猩,我发现现在短视频很多博主可能真的是被西方收买了的。这段视频通篇看下来，打人者真的不算老年。但是标题和内容，真的是一言难尽，再攫取里面一个老婆婆的让座是情分，不让是本分之类的话。你说会不会给现在年轻人造成负面影响。#年轻人不让座是不道德吗##年轻人该不该给老年人让座#,,,,"年轻人不让座是不道德吗,年轻人该不该给老年人让座",0,0,0,2023-04-21 07:21,iPhone客户端,https://wx4.sinaimg.cn/large/53f53f2dly1hd6yle9qp1j20u01syqaz.jpg,,,四川,普通用户
4885703152372468,MzXwT9XbC,5872350382,子苓漫读,如果你是一位老人，上车后发现没有座位你会怎么做？之前我也看到过很多老年人抢座，甚至年轻人没有让座竟然殴打年轻人的，还有不让座就破口大骂的……今天我也见识了一位大妈的做法我们带孩子从植物园回来的途中，这位戴着帽子的大妈上来就挤在我们旁边说：我要坐一下！然后就一屁股挤了过来，如果我爱人起来的慢一点，就直接坐腿上了，这大妈也着实够胖的我爱人直接给她让座了，大妈理所当然的坐下了，没有说一句感谢的话和表示不好意思，我想这和“抢占”有什么不同呢？咋就那么心安理得呢……年轻人确实应该关爱老人，但是碰上这样“低素质”的人，我确实觉得也是有点不爽！你如果需要座位，也可以说：年轻人，阿姨有点不舒服，想坐一下可以吗？上车后没有座位就硬抢硬挤，这做法有点让我大跌眼镜……看来以后真的要远离一些“低素质人”，这跟碰瓷也没啥区别了！#年轻人该不该给老年人让座##子苓今日碎碎念##今日地铁见闻#,,北京·颐和园,,"年轻人该不该给老年人让座,子苓今日碎碎念,今日地铁见闻",0,1,0,2023-04-01 13:11,iPhone 12,https://wx2.sinaimg.cn/large/006ppMAKly1hck4d9n69wj30u0140dqr.jpg,,,北京,黄V
4885488597211753,MzRWPug6B,1622448011,白豆腐在治愈,老年人血中去甲肾和肾上腺素含量比年轻人高2-4倍，但靶器官应答性低。成人蛛网膜下腔脑脊液CSF：10-15ml。闭锁综合征又称去传出状态，由于基底动脉脑桥分支双侧闭塞。#年轻人该不该给老年人让座##年轻人该不该早衰焦虑##微博公开课#,,晋中·晋中市第一人民医院,,"年轻人该不该给老年人让座,年轻人该不该早衰焦虑,微博公开课",0,0,0,2023-03-31 22:58,Xiaomi 13,,,,山西,普通用户
4884920940627465,MzDbg2Dep,5660623592,侯琦94,例假期间坐公交通勤，我是不会给老年人让座的，毕竟我也不容易#年轻人该不该给老年人让座#,,北京,,年轻人该不该给老年人让座,0,1,2,2023-03-30 09:22,Redmi K50 至尊版,https://wx1.sinaimg.cn/large/006b5oMwly1hchmfu1cecj30u013utfg.jpg,,,北京,普通用户
