id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4899068318582641,MFzdBA0JH,7513073208,精明耆英项目,#年轻人该如何帮老人适应互联网#数字若有鸿沟，让我们来做那座长者能通过的桥。本期#养老轻力量#特别策划之2022启明星十强队伍专访“铁布衫”项目团队。团队希望通过专业的金融知识学来帮助长者应对金融困境，设计一款集知识、技术、法律为一体的小程序为长者的权益护航。他们相信今后会更多人看见长者的需求，和老年人站在一起，将老年人防诈骗扩展到各个领域，让长者倍感安全O网页链接,,,,"年轻人该如何帮老人适应互联网,养老轻力量",0,0,0,2023-05-08 10:19,微博网页版,https://wx3.sinaimg.cn/large/008cs5y8gy1hdqrbe022fj31ww2x04pf.jpg,,,,普通用户
4694384564241884,KDBnahNvu,6715252094,五环短视频,【#大连64岁大爷退休后做吃播成网红#3年间吸粉百万】64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",16,10,248,2021-10-20 14:39,微博视频号,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014560&ssig=dGr5AzE%2Bp2&KID=unistore,video",,,
4696927544803416,KEFwKk9As,3315551511,夏花璀璨_9,//@结巴老爹:对对对，就是这种感觉，老爹的一天纪录片，比我拍的高大上极了想了解日常生活中老爹的生活状态么？看就完了#缓解父母焦虑才能真正解放孩子##年轻人该如何帮老人适应互联网#,,,结巴老爹,"缓解父母焦虑才能真正解放孩子,年轻人该如何帮老人适应互联网",0,0,248,2021-10-27 15:04,Redmi Note 7 Pro,,,4694384564241884,,普通用户
4694769030924250,KDLnh3Srg,5644527235,筱蕊---乙泉88379,//@结巴老爹:对对对，就是这种感觉，老爹的一天纪录片，比我拍的高大上极了想了解日常生活中老爹的生活状态么？看就完了#缓解父母焦虑才能真正解放孩子##年轻人该如何帮老人适应互联网#,,,结巴老爹,"缓解父母焦虑才能真正解放孩子,年轻人该如何帮老人适应互联网",0,0,248,2021-10-21 16:07,nova4e 3200W立体美颜,,,4694384564241884,,普通用户
4694743110651019,KDKHt2Jmj,6037018101,大连城市指南,【#大连64岁大爷退休后做吃播成网红#3年间吸粉百万】64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,大连,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",0,0,2,2021-10-21 14:24,微博视频号,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014560&ssig=dGr5AzE%2Bp2&KID=unistore,video",,,黄V
4694739419137528,KDKBvCl5u,5976914598,金牛文明,【#大连64岁大爷退休后做吃播成网红#3年间吸粉百万】64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",0,0,1,2021-10-21 14:09,微博视频号,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014560&ssig=dGr5AzE%2Bp2&KID=unistore,video",,,蓝V
4694680916721732,KDJ59scD2,1877416065,Hcrack,//@结巴老爹:对对对，就是这种感觉，老爹的一天纪录片，比我拍的高大上极了想了解日常生活中老爹的生活状态么？看就完了#缓解父母焦虑才能真正解放孩子##年轻人该如何帮老人适应互联网#,,,结巴老爹,"缓解父母焦虑才能真正解放孩子,年轻人该如何帮老人适应互联网",0,0,248,2021-10-21 10:16,小米11,,,4694384564241884,,普通用户
4694630635405521,KDHM3mGdP,5961190503,上海身边事,【#大连64岁大爷退休后做吃播成网红#3年间吸粉百万】64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",0,0,1,2021-10-21 06:57,微博视频号,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014560&ssig=dGr5AzE%2Bp2&KID=unistore,video",,,黄V
4694630631997606,KDHM38nFs,2306071207,六安天海通讯,【#大连64岁大爷退休后做吃播成网红#3年间吸粉百万】64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",0,0,0,2021-10-21 06:57,微博视频号,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014560&ssig=dGr5AzE%2Bp2&KID=unistore,video",,,蓝V
4694630631211473,KDHM3559T,5471515647,带你浪六安,【#大连64岁大爷退休后做吃播成网红#3年间吸粉百万】64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",1,0,0,2021-10-21 06:57,微博视频号,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014562&ssig=03TQl3kWFU&KID=unistore,video",,,黄V
4694597424906246,KDGUukAl0,2563935754,新农人袁帅,袁帅论道超话#大连64岁大爷退休后做吃播成网红#64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",0,1,5,2021-10-21 04:45,袁帅论道超话,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014562&ssig=03TQl3kWFU&KID=unistore,video",,,黄V
4694454823031466,KDDcucICC,1660520901,琼花季,老爹已经出走大连，走向全国了！展样//@结巴老爹:对对对，就是这种感觉，老爹的一天纪录片，比我拍的高大上极了想了解日常生活中老爹的生活状态么？看就完了#缓解父母焦虑才能真正解放孩子##年轻人该如何帮老人适应互联网#,,,结巴老爹,"缓解父母焦虑才能真正解放孩子,年轻人该如何帮老人适应互联网",0,0,248,2021-10-20 19:18,荣耀V20 4800万3D相机,,,4694384564241884,,普通用户
4694450587307367,KDD5EuEYL,2258977224,广安公益,【#大连64岁大爷退休后做吃播成网红#3年间吸粉百万】64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",0,0,0,2021-10-20 19:01,微博视频号,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014562&ssig=03TQl3kWFU&KID=unistore,video",,,黄V
4694450586780449,KDD5EsrU5,1934255493,广安同城会,【#大连64岁大爷退休后做吃播成网红#3年间吸粉百万】64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",0,0,0,2021-10-20 19:01,微博视频号,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014562&ssig=03TQl3kWFU&KID=unistore,video",,,普通用户
4694450586256033,KDD5EqftL,5580312913,广安微博名人汇,【#大连64岁大爷退休后做吃播成网红#3年间吸粉百万】64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",0,0,0,2021-10-20 19:01,微博视频号,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014562&ssig=03TQl3kWFU&KID=unistore,video",,,普通用户
4694436845716396,KDCJunZ5W,3586691243,希希要省钱,【#大连64岁大爷退休后做吃播成网红#3年间吸粉百万】64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",0,0,0,2021-10-20 18:07,微博视频号,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014562&ssig=03TQl3kWFU&KID=unistore,video",,,黄V
4694428389739037,KDCvQERzf,2586154864,金昌交警支队,【#大连64岁大爷退休后做吃播成网红#3年间吸粉百万】64岁大连大爷@结巴老爹，退休后在儿子的鼓励下拍美食视频，3年间拍摄500多条视频，凭借幽默犀利的风格，在网络上积累了上百万粉丝。目前我国60岁以上网民占比达12.2%，你认为#年轻人该如何帮老人适应互联网#？L五环短视频的微博视频,,,结巴老爹,"大连64岁大爷退休后做吃播成网红,年轻人该如何帮老人适应互联网",0,0,1,2021-10-20 17:33,微博视频号,,"http://f.video.weibocdn.com/o0/Go28Y4kWlx07QK2rPfOw01041204D8P40E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014562&ssig=03TQl3kWFU&KID=unistore,video",,,蓝V
4694422065512641,KDClEn85z,5018965859,tea彩,//@结巴老爹:对对对，就是这种感觉，老爹的一天纪录片，比我拍的高大上极了想了解日常生活中老爹的生活状态么？看就完了#缓解父母焦虑才能真正解放孩子##年轻人该如何帮老人适应互联网#,,,结巴老爹,"缓解父母焦虑才能真正解放孩子,年轻人该如何帮老人适应互联网",0,0,248,2021-10-20 17:08,微博轻享版,,,4694384564241884,,普通用户
4694412229872610,KDC5MFqjE,6098225170,EVERYTIMETHUG,//@结巴老爹:对对对，就是这种感觉，老爹的一天纪录片，比我拍的高大上极了想了解日常生活中老爹的生活状态么？看就完了#缓解父母焦虑才能真正解放孩子##年轻人该如何帮老人适应互联网#,,,结巴老爹,"缓解父母焦虑才能真正解放孩子,年轻人该如何帮老人适应互联网",0,0,248,2021-10-20 16:29,vivo X60 蔡司影像,,,4694384564241884,,普通用户
