id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4908972160581925,N3Lpe2rnT,1849152565,叶建勛,#透过窗口看浙江#【#年龄加起来超150岁的老人办婚礼弥补遗憾#】5月20日，浙江丽水。一对老人举办了新式婚礼，两人的年龄加起来已经超过了150岁。婚礼上，“新郎”穿着西装马甲、戴着圆帽；“新娘”穿着婚纱、戴着头纱，两人还互换了戒指、相互拥抱。在婚礼上，爷爷回忆起年轻时的婚礼：当时奶奶穿着红色衣服，头上也没有头花。现在想补办一个，弥补当年的遗憾。如今，两人已经儿孙满堂，却依然没有松开彼此紧握的手。浙江超话@美丽浙江L叶建勛的微博视频,,,美丽浙江,"透过窗口看浙江,年龄加起来超150岁的老人办婚礼弥补遗憾",0,0,0,2023-06-04 18:13,浙江超话,,"http://f.video.weibocdn.com/o0/cstgh1Bvlx085Ywpt3du010412005jfO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023043&ssig=CddgHp8k2r&KID=unistore,video",,浙江,金V
4908965118611392,N3LdRA8dq,1740952902,厦门晚报,【#年龄加起来超150岁的老人办婚礼弥补遗憾#】5月20日，浙江丽水。一对老人举办了新式婚礼，两人的年龄加起来已经超过了150岁。婚礼上，“新郎”穿着西装马甲、戴着圆帽；“新娘”穿着婚纱、戴着头纱，两人还互换了戒指、相互拥抱。在婚礼上，爷爷回忆起年轻时的婚礼：当时奶奶穿着红色衣服，头上也没有头花。现在想补办一个，弥补当年的遗憾。如今，两人已经儿孙满堂，却依然没有松开彼此紧握的手。L美丽浙江的微博视频（via@美丽浙江）,,,美丽浙江,年龄加起来超150岁的老人办婚礼弥补遗憾,0,0,0,2023-06-04 17:45,微博视频号,,"http://f.video.weibocdn.com/o0/kBwZAtxolx085YqIAqR2010412005ztv0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023043&ssig=Iovsl%2F1Try&KID=unistore,video",,,蓝V
4908952427431200,N3KTovbc4,6423885396,铁骥正能量,【#年龄加起来超150岁的老人办婚礼弥补遗憾#】5月20日，浙江丽水。一对老人举办了新式婚礼，两人的年龄加起来已经超过了150岁。婚礼上，“新郎”穿着西装马甲、戴着圆帽；“新娘”穿着婚纱、戴着头纱，两人还互换了戒指、相互拥抱。在婚礼上，爷爷回忆起年轻时的婚礼：当时奶奶穿着红色衣服，头上也没有头花。现在想补办一个，弥补当年的遗憾。如今，两人已经儿孙满堂，却依然没有松开彼此紧握的手。L美丽浙江的微博视频,,,,年龄加起来超150岁的老人办婚礼弥补遗憾,0,0,0,2023-06-04 16:55,微博视频号,,"http://f.video.weibocdn.com/o0/kBwZAtxolx085YqIAqR2010412005ztv0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023043&ssig=Iovsl%2F1Try&KID=unistore,video",,浙江,普通用户
4908952426908045,N3KTosZ65,7466959462,钱江频道-九点半,【#年龄加起来超150岁的老人办婚礼弥补遗憾#】5月20日，浙江丽水。一对老人举办了新式婚礼，两人的年龄加起来已经超过了150岁。婚礼上，“新郎”穿着西装马甲、戴着圆帽；“新娘”穿着婚纱、戴着头纱，两人还互换了戒指、相互拥抱。在婚礼上，爷爷回忆起年轻时的婚礼：当时奶奶穿着红色衣服，头上也没有头花。现在想补办一个，弥补当年的遗憾。如今，两人已经儿孙满堂，却依然没有松开彼此紧握的手。L美丽浙江的微博视频,,,,年龄加起来超150岁的老人办婚礼弥补遗憾,0,0,0,2023-06-04 16:55,微博视频号,,"http://f.video.weibocdn.com/o0/kBwZAtxolx085YqIAqR2010412005ztv0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023043&ssig=Iovsl%2F1Try&KID=unistore,video",,,蓝V
4908952423238403,N3KTodAsj,1866178881,范大姐帮忙,【#年龄加起来超150岁的老人办婚礼弥补遗憾#】5月20日，浙江丽水。一对老人举办了新式婚礼，两人的年龄加起来已经超过了150岁。婚礼上，“新郎”穿着西装马甲、戴着圆帽；“新娘”穿着婚纱、戴着头纱，两人还互换了戒指、相互拥抱。在婚礼上，爷爷回忆起年轻时的婚礼：当时奶奶穿着红色衣服，头上也没有头花。现在想补办一个，弥补当年的遗憾。如今，两人已经儿孙满堂，却依然没有松开彼此紧握的手。L美丽浙江的微博视频,,,,年龄加起来超150岁的老人办婚礼弥补遗憾,0,0,0,2023-06-04 16:55,微博视频号,,"http://f.video.weibocdn.com/o0/kBwZAtxolx085YqIAqR2010412005ztv0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023043&ssig=Iovsl%2F1Try&KID=unistore,video",,,蓝V
4908952422978831,N3KTocuVF,2469187800,浙江iptv,【#年龄加起来超150岁的老人办婚礼弥补遗憾#】5月20日，浙江丽水。一对老人举办了新式婚礼，两人的年龄加起来已经超过了150岁。婚礼上，“新郎”穿着西装马甲、戴着圆帽；“新娘”穿着婚纱、戴着头纱，两人还互换了戒指、相互拥抱。在婚礼上，爷爷回忆起年轻时的婚礼：当时奶奶穿着红色衣服，头上也没有头花。现在想补办一个，弥补当年的遗憾。如今，两人已经儿孙满堂，却依然没有松开彼此紧握的手。L美丽浙江的微博视频,,,,年龄加起来超150岁的老人办婚礼弥补遗憾,0,0,0,2023-06-04 16:55,微博视频号,,"http://f.video.weibocdn.com/o0/kBwZAtxolx085YqIAqR2010412005ztv0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023043&ssig=Iovsl%2F1Try&KID=unistore,video",,浙江,蓝V
4908952422449781,N3KToahiB,7538287324,诗画江南活力浙江,【#年龄加起来超150岁的老人办婚礼弥补遗憾#】5月20日，浙江丽水。一对老人举办了新式婚礼，两人的年龄加起来已经超过了150岁。婚礼上，“新郎”穿着西装马甲、戴着圆帽；“新娘”穿着婚纱、戴着头纱，两人还互换了戒指、相互拥抱。在婚礼上，爷爷回忆起年轻时的婚礼：当时奶奶穿着红色衣服，头上也没有头花。现在想补办一个，弥补当年的遗憾。如今，两人已经儿孙满堂，却依然没有松开彼此紧握的手。L美丽浙江的微博视频,,,,年龄加起来超150岁的老人办婚礼弥补遗憾,0,0,0,2023-06-04 16:55,微博视频号,,"http://f.video.weibocdn.com/o0/kBwZAtxolx085YqIAqR2010412005ztv0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023043&ssig=Iovsl%2F1Try&KID=unistore,video",,,蓝V
4908952422191404,N3KTo9c5e,1626045813,共富TV,【#年龄加起来超150岁的老人办婚礼弥补遗憾#】5月20日，浙江丽水。一对老人举办了新式婚礼，两人的年龄加起来已经超过了150岁。婚礼上，“新郎”穿着西装马甲、戴着圆帽；“新娘”穿着婚纱、戴着头纱，两人还互换了戒指、相互拥抱。在婚礼上，爷爷回忆起年轻时的婚礼：当时奶奶穿着红色衣服，头上也没有头花。现在想补办一个，弥补当年的遗憾。如今，两人已经儿孙满堂，却依然没有松开彼此紧握的手。L美丽浙江的微博视频,,,,年龄加起来超150岁的老人办婚礼弥补遗憾,0,0,0,2023-06-04 16:55,微博视频号,,"http://f.video.weibocdn.com/o0/kBwZAtxolx085YqIAqR2010412005ztv0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023043&ssig=Iovsl%2F1Try&KID=unistore,video",,,蓝V
4908952419045457,N3KTnBX8t,5828874434,铁骥Video,【#年龄加起来超150岁的老人办婚礼弥补遗憾#】5月20日，浙江丽水。一对老人举办了新式婚礼，两人的年龄加起来已经超过了150岁。婚礼上，“新郎”穿着西装马甲、戴着圆帽；“新娘”穿着婚纱、戴着头纱，两人还互换了戒指、相互拥抱。在婚礼上，爷爷回忆起年轻时的婚礼：当时奶奶穿着红色衣服，头上也没有头花。现在想补办一个，弥补当年的遗憾。如今，两人已经儿孙满堂，却依然没有松开彼此紧握的手。L美丽浙江的微博视频,,,,年龄加起来超150岁的老人办婚礼弥补遗憾,0,0,0,2023-06-04 16:55,微博视频号,,"http://f.video.weibocdn.com/o0/kBwZAtxolx085YqIAqR2010412005ztv0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023043&ssig=Iovsl%2F1Try&KID=unistore,video",,浙江,普通用户
4908952419043399,N3KTnBWBh,5758267327,铁骥文娱,【#年龄加起来超150岁的老人办婚礼弥补遗憾#】5月20日，浙江丽水。一对老人举办了新式婚礼，两人的年龄加起来已经超过了150岁。婚礼上，“新郎”穿着西装马甲、戴着圆帽；“新娘”穿着婚纱、戴着头纱，两人还互换了戒指、相互拥抱。在婚礼上，爷爷回忆起年轻时的婚礼：当时奶奶穿着红色衣服，头上也没有头花。现在想补办一个，弥补当年的遗憾。如今，两人已经儿孙满堂，却依然没有松开彼此紧握的手。L美丽浙江的微博视频,,,,年龄加起来超150岁的老人办婚礼弥补遗憾,0,0,0,2023-06-04 16:55,微博视频号,,"http://f.video.weibocdn.com/o0/kBwZAtxolx085YqIAqR2010412005ztv0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023043&ssig=Iovsl%2F1Try&KID=unistore,video",,浙江,普通用户
