id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4857813715124490,MofZVlv74,1870865130,愚人咖啡,//@你只有残忍你才能善良:--------#张文宏团队称阳性后99.5%的人不必去医院#--------#张文宏称老人总体的新冠重症率很低#//@QGAW:第二波第三波是肯定的不以人的主观意志转移的啊,,,"你只有残忍你才能善良,QGAW","张文宏团队称阳性后99.5%的人不必去医院,张文宏称老人总体的新冠重症率很低",0,0,0,2023-01-14 14:08,荣耀Magic4,,,,,普通用户
4852161512473491,MlSXtant1,1374316312,ilar,#张文宏团队称阳性后99.5%的人不必去医院#--------#张文宏称老人总体的新冠重症率很低#,,,,"张文宏团队称阳性后99.5%的人不必去医院,张文宏称老人总体的新冠重症率很低",0,0,0,2022-12-29 23:48,HUAWEI P30 Pro,,,,,普通用户
4851267682437972,MlvHOaee8,6196658988,用户6196658988,#张文宏称老人总体的新冠重症率很低#三年身边人无一人感染，从放开到现在短短十来天，无一幸免。而且全都有症状，甚至一些老人去世了。我就想知道到底啥叫无症状，难道是只要不攻击肺子就是无症状吗？,,,,张文宏称老人总体的新冠重症率很低,0,0,9,2022-12-27 12:36,nova7Pro你在焦点在,,,,,普通用户
4850163295981403,Ml2Yxp62f,5803807341,不爱吃粽子的蜗牛,冤有头，债有主，这一切是谁造成的，历史自有公论。有的人跪在家秦桧旁边，秦桧都会嫌晦气的。→#张文宏称老人总体的新冠重症率很低##辉瑞新冠口服药2300元一盒##张文宏称走出疫情已成定局#//@包容万物恒河水:想安慰一下稿主，结果……查看图片,,,包容万物恒河水,"张文宏称老人总体的新冠重症率很低,辉瑞新冠口服药2300元一盒,张文宏称走出疫情已成定局",1,0,0,2022-12-24 11:28,HUAWEI Mate 30 Pro,,,,,普通用户
4849839756020419,MkUyHpgbx,1281219162,电影守望者余泳,谢晋导演唯一在世的儿子阿四（谢佳庆）因患新冠今天凌晨三点在华东医院lCU重症监护室抢救无效去世！,,,,,392,213,2266,2022-12-23 14:02,iPhone 7 Plus,https://wx1.sinaimg.cn/large/4c5dda5aly1h9dpi46dm4j20dw09w75f.jpg,,,,
4850161458613022,Ml2VzA8DI,5803807341,不爱吃粽子的蜗牛,《年轻人的自由》《和流感差不多》#关注新冠肺炎疫情##张文宏称老人总体的新冠重症率很低##张文宏称走出疫情已成定局#//@Kant安妮:@胡锡进@张文宏医生,,,"Kant安妮,胡锡进,张文宏医生","关注新冠肺炎疫情,张文宏称老人总体的新冠重症率很低,张文宏称走出疫情已成定局",0,0,2266,2022-12-24 11:21,HUAWEI Mate 30 Pro,,,4849839756020419,,普通用户
4850154673016062,Ml2KDcECa,5803807341,不爱吃粽子的蜗牛,吃鸡蛋到底防不防重症啊#重症累计##关注新冠肺炎##关注新冠肺炎疫情##上海疫情##北京疫情##张文宏称走出疫情已成定局##张文宏建议老年人每天吃2个鸡蛋##张文宏称老人总体的新冠重症率很低#,,,,"重症累计,关注新冠肺炎,关注新冠肺炎疫情,上海疫情,北京疫情,张文宏称走出疫情已成定局,张文宏建议老年人每天吃2个鸡蛋,张文宏称老人总体的新冠重症率很低",0,0,0,2022-12-24 10:54,HUAWEI Mate 30 Pro,"https://wx1.sinaimg.cn/large/006kMbpPly1h9eplchdqej30w50w1kaa.jpg,https://wx3.sinaimg.cn/large/006kMbpPly1h9eplamew0j30wn0bfq9v.jpg,https://wx1.sinaimg.cn/large/006kMbpPly1h9epofmnbcj30v114faib.jpg",,,,普通用户
4849583244979482,MkNSYkToe,5994003317,老板联播,【#张文宏忠告老年人尽可能不要被感染#】#张文宏称老人总体的新冠重症率很低#12月22日下午，在由海军军医大学第一附属医院主办的“老年人如何居家防、居家治、居家健康”为主题的新冠防治健康大讲堂直播活动中，张文宏表示，“当前，我给老年人一个忠告，保护好自己，尽可能不要被感染。”还表示，目前，老人总体的新冠重症率很低，医疗机构也正在做充分的准备。现在，新冠疫情还是在逐渐攀升，预期一周内达到感染的峰值，感染峰值的到来，也会使得重症率增多，对我们整个医疗资源带来一定的影响。但他也指出，未来，整个感染概率是非常高的，但大家也不要慌张，感染并不稀奇，我们只希望在感染了之后，大家能正确对待和观察病情，到底是轻的还是重的，判断症状轻和重，主要是看你有没有高热，或高热连续几天不退，那就是相对比较重的，如果有呼吸困难，也是比较重的，针对评估病情的客观指标，则有氧饱和度的检测，低于93是比较危险的，低于95要警惕，需要及时就医，同时要测脉搏，如果脉搏很快，也要担心肺部、心脏是否受到了影响。另外，有基础疾病的患者，这段时间务必储备好药物，尽量减少去医院的频次，就诊次数越少，被感染的风险越低。一旦感染后，如果出现症状就吃药，但不鼓励大家乱吃药，顶多吃一种缓解症状的中药和一种退烧药，这是比较合理的，如果多种药物一起吃，很容易对身体造成很大的损害。张文宏还表示，目前，老人总体的新冠重症率很低，医疗机构也正在做充分的准备。现在，新冠疫情还是在逐渐攀升，预期一周内达到感染的峰值，感染峰值的到来，也会使得重症率增多，对我们整个医疗资源带来一定的影响。L凤凰网科技的微博视频,,,,"张文宏忠告老年人尽可能不要被感染,张文宏称老人总体的新冠重症率很低",6,28,68,2022-12-22 21:03,微博视频号,,"http://f.video.weibocdn.com/o0/kJWpyXAnlx081L4G2bWw01041200eUr10E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986986&ssig=3bPI3ltevu&KID=unistore,video",,,蓝V
4849583198307148,MkNSTyR4g,5921256891,南無法帝的微笑,#张文宏称老人总体的新冠重症率很低#拉倒吧！你这句就是一个天大的笑话,,,,张文宏称老人总体的新冠重症率很低,0,0,4,2022-12-22 21:03,OPPO Reno7 5G,,,,,黄V
4849581056332236,MkNPrqziQ,5758276150,白马视频,【#张文宏忠告老年人尽可能不要被感染#】#张文宏称老人总体的新冠重症率很低#12月22日下午，在由海军军医大学第一附属医院主办的“老年人如何居家防、居家治、居家健康”为主题的新冠防治健康大讲堂直播活动中，张文宏表示，“当前，我给老年人一个忠告，保护好自己，尽可能不要被感染。”还表示，目前，老人总体的新冠重症率很低，医疗机构也正在做充分的准备。现在，新冠疫情还是在逐渐攀升，预期一周内达到感染的峰值，感染峰值的到来，也会使得重症率增多，对我们整个医疗资源带来一定的影响。但他也指出，未来，整个感染概率是非常高的，但大家也不要慌张，感染并不稀奇，我们只希望在感染了之后，大家能正确对待和观察病情，到底是轻的还是重的，判断症状轻和重，主要是看你有没有高热，或高热连续几天不退，那就是相对比较重的，如果有呼吸困难，也是比较重的，针对评估病情的客观指标，则有氧饱和度的检测，低于93是比较危险的，低于95要警惕，需要及时就医，同时要测脉搏，如果脉搏很快，也要担心肺部、心脏是否受到了影响。另外，有基础疾病的患者，这段时间务必储备好药物，尽量减少去医院的频次，就诊次数越少，被感染的风险越低。一旦感染后，如果出现症状就吃药，但不鼓励大家乱吃药，顶多吃一种缓解症状的中药和一种退烧药，这是比较合理的，如果多种药物一起吃，很容易对身体造成很大的损害。张文宏还表示，目前，老人总体的新冠重症率很低，医疗机构也正在做充分的准备。现在，新冠疫情还是在逐渐攀升，预期一周内达到感染的峰值，感染峰值的到来，也会使得重症率增多，对我们整个医疗资源带来一定的影响。L凤凰网科技的微博视频,,,,"张文宏忠告老年人尽可能不要被感染,张文宏称老人总体的新冠重症率很低",0,0,0,2022-12-22 20:54,微博视频号,,"http://f.video.weibocdn.com/o0/kJWpyXAnlx081L4G2bWw01041200eUr10E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986987&ssig=uKHinFnQzk&KID=unistore,video",,,普通用户
