id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4658449625648080,KowxAnHk4,1638782947,新浪财经,#德国7.2万80岁以上老人仍在工作#【德媒：#德国去年104万退休老人再就业#，创历史新高】德国统计局12日公布一份数据报告显示，德国65岁及以上员工人数10年来翻了一番。目前，80岁及以上年龄的老人中，有7.2万人还在上班。究其主要原因，德国老人退休金增长慢，入不敷出↓↓O德媒：德去年约有104万退休老人再就业创历史新高,,,,"德国7.2万80岁以上老人仍在工作,德国去年104万退休老人再就业",64,47,189,2021-07-13 10:46,微博 weibo.com,,,,,
4662596622618676,KqgqiaZeI,2244709802,Bin彬車,干到死，贡献到死//@周思CIO:建议和汽油价格一样与国际接轨，退休最低也要提高到75岁#德国7.2万80岁以上老人仍在工作#【德媒：#德国去年104万退休老人再就业#，创历史新高】,,,周思CIO,"德国7.2万80岁以上老人仍在工作,德国去年104万退休老人再就业",0,0,189,2021-07-24 21:25,HUAWEI Mate 20,,,4658449625648080,,普通用户
4658909396337272,KoIv9qAC4,3720785733,二级玩家hh,//@周思CIO:建议和汽油价格一样与国际接轨，退休最低也要提高到75岁#德国7.2万80岁以上老人仍在工作#【德媒：#德国去年104万退休老人再就业#，创历史新高】,,,周思CIO,"德国7.2万80岁以上老人仍在工作,德国去年104万退休老人再就业",0,0,189,2021-07-14 17:13,Note 9 4G,,,4658449625648080,,普通用户
4658637903759420,KoBrgfLZO,1808899734,峻岭-滴水观音,//@周思CIO:建议和汽油价格一样与国际接轨，退休最低也要提高到75岁#德国7.2万80岁以上老人仍在工作#【德媒：#德国去年104万退休老人再就业#，创历史新高】,,,周思CIO,"德国7.2万80岁以上老人仍在工作,德国去年104万退休老人再就业",0,0,189,2021-07-13 23:14,iPhone客户端,,,4658449625648080,,普通用户
4658569973077729,KozFHcUEN,5366862584,运在我手-,//@周思CIO:建议与国际接轨，退休最低也要提高到75岁#德国7.2万80岁以上老人仍在工作#【德媒：#德国去年104万退休老人再就业#，创历史新高】,,,周思CIO,"德国7.2万80岁以上老人仍在工作,德国去年104万退休老人再就业",0,0,189,2021-07-13 18:44,红米Redmi,,,4658449625648080,,普通用户
4658481360274659,KoxmM19rZ,2848190561,-小马良驹-,老有所用//@周思CIO:建议和汽油价格一样与国际接轨，退休最低也要提高到75岁#德国7.2万80岁以上老人仍在工作#【德媒：#德国去年104万退休老人再就业#，创历史新高】,,,周思CIO,"德国7.2万80岁以上老人仍在工作,德国去年104万退休老人再就业",0,0,189,2021-07-13 12:52,荣耀 9X,,,4658449625648080,,普通用户
4658480079966759,KoxkHFOOb,2238045110,A_ngus6,//@周思CIO:建议和汽油价格一样与国际接轨，退休最低也要提高到75岁#德国7.2万80岁以上老人仍在工作#【德媒：#德国去年104万退休老人再就业#，创历史新高】,,,周思CIO,"德国7.2万80岁以上老人仍在工作,德国去年104万退休老人再就业",0,0,189,2021-07-13 12:47,HUAWEI Mate 20 Pro,,,4658449625648080,,普通用户
4658470424413608,Kox58iwbe,1447709042,山鹰长江750挎子,//@周思CIO:建议和汽油价格一样与国际接轨，退休最低也要提高到75岁#德国7.2万80岁以上老人仍在工作#【德媒：#德国去年104万退休老人再就业#，创历史新高】,,,周思CIO,"德国7.2万80岁以上老人仍在工作,德国去年104万退休老人再就业",0,0,189,2021-07-13 12:09,小米10 Pro,,,4658449625648080,,普通用户
4658455535420862,KowH7mKdg,2126492390,人生如梦梦亦人生,//@周思CIO:建议与国际接轨，退休最低也要提高到75岁#德国7.2万80岁以上老人仍在工作#【德媒：#德国去年104万退休老人再就业#，创历史新高】,,,周思CIO,"德国7.2万80岁以上老人仍在工作,德国去年104万退休老人再就业",0,0,189,2021-07-13 11:10,荣耀9 美得有声有色,,,4658449625648080,,普通用户
4658454452507708,KowFnawmU,1593163950,周思CIO,建议和汽油价格一样与国际接轨，退休最低也要提高到75岁#德国7.2万80岁以上老人仍在工作#【德媒：#德国去年104万退休老人再就业#，创历史新高】,,,,"德国7.2万80岁以上老人仍在工作,德国去年104万退休老人再就业",9,32,189,2021-07-13 11:05,当然是华为Android,,,4658449625648080,,红V
