id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4990875885114847,NC860lsBx,2619827023,晋中新闻网,【#志愿者每天到330名独居老人窗外打卡#】据@人民网报道：两年前，山西太原杏花岭区的志愿者发起“窗帘行动”，早上9点和晚上9点分别到独居老人和生活困难的老人窗外“打卡”，确认老人安全。他们还帮老人修家电、送菜、理发…如今，已有330名老人和1500多名志愿者加入“窗帘之约”。（人民网）L人民网的微博视频,,,人民网,志愿者每天到330名独居老人窗外打卡,0,0,0,2024-01-16 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/og4d6F6Llx08bKNeyYZa010412002Lrk0E010.mp4?label=mp4_hd&template=368x654.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018355&ssig=7bCTu2Drgf&KID=unistore,video",,,蓝V
4990774628845644,NC5sGB79G,3206953973,山西网,【#志愿者每天到330名独居老人窗外打卡#】据@人民网报道：两年前，山西太原杏花岭区的志愿者发起“窗帘行动”，早上9点和晚上9点分别到独居老人和生活困难的老人窗外“打卡”，确认老人安全。他们还帮老人修家电、送菜、理发…如今，已有330名老人和1500多名志愿者加入“窗帘之约”。L人民网的微博视频,,,人民网,志愿者每天到330名独居老人窗外打卡,0,0,0,2024-01-16 11:47,微博视频号,,"http://f.video.weibocdn.com/o0/og4d6F6Llx08bKNeyYZa010412002Lrk0E010.mp4?label=mp4_hd&template=368x654.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018355&ssig=7bCTu2Drgf&KID=unistore,video",,,普通用户
4990747845593837,NC4Luntdb,7511631137,这很山西,【#志愿者每天到330名独居老人窗外打卡#】据@人民网报道：两年前，山西太原杏花岭区的志愿者发起“窗帘行动”，早上9点和晚上9点分别到独居老人和生活困难的老人窗外“打卡”，确认老人安全。他们还帮老人修家电、送菜、理发…如今，已有330名老人和1500多名志愿者加入“窗帘之约”。L人民网的微博视频,,,人民网,志愿者每天到330名独居老人窗外打卡,0,0,2,2024-01-16 10:01,微博视频号,,"http://f.video.weibocdn.com/o0/og4d6F6Llx08bKNeyYZa010412002Lrk0E010.mp4?label=mp4_hd&template=368x654.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018355&ssig=7bCTu2Drgf&KID=unistore,video",,,蓝V
4990505950385300,NBYtl1Cew,1704544512,半岛网,【#志愿者每天到330名独居老人窗外打卡#】据@人民网报道：两年前，山西太原杏花岭区的志愿者发起“窗帘行动”，早上9点和晚上9点分别到独居老人和生活困难的老人窗外“打卡”，确认老人安全。他们还帮老人修家电、送菜、理发…如今，已有330名老人和1500多名志愿者加入“窗帘之约”。L人民网的微博视频,,,人民网,志愿者每天到330名独居老人窗外打卡,0,0,0,2024-01-15 18:00,微博视频号,,"http://f.video.weibocdn.com/o0/og4d6F6Llx08bKNeyYZa010412002Lrk0E010.mp4?label=mp4_hd&template=368x654.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018355&ssig=7bCTu2Drgf&KID=unistore,video",,,蓝V
4990450025104262,NBX18lpQO,2502659555,共青团承德市委,【#志愿者每天到330名独居老人窗外打卡#】据@人民网报道：两年前，山西太原杏花岭区的志愿者发起“窗帘行动”，早上9点和晚上9点分别到独居老人和生活困难的老人窗外“打卡”，确认老人安全。他们还帮老人修家电、送菜、理发…如今，已有330名老人和1500多名志愿者加入“窗帘之约”。L人民网的微博视频,,,人民网,志愿者每天到330名独居老人窗外打卡,0,0,1,2024-01-15 14:17,微博视频号,,"http://f.video.weibocdn.com/o0/og4d6F6Llx08bKNeyYZa010412002Lrk0E010.mp4?label=mp4_hd&template=368x654.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018355&ssig=7bCTu2Drgf&KID=unistore,video",,,蓝V
4990444104847285,NBWRAkl01,2773976700,昆明广播电视台,【#志愿者每天到330名独居老人窗外打卡#】据@人民网报道：两年前，山西太原杏花岭区的志愿者发起“窗帘行动”，早上9点和晚上9点分别到独居老人和生活困难的老人窗外“打卡”，确认老人安全。他们还帮老人修家电、送菜、理发…如今，已有330名老人和1500多名志愿者加入“窗帘之约”。L人民网的微博视频,,,人民网,志愿者每天到330名独居老人窗外打卡,0,0,0,2024-01-15 13:54,微博视频号,,"http://f.video.weibocdn.com/o0/og4d6F6Llx08bKNeyYZa010412002Lrk0E010.mp4?label=mp4_hd&template=368x654.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018355&ssig=7bCTu2Drgf&KID=unistore,video",,,蓝V
4990436291119019,NBWEZ4H6H,5385249716,吉林好人,【#志愿者每天到330名独居老人窗外打卡#】据@人民网报道：两年前，山西太原杏花岭区的志愿者发起“窗帘行动”，早上9点和晚上9点分别到独居老人和生活困难的老人窗外“打卡”，确认老人安全。他们还帮老人修家电、送菜、理发…如今，已有330名老人和1500多名志愿者加入“窗帘之约”。L人民网的微博视频,,,人民网,志愿者每天到330名独居老人窗外打卡,0,0,0,2024-01-15 13:23,微博视频号,,"http://f.video.weibocdn.com/o0/og4d6F6Llx08bKNeyYZa010412002Lrk0E010.mp4?label=mp4_hd&template=368x654.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018355&ssig=7bCTu2Drgf&KID=unistore,video",,,蓝V
4990435069527309,NBWD0DYuh,3839222393,当代育儿家,【#志愿者每天到330名独居老人窗外打卡#】据@人民网报道：两年前，山西太原杏花岭区的志愿者发起“窗帘行动”，早上9点和晚上9点分别到独居老人和生活困难的老人窗外“打卡”，确认老人安全。他们还帮老人修家电、送菜、理发…如今，已有330名老人和1500多名志愿者加入“窗帘之约”。L人民网的微博视频,,,人民网,志愿者每天到330名独居老人窗外打卡,0,0,0,2024-01-15 13:18,微博视频号,,"http://f.video.weibocdn.com/o0/og4d6F6Llx08bKNeyYZa010412002Lrk0E010.mp4?label=mp4_hd&template=368x654.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018355&ssig=7bCTu2Drgf&KID=unistore,video",,,蓝V
4990435069526594,NBWD0DYiK,7519584823,新浪新闻热榜,【#志愿者每天到330名独居老人窗外打卡#】据@人民网报道：两年前，山西太原杏花岭区的志愿者发起“窗帘行动”，早上9点和晚上9点分别到独居老人和生活困难的老人窗外“打卡”，确认老人安全。他们还帮老人修家电、送菜、理发…如今，已有330名老人和1500多名志愿者加入“窗帘之约”。L人民网的微博视频,,,人民网,志愿者每天到330名独居老人窗外打卡,0,0,0,2024-01-15 13:18,微博视频号,,"http://f.video.weibocdn.com/o0/og4d6F6Llx08bKNeyYZa010412002Lrk0E010.mp4?label=mp4_hd&template=368x654.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018355&ssig=7bCTu2Drgf&KID=unistore,video",,,蓝V
4990435068219241,NBWD0yucp,6781415979,百科事务所,【#志愿者每天到330名独居老人窗外打卡#】据@人民网报道：两年前，山西太原杏花岭区的志愿者发起“窗帘行动”，早上9点和晚上9点分别到独居老人和生活困难的老人窗外“打卡”，确认老人安全。他们还帮老人修家电、送菜、理发…如今，已有330名老人和1500多名志愿者加入“窗帘之约”。L人民网的微博视频,,,人民网,志愿者每天到330名独居老人窗外打卡,0,0,2,2024-01-15 13:18,微博视频号,,"http://f.video.weibocdn.com/o0/og4d6F6Llx08bKNeyYZa010412002Lrk0E010.mp4?label=mp4_hd&template=368x654.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018355&ssig=7bCTu2Drgf&KID=unistore,video",,,黄V
