id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4943742484613199,NilWojm6r,1866178881,范大姐帮忙,【#志愿者进村义诊服务老人坐满房间#】9月6日，浙江台州。三门县沙柳街道服务中心的志愿者们送医下乡送诊上门，来到石马林村里给老年人群进行身体检查并宣传健康的生活理念。贴心细致的服务获得了大家的一致好评！@铁骥视频L铁骥视频的微博视频,,,铁骥视频,志愿者进村义诊服务老人坐满房间,0,0,0,2023-09-08 16:58,微博视频号,,"http://f.video.weibocdn.com/o0/gRnpVQK1lx088rvd3Fe801041200chPI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013892&ssig=VxDhU1s2Gr&KID=unistore,video",,,蓝V
4943742484612067,NilWojlOb,7466959462,钱江频道-九点半,【#志愿者进村义诊服务老人坐满房间#】9月6日，浙江台州。三门县沙柳街道服务中心的志愿者们送医下乡送诊上门，来到石马林村里给老年人群进行身体检查并宣传健康的生活理念。贴心细致的服务获得了大家的一致好评！@铁骥视频L铁骥视频的微博视频,,,铁骥视频,志愿者进村义诊服务老人坐满房间,0,0,0,2023-09-08 16:58,微博视频号,,"http://f.video.weibocdn.com/o0/gRnpVQK1lx088rvd3Fe801041200chPI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013892&ssig=VxDhU1s2Gr&KID=unistore,video",,,蓝V
4943742483041052,NilWocL7e,1626045813,共富TV,【#志愿者进村义诊服务老人坐满房间#】9月6日，浙江台州。三门县沙柳街道服务中心的志愿者们送医下乡送诊上门，来到石马林村里给老年人群进行身体检查并宣传健康的生活理念。贴心细致的服务获得了大家的一致好评！@铁骥视频L铁骥视频的微博视频,,,铁骥视频,志愿者进村义诊服务老人坐满房间,0,0,0,2023-09-08 16:58,微博视频号,,"http://f.video.weibocdn.com/o0/gRnpVQK1lx088rvd3Fe801041200chPI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013892&ssig=VxDhU1s2Gr&KID=unistore,video",,,蓝V
4943737656969032,NilOBteXK,5758267327,铁骥文娱,【#志愿者进村义诊服务老人坐满房间#】9月6日，浙江台州。三门县沙柳街道服务中心的志愿者们送医下乡送诊上门，来到石马林村里给老年人群进行身体检查并宣传健康的生活理念。贴心细致的服务获得了大家的一致好评！@铁骥视频L铁骥视频的微博视频,,,铁骥视频,志愿者进村义诊服务老人坐满房间,0,0,0,2023-09-08 16:39,微博视频号,,"http://f.video.weibocdn.com/o0/gRnpVQK1lx088rvd3Fe801041200chPI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013892&ssig=VxDhU1s2Gr&KID=unistore,video",,,普通用户
4943737652515105,NilOBayid,5757092644,铁骥文旅,【#志愿者进村义诊服务老人坐满房间#】9月6日，浙江台州。三门县沙柳街道服务中心的志愿者们送医下乡送诊上门，来到石马林村里给老年人群进行身体检查并宣传健康的生活理念。贴心细致的服务获得了大家的一致好评！@铁骥视频L铁骥视频的微博视频,,,铁骥视频,志愿者进村义诊服务老人坐满房间,0,0,0,2023-09-08 16:39,微博视频号,,"http://f.video.weibocdn.com/o0/gRnpVQK1lx088rvd3Fe801041200chPI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013892&ssig=VxDhU1s2Gr&KID=unistore,video",,,普通用户
4943737652251695,NilOB9rLF,5828874434,铁骥Video,【#志愿者进村义诊服务老人坐满房间#】9月6日，浙江台州。三门县沙柳街道服务中心的志愿者们送医下乡送诊上门，来到石马林村里给老年人群进行身体检查并宣传健康的生活理念。贴心细致的服务获得了大家的一致好评！@铁骥视频L铁骥视频的微博视频,,,铁骥视频,志愿者进村义诊服务老人坐满房间,0,0,0,2023-09-08 16:39,微博视频号,,"http://f.video.weibocdn.com/o0/gRnpVQK1lx088rvd3Fe801041200chPI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013892&ssig=VxDhU1s2Gr&KID=unistore,video",,,普通用户
4943737651463543,NilOB68Jx,7703843321,铁骥视频出行频道,【#志愿者进村义诊服务老人坐满房间#】9月6日，浙江台州。三门县沙柳街道服务中心的志愿者们送医下乡送诊上门，来到石马林村里给老年人群进行身体检查并宣传健康的生活理念。贴心细致的服务获得了大家的一致好评！@铁骥视频L铁骥视频的微博视频,,,铁骥视频,志愿者进村义诊服务老人坐满房间,0,0,0,2023-09-08 16:39,微博视频号,,"http://f.video.weibocdn.com/o0/gRnpVQK1lx088rvd3Fe801041200chPI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013892&ssig=VxDhU1s2Gr&KID=unistore,video",,,蓝V
4943737647272083,NilOAuvNF,6423885396,铁骥正能量,【#志愿者进村义诊服务老人坐满房间#】9月6日，浙江台州。三门县沙柳街道服务中心的志愿者们送医下乡送诊上门，来到石马林村里给老年人群进行身体检查并宣传健康的生活理念。贴心细致的服务获得了大家的一致好评！@铁骥视频L铁骥视频的微博视频,,,铁骥视频,志愿者进村义诊服务老人坐满房间,0,0,0,2023-09-08 16:39,微博视频号,,"http://f.video.weibocdn.com/o0/gRnpVQK1lx088rvd3Fe801041200chPI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013892&ssig=VxDhU1s2Gr&KID=unistore,video",,,普通用户
4943736583228600,NilMSdxUc,7621499905,纵横视频,【#志愿者进村义诊服务老人坐满房间#】9月6日，浙江台州。三门县沙柳街道服务中心的志愿者们送医下乡送诊上门，来到石马林村里给老年人群进行身体检查并宣传健康的生活理念。贴心细致的服务获得了大家的一致好评！@铁骥视频L铁骥视频的微博视频,,,铁骥视频,志愿者进村义诊服务老人坐满房间,0,0,0,2023-09-08 16:35,微博视频号,,"http://f.video.weibocdn.com/o0/gRnpVQK1lx088rvd3Fe801041200chPI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013892&ssig=VxDhU1s2Gr&KID=unistore,video",,,蓝V
4943736456351387,NilMFqEhJ,1668589317,大众新闻-半岛都市报,【#志愿者进村义诊服务老人坐满房间#】9月6日，浙江台州。三门县沙柳街道服务中心的志愿者们送医下乡送诊上门，来到石马林村里给老年人群进行身体检查并宣传健康的生活理念。贴心细致的服务获得了大家的一致好评！@铁骥视频L铁骥视频的微博视频,,,铁骥视频,志愿者进村义诊服务老人坐满房间,0,0,0,2023-09-08 16:34,微博视频号,,"http://f.video.weibocdn.com/o0/gRnpVQK1lx088rvd3Fe801041200chPI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013894&ssig=Ue4s1ORBzB&KID=unistore,video",,,蓝V
