id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4859284897404157,MoSgNv49T,7277507691,丝路人力资源产业研究院,#中国已逼近中度老龄化#【仅差0.2个百分点！#我国已逼近中度老龄化#】据@北京商报消息，1月17日，国家统计局局长康义介绍2022年国民经济运行情况。他表示，从年龄构成看，60岁及以上人口28004万人，占全国人口的19.8%。这也意味着，仅差0.2个百分点我国就将触碰中度老龄化社会的标准线。而国家统计局此前在2022年初公布的数据显示，截至2021年底，我国60岁及以上人口26376万人，占全国人口的18.9%。按照有关老龄化的划分标准，当一个国家60岁以上人口占总人口比重超过20%，表示进入中度老龄化社会。L北京商报的微博视频,,,北京商报,"中国已逼近中度老龄化,我国已逼近中度老龄化",0,0,0,2023-01-18 15:34,微博视频号,,"http://f.video.weibocdn.com/o0/bSotMJ71lx082qaRXSoU01041200cV4Y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725645185&ssig=eHUGSYTtrm&KID=unistore,video",,,蓝V
4859196971944869,MoPYZ89WR,1974561081,网易财经,#中国已逼近中度老龄化#【仅差0.2个百分点！#我国已逼近中度老龄化#】据@北京商报消息，1月17日，国家统计局局长康义介绍2022年国民经济运行情况。他表示，从年龄构成看，60岁及以上人口28004万人，占全国人口的19.8%。这也意味着，仅差0.2个百分点我国就将触碰中度老龄化社会的标准线。而国家统计局此前在2022年初公布的数据显示，截至2021年底，我国60岁及以上人口26376万人，占全国人口的18.9%。按照有关老龄化的划分标准，当一个国家60岁以上人口占总人口比重超过20%，表示进入中度老龄化社会。L北京商报的微博视频,,,北京商报,"中国已逼近中度老龄化,我国已逼近中度老龄化",0,0,2,2023-01-18 09:45,微博视频号,,"http://f.video.weibocdn.com/o0/bSotMJ71lx082qaRXSoU01041200cV4Y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725645185&ssig=eHUGSYTtrm&KID=unistore,video",,,蓝V
4859193200214564,MoPSU0TOI,5892437306,周到上海,#中国已逼近中度老龄化#【仅差0.2个百分点！#我国已逼近中度老龄化#】据@北京商报消息，1月17日，国家统计局局长康义介绍2022年国民经济运行情况。他表示，从年龄构成看，60岁及以上人口28004万人，占全国人口的19.8%。这也意味着，仅差0.2个百分点我国就将触碰中度老龄化社会的标准线。而国家统计局此前在2022年初公布的数据显示，截至2021年底，我国60岁及以上人口26376万人，占全国人口的18.9%。按照有关老龄化的划分标准，当一个国家60岁以上人口占总人口比重超过20%，表示进入中度老龄化社会。L北京商报的微博视频,,,北京商报,"中国已逼近中度老龄化,我国已逼近中度老龄化",0,0,0,2023-01-18 09:30,微博视频号,,"http://f.video.weibocdn.com/o0/bSotMJ71lx082qaRXSoU01041200cV4Y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725645185&ssig=eHUGSYTtrm&KID=unistore,video",,,蓝V
4859050389671991,MoMayEA7R,1319297121,lotus_anan,本周热读超话#中国已逼近中度老龄化#【仅差0.2个百分点！#我国已逼近中度老龄化#】1月17日，国家统计局局长康义介绍2022年国民经济运行情况。他表示，从年龄构成看，60岁及以上人口28004万人，占全国人口的19.8%。这也意味着，仅差0.2个百分点我国就将触碰中度老龄化社会的标准线。而国家统计局此前在2022年初公布的数据显示，截至2021年底，我国60岁及以上人口26376万人，占全国人口的18.9%。按照有关老龄化的划分标准，当一个国家60岁以上人口占总人口比重超过20%，表示进入中度老龄化社会。（财经网）L北京商报的微博视频,,,,"中国已逼近中度老龄化,我国已逼近中度老龄化",0,1,0,2023-01-18 00:02,本周热读超话,,"http://f.video.weibocdn.com/o0/bSotMJ71lx082qaRXSoU01041200cV4Y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725645185&ssig=eHUGSYTtrm&KID=unistore,video",,,黄V
4859030683520796,MoLEMeLV2,6361491468,互联网这些事,#中国已逼近中度老龄化#【仅差0.2个百分点！#我国已逼近中度老龄化#】据@北京商报消息，1月17日，国家统计局局长康义介绍2022年国民经济运行情况。他表示，从年龄构成看，60岁及以上人口28004万人，占全国人口的19.8%。这也意味着，仅差0.2个百分点我国就将触碰中度老龄化社会的标准线。而国家统计局此前在2022年初公布的数据显示，截至2021年底，我国60岁及以上人口26376万人，占全国人口的18.9%。按照有关老龄化的划分标准，当一个国家60岁以上人口占总人口比重超过20%，表示进入中度老龄化社会。L北京商报的微博视频,,,北京商报,"中国已逼近中度老龄化,我国已逼近中度老龄化",122,167,393,2023-01-17 22:44,微博视频号,,"http://f.video.weibocdn.com/o0/bSotMJ71lx082qaRXSoU01041200cV4Y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725645185&ssig=eHUGSYTtrm&KID=unistore,video",,,黄V
4859026255385326,MoLxDmAY6,1255595687,六国虹,#中国已逼近中度老龄化#【仅差0.2个百分点！#我国已逼近中度老龄化#】据@北京商报消息，1月17日，国家统计局局长康义介绍2022年国民经济运行情况。他表示，从年龄构成看，60岁及以上人口28004万人，占全国人口的19.8%。这也意味着，仅差0.2个百分点我国就将触碰中度老龄化社会的标准线。而国家统计局此前在2022年初公布的数据显示，截至2021年底，我国60岁及以上人口26376万人，占全国人口的18.9%。按照有关老龄化的划分标准，当一个国家60岁以上人口占总人口比重超过20%，表示进入中度老龄化社会。L北京商报的微博视频,,,北京商报,"中国已逼近中度老龄化,我国已逼近中度老龄化",1,1,3,2023-01-17 22:26,六国论HarmonyOS设备,,"http://f.video.weibocdn.com/o0/bSotMJ71lx082qaRXSoU01041200cV4Y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725645185&ssig=eHUGSYTtrm&KID=unistore,video",,,红V
4859018801321964,MoLlC5xU0,7647895119,中访网微博,【仅差0.2个百分点！#我国已逼近中度老龄化#】据@北京商报消息，1月17日，国家统计局局长康义介绍2022年国民经济运行情况。他表示，从年龄构成看，60岁及以上人口28004万人，占全国人口的19.8%。这也意味着，仅差0.2个百分点我国就将触碰中度老龄化社会的标准线。而国家统计局此前在2022年初公布的数据显示，截至2021年底，我国60岁及以上人口26376万人，占全国人口的18.9%。按照有关老龄化的划分标准，当一个国家60岁以上人口占总人口比重超过20%，表示进入中度老龄化社会。L北京商报的微博视频,,,北京商报,我国已逼近中度老龄化,0,0,3,2023-01-17 21:57,微博视频号,,"http://f.video.weibocdn.com/o0/bSotMJ71lx082qaRXSoU01041200cV4Y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725645185&ssig=eHUGSYTtrm&KID=unistore,video",,,蓝V
4859013714678171,MoLdpjD0n,1284139322,凯恩斯,【仅差0.2个百分点！#我国已逼近中度老龄化#】据@北京商报消息，1月17日，国家统计局局长康义介绍2022年国民经济运行情况。他表示，从年龄构成看，60岁及以上人口28004万人，占全国人口的19.8%。这也意味着，仅差0.2个百分点我国就将触碰中度老龄化社会的标准线。而国家统计局此前在2022年初公布的数据显示，截至2021年底，我国60岁及以上人口26376万人，占全国人口的18.9%。按照有关老龄化的划分标准，当一个国家60岁以上人口占总人口比重超过20%，表示进入中度老龄化社会。L北京商报的微博视频,,,北京商报,我国已逼近中度老龄化,7,2,11,2023-01-17 21:36,微博视频号,,"http://f.video.weibocdn.com/o0/bSotMJ71lx082qaRXSoU01041200cV4Y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725645185&ssig=eHUGSYTtrm&KID=unistore,video",,,金V
4858989365428870,MoKA8mMiq,5994003317,老板联播,#中国已逼近中度老龄化#【仅差0.2个百分点！#我国已逼近中度老龄化#】据@北京商报消息，1月17日，国家统计局局长康义介绍2022年国民经济运行情况。他表示，从年龄构成看，60岁及以上人口28004万人，占全国人口的19.8%。这也意味着，仅差0.2个百分点我国就将触碰中度老龄化社会的标准线。而国家统计局此前在2022年初公布的数据显示，截至2021年底，我国60岁及以上人口26376万人，占全国人口的18.9%。按照有关老龄化的划分标准，当一个国家60岁以上人口占总人口比重超过20%，表示进入中度老龄化社会。L北京商报的微博视频,,,北京商报,"中国已逼近中度老龄化,我国已逼近中度老龄化",1,3,8,2023-01-17 20:00,微博视频号,,"http://f.video.weibocdn.com/o0/bSotMJ71lx082qaRXSoU01041200cV4Y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725645186&ssig=X8LriJwOdA&KID=unistore,video",,,蓝V
4858978623816812,MoKiOg0Vu,1589147860,马延明,#中国已逼近中度老龄化#1月17日，国家统计局局长康义介绍2022年国民经济运行情况。他表示，#我国已逼近中度老龄化#增收减负，才能解决低生育问题。以司马南为首的MCN机构对民营企业的“围追堵截”取得了“辉煌战绩”，他们却毫发无损，的确令人匪夷所思。仅靠提振经济信心的口号，能不能给民营企业信心？能不能促进解决就业？这些都需要观察。,,,,"中国已逼近中度老龄化,我国已逼近中度老龄化",5,7,36,2023-01-17 19:17,荣耀20 PRO,,,,,金V
