id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4511315429459069,J4KmGDGJD,3917937138,萍乡发布,【生命的力量！#战胜新冠的硬核百岁老人#：有的一治愈就在床上喝啤酒，有的自己照顾自己】老年人被认为是新冠肺炎疫情下的弱势群体，但这些经历过二战、西班牙大流感的百岁老人却战胜了新冠病毒。生活中的他们也十分硬核：有的为庆祝重生喝啤酒，有的生着病也坚持自己照顾自己，还有的一痊愈就开始打毛衣。O网页链接,,,,战胜新冠的硬核百岁老人,26,0,1,2020-06-02 10:27,微博视频号,,,,,
4511316876648087,J4Kp1rTtd,3961908640,萍乡安源发布,【生命的力量！#战胜新冠的硬核百岁老人#：有的一治愈就在床上喝啤酒，有的自己照顾自己】,,,,战胜新冠的硬核百岁老人,0,0,1,2020-06-02 10:33,360安全浏览器,,,4511315429459069,,蓝V
4511275620801924,J4Jku3mCg,1270750184,微博禁毒第一人马霄,【生命的力量！#战胜新冠的硬核百岁老人#：有的一治愈就在床上喝啤酒，有的自己照顾自己】老年人被认为是新冠肺炎疫情下的弱势群体，但这些经历过二战、西班牙大流感的百岁老人却战胜了新冠病毒。生活中的他们也十分硬核：有的为庆祝重生喝啤酒，有的生着病也坚持自己照顾自己，还有的一痊愈就开始打毛衣。@时差视频 #美国至少15个州已启用国民警卫队#O网页链接,,,时差视频,"战胜新冠的硬核百岁老人,美国至少15个州已启用国民警卫队",0,0,2,2020-06-02 07:49,微博视频号,,,,,黄V
4511050484084412,J4Dtmh8xC,1798653494,经视直播,【生命的力量！#战胜新冠的硬核百岁老人#：有的一治愈就在床上喝啤酒，有的自己照顾自己】老年人被认为是新冠肺炎疫情下的弱势群体，但这些经历过二战、西班牙大流感的百岁老人却战胜了新冠病毒。生活中的他们也十分硬核：有的为庆祝重生喝啤酒，有的生着病也坚持自己照顾自己，还有的一痊愈就开始打毛衣。@时差视频O网页链接,,,时差视频,战胜新冠的硬核百岁老人,1,0,0,2020-06-01 16:55,微博视频号,,,,,蓝V
4511026873491634,J4CRheEkG,2671038244,夏橙-w61965,【生命的力量！#战胜新冠的硬核百岁老人#：有的一治愈就在床上喝啤酒，有的自己照顾自己】老年人被认为是新冠肺炎疫情下的弱势群体，但这些经历过二战、西班牙大流感的百岁老人却战胜了新冠病毒。生活中的他们也十分硬核：有的为庆祝重生喝啤酒，有的生着病也坚持自己照顾自己，还有的一痊愈就开始打毛衣。@时差视频 O网页链接O减肥瘦身后怎么保持，10天10斤30天30斤以此类推？,,,时差视频,战胜新冠的硬核百岁老人,0,0,0,2020-06-01 15:21,OPPO R9,,,,,普通用户
4511025812667349,J4CPzbbTL,7368582135,美国小纽约,【生命的力量！#战胜新冠的硬核百岁老人#：有的一治愈就在床上喝啤酒，有的自己照顾自己】老年人被认为是新冠肺炎疫情下的弱势群体，但这些经历过二战、西班牙大流感的百岁老人却战胜了新冠病毒。生活中的他们也十分硬核：有的为庆祝重生喝啤酒，有的生着病也坚持自己照顾自己，还有的一痊愈就开始打毛衣。@时差视频 O网页链接O减肥瘦身后怎么保持，10天10斤30天30斤以此类推？,,,时差视频,战胜新冠的硬核百岁老人,0,1,2,2020-06-01 15:17,OPPO R9,,,,,普通用户
4511018757338442,J4CEbuN3Y,6619289680,定西交通广播,【生命的力量！#战胜新冠的硬核百岁老人#：有的一治愈就在床上喝啤酒，有的自己照顾自己】老年人被认为是新冠肺炎疫情下的弱势群体，但这些经历过二战、西班牙大流感的百岁老人却战胜了新冠病毒。生活中的他们也十分硬核：有的为庆祝重生喝啤酒，有的生着病也坚持自己照顾自己，还有的一痊愈就开始打毛衣。O网页链接,,,,战胜新冠的硬核百岁老人,0,0,0,2020-06-01 14:49,微博视频号,,,,,蓝V
4510979545759740,J4BCWoan2,7368582135,美国小纽约,【生命的力量！#战胜新冠的硬核百岁老人#：有的一治愈就在床上喝啤酒，有的自己照顾自己】老年人被认为是新冠肺炎疫情下的弱势群体，但这些经历过二战、西班牙大流感的百岁老人却战胜了新冠病毒。生活中的他们也十分硬核：有的为庆祝重生喝啤酒，有的生着病也坚持自己照顾自己，还有的一痊愈就开始打毛衣。@时差视频 O网页链接O减肥瘦身后能保持下去吗？10天10斤30天30斤可能吗?,,,时差视频,战胜新冠的硬核百岁老人,0,0,0,2020-06-01 12:13,OPPO R9,,,,,普通用户
4510972306538645,J4Brgrr01,2671038244,夏橙-w61965,【生命的力量！#战胜新冠的硬核百岁老人#：有的一治愈就在床上喝啤酒，有的自己照顾自己】老年人被认为是新冠肺炎疫情下的弱势群体，但这些经历过二战、西班牙大流感的百岁老人却战胜了新冠病毒。生活中的他们也十分硬核：有的为庆祝重生喝啤酒，有的生着病也坚持自己照顾自己，还有的一痊愈就开始打毛衣。@时差视频 O网页链接O减肥瘦身后能保持下去吗？10天10斤30天30斤可能吗?,,,时差视频,战胜新冠的硬核百岁老人,0,0,0,2020-06-01 11:44,OPPO R9,,,,,普通用户
4510956799016531,J4B2fBPBV,2345597047,中国小康网,【生命的力量！#战胜新冠的硬核百岁老人#：有的一治愈就在床上喝啤酒，有的自己照顾自己】老年人被认为是新冠肺炎疫情下的弱势群体，但这些经历过二战、西班牙大流感的百岁老人却战胜了新冠病毒。生活中的他们也十分硬核：有的为庆祝重生喝啤酒，有的生着病也坚持自己照顾自己，还有的一痊愈就开始打毛衣。O网页链接,,,,战胜新冠的硬核百岁老人,0,0,0,2020-06-01 10:42,微博视频号,,,,,蓝V
