id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4445068930675146,IiUrP2PDs,6027711534,太原V房产,【太坏了！小伙#抢劫未果放火烧独居老人房屋#，老人平时靠捡破烂为生】#楼市动态#11月22日，江西上饶一独居老人房屋着火，消防到场救援。消防员介绍，着火房屋老人平时靠捡破烂为生，在救援现场发现一名神色慌张的可疑小伙。经调查，小伙抢劫老人钱财未果，于是纵火。目前案件进一步调查中。#今日说房#L一手video的秒拍视频,,,,"抢劫未果放火烧独居老人房屋,楼市动态,今日说房",0,0,0,2019-12-02 15:08,微博视频号,,"http://miaopai.video.weibocdn.com/000BJE7Elx07yYtICzdm01041200fl9E0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002857&ssig=rQADYfw0ks&KID=unistore,video",,,蓝V
4445021480543676,IiTdi2hqY,6171488985,房产IN江门,【太坏了！小伙#抢劫未果放火烧独居老人房屋#，老人平时靠捡破烂为生】11月22日，江西上饶一独居老人房屋着火，消防到场救援。消防员介绍，着火房屋老人平时靠捡破烂为生，在救援现场发现一名神色慌张的可疑小伙。经调查，小伙抢劫老人钱财未果，于是纵火。目前案件进一步调查中。L一手video的秒拍视频,,,,抢劫未果放火烧独居老人房屋,0,0,0,2019-12-02 11:59,微博视频号,,"http://miaopai.video.weibocdn.com/000BJE7Elx07yYtICzdm01041200fl9E0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002857&ssig=rQADYfw0ks&KID=unistore,video",,,黄V
4445012169335615,IiSYgDaCr,5065571660,保定检察,#人神共愤#【太坏了！小伙#抢劫未果放火烧独居老人房屋#，老人平时靠捡破烂为生】11月22日，江西上饶一独居老人房屋着火，消防到场救援。消防员介绍，着火房屋老人平时靠捡破烂为生，在救援现场发现一名神色慌张的可疑小伙。经调查，小伙抢劫老人钱财未果，于是纵火。目前案件进一步调查中。@一手VideoL一手video的秒拍视频,,,一手Video,"人神共愤,抢劫未果放火烧独居老人房屋",12,12,6,2019-12-02 11:22,微博视频号,,"http://miaopai.video.weibocdn.com/000BJE7Elx07yYtICzdm01041200fl9E0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002857&ssig=rQADYfw0ks&KID=unistore,video",,,蓝V
4444766928147066,IiMAIybqi,6177021397,兰州V房产,【太坏了！小伙#抢劫未果放火烧独居老人房屋#，老人平时靠捡破烂为生】11月22日，江西上饶一独居老人房屋着火，消防到场救援。消防员介绍，着火房屋老人平时靠捡破烂为生，在救援现场发现一名神色慌张的可疑小伙。经调查，小伙抢劫老人钱财未果，于是纵火。目前案件进一步调查中。L一手video的秒拍视频,,,,抢劫未果放火烧独居老人房屋,0,0,0,2019-12-01 19:07,微博视频号,,"http://miaopai.video.weibocdn.com/000BJE7Elx07yYtICzdm01041200fl9E0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002857&ssig=rQADYfw0ks&KID=unistore,video",,,蓝V
4444752856206192,IiMe1q2vS,6027731978,西安微博房产,【太坏了！小伙#抢劫未果放火烧独居老人房屋#，老人平时靠捡破烂为生】11月22日，江西上饶一独居老人房屋着火，消防到场救援。消防员介绍，着火房屋老人平时靠捡破烂为生，在救援现场发现一名神色慌张的可疑小伙。经调查，小伙抢劫老人钱财未果，于是纵火。目前案件进一步调查中。#楼市杂谈#L一手video的秒拍视频,,,,"抢劫未果放火烧独居老人房屋,楼市杂谈",0,2,4,2019-12-01 18:12,微博视频号,,"http://miaopai.video.weibocdn.com/000BJE7Elx07yYtICzdm01041200fl9E0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002857&ssig=rQADYfw0ks&KID=unistore,video",,,蓝V
4444723412337056,IiLsx9NYs,6382509918,长春城市生活,【男子#抢劫未果放火烧独居老人房屋#，老人平时靠捡破烂为生】11月22日，江西上饶一独居老人房屋着火，消防到场救援。消防员介绍，着火房屋老人平时靠捡破烂为生，在救援现场发现一名神色慌张的可疑小伙。经调查，小伙抢劫老人钱财未果，于是纵火。目前案件进一步调查中。L一手video的秒拍视频,,,,抢劫未果放火烧独居老人房屋,0,0,0,2019-12-01 16:15,微博视频号,,"http://miaopai.video.weibocdn.com/000BJE7Elx07yYtICzdm01041200fl9E0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002857&ssig=rQADYfw0ks&KID=unistore,video",,,黄V
4444647210643177,IiJtD2HjP,5452382897,甘肃省临夏县检察院,#人神共愤#【太坏了！小伙#抢劫未果放火烧独居老人房屋#，老人平时靠捡破烂为生】11月22日，江西上饶一独居老人房屋着火，消防到场救援。消防员介绍，着火房屋老人平时靠捡破烂为生，在救援现场发现一名神色慌张的可疑小伙。经调查，小伙抢劫老人钱财未果，于是纵火。目前案件进一步调查中。@一手VideoL一手video的秒拍视频,,,一手Video,"人神共愤,抢劫未果放火烧独居老人房屋",0,1,5,2019-12-01 11:12,微博视频号,,"http://miaopai.video.weibocdn.com/000BJE7Elx07yYtICzdm01041200fl9E0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002857&ssig=rQADYfw0ks&KID=unistore,video",,,蓝V
4444616415539198,IiIFXneZU,5572501910,埇桥检察,#人神共愤#【太坏了！小伙#抢劫未果放火烧独居老人房屋#，老人平时靠捡破烂为生】11月22日，江西上饶一独居老人房屋着火，消防到场救援。消防员介绍，着火房屋老人平时靠捡破烂为生，在救援现场发现一名神色慌张的可疑小伙。经调查，小伙抢劫老人钱财未果，于是纵火。目前案件进一步调查中。@法制日报@一手VideoL一手video的秒拍视频,,,"法制日报,一手Video","人神共愤,抢劫未果放火烧独居老人房屋",3,3,3,2019-12-01 09:09,埇小检Android,,"http://miaopai.video.weibocdn.com/000BJE7Elx07yYtICzdm01041200fl9E0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002857&ssig=rQADYfw0ks&KID=unistore,video",,,蓝V
4444605128729410,IiInKACUW,3725696512,韩城法院,#人神共愤#【太坏了！小伙#抢劫未果放火烧独居老人房屋#，老人平时靠捡破烂为生】11月22日，江西上饶一独居老人房屋着火，消防到场救援。消防员介绍，着火房屋老人平时靠捡破烂为生，在救援现场发现一名神色慌张的可疑小伙。经调查，小伙抢劫老人钱财未果，于是纵火。目前案件进一步调查中。@一手VideoL一手video的秒拍视频,,渭南·韩城,一手Video,"人神共愤,抢劫未果放火烧独居老人房屋",0,0,1,2019-12-01 08:25,iPhone客户端,,"http://miaopai.video.weibocdn.com/000BJE7Elx07yYtICzdm01041200fl9E0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002857&ssig=rQADYfw0ks&KID=unistore,video",,,蓝V
4444591795189987,IiI2flM9t,5596261365,黑龙江林区检察,#人神共愤#【太坏了！小伙#抢劫未果放火烧独居老人房屋#，老人平时靠捡破烂为生】L一手video的秒拍视频L一手video的秒拍视频,,,,"人神共愤,抢劫未果放火烧独居老人房屋",2,10,12,2019-12-01 07:32,微博视频号,,"http://miaopai.video.weibocdn.com/000BJE7Elx07yYtICzdm01041200fl9E0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002859&ssig=mOLBPjgQrJ&KID=unistore,video",,,蓝V
