id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4597353757805940,JEQCbwKGg,5463935364,桓台检察,【#护工上门照料八旬老人被隔离#：既然留下就照顾好她】住在上海昭通路居民区80岁的朱阿婆，平时每天由护工小金照顾1小时。在小区开始隔离时，小金正好在朱阿婆家。阿婆的子女无法进入隔离小区，只能以电话的方式不断拜托小金。她表示，既然隔离了，她一定会照顾好朱阿婆。像朱阿婆这样生活无法自理或是行动不便需要卧床的老人，小区里有将近20个。街道组织了志愿者确保老人的基本起居得到保障。#定小检播报#L看看新闻KNEWS的秒拍视频,,,,"护工上门照料八旬老人被隔离,定小检播报",0,0,0,2021-01-25 20:33,微博视频号,,"http://miaopai.video.weibocdn.com/aN6XyNFDlx07JNUCPZ8k01041200QHiT0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015236&ssig=N0WfTdiHOT&KID=unistore,video",,,蓝V
4596936781333960,JEFLE5B1u,5219506757,淳安检察,【#护工上门照料八旬老人被隔离#：既然留下就照顾好她】住在上海昭通路居民区80岁的朱阿婆，平时每天由护工小金照顾1小时。在小区开始隔离时，小金正好在朱阿婆家。阿婆的子女无法进入隔离小区，只能以电话的方式不断拜托小金。她表示，既然隔离了，她一定会照顾好朱阿婆。像朱阿婆这样生活无法自理或是行动不便需要卧床的老人，小区里有将近20个。街道组织了志愿者确保老人的基本起居得到保障。L看看新闻KNEWS的秒拍视频,,,,护工上门照料八旬老人被隔离,0,0,1,2021-01-24 16:56,微博视频号,,"http://miaopai.video.weibocdn.com/aN6XyNFDlx07JNUCPZ8k01041200QHiT0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015236&ssig=N0WfTdiHOT&KID=unistore,video",,,蓝V
4596878526386785,JEEfGqNuF,6505901464,潍坊高新检察,【#护工上门照料八旬老人被隔离#：既然留下就照顾好她】住在上海昭通路居民区80岁的朱阿婆，平时每天由护工小金照顾1小时。在小区开始隔离时，小金正好在朱阿婆家。阿婆的子女无法进入隔离小区，只能以电话的方式不断拜托小金。她表示，既然隔离了，她一定会照顾好朱阿婆。像朱阿婆这样生活无法自理或是行动不便需要卧床的老人，小区里有将近20个。街道组织了志愿者确保老人的基本起居得到保障。L看看新闻KNEWS的秒拍视频,,,,护工上门照料八旬老人被隔离,0,0,0,2021-01-24 13:05,微博视频号,,"http://miaopai.video.weibocdn.com/aN6XyNFDlx07JNUCPZ8k01041200QHiT0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015236&ssig=N0WfTdiHOT&KID=unistore,video",,,蓝V
4596839045924929,JEDe0oRln,2701679922,上海崇明,【#护工上门照料八旬老人被隔离#：既然留下就照顾好她】住在上海昭通路居民区80岁的朱阿婆，平时每天由护工小金照顾1小时。在小区开始隔离时，小金正好在朱阿婆家。阿婆的子女无法进入隔离小区，只能以电话的方式不断拜托小金。她表示，既然隔离了，她一定会照顾好朱阿婆。像朱阿婆这样生活无法自理或是行动不便需要卧床的老人，小区里有将近20个。街道组织了志愿者确保老人的基本起居得到保障。L看看新闻KNEWS的秒拍视频,,,,护工上门照料八旬老人被隔离,0,0,0,2021-01-24 10:28,微博视频号,,"http://miaopai.video.weibocdn.com/aN6XyNFDlx07JNUCPZ8k01041200QHiT0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015236&ssig=N0WfTdiHOT&KID=unistore,video",,,蓝V
4596765443490314,JEBjieDZo,5182163938,建德检察,【#护工上门照料八旬老人被隔离#：既然留下就照顾好她】住在上海昭通路居民区80岁的朱阿婆，平时每天由护工小金照顾1小时。在小区开始隔离时，小金正好在朱阿婆家。阿婆的子女无法进入隔离小区，只能以电话的方式不断拜托小金。她表示，既然隔离了，她一定会照顾好朱阿婆。像朱阿婆这样生活无法自理或是行动不便需要卧床的老人，小区里有将近20个。街道组织了志愿者确保老人的基本起居得到保障。L看看新闻KNEWS的秒拍视频,,杭州·红枫花园,,护工上门照料八旬老人被隔离,1,2,2,2021-01-24 05:35,微博视频号,,"http://miaopai.video.weibocdn.com/aN6XyNFDlx07JNUCPZ8k01041200QHiT0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015236&ssig=N0WfTdiHOT&KID=unistore,video",,,蓝V
4596694631842522,JEzt57Jk6,5385579770,淄博检察,【#护工上门照料八旬老人被隔离#：既然留下就照顾好她】住在上海昭通路居民区80岁的朱阿婆，平时每天由护工小金照顾1小时。在小区开始隔离时，小金正好在朱阿婆家。阿婆的子女无法进入隔离小区，只能以电话的方式不断拜托小金。她表示，既然隔离了，她一定会照顾好朱阿婆。像朱阿婆这样生活无法自理或是行动不便需要卧床的老人，小区里有将近20个。街道组织了志愿者确保老人的基本起居得到保障。L看看新闻KNEWS的秒拍视频,,,,护工上门照料八旬老人被隔离,0,8,3,2021-01-24 00:54,微博视频号,,"http://miaopai.video.weibocdn.com/aN6XyNFDlx07JNUCPZ8k01041200QHiT0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015236&ssig=N0WfTdiHOT&KID=unistore,video",,,蓝V
4596681872516636,JEz8vayGU,2867360410,九江共青城发布,【#护工上门照料八旬老人被隔离#：既然留下就照顾好她】住在上海昭通路居民区80岁的朱阿婆，平时每天由护工小金照顾1小时。在小区开始隔离时，小金正好在朱阿婆家。阿婆的子女无法进入隔离小区，只能以电话的方式不断拜托小金。她表示，既然隔离了，她一定会照顾好朱阿婆。像朱阿婆这样生活无法自理或是行动不便需要卧床的老人，小区里有将近20个。街道组织了志愿者确保老人的基本起居得到保障。L看看新闻KNEWS的秒拍视频,,,,护工上门照料八旬老人被隔离,4,4,1,2021-01-24 00:03,微博视频号,,"http://miaopai.video.weibocdn.com/aN6XyNFDlx07JNUCPZ8k01041200QHiT0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015236&ssig=N0WfTdiHOT&KID=unistore,video",,,蓝V
4596678030002296,JEz2j00B2,5582931309,河北新闻联播,【#护工上门照料八旬老人被隔离#：既然留下就照顾好她】住在上海昭通路居民区80岁的朱阿婆，平时每天由护工小金照顾1小时。在小区开始隔离时，小金正好在朱阿婆家。阿婆的子女无法进入隔离小区，只能以电话的方式不断拜托小金。她表示，既然隔离了，她一定会照顾好朱阿婆。像朱阿婆这样生活无法自理或是行动不便需要卧床的老人，小区里有将近20个。街道组织了志愿者确保老人的基本起居得到保障。L看看新闻KNEWS的秒拍视频,,,,护工上门照料八旬老人被隔离,0,0,0,2021-01-23 23:48,iPhone客户端,,"http://miaopai.video.weibocdn.com/aN6XyNFDlx07JNUCPZ8k01041200QHiT0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015237&ssig=ZoUHcWAtXy&KID=unistore,video",,,蓝V
4596673160680429,JEyUs2R0F,1929329727,网易新闻,【#护工上门照料八旬老人被隔离#：既然留下就照顾好她】住在上海昭通路居民区80岁的朱阿婆，平时每天由护工小金照顾1小时。在小区开始隔离时，小金正好在朱阿婆家。阿婆的子女无法进入隔离小区，只能以电话的方式不断拜托小金。她表示，既然隔离了，她一定会照顾好朱阿婆。像朱阿婆这样生活无法自理或是行动不便需要卧床的老人，小区里有将近20个。街道组织了志愿者确保老人的基本起居得到保障。（看看新闻）L看看新闻KNEWS的秒拍视频,,,,护工上门照料八旬老人被隔离,2,3,3,2021-01-23 23:29,微博视频号,,"http://miaopai.video.weibocdn.com/aN6XyNFDlx07JNUCPZ8k01041200QHiT0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015237&ssig=ZoUHcWAtXy&KID=unistore,video",,,蓝V
4596659306639262,JEyy6rRaS,1845864154,看看新闻KNEWS,【#护工上门照料八旬老人被隔离#：既然留下就照顾好她】住在上海昭通路居民区80岁的朱阿婆，平时每天由护工小金照顾1小时。在小区开始隔离时，小金正好在朱阿婆家。阿婆的子女无法进入隔离小区，只能以电话的方式不断拜托小金。她表示，既然隔离了，她一定会照顾好朱阿婆。像朱阿婆这样生活无法自理或是行动不便需要卧床的老人，小区里有将近20个。街道组织了志愿者确保老人的基本起居得到保障。L看看新闻KNEWS的秒拍视频,,,,护工上门照料八旬老人被隔离,8,4,68,2021-01-23 22:34,微博 weibo.com,,"http://miaopai.video.weibocdn.com/aN6XyNFDlx07JNUCPZ8k01041200QHiT0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015237&ssig=ZoUHcWAtXy&KID=unistore,video",,,蓝V
