id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4806412927241767,M2GPqunUH,7105384993,南华视频,【#19名老人被骗18余万养老钱#，民警跨市抓9人成功追回】#拿回被骗养老钱的老人笑起来真好看#近日，安徽滁州。老人董某报警称，有人免费发放小礼品拉拢讲课，以高额利息诱骗10多位老人18万。@滁州公安在线警方奔赴多市，成功抓获9名犯罪嫌疑人。随后，19名老年受害人领回被骗的182200元，现场，老人们满脸笑意，为民警颁发锦旗，连连道谢。L西部决策的微博视频,,,滁州公安在线,"19名老人被骗18余万养老钱,拿回被骗养老钱的老人笑起来真好看",0,0,0,2022-08-25 18:00,微博视频号,,"http://f.video.weibocdn.com/o0/1J6AMa05lx07YF8a0lcc01041200cMK60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012168&ssig=Eiod85RVPQ&KID=unistore,video",,,蓝V
4806277508630473,M2Dj0Adbb,6505901464,潍坊高新检察,#打击整治养老诈骗#【#19名老人被骗18余万养老钱#，民警跨市抓9人成功追回】#拿回被骗养老钱的老人笑起来真好看#近日，安徽滁州。老人董某报警称，有人免费发放小礼品拉拢讲课，以高额利息诱骗10多位老人18万。@滁州公安在线警方奔赴多市，成功抓获9名犯罪嫌疑人。随后，19名老年受害人领回被骗的182200元，现场，老人们满脸笑意，为民警颁发锦旗，连连道谢。@西部决策L西部决策的微博视频,,,"滁州公安在线,西部决策","打击整治养老诈骗,19名老人被骗18余万养老钱,拿回被骗养老钱的老人笑起来真好看",7,5,10,2022-08-25 09:01,微博视频号,,"http://f.video.weibocdn.com/o0/1J6AMa05lx07YF8a0lcc01041200cMK60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012168&ssig=Eiod85RVPQ&KID=unistore,video",,,蓝V
4806076043633010,M2y44ff6W,3893196853,平安宣汉,#打击整治养老诈骗#【#19名老人被骗18余万养老钱#，民警跨市抓9人成功追回】#拿回被骗养老钱的老人笑起来真好看#近日，安徽滁州。老人董某报警称，有人免费发放小礼品拉拢讲课，以高额利息诱骗10多位老人18万。@滁州公安在线警方奔赴多市，成功抓获9名犯罪嫌疑人。随后，19名老年受害人领回被骗的182200元，现场，老人们满脸笑意，为民警颁发锦旗，连连道谢。@西部决策L西部决策的微博视频,,,"滁州公安在线,西部决策","打击整治养老诈骗,19名老人被骗18余万养老钱,拿回被骗养老钱的老人笑起来真好看",0,0,0,2022-08-24 19:41,微博视频号,,"http://f.video.weibocdn.com/o0/1J6AMa05lx07YF8a0lcc01041200cMK60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012168&ssig=Eiod85RVPQ&KID=unistore,video",,,蓝V
4806049545061667,M2xnkleLN,5174377668,曾都检察,#打击整治养老诈骗#【#19名老人被骗18余万养老钱#，民警跨市抓9人成功追回】#拿回被骗养老钱的老人笑起来真好看#近日，安徽滁州。老人董某报警称，有人免费发放小礼品拉拢讲课，以高额利息诱骗10多位老人18万。@滁州公安在线警方奔赴多市，成功抓获9名犯罪嫌疑人。随后，19名老年受害人领回被骗的182200元，现场，老人们满脸笑意，为民警颁发锦旗，连连道谢。L西部决策的微博视频,,,滁州公安在线,"打击整治养老诈骗,19名老人被骗18余万养老钱,拿回被骗养老钱的老人笑起来真好看",0,0,0,2022-08-24 17:56,iPhone客户端,,"http://f.video.weibocdn.com/o0/1J6AMa05lx07YF8a0lcc01041200cMK60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012168&ssig=Eiod85RVPQ&KID=unistore,video",,,蓝V
4806030394131839,M2wSrhkSz,1663521665,大庆检察,#打击整治养老诈骗#【#19名老人被骗18余万养老钱#，民警跨市抓9人成功追回】#拿回被骗养老钱的老人笑起来真好看#近日，安徽滁州。老人董某报警称，有人免费发放小礼品拉拢讲课，以高额利息诱骗10多位老人18万。@滁州公安在线警方奔赴多市，成功抓获9名犯罪嫌疑人。随后，19名老年受害人领回被骗的182200元，现场，老人们满脸笑意，为民警颁发锦旗，连连道谢。@西部决策L西部决策的微博视频,,,"滁州公安在线,西部决策","打击整治养老诈骗,19名老人被骗18余万养老钱,拿回被骗养老钱的老人笑起来真好看",1,0,0,2022-08-24 16:39,微博视频号,,"http://f.video.weibocdn.com/o0/1J6AMa05lx07YF8a0lcc01041200cMK60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012168&ssig=Eiod85RVPQ&KID=unistore,video",,,蓝V
4806029169397189,M2wQsDqDz,5189931312,滨江检察,#打击整治养老诈骗#【#19名老人被骗18余万养老钱#，民警跨市抓9人成功追回】#拿回被骗养老钱的老人笑起来真好看#近日，安徽滁州。老人董某报警称，有人免费发放小礼品拉拢讲课，以高额利息诱骗10多位老人18万。@滁州公安在线警方奔赴多市，成功抓获9名犯罪嫌疑人。随后，19名老年受害人领回被骗的182200元，现场，老人们满脸笑意，为民警颁发锦旗，连连道谢。L西部决策的微博视频,,,滁州公安在线,"打击整治养老诈骗,19名老人被骗18余万养老钱,拿回被骗养老钱的老人笑起来真好看",0,0,0,2022-08-24 16:35,微博视频号,,"http://f.video.weibocdn.com/o0/1J6AMa05lx07YF8a0lcc01041200cMK60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012168&ssig=Eiod85RVPQ&KID=unistore,video",,,蓝V
4806022360728268,M2wFu33sg,3226789854,平安通川,#打击整治养老诈骗#【#19名老人被骗18余万养老钱#，民警跨市抓9人成功追回】#拿回被骗养老钱的老人笑起来真好看#近日，安徽滁州。老人董某报警称，有人免费发放小礼品拉拢讲课，以高额利息诱骗10多位老人18万。@滁州公安在线警方奔赴多市，成功抓获9名犯罪嫌疑人。随后，19名老年受害人领回被骗的182200元，现场，老人们满脸笑意，为民警颁发锦旗，连连道谢。@西部决策L西部决策的微博视频,,,"滁州公安在线,西部决策","打击整治养老诈骗,19名老人被骗18余万养老钱,拿回被骗养老钱的老人笑起来真好看",0,0,1,2022-08-24 16:08,微博视频号,,"http://f.video.weibocdn.com/o0/1J6AMa05lx07YF8a0lcc01041200cMK60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012168&ssig=Eiod85RVPQ&KID=unistore,video",,,蓝V
4806020436328515,M2wCnqykP,2104614043,肇庆检察,#打击整治养老诈骗#【#19名老人被骗18余万养老钱#，民警跨市抓9人成功追回】#拿回被骗养老钱的老人笑起来真好看#近日，安徽滁州。老人董某报警称，有人免费发放小礼品拉拢讲课，以高额利息诱骗10多位老人18万。@滁州公安在线警方奔赴多市，成功抓获9名犯罪嫌疑人。随后，19名老年受害人领回被骗的182200元，现场，老人们满脸笑意，为民警颁发锦旗，连连道谢。@西部决策L西部决策的微博视频,,,"滁州公安在线,西部决策","打击整治养老诈骗,19名老人被骗18余万养老钱,拿回被骗养老钱的老人笑起来真好看",1,3,2,2022-08-24 16:00,微博视频号,,"http://f.video.weibocdn.com/o0/1J6AMa05lx07YF8a0lcc01041200cMK60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012168&ssig=Eiod85RVPQ&KID=unistore,video",,,蓝V
4806018980386833,M2wA21CDf,3752688042,上林检察,#打击整治养老诈骗#【#19名老人被骗18余万养老钱#，民警跨市抓9人成功追回】#拿回被骗养老钱的老人笑起来真好看#近日，安徽滁州。老人董某报警称，有人免费发放小礼品拉拢讲课，以高额利息诱骗10多位老人18万。@滁州公安在线警方奔赴多市，成功抓获9名犯罪嫌疑人。随后，19名老年受害人领回被骗的182200元，现场，老人们满脸笑意，为民警颁发锦旗，连连道谢。L西部决策的微博视频,,,滁州公安在线,"打击整治养老诈骗,19名老人被骗18余万养老钱,拿回被骗养老钱的老人笑起来真好看",0,27,14,2022-08-24 15:54,微博视频号,,"http://f.video.weibocdn.com/o0/1J6AMa05lx07YF8a0lcc01041200cMK60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012168&ssig=Eiod85RVPQ&KID=unistore,video",,,蓝V
4806017433731999,M2wxxfERx,7299797687,河洛政法,#打击整治养老诈骗#【#19名老人被骗18余万养老钱#，民警跨市抓9人成功追回】#拿回被骗养老钱的老人笑起来真好看#近日，安徽滁州。老人董某报警称，有人免费发放小礼品拉拢讲课，以高额利息诱骗10多位老人18万。@滁州公安在线警方奔赴多市，成功抓获9名犯罪嫌疑人。随后，19名老年受害人领回被骗的182200元，现场，老人们满脸笑意，为民警颁发锦旗，连连道谢。@西部决策L西部决策的微博视频,,,"滁州公安在线,西部决策","打击整治养老诈骗,19名老人被骗18余万养老钱,拿回被骗养老钱的老人笑起来真好看",0,0,0,2022-08-24 15:48,iPhone客户端,,"http://f.video.weibocdn.com/o0/1J6AMa05lx07YF8a0lcc01041200cMK60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012168&ssig=Eiod85RVPQ&KID=unistore,video",,,蓝V
