id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4551917890444311,JlMCx1RAj,6619289680,定西交通广播,【家属投诉#敬老院擅自将老人送精神病院#：老人并无精神病，只有点老年痴呆】江西丰城，范女士投诉称，养母在淘沙镇敬老院中与老人发生冲突后，院长擅自将养母送进精神病院治疗；而后经医院诊断，养母并无精神病，只是有点老年痴呆。敬老院院长称，老人与他人打架行为异常，只是送她去检查，仍在协商解决办法。（凤凰周刊）L一手Video的秒拍视频,,,,敬老院擅自将老人送精神病院,0,1,1,2020-09-22 11:27,微博视频号,,"http://miaopai.video.weibocdn.com/iJih1wNhlx07GAo9qF8k01041200ZcBd0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017691&ssig=Gn%2F%2BD6MQIV&KID=unistore,video",,,蓝V
4551707441498671,JlH966hS7,2637745350,胡芳芳LucyHu,【家属投诉#敬老院擅自将老人送精神病院#：老人并无精神病，只有点老年痴呆】#职业体验师##lucyhu的问答##LucyHu#,,,,"敬老院擅自将老人送精神病院,职业体验师,lucy hu的问答,Lucy Hu",0,0,0,2020-09-21 21:31,,,,,,普通用户
4551661303634102,JlFWGffoy,2773926544,最爱南昌,【家属投诉#敬老院擅自将老人送精神病院#：老人并无精神病，只有点老年痴呆】江西丰城，范女士投诉称，养母在淘沙镇敬老院中与老人发生冲突后，院长擅自将养母送进精神病院治疗；而后经医院诊断，养母并无精神病，只是有点老年痴呆。敬老院院长称，老人与他人打架行为异常，只是送她去检查，仍在协商解决办法。L一手Video的秒拍视频,,,,敬老院擅自将老人送精神病院,0,1,1,2020-09-21 18:28,微博视频号,,"http://miaopai.video.weibocdn.com/iJih1wNhlx07GAo9qF8k01041200ZcBd0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017691&ssig=Gn%2F%2BD6MQIV&KID=unistore,video",,,黄V
4551632240514559,JlFbO29Rl,7020643391,果然video,#敬老院擅自将老人送精神病院#【家属投诉敬老院擅自决策，将老人送往精神病院，老人状态令人鼻酸】江西丰城，范女士投诉称，养母在淘沙镇敬老院中与老人发生冲突后，院长擅自将养母送进精神病院治疗；而后经医院诊断，养母并无精神病，只是有点老年痴呆。敬老院院长称，老人与他人打架行为异常，只是送她去检查，仍在协商解决办法。L果然video的微博视频,,,,敬老院擅自将老人送精神病院,0,0,0,2020-09-21 16:32,微博视频号,,"http://f.video.weibocdn.com/003OJH9Ugx07GBJiymCb01041200yWjD0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017691&ssig=%2FbwBrF3ehi&KID=unistore,video",,,蓝V
4551561949219070,JlDmqCGiG,6619289680,定西交通广播,【家属投诉#敬老院擅自将老人送精神病院#：老人并无精神病，只有点老年痴呆】江西丰城，范女士投诉称，养母在淘沙镇敬老院中与老人发生冲突后，院长擅自将养母送进精神病院治疗；而后经医院诊断，养母并无精神病，只是有点老年痴呆。敬老院院长称，老人与他人打架行为异常，只是送她去检查，仍在协商解决办法。（梨视频L一手Video的秒拍视频）,,,,敬老院擅自将老人送精神病院,0,0,0,2020-09-21 11:53,微博视频号,,"http://miaopai.video.weibocdn.com/iJih1wNhlx07GAo9qF8k01041200ZcBd0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017691&ssig=Gn%2F%2BD6MQIV&KID=unistore,video",,,蓝V
4551561839648026,JlDmfEtTk,3944104712,兴国发布,【家属投诉#敬老院擅自将老人送精神病院#：老人并无精神病，只有点老年痴呆】江西丰城，范女士投诉称，养母在淘沙镇敬老院中与老人发生冲突后，院长擅自将养母送进精神病院治疗；而后经医院诊断，养母并无精神病，只是有点老年痴呆。敬老院院长称，老人与他人打架行为异常，只是送她去检查，仍在协商解决办法。L一手Video的秒拍视频L兴国发布的微博视频,,,,敬老院擅自将老人送精神病院,0,0,0,2020-09-21 11:52,iPhone客户端,,"http://f.video.weibocdn.com/0046eST5gx07GBq5b4da01041200WLSE0E010.mp4?label=mp4_hd&template=504x896.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017691&ssig=7sYjMJQ%2Bwj&KID=unistore,video",,,蓝V
4551546656263097,JlCXLqhjH,3731897295,青原发布,【家属投诉#敬老院擅自将老人送精神病院#：老人并无精神病，只有点老年痴呆】江西丰城，范女士投诉称，养母在淘沙镇敬老院中与老人发生冲突后，院长擅自将养母送进精神病院治疗；而后经医院诊断，养母并无精神病，只是有点老年痴呆。敬老院院长称，老人与他人打架行为异常，只是送她去检查，仍在协商解决办法。L一手Video的秒拍视频,,,,敬老院擅自将老人送精神病院,0,0,0,2020-09-21 10:52,微博视频号,,"http://miaopai.video.weibocdn.com/iJih1wNhlx07GAo9qF8k01041200ZcBd0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017691&ssig=Gn%2F%2BD6MQIV&KID=unistore,video",,,蓝V
4551541405257000,JlCPim3Ak,2599892125,新浪江西,【家属投诉#敬老院擅自将老人送精神病院#：老人并无精神病，只有点老年痴呆】江西丰城，范女士投诉称，养母在淘沙镇敬老院中与老人发生冲突后，院长擅自将养母送进精神病院治疗；而后经医院诊断，养母并无精神病，只是有点老年痴呆。敬老院院长称，老人与他人打架行为异常，只是送她去检查，仍在协商解决办法。L一手Video的秒拍视频,,,,敬老院擅自将老人送精神病院,2,1,1,2020-09-21 10:31,微博视频号,,"http://miaopai.video.weibocdn.com/iJih1wNhlx07GAo9qF8k01041200ZcBd0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017691&ssig=Gn%2F%2BD6MQIV&KID=unistore,video",,,蓝V
4551527169268759,JlCskCTe7,5596616064,嘉荫检察,【家属投诉#敬老院擅自将老人送精神病院#：老人并无精神病，只有点老年痴呆】江西丰城，范女士投诉称，养母在淘沙镇敬老院中与老人发生冲突后，院长擅自将养母送进精神病院治疗；而后经医院诊断，养母并无精神病，只是有点老年痴呆。敬老院院长称，老人与他人打架行为异常，只是送她去检查，仍在协商解决办法。@一手VideoL一手Video的秒拍视频,,,一手Video,敬老院擅自将老人送精神病院,1,3,3,2020-09-21 09:35,微博视频号,,"http://miaopai.video.weibocdn.com/iJih1wNhlx07GAo9qF8k01041200ZcBd0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017691&ssig=Gn%2F%2BD6MQIV&KID=unistore,video",,,蓝V
4551525814506563,JlCq9iUmv,5361703639,富平检察,【家属投诉#敬老院擅自将老人送精神病院#：老人并无精神病，只有点老年痴呆】江西丰城，范女士投诉称，养母在淘沙镇敬老院中与老人发生冲突后，院长擅自将养母送进精神病院治疗；而后经医院诊断，养母并无精神病，只是有点老年痴呆。敬老院院长称，老人与他人打架行为异常，只是送她去检查，仍在协商解决办法。@一手VideoL一手Video的秒拍视频,,渭南·富平,一手Video,敬老院擅自将老人送精神病院,3,13,11,2020-09-21 09:29,iPhone客户端,,"http://miaopai.video.weibocdn.com/iJih1wNhlx07GAo9qF8k01041200ZcBd0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017691&ssig=Gn%2F%2BD6MQIV&KID=unistore,video",,,蓝V
