id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4872816657433267,MuyidvbJp,7138758436,vanneall,#新冠老人#只有看这里才能看到一些感同身受无法与外面的热闹和解,,,,新冠老人,0,0,1,2023-02-24 23:44,iPhone客户端,,,,,普通用户
4860493909723757,MpnIOENAN,1230716744,Matcha-甜小姐,张灯结彩的除夕并没有和往年有什么不一样鞭炮烟花的绽放反而显得更加热闹以前觉得人渺小在这强烈的对比下显得更加明显外婆离开的第一个除夕今天没有她陪我看电视可我始终觉得她就在我身边新冠就算你要带走她把她留给我过完除夕该多好#新冠还我亲人##新冠带走了我的外婆##新冠老人##新冠肺炎#,,,,"新冠还我亲人,新冠带走了我的外婆,新冠老人,新冠肺炎",1,0,0,2023-01-21 23:38,iPhone客户端,,,,,普通用户
4858497622343687,MoxN09PHp,1230716744,Matcha-甜小姐,外婆，刚刚听说有老太太，吃了辉瑞好了。我好后悔，当时没有选辉瑞，选了阿兹夫定。不然您可能就会不会走了。#新冠老人##新冠肺炎#,,,,"新冠老人,新冠肺炎",1,2,0,2023-01-16 11:26,iPhone客户端,,,,,普通用户
4858205630894733,Moqc33KLb,1230716744,Matcha-甜小姐,刚打扫卫生，发现装酒精棉的盒子空了，习惯性的把盒子做成装东西的小盒子。突然想到，十几天前，外婆说她的小药盒烂了，问我能不能给她换一个。我说最近没有空盒盒，等过年年货盒子空了，我给你弄。然后，就永远都没有用了。#新冠还我亲人##新冠肺炎##新冠老人#好朋友说，让我别沉浸。得自己出来。我也知道，可是我就是会不由自主的想起来。其实这个冬天，失去亲人的又不止我，大家都要好好生活不是吗。,,,,"新冠还我亲人,新冠肺炎,新冠老人",0,1,0,2023-01-15 16:05,iPhone客户端,https://wx2.sinaimg.cn/large/495b3f48ly1ha4e9fi128j22c0340b2a.jpg,,,,普通用户
4857433774621775,Mo677jokL,1230716744,Matcha-甜小姐,但见泪痕湿，不知心恨谁。为什么要这样的放开，没有药，没有临床经验。是谁说，这是个大号感冒？到医院，医生摸着石头过河，媒体宣传的轻轻松松…#做自己健康的第一责任人#这句话，太不负责任了！怎么做？医生、医院尚不能做健康的责任人！普通人又怎么能？责任人！？？谁能负责把我热乎乎的外婆还给我？#新冠重症##新冠还我亲人##新冠老人#,,汉中·兴汉胜境景区,,"做自己健康的第一责任人,新冠重症,新冠还我亲人,新冠老人",0,6,3,2023-01-13 12:58,iPhone客户端,https://wx1.sinaimg.cn/large/495b3f48ly1ha1wna8ftxj20u00ylal4.jpg,,,,普通用户
4857115456310717,MnXPHqtHL,1230716744,Matcha-甜小姐,忐忑的等了一天的电话医院没有来电话我们想着这是个好消息刚刚走到ICU门口想问一下情况结果电话来了说血压30/40怕是救不回来了让我们联系火葬场我本来想问问要不要再给拿点蛋白液吃我本来想问问血氧有没有上来就在这个门里有我的外婆这微弱的希望我应该再坚信一些她还没有走他们还在抢救#新冠老人##新冠肺炎##新冠重症#,,,,"新冠老人,新冠肺炎,新冠重症",0,5,3,2023-01-12 15:53,iPhone客户端,https://wx3.sinaimg.cn/large/495b3f48ly1ha0x2qvsiij20u0140q7g.jpg,,,,普通用户
4856856185143933,MnR5wlAaF,6724296984,新机首拆,发布了头条文章：《吸氧、雾化、上门输液、营养补给：一个86岁的老人如何在“家庭ICU”》O吸氧、雾化、上门输液、营养补给：一个86岁的老人如何在“家庭ICU”,http://t.cn/A69AUiNr,,,,1,1,1,2023-01-11 22:43,微博 weibo.com,,,,,
4856880456797593,MnRIFswmB,1230716744,Matcha-甜小姐,这样的新闻，社会价值导向是什么？鼓励大家向这样学习吗？把老人的性命在这样的基础上做儿戏么？医院药品匮乏尚且各凭本事去找，医生尚且束手无策摸石头过河，主流媒体却在这毫无底线宣传这种东西？还嫌危重症的老人不够多吗？这和草菅人命有什么本质区别？#新冠肺炎##新冠康复日记##新冠老人#,,,,"新冠肺炎,新冠康复日记,新冠老人",0,3,1,2023-01-12 00:20,iPhone客户端,,,4856856185143933,,普通用户
4855154639635053,Mn8P5Eqw5,1797448884,深圳小美-爽爽,80+老人新冠肺炎白肺慢阻肺双肺炎护理要点（第一篇）家父80+有慢阻肺、2型糖尿病、高血压感染新冠白肺双肺炎，1.1日入院，第二天转重症监护室，目前第6天，能自主进食，意识清醒表达清晰，血压，血氧（有带呼吸机）排便都正常。希望能帮到有需要的人#新冠老人##新冠老人护理#,,,,"新冠老人,新冠老人护理",2,3,6,2023-01-07 06:02,iPhone 14 Pro Max,https://wx2.sinaimg.cn/large/6b22e4b4gy1h9unvp78luj20ri1o8115.jpg,,,,黄V
4854919544183399,Mn2HUhyib,1798476562,_Reneee_,#新冠老人#爷爷昨天凌晨3点08走了，92岁，重症肺炎。在医院10天，第8天病危，没有引起其他的并发症，单纯因为新冠而去世。回到家，耳朵充斥着监护仪血氧低于80的报警声，和爷爷奶奶一起生活30年，家里都是爷爷的痕迹。如果没有新冠，爷爷能活100多。很自责，终究没保护好爷爷。。。,,,,新冠老人,0,2,4,2023-01-06 14:28,iPhone客户端,,,,,普通用户
