id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5038704793752146,OgeT5fK6u,2804827393,新浪天津,【#日本专家建议上调老人年龄标准#】#日本专家提议把70岁以上的人算作老人#5月23日，日本政府举行经济财政咨询会议，讨论“实现身心满足社会”的方案。提出这一建议的是民间议员十仓雅和等人。他们主张，在老年人寿命延长、健康状况较佳的背景下，应该考虑将老年人定义的年龄增加5岁。议员们还表示，这样做可以让更多人能够继续工作。据了解，日本政府目前在计算老龄化率时，把65岁以上的人算作老年人。该提议迅速引发舆论强烈反对。有日本网民讽刺说：“30年后老年人的定义会变成100岁吧？”还有网民认为，日本老龄化的现实完全没有改变，也没有开发出长寿的药，人实际能工作的时间并没有延长太多。提高老年人年龄定义的背景是日本人平均寿命提高。上世纪50年代左右，日本男性的平均寿命在60岁左右。而到了今年5月12日，自民党干事长茂木敏充在社交网站上出演相关节目时说：“现在开始进入100年人生时代。”（环球网）L科技猩球的微博视频,,,,"日本专家建议上调老人年龄标准,日本专家提议把70岁以上的人算作老人",0,0,0,2024-05-27 18:05,微博视频号,,"http://f.video.weibocdn.com/o0/pbv51Bodlx08fbpCE7de010412004f4C0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018847&ssig=POtl7LjGqI&KID=unistore,video",,天津,蓝V
5038689627147546,OgeuCtZp0,1988518703,冲浪新知,【#日本专家建议上调老人年龄标准#】#日本专家提议把70岁以上的人算作老人#5月23日，日本政府举行经济财政咨询会议，讨论“实现身心满足社会”的方案。提出这一建议的是民间议员十仓雅和等人。他们主张，在老年人寿命延长、健康状况较佳的背景下，应该考虑将老年人定义的年龄增加5岁。议员们还表示，这样做可以让更多人能够继续工作。据了解，日本政府目前在计算老龄化率时，把65岁以上的人算作老年人。该提议迅速引发舆论强烈反对。有日本网民讽刺说：“30年后老年人的定义会变成100岁吧？”还有网民认为，日本老龄化的现实完全没有改变，也没有开发出长寿的药，人实际能工作的时间并没有延长太多。提高老年人年龄定义的背景是日本人平均寿命提高。上世纪50年代左右，日本男性的平均寿命在60岁左右。而到了今年5月12日，自民党干事长茂木敏充在社交网站上出演相关节目时说：“现在开始进入100年人生时代。”（环球网）L科技猩球的微博视频,,,,"日本专家建议上调老人年龄标准,日本专家提议把70岁以上的人算作老人",0,0,0,2024-05-27 17:04,微博视频号,,"http://f.video.weibocdn.com/o0/pbv51Bodlx08fbpCE7de010412004f4C0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018847&ssig=POtl7LjGqI&KID=unistore,video",,,蓝V
5038689626885876,OgeuCsTkw,2245266941,数码头条,【#日本专家建议上调老人年龄标准#】#日本专家提议把70岁以上的人算作老人#5月23日，日本政府举行经济财政咨询会议，讨论“实现身心满足社会”的方案。提出这一建议的是民间议员十仓雅和等人。他们主张，在老年人寿命延长、健康状况较佳的背景下，应该考虑将老年人定义的年龄增加5岁。议员们还表示，这样做可以让更多人能够继续工作。据了解，日本政府目前在计算老龄化率时，把65岁以上的人算作老年人。该提议迅速引发舆论强烈反对。有日本网民讽刺说：“30年后老年人的定义会变成100岁吧？”还有网民认为，日本老龄化的现实完全没有改变，也没有开发出长寿的药，人实际能工作的时间并没有延长太多。提高老年人年龄定义的背景是日本人平均寿命提高。上世纪50年代左右，日本男性的平均寿命在60岁左右。而到了今年5月12日，自民党干事长茂木敏充在社交网站上出演相关节目时说：“现在开始进入100年人生时代。”（环球网）L科技猩球的微博视频,,,,"日本专家建议上调老人年龄标准,日本专家提议把70岁以上的人算作老人",0,0,1,2024-05-27 17:04,微博视频号,,"http://f.video.weibocdn.com/o0/pbv51Bodlx08fbpCE7de010412004f4C0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018847&ssig=POtl7LjGqI&KID=unistore,video",,,蓝V
5038689622690426,OgeuCbhTY,1231759973,新浪新知,【#日本专家建议上调老人年龄标准#】#日本专家提议把70岁以上的人算作老人#5月23日，日本政府举行经济财政咨询会议，讨论“实现身心满足社会”的方案。提出这一建议的是民间议员十仓雅和等人。他们主张，在老年人寿命延长、健康状况较佳的背景下，应该考虑将老年人定义的年龄增加5岁。议员们还表示，这样做可以让更多人能够继续工作。据了解，日本政府目前在计算老龄化率时，把65岁以上的人算作老年人。该提议迅速引发舆论强烈反对。有日本网民讽刺说：“30年后老年人的定义会变成100岁吧？”还有网民认为，日本老龄化的现实完全没有改变，也没有开发出长寿的药，人实际能工作的时间并没有延长太多。提高老年人年龄定义的背景是日本人平均寿命提高。上世纪50年代左右，日本男性的平均寿命在60岁左右。而到了今年5月12日，自民党干事长茂木敏充在社交网站上出演相关节目时说：“现在开始进入100年人生时代。”（环球网）L科技猩球的微博视频,,,,"日本专家建议上调老人年龄标准,日本专家提议把70岁以上的人算作老人",0,0,0,2024-05-27 17:04,微博视频号,,"http://f.video.weibocdn.com/o0/pbv51Bodlx08fbpCE7de010412004f4C0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018847&ssig=POtl7LjGqI&KID=unistore,video",,,蓝V
5038688186925428,Ogesit3Cs,7893322591,首页新闻,【#日本专家建议上调老人年龄标准#】#日本专家提议把70岁以上的人算作老人#5月23日，日本政府举行经济财政咨询会议，讨论“实现身心满足社会”的方案。提出这一建议的是民间议员十仓雅和等人。他们主张，在老年人寿命延长、健康状况较佳的背景下，应该考虑将老年人定义的年龄增加5岁。议员们还表示，这样做可以让更多人能够继续工作。据了解，日本政府目前在计算老龄化率时，把65岁以上的人算作老年人。该提议迅速引发舆论强烈反对。有日本网民讽刺说：“30年后老年人的定义会变成100岁吧？”还有网民认为，日本老龄化的现实完全没有改变，也没有开发出长寿的药，人实际能工作的时间并没有延长太多。提高老年人年龄定义的背景是日本人平均寿命提高。上世纪50年代左右，日本男性的平均寿命在60岁左右。而到了今年5月12日，自民党干事长茂木敏充在社交网站上出演相关节目时说：“现在开始进入100年人生时代。”（环球网）L科技猩球的微博视频,,,,"日本专家建议上调老人年龄标准,日本专家提议把70岁以上的人算作老人",0,0,0,2024-05-27 16:59,微博视频号,,"http://f.video.weibocdn.com/o0/pbv51Bodlx08fbpCE7de010412004f4C0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018847&ssig=POtl7LjGqI&KID=unistore,video",,,蓝V
5038687430117899,Oger50uFB,7908744002,商智风云,【#日本专家建议上调老人年龄标准#】#日本专家提议把70岁以上的人算作老人#5月23日，日本政府举行经济财政咨询会议，讨论“实现身心满足社会”的方案。提出这一建议的是民间议员十仓雅和等人。他们主张，在老年人寿命延长、健康状况较佳的背景下，应该考虑将老年人定义的年龄增加5岁。议员们还表示，这样做可以让更多人能够继续工作。据了解，日本政府目前在计算老龄化率时，把65岁以上的人算作老年人。该提议迅速引发舆论强烈反对。有日本网民讽刺说：“30年后老年人的定义会变成100岁吧？”还有网民认为，日本老龄化的现实完全没有改变，也没有开发出长寿的药，人实际能工作的时间并没有延长太多。提高老年人年龄定义的背景是日本人平均寿命提高。上世纪50年代左右，日本男性的平均寿命在60岁左右。而到了今年5月12日，自民党干事长茂木敏充在社交网站上出演相关节目时说：“现在开始进入100年人生时代。”（环球网）L科技猩球的微博视频,,,,"日本专家建议上调老人年龄标准,日本专家提议把70岁以上的人算作老人",0,0,0,2024-05-27 16:56,微博视频号,,"http://f.video.weibocdn.com/o0/pbv51Bodlx08fbpCE7de010412004f4C0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018847&ssig=POtl7LjGqI&KID=unistore,video",,,蓝V
5038686678811987,OgepRAYoP,7908704330,商智独角兽,【#日本专家建议上调老人年龄标准#】#日本专家提议把70岁以上的人算作老人#5月23日，日本政府举行经济财政咨询会议，讨论“实现身心满足社会”的方案。提出这一建议的是民间议员十仓雅和等人。他们主张，在老年人寿命延长、健康状况较佳的背景下，应该考虑将老年人定义的年龄增加5岁。议员们还表示，这样做可以让更多人能够继续工作。据了解，日本政府目前在计算老龄化率时，把65岁以上的人算作老年人。该提议迅速引发舆论强烈反对。有日本网民讽刺说：“30年后老年人的定义会变成100岁吧？”还有网民认为，日本老龄化的现实完全没有改变，也没有开发出长寿的药，人实际能工作的时间并没有延长太多。提高老年人年龄定义的背景是日本人平均寿命提高。上世纪50年代左右，日本男性的平均寿命在60岁左右。而到了今年5月12日，自民党干事长茂木敏充在社交网站上出演相关节目时说：“现在开始进入100年人生时代。”（环球网）L科技猩球的微博视频,,,,"日本专家建议上调老人年龄标准,日本专家提议把70岁以上的人算作老人",0,0,0,2024-05-27 16:53,微博视频号,,"http://f.video.weibocdn.com/o0/pbv51Bodlx08fbpCE7de010412004f4C0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018847&ssig=POtl7LjGqI&KID=unistore,video",,,蓝V
5038685920431157,OgeoE1Oa9,7908736445,商智观察,【#日本专家建议上调老人年龄标准#】#日本专家提议把70岁以上的人算作老人#5月23日，日本政府举行经济财政咨询会议，讨论“实现身心满足社会”的方案。提出这一建议的是民间议员十仓雅和等人。他们主张，在老年人寿命延长、健康状况较佳的背景下，应该考虑将老年人定义的年龄增加5岁。议员们还表示，这样做可以让更多人能够继续工作。据了解，日本政府目前在计算老龄化率时，把65岁以上的人算作老年人。该提议迅速引发舆论强烈反对。有日本网民讽刺说：“30年后老年人的定义会变成100岁吧？”还有网民认为，日本老龄化的现实完全没有改变，也没有开发出长寿的药，人实际能工作的时间并没有延长太多。提高老年人年龄定义的背景是日本人平均寿命提高。上世纪50年代左右，日本男性的平均寿命在60岁左右。而到了今年5月12日，自民党干事长茂木敏充在社交网站上出演相关节目时说：“现在开始进入100年人生时代。”（环球网）L科技猩球的微博视频,,,,"日本专家建议上调老人年龄标准,日本专家提议把70岁以上的人算作老人",0,0,0,2024-05-27 16:50,微博视频号,,"http://f.video.weibocdn.com/o0/pbv51Bodlx08fbpCE7de010412004f4C0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018847&ssig=POtl7LjGqI&KID=unistore,video",,,蓝V
5038685165194630,OgenqlNmm,7846032084,首页暖新闻,【#日本专家建议上调老人年龄标准#】#日本专家提议把70岁以上的人算作老人#5月23日，日本政府举行经济财政咨询会议，讨论“实现身心满足社会”的方案。提出这一建议的是民间议员十仓雅和等人。他们主张，在老年人寿命延长、健康状况较佳的背景下，应该考虑将老年人定义的年龄增加5岁。议员们还表示，这样做可以让更多人能够继续工作。据了解，日本政府目前在计算老龄化率时，把65岁以上的人算作老年人。该提议迅速引发舆论强烈反对。有日本网民讽刺说：“30年后老年人的定义会变成100岁吧？”还有网民认为，日本老龄化的现实完全没有改变，也没有开发出长寿的药，人实际能工作的时间并没有延长太多。提高老年人年龄定义的背景是日本人平均寿命提高。上世纪50年代左右，日本男性的平均寿命在60岁左右。而到了今年5月12日，自民党干事长茂木敏充在社交网站上出演相关节目时说：“现在开始进入100年人生时代。”（环球网）L科技猩球的微博视频,,,,"日本专家建议上调老人年龄标准,日本专家提议把70岁以上的人算作老人",0,0,0,2024-05-27 16:47,微博云剪,,"http://f.video.weibocdn.com/o0/pbv51Bodlx08fbpCE7de010412004f4C0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018847&ssig=POtl7LjGqI&KID=unistore,video",,,蓝V
5038684409956748,OgemcFMcI,7908123502,首页资本局,【#日本专家建议上调老人年龄标准#】#日本专家提议把70岁以上的人算作老人#5月23日，日本政府举行经济财政咨询会议，讨论“实现身心满足社会”的方案。提出这一建议的是民间议员十仓雅和等人。他们主张，在老年人寿命延长、健康状况较佳的背景下，应该考虑将老年人定义的年龄增加5岁。议员们还表示，这样做可以让更多人能够继续工作。据了解，日本政府目前在计算老龄化率时，把65岁以上的人算作老年人。该提议迅速引发舆论强烈反对。有日本网民讽刺说：“30年后老年人的定义会变成100岁吧？”还有网民认为，日本老龄化的现实完全没有改变，也没有开发出长寿的药，人实际能工作的时间并没有延长太多。提高老年人年龄定义的背景是日本人平均寿命提高。上世纪50年代左右，日本男性的平均寿命在60岁左右。而到了今年5月12日，自民党干事长茂木敏充在社交网站上出演相关节目时说：“现在开始进入100年人生时代。”（环球网）L科技猩球的微博视频,,,,"日本专家建议上调老人年龄标准,日本专家提议把70岁以上的人算作老人",0,0,0,2024-05-27 16:44,微博视频号,,"http://f.video.weibocdn.com/o0/pbv51Bodlx08fbpCE7de010412004f4C0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018847&ssig=POtl7LjGqI&KID=unistore,video",,,蓝V
