id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4992931757032701,NCZzVtvwF,6023189492,每日人物,#85度C坐满失意的上海老人#老年生活并非遥不可及，但在公共空间里，老人常常踪迹难寻。但在85度C中，老人有机会一起吞吐衰老带来的苦闷。聊一聊你是怎样看这些空间中的老人？#85度C##最真实的老人生活是怎样的#你有关注过公共空间中的老人吗？,,,,"85度C坐满失意的上海老人,85度 C,最真实的老人生活是怎样的",1,2,99,2024-01-22 10:39,微博网页版,,,,,蓝V
4992918207594744,NCZe4vRJS,6023189492,每日人物,#85度C坐满失意的上海老人#年轻人的视野里，老人常常踪迹难寻。他们在公共空间隐身，年轻人没有兴趣、也没有渠道窥探他们的真实生活。但走进上海的85度C，像瞬间进入了一个微缩版的老年社区，有让人艳羡的退休日常，也有令人心酸的衰老、疲惫和疾病——老了之后，人究竟会是什么样？竟然能在这样一家面包店里，找到一些答案。#85度C##最真实的老人生活是怎样的#O85度C，坐满“失意”的上海老人,,,,"85度C坐满失意的上海老人,85度 C,最真实的老人生活是怎样的",196,92,1295,2024-01-22 09:45,微博 weibo.com,,,,,蓝V
4967418146587943,NshQWrDP9,7847364632,这样我会觉得自己很累,真正的幸福只有当你真实地认识到人生的价值时，才能体会到。——穆尼尔?纳素夫#最真实的老人生活是怎样的#,,,,最真实的老人生活是怎样的,0,0,0,2023-11-13 00:57,iPhone客户端,,,,广东,普通用户
4965619730482080,Nrx4h21pu,7841616198,yes惜染,真正的幸福只有当你真实地认识到人生的价值时，才能体会到。#最真实的老人生活是怎样的#,,,,最真实的老人生活是怎样的,0,0,0,2023-11-08 01:51,iPhone客户端,,,,广东,普通用户
4964223014666548,NqWJvjzYU,7855367417,清月聊无痕庭,人生是一趟单程车，走过的，错过的都不再回来。不要走得太匆忙，该感受的要充分感受，该珍惜的要好好珍惜。若干年后，虽然可以旧地重游，可惜一切都已经物是人非。不管什么时候，踏出去的步子一定要坚实而稳重，即使不踩下一个坑，起码留下一个脚印。人生活的是过程，过程的精彩才是真实的拥有。#最真实的老人生活是怎样的#,,,,最真实的老人生活是怎样的,0,0,0,2023-11-04 05:21,iPhone客户端,,,,广东,普通用户
4964204268486733,NqWfgzBMN,7855261941,仲情醉友,人生没有那么多的假设，现实是一个一个真实的耳光，打在你的脸上，喊疼毫无意义，唯有一往无前。#最真实的老人生活是怎样的#,,,,最真实的老人生活是怎样的,0,0,0,2023-11-04 04:06,iPhone客户端,,,,广东,普通用户
4960502109700902,NpnW2EHEa,1877216263,叮叮糖糖-YaYa,#最真实的老人生活是怎样的#我以后就是孤寡老人，可咋办哦……,,,,最真实的老人生活是怎样的,0,0,0,2023-10-24 22:55,vivo X90,,,,四川,普通用户
4960336135587191,NpjClnrtZ,1303211083,二月葫芦,#最真实的老人生活是怎样的#所以疫情过后，宁愿我累一点，能抠出周末回家我就会立马回家。能在家吃到就在家吃饭。你在家吃饭他们就会多烧几个菜。热热闹闹的有个盼头。虽然有些时候你跑回去了他们跑走了，大半夜冷锅冷灶的,,,,最真实的老人生活是怎样的,0,2,7,2023-10-24 11:55,,,,,安徽,红V
4960115879051393,NpdT5BYGd,6440187348,馋嘴番茄酱,MiniVlog|兰州日行2w步的碎片🧩周末去了一趟兰州！！大辣特辣的吃了两天🙈顺便在兰州悠闲了两天！！超放松～去看了黄河，逛了公园围观了公园大爷们打牌，公园阿姨们跳舞！！不得不说他们退休后的精神状态真的太好了🥹跟我一起看看兰州片段吧🙈#理想生活季##生活也美味##最真实的老人生活是怎样的#@鲜城@微博VLOGL馋嘴番茄酱的微博视频,,,"鲜城,微博VLOG","理想生活季,生活也美味,最真实的老人生活是怎样的",7821,4606,33535,2023-10-23 21:20,微博视频号,,"http://f.video.weibocdn.com/o0/i6W0eysKlx089BCelQvS01041200jJOw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728805090&ssig=GObLlUXK7d&KID=unistore,video",,北京,红V
4960104479719461,NpdAHEMtv,5251510030,爱伤神1990,#最真实的老人生活是怎样的#外公意外去世的第8天，看到视频心如刀绞，人呐这一辈子总是在失去之后才后悔，为什么人在的时候我不给他们多打电话，多回家看看，现在我还有爷爷奶奶外婆，只求他们身体健健康康。L爱伤神1990的微博视频,,,,最真实的老人生活是怎样的,0,0,0,2023-10-23 20:35,iPhone客户端,,"http://fb.video.weibocdn.com/o8/AU1HsJ2vlx089Bzuo6CY01041200l5410E018.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728805092&ssig=jz7Yqys77I&KID=unistore,video",,安徽,普通用户
4960095050138211,Npdlv0zXd,1418694913,董川,#最真实的老人生活是怎样的#老人自己生活最真实的一幕O网页链接,,,,最真实的老人生活是怎样的,0,0,0,2023-10-23 19:57,情感超话,,,,福建,红V
4960095002167414,Npdlq95Qi,3898811980,热带可乐,#最真实的老人生活是怎样的#老人自己生活最真实的一幕O网页链接,,,,最真实的老人生活是怎样的,0,0,0,2023-10-23 19:57,dowwan超话,,,,福建,红V
4960094955241473,NpdlllZxT,6648354490,何亦焕同学,#最真实的老人生活是怎样的#老人自己生活最真实的一幕O网页链接,,,,最真实的老人生活是怎样的,0,0,0,2023-10-23 19:57,情感超话,,,,福建,红V
4960094905961881,Npdlgp0Xn,1921551257,小孩一头雾水,#最真实的老人生活是怎样的#老人自己生活最真实的一幕O网页链接,,,,最真实的老人生活是怎样的,0,0,0,2023-10-23 19:57,搞笑超话,,,,福建,黄V
4960094800580591,Npdl62r2n,6144171806,卿陌学姐,#74岁儿子重阳节晒96岁老妈帮择菜##最真实的老人生活是怎样的#老人自己生活最真实的一幕O网页链接,,,,"74岁儿子重阳节晒96岁老妈帮择菜,最真实的老人生活是怎样的",0,0,0,2023-10-23 19:56,iPhone客户端,,,,福建,黄V
4960094737926369,NpdkZxg0F,5825305153,别抢我的汉堡宝,#74岁儿子重阳节晒96岁老妈帮择菜##最真实的老人生活是怎样的#老人自己生活最真实的一幕O网页链接,,,,"74岁儿子重阳节晒96岁老妈帮择菜,最真实的老人生活是怎样的",0,0,0,2023-10-23 19:56,微博视频号,,,,福建,黄V
4960094598731293,NpdkLADpj,6196105965,头脑机灵,#最真实的老人生活是怎样的#老人自己生活最真实的一幕O网页链接,,,,最真实的老人生活是怎样的,1,0,0,2023-10-23 19:56,头脑机灵超话,,,,福建,黄V
4960094594795476,NpdkLk7wo,7842374176,兔子的耳朵睡醒了,#最真实的老人生活是怎样的#今天我就回去看我奶奶了，看见我回来特别高兴，我觉得奶奶真的是很亲,,,,最真实的老人生活是怎样的,0,0,0,2023-10-23 19:56,OPPO A11,https://wx2.sinaimg.cn/large/008yJNM4ly1hj5g3vgog5j30g80g83z8.jpg,,,山西,普通用户
4960094188471042,Npdk6zxHI,7836001713,香蜜沉1234,#最真实的老人生活是怎样的#很多老人的生活都是特别孤独的，平时也没有什么特别多的娱乐活动，特别缺乏子女的陪伴,,,,最真实的老人生活是怎样的,0,0,0,2023-10-23 19:54,Android,,,,河北,普通用户
4960094068673143,NpdjUAohp,6058180561,淮南则为枳-,#最真实的老人生活是怎样的#平时没事儿的时候还是应该多回家看看老人，有条件的可以一直陪伴在老人身边，别让他们孤独,,,,最真实的老人生活是怎样的,0,0,0,2023-10-23 19:54,Android,,,,河北,普通用户
