id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4979173779573944,NxdFDEaCs,2724393903,城事微绍兴,#杭州中老年如何预防带状疱疹#南京的中老年人群应重视带状疱疹的预防和免疫力的提升。首先，要定期进行体检，及时发现并治疗疾病。其次，要保持良好的生活习惯，如合理饮食、适量运动等，以增强身体抵抗力。最后，如果不幸患上带状疱疹，应及时就医，避免病情加重。#杭州老年人提升免疫力有一套#L金象视频的微博视频,,,,"杭州中老年如何预防带状疱疹,杭州老年人提升免疫力有一套",0,0,0,2023-12-15 11:30,微博视频号,,"http://f.video.weibocdn.com/o0/cOinogqTlx08aXo5nnqw01041200nYT10E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009028&ssig=V%2B2%2FcbvuDl&KID=unistore,video",,,蓝V
4979170004436866,NxdzyiCem,7312182819,用户7312182819,#杭州中老年如何预防带状疱疹#南京的中老年人群应重视带状疱疹的预防和免疫力的提升。首先，要定期进行体检，及时发现并治疗疾病。其次，要保持良好的生活习惯，如合理饮食、适量运动等，以增强身体抵抗力。最后，如果不幸患上带状疱疹，应及时就医，避免病情加重。#杭州老年人提升免疫力有一套#@金象视频L金象视频的微博视频,,,金象视频,"杭州中老年如何预防带状疱疹,杭州老年人提升免疫力有一套",0,0,0,2023-12-15 11:15,微博视频号,,"http://f.video.weibocdn.com/o0/cOinogqTlx08aXo5nnqw01041200nYT10E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009028&ssig=V%2B2%2FcbvuDl&KID=unistore,video",,,蓝V
4979159809917335,Nxdj6FBX1,1959278670,锐度新闻,#杭州中老年如何预防带状疱疹#南京的中老年人群应重视带状疱疹的预防和免疫力的提升。首先，要定期进行体检，及时发现并治疗疾病。其次，要保持良好的生活习惯，如合理饮食、适量运动等，以增强身体抵抗力。最后，如果不幸患上带状疱疹，应及时就医，避免病情加重。#杭州老年人提升免疫力有一套#@金象视频L金象视频的微博视频,,,金象视频,"杭州中老年如何预防带状疱疹,杭州老年人提升免疫力有一套",0,0,0,2023-12-15 10:34,微博视频号,,"http://f.video.weibocdn.com/o0/cOinogqTlx08aXo5nnqw01041200nYT10E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009028&ssig=V%2B2%2FcbvuDl&KID=unistore,video",,,蓝V
4979156402046480,NxddC8AnK,1650414555,西部网,#杭州中老年如何预防带状疱疹#南京的中老年人群应重视带状疱疹的预防和免疫力的提升。首先，要定期进行体检，及时发现并治疗疾病。其次，要保持良好的生活习惯，如合理饮食、适量运动等，以增强身体抵抗力。最后，如果不幸患上带状疱疹，应及时就医，避免病情加重。#杭州老年人提升免疫力有一套#@金象视频L金象视频的微博视频,,,金象视频,"杭州中老年如何预防带状疱疹,杭州老年人提升免疫力有一套",0,0,0,2023-12-15 10:20,微博视频号,,"http://f.video.weibocdn.com/o0/cOinogqTlx08aXo5nnqw01041200nYT10E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009028&ssig=V%2B2%2FcbvuDl&KID=unistore,video",,,蓝V
4979155997560799,NxdcXvIUn,7375202733,身边视频,#杭州中老年如何预防带状疱疹#南京的中老年人群应重视带状疱疹的预防和免疫力的提升。首先，要定期进行体检，及时发现并治疗疾病。其次，要保持良好的生活习惯，如合理饮食、适量运动等，以增强身体抵抗力。最后，如果不幸患上带状疱疹，应及时就医，避免病情加重。#杭州老年人提升免疫力有一套#@金象视频L金象视频的微博视频,,,金象视频,"杭州中老年如何预防带状疱疹,杭州老年人提升免疫力有一套",0,0,0,2023-12-15 10:19,iPhone客户端,,"http://f.video.weibocdn.com/o0/cOinogqTlx08aXo5nnqw01041200nYT10E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009028&ssig=V%2B2%2FcbvuDl&KID=unistore,video",,,普通用户
4979152376300817,Nxd77qr85,7405718903,清止栀,#杭州中老年如何预防带状疱疹#我觉得要做到的就是一定要做到卫生这一方面的问题，很多小细菌，病毒什么的都是通过卫生不干净了入侵的#杭州老年人提升免疫力有一套#,,,,"杭州中老年如何预防带状疱疹,杭州老年人提升免疫力有一套",0,0,0,2023-12-15 10:04,iPhone客户端,,,,,普通用户
4979152195947285,Nxd6PoX9X,7713299134,麦田里西瓜甜甜的,#杭州中老年如何预防带状疱疹#太感谢了，家里有老人，真的是刚需，我抱走了，预防开始，就按说的来#杭州老年人提升免疫力有一套#,,,,"杭州中老年如何预防带状疱疹,杭州老年人提升免疫力有一套",0,0,0,2023-12-15 10:04,Android,,,,,普通用户
4979151905753028,Nxd6mo8CM,6571681549,何奈奈ww,#杭州中老年如何预防带状疱疹#那肯定是把自己自身的免疫力给提升上来了，只要免疫力提高了，什么带状疱疹之类的全部都靠近不了。#杭州老年人提升免疫力有一套#,,,,"杭州中老年如何预防带状疱疹,杭州老年人提升免疫力有一套",0,0,0,2023-12-15 10:03,iPhone客户端,,,,,普通用户
4979151787786950,Nxd6awFJY,3277431044,cous永,#杭州中老年如何预防带状疱疹#看的出来还是非常有经验的呀，这让我打从心底里佩服这些老年人，所以说我们所有人都应该学起来，然后好好的预防#杭州老年人提升免疫力有一套#,,,,"杭州中老年如何预防带状疱疹,杭州老年人提升免疫力有一套",0,0,0,2023-12-15 10:02,Redmi K50,,,,,普通用户
4979151583576240,Nxd5Qf0li,6310922098,呆橙er98546,#杭州中老年如何预防带状疱疹#当然也知道预防了呀，主要有的时候不知道应该怎么做，所以说看到这里的时候还是很有帮助的。#杭州老年人提升免疫力有一套#,,,,"杭州中老年如何预防带状疱疹,杭州老年人提升免疫力有一套",0,0,0,2023-12-15 10:01,Redmi K50,,,,,普通用户
