id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4927481145985950,NbwUqp7dA,7516679696,九派新闻,#武汉八旬老人连续10年到鸡公山避暑#【#23度鸡公山成避暑胜地#】近日，河南信阳。5A级景区鸡公山是中国四大避暑胜地之一，夏季气温仅23度。在鸡公山避暑的张仲彬张老先生表示，自己今年85岁，曾在湖北电影制片厂工作40年，担任纪录片编导和制片厂厂长。张老先生称，自己和老伴来鸡公山避暑已有10年，这里凉爽，温度最低的时候要穿毛衣，空气和环境都很好。他还表示，在这里避暑的基本上都是武汉人，住着很温馨。@九派新闻L九派新闻的微博视频,,,九派新闻,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",77,124,160,2023-07-25 20:01,微博视频号,,"http://f.video.weibocdn.com/o0/0aMILxKJlx087hZfZPNS010412012NlP0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729587652&ssig=NbhgBguGYu&KID=unistore,video",,,
4927803546143170,NbFiqpM7o,6157734167,鸡公山景区官微,#武汉八旬老人连续10年到鸡公山避暑#【#23度鸡公山成避暑胜地#】这个夏天，来避暑胜地鸡公山，看#鸡公山民谣音乐季#@九派新闻,,,九派新闻,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地,鸡公山民谣音乐季",0,0,160,2023-07-26 17:23,iPhone客户端,,,4927481145985950,河南,蓝V
4927799657240494,NbFc9unAa,6631710176,王灿1009,#武汉八旬老人连续10年到鸡公山避暑#近日，河南信阳。5A级景区鸡公山是中国四大避暑胜地之一，夏季气温仅23度。在鸡公山避暑的张仲彬张老先生表示，自己今年85岁，曾在湖北电影制片厂工作40年，担任纪录片编导和制片厂厂长。张老先生称，自己和老伴来鸡公山避暑已有10年，这里凉爽，温度最低的时候要穿毛衣，空气和环境都很好。他还表示，在这里避暑的基本上都是武汉人，住着很温馨。#连续十年老人到鸡公山避暑#@九派新闻L九派新闻的微博视频,,,九派新闻,"武汉八旬老人连续10年到鸡公山避暑,连续十年老人到鸡公山避暑",0,0,1,2023-07-26 17:07,微博视频号,,"http://f.video.weibocdn.com/o0/0aMILxKJlx087hZfZPNS010412012NlP0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729587652&ssig=NbhgBguGYu&KID=unistore,video",,河南,黄V
4927762731111745,NbEeB4Fdn,3947832381,欧潭融媒,#武汉八旬老人连续10年到鸡公山避暑#【#23度鸡公山成避暑胜地#】近日，河南信阳。5A级景区鸡公山是中国四大避暑胜地之一，夏季气温仅23度。在鸡公山避暑的张仲彬张老先生表示，自己今年85岁，曾在湖北电影制片厂工作40年，担任纪录片编导和制片厂厂长。张老先生称，自己和老伴来鸡公山避暑已有10年，这里凉爽，温度最低的时候要穿毛衣，空气和环境都很好。他还表示，在这里避暑的基本上都是武汉人，住着很温馨。@九派新闻九派新闻的微博视频收起播放视频L九派新闻的微博视频,,,九派新闻,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,0,2023-07-26 14:40,微博视频号,,"http://f.video.weibocdn.com/o0/0aMILxKJlx087hZfZPNS010412012NlP0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729587652&ssig=NbhgBguGYu&KID=unistore,video",,,蓝V
4927742812358772,NbDIt9TCI,3808758652,南溪发布,#武汉八旬老人连续10年到鸡公山避暑#【#23度鸡公山成避暑胜地#】近日，河南信阳。5A级景区鸡公山是中国四大避暑胜地之一，夏季气温仅23度。在鸡公山避暑的张仲彬张老先生表示，自己今年85岁，曾在湖北电影制片厂工作40年，担任纪录片编导和制片厂厂长。张老先生称，自己和老伴来鸡公山避暑已有10年，这里凉爽，温度最低的时候要穿毛衣，空气和环境都很好。他还表示，在这里避暑的基本上都是武汉人，住着很温馨。@九派新闻L九派新闻的微博视频,,,九派新闻,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,2,2023-07-26 13:21,iPhone客户端,,"http://f.video.weibocdn.com/o0/0aMILxKJlx087hZfZPNS010412012NlP0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729587652&ssig=NbhgBguGYu&KID=unistore,video",,,蓝V
4927518078142050,NbxRZya7o,5258306351,shchio吳g,#武汉八旬老人连续10年到鸡公山避暑#夏天太热去这里避暑真的挺好#23度鸡公山成避暑胜地#,,,,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,160,2023-07-25 22:28,新浪微博4G版,,,4927481145985950,辽宁,普通用户
4927517393949112,NbxQTgzlm,2194234083,心随路远丷,#武汉八旬老人连续10年到鸡公山避暑##23度鸡公山成避暑胜地#绝了这么好的地方以后有机会去打卡,,,,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,160,2023-07-25 22:25,微博极速版,,,4927481145985950,辽宁,普通用户
4927517084094746,NbxQohbei,6683293522,有山海也有你,#武汉八旬老人连续10年到鸡公山避暑##23度鸡公山成避暑胜地#没想到还有这个避暑的地方呢,,,,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,160,2023-07-25 22:24,微博大字版,,,4927481145985950,辽宁,普通用户
4927498800077692,NbxmU0kd6,7822241046,不开心-10086,我素未谋面的故乡#武汉八旬老人连续10年到鸡公山避暑##23度鸡公山成避暑胜地#,,,,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,160,2023-07-25 21:12,OPPO Reno5 5G,,,4927481145985950,广东,普通用户
4927498434905563,NbxmjkA9Z,7778370171,不谷城,#武汉八旬老人连续10年到鸡公山避暑##23度鸡公山成避暑胜地#等我老了我也去，在广东要热炸了,,,,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,160,2023-07-25 21:10,OPPO Reno5 5G,,,4927481145985950,广东,普通用户
4927497881522997,Nbxlq6oct,7748531536,生以悦己不为他人所困,#武汉八旬老人连续10年到鸡公山避暑##23度鸡公山成避暑胜地#不错诶，这气温太舒服了,,,,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,160,2023-07-25 21:08,OPPO Reno5 5G,,,4927481145985950,广东,普通用户
4927497852420502,Nbxlna9Gm,6432742747,远赴人间惊鸿M,#武汉八旬老人连续10年到鸡公山避暑##23度鸡公山成避暑胜地#这旁边都是树叶，看着就是挺凉快的,,,,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,160,2023-07-25 21:08,OPPO Reno Z,,,4927481145985950,江苏,普通用户
4927497713487436,Nbxl9eDeY,7705137141,xxminy,#武汉八旬老人连续10年到鸡公山避暑##23度鸡公山成避暑胜地#这里环境还挺好的，而且还可以避暑,,,,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,160,2023-07-25 21:07,OPPO Reno Z,,,4927481145985950,江苏,普通用户
4927497621212559,Nbxl055rp,6571849300,天天开心哦m,#武汉八旬老人连续10年到鸡公山避暑##23度鸡公山成避暑胜地#这看着确实挺心动的，我也想去,,,,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,160,2023-07-25 21:07,OPPO Reno Z,,,4927481145985950,江苏,普通用户
4927497563018511,NbxkUcFfF,6879244467,爱吃火锅第一名呀,#武汉八旬老人连续10年到鸡公山避暑##23度鸡公山成避暑胜地#我也想去这里避暑呀,,,,"武汉八旬老人连续10年到鸡公山避暑,23度鸡公山成避暑胜地",0,0,160,2023-07-25 21:07,iPhone客户端,,,4927481145985950,广东,普通用户
