id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5057111944069918,OnXK2h4LQ,2473675252,阿超_港媒视点,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#张晚才老人的故事令人动容。他以69岁高龄，退休后选择返乡担任文保员，独自守护山西高平的国保单位嘉祥寺，这种对文化遗产的热爱与坚守令人敬佩。每月仅300元的工资，却甘之如饴，体现了老人超越物质的精神追求。他自学上网，自费整理古寺资料，希望让更多人了解和关注这一尚未开放的文物，这种无私奉献的精神更值得我们学习和尊重。张晚才老人用自己的行动诠释了文物保护的重要性和价值，他的故事也提醒我们，文物保护不仅需要专业人员的努力，更需要社会各界的关注和支持。希望张晚才老人的坚守和付出能够得到更多人的认可和帮助，共同守护我们的文化遗产。,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",1,0,1,2024-07-17 13:08,HUAWEI Mate 60 Pro+,,,,四川,黄V
5057092442655735,OnXeAb8Sr,6070857272,山西人文地理,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",0,0,0,2024-07-17 11:50,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015908&ssig=%2BCCWwQnrqC&KID=unistore,video",,,蓝V
5057067570170991,OnWAt0ItV,3927545944,赣县发布,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",5,5,4,2024-07-17 10:12,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015908&ssig=%2BCCWwQnrqC&KID=unistore,video",,,蓝V
5057066425649613,OnWyCnHIN,7365095516,赣州蓉江新区,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",0,0,0,2024-07-17 10:07,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015908&ssig=%2BCCWwQnrqC&KID=unistore,video",,,蓝V
5057063517948629,OnWtVxlNH,3948549952,宁都发布,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。澎湃新闻的微博视频L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",2,3,2,2024-07-17 09:56,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015908&ssig=%2BCCWwQnrqC&KID=unistore,video",,,蓝V
5057057462419553,OnWkaa9r3,1593711535,梁溪说事,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。@澎湃新闻L澎湃新闻的微博视频,,,澎湃新闻,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",0,1,3,2024-07-17 09:31,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015908&ssig=%2BCCWwQnrqC&KID=unistore,video",,江苏,红V
5057056618319681,OnWiNyUkp,6112656171,尼山世界儒学中心,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",0,0,0,2024-07-17 09:28,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015908&ssig=%2BCCWwQnrqC&KID=unistore,video",,山东,蓝V
5057055708156113,OnWhkydMd,2010261880,社会与法频道阎肃,阎肃观察超话#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",1,2,3,2024-07-17 09:24,阎肃观察超话,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015908&ssig=%2BCCWwQnrqC&KID=unistore,video",,北京,红V
5057052775028157,OnWcBl63j,7730900846,声誉传媒,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",0,0,0,2024-07-17 09:13,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015908&ssig=%2BCCWwQnrqC&KID=unistore,video",,陕西,蓝V
5057052386263626,OnWbYqhse,6473970095,热点观察所,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",0,0,0,2024-07-17 09:11,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015908&ssig=%2BCCWwQnrqC&KID=unistore,video",,北京,蓝V
5057052383380084,OnWbYebju,1668216997,微博发现,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",0,0,0,2024-07-17 09:11,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015911&ssig=dKBK9F8n1G&KID=unistore,video",,北京,蓝V
5057052382858523,OnWbYbZDd,1778857227,微博媒体学院,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",0,0,0,2024-07-17 09:11,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015911&ssig=dKBK9F8n1G&KID=unistore,video",,北京,蓝V
5057052382595781,OnWbYaThr,5710576016,微博媒体视频,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",0,0,0,2024-07-17 09:11,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015911&ssig=dKBK9F8n1G&KID=unistore,video",,北京,蓝V
5057052378662014,OnWbXAlnU,5361563575,微博媒体,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",0,0,0,2024-07-17 09:11,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015911&ssig=dKBK9F8n1G&KID=unistore,video",,北京,蓝V
5057052378401600,OnWbXzfDG,2768688300,热点视频,#当文保员是一种怎样的体验#【乡关何处｜他“住”在文物里】#每月工资300元老人坚持文保工作#69岁的张晚才，退休后从城里返乡当文保员，独自守起山西高平的国保单位嘉祥寺，在在孤独工作里甘之如饴。他学上网，自费整理这所尚未开放的古寺资料，想让更多人看见它。L澎湃新闻的微博视频,,,,"当文保员是一种怎样的体验,每月工资300元老人坚持文保工作",0,0,0,2024-07-17 09:11,微博视频号,,"http://f.video.weibocdn.com/o0/NuzATQTOlx08guh9YCA0010412064I7M0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015911&ssig=dKBK9F8n1G&KID=unistore,video",,北京,蓝V
