id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4785652539068643,LzWdfC3ar,2737747192,丽水公安,【#民警守护独居老人40余小时#】6月20日10时，丽水市公安局莲都分局万象派出所教导员祝芝华带领民警马浩前往上饶市信州区出差。当天，上饶市区大雨倾盆，路面出现大范围积水。他们路遇一幢居民房，听到有位老人正在呼救，两人立即跑过去询问情况。原来老人是当地村民，家人都在外地打工，其独自守着一幢三层的民房，当他们帮老人抢救完物资后，门外已是汪洋一片。他们放心不下老人，便守护老人40余小时。为时刻关注室外汛情发展，他们轮流睡在二楼过道上，直至洪水退去。#我为群众办实事#,,,,"民警守护独居老人40余小时,我为群众办实事",84,5,0,2022-06-29 11:05,360安全浏览器,"https://wx4.sinaimg.cn/large/a32eb4f8ly1h3oxpfs2btj21df0u07c9.jpg,https://wx3.sinaimg.cn/large/a32eb4f8ly1h3oxpfpftyj20u00gtjto.jpg,https://wx2.sinaimg.cn/large/a32eb4f8ly1h3oxpftapij21400u00y2.jpg,https://wx2.sinaimg.cn/large/a32eb4f8ly1h3oxpfkycfj20u00jzgnb.jpg,https://wx1.sinaimg.cn/large/a32eb4f8ly1h3oxpflvtqj20u00jz75w.jpg",,,,
4786367136274446,LAeNPqkgK,2671670131,平安诸暨,//@绍兴公安://@浙江公安:【#民警守护独居老人40余小时#】#最美浙警##三能榜样#,,,"绍兴公安,浙江公安","民警守护独居老人40余小时,最美浙警,三能榜样",0,0,0,2022-07-01 10:25,360安全浏览器,,,4785652539068643,,蓝V
4786198957263450,LAaqzutyq,2730018371,鄞州公安,#我为群众办实事#//@宁波公安:#我为群众办实事#//@浙江公安:【#民警守护独居老人40余小时#】6月20日10时，丽水市公安局莲都分局万象派出所教导员祝芝华带领民警马浩前往上饶市信州区出差。,,,"宁波公安,浙江公安","我为群众办实事,民警守护独居老人40余小时",0,0,0,2022-06-30 23:16,iPhone客户端,,,4785652539068643,,蓝V
4786089573221771,LA7A9dw83,2416469530,平安平阳,//@平安温州://@浙江公安:【#民警守护独居老人40余小时#】6月20日10时，丽水市公安局莲都分局万象派出所教导员祝芝华带领民警马浩前往上饶市信州区出差。,,,"平安温州,浙江公安",民警守护独居老人40余小时,0,0,0,2022-06-30 16:02,微博 weibo.com,,,4785652539068643,,蓝V
4785989065376581,LA4Y2myH3,1909545300,乐清公安,//@平安温州://@浙江公安:【#民警守护独居老人40余小时#】6月20日10时，丽水市公安局莲都分局万象派出所教导员祝芝华带领民警马浩前往上饶市信州区出差。,,,"平安温州,浙江公安",民警守护独居老人40余小时,1,1,0,2022-06-30 09:22,微博网页版,,,4785652539068643,,蓝V
4785986029229666,LA4T8CJ3A,2316328902,平安永嘉,//@平安温州://@浙江公安:【#民警守护独居老人40余小时#】6月20日10时，丽水市公安局莲都分局万象派出所教导员祝芝华带领民警马浩前往上饶市信州区出差。,,,"平安温州,浙江公安",民警守护独居老人40余小时,0,0,0,2022-06-30 09:10,微博网页版,,,4785652539068643,,蓝V
4785979804616517,LA4J6jmXX,2674539013,镇海公安,//@宁波公安:#我为群众办实事#//@浙江公安:【#民警守护独居老人40余小时#】6月20日10时，丽水市公安局莲都分局万象派出所教导员祝芝华带领民警马浩前往上饶市信州区出差。,,,"宁波公安,浙江公安","我为群众办实事,民警守护独居老人40余小时",0,0,0,2022-06-30 08:46,荣耀50 Pro 5G,,,4785652539068643,,蓝V
4785978978337786,LA4HLyZ2q,1905613727,平安龙湾,//@平安温州://@浙江公安:【#民警守护独居老人40余小时#】6月20日10时，丽水市公安局莲都分局万象派出所教导员祝芝华带领民警马浩前往上饶市信州区出差。,,,"平安温州,浙江公安",民警守护独居老人40余小时,0,0,0,2022-06-30 08:42,荣耀60 5G,,,4785652539068643,,蓝V
4785977366938592,LA4Fat72M,2185134700,慈溪公安,//@宁波公安:#我为群众办实事#//@浙江公安:【#民警守护独居老人40余小时#】6月20日10时，丽水市公安局莲都分局万象派出所教导员祝芝华带领民警马浩前往上饶市信州区出差。,,,"宁波公安,浙江公安","我为群众办实事,民警守护独居老人40余小时",0,0,0,2022-06-30 08:36,微博 weibo.com,,,4785652539068643,,蓝V
4785977320538785,LA4F62ga5,2200190654,平安瓯海,//@平安温州://@浙江公安:【#民警守护独居老人40余小时#】6月20日10时，丽水市公安局莲都分局万象派出所教导员祝芝华带领民警马浩前往上饶市信州区出差。,,,"平安温州,浙江公安",民警守护独居老人40余小时,0,0,0,2022-06-30 08:36,微博网页版,,,4785652539068643,,蓝V
