id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5039761688102709,OgGnKxZSR,5255924403,红兴隆人民法院,#民警联合银行帮老人保住10万养老钱#投资理财请认准官方渠道，谨防虚假网络投资理财诈骗！L菏泽经济开发区人民检察院的微博视频,,,,民警联合银行帮老人保住10万养老钱,0,1,0,2024-05-30 16:04,微博视频号,,"http://f.video.weibocdn.com/o0/sEPQxg4ylx08eA96cOQo01041200rEnb0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012718&ssig=KCUraf6rcH&KID=unistore,video",,,蓝V
5039308468391723,OguAKzd4n,5876131361,陕西政法,#民警联合银行帮老人保住10万养老钱#投资理财请认准官方渠道，谨防虚假网络投资理财诈骗！L菏泽经济开发区人民检察院的微博视频,,,,民警联合银行帮老人保住10万养老钱,12,9,7,2024-05-29 10:03,微博视频号,,"http://f.video.weibocdn.com/o0/sEPQxg4ylx08eA96cOQo01041200rEnb0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012718&ssig=KCUraf6rcH&KID=unistore,video",,,
5039733569229460,OgFEoCJ0g,3925831483,碑林检察,#民警联合银行帮老人保住10万养老钱#,,,,民警联合银行帮老人保住10万养老钱,0,1,7,2024-05-30 14:12,微博网页版,,,5039308468391723,,蓝V
5039684247357005,OgEmQuRTn,2055648745,平安郑州,#民警联合银行帮老人保住10万养老钱#投资理财请认准官方渠道，谨防虚假网络投资理财诈骗！L菏泽经济开发区人民检察院的微博视频,,,,民警联合银行帮老人保住10万养老钱,0,0,0,2024-05-30 10:57,微博视频号,,"http://f.video.weibocdn.com/o0/sEPQxg4ylx08eA96cOQo01041200rEnb0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012718&ssig=KCUraf6rcH&KID=unistore,video",,,蓝V
5039656265581750,OgDDInq4e,2849814611,未央检察,#民警联合银行帮老人保住10万养老钱#@陕西政法,,,陕西政法,民警联合银行帮老人保住10万养老钱,0,1,7,2024-05-30 09:05,iPhone 14,,,5039308468391723,,蓝V
5039459403825890,Ogywcg3hU,5919549404,西安长安检察院,#民警联合银行帮老人保住10万养老钱#投资理财请认准官方渠道，谨防虚假网络投资理财诈骗！L菏泽经济开发区人民检察院的微博视频,,,,民警联合银行帮老人保住10万养老钱,0,0,0,2024-05-29 20:03,iPhone客户端,,"http://f.video.weibocdn.com/o0/sEPQxg4ylx08eA96cOQo01041200rEnb0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012718&ssig=KCUraf6rcH&KID=unistore,video",,,蓝V
5039424673156181,OgxCbdf49,5331390044,新城检察,#民警联合银行帮老人保住10万养老钱#,,,,民警联合银行帮老人保住10万养老钱,0,0,7,2024-05-29 17:45,微博网页版,,,5039308468391723,,蓝V
5039420084586211,OgxuMjf59,6109428342,陕西政协,【#民警联合银行帮老人保住10万养老钱#：千万不要信网络投资理财】#反诈第一线#近日，陕西西安，@西安公安未央分局刑侦大队谭家驻所中队接到辖区银行协查，有一对公账户资金异常。民警建议银行先对其账户进行管控暂停业务，随后进行紧急止付，对帐单进行查询后迅速联系转账对端，对端是一名70岁老人，称其在网上投资理财被骗，这10万元是毕生积蓄养老钱。@未央公安民警告知对方钱款已追回，老人激动万分，同家人一起从武汉连夜赶往西安表达感谢。#守护平安2024#L西安公安的微博视频,,,"西安公安,未央公安","民警联合银行帮老人保住10万养老钱,反诈第一线,守护平安2024",0,0,1,2024-05-29 17:27,微博视频号,,"http://f.video.weibocdn.com/o0/xATXGb3Flx08fd3V36yk01041200aXAU0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012718&ssig=hG6c1LbVsS&KID=unistore,video",,,蓝V
5039405661950189,Ogx7w8bkF,3206705731,陕西公安,【#民警联合银行帮老人保住10万养老钱#：千万不要信网络投资理财】#反诈第一线#近日，陕西西安，@西安公安未央分局刑侦大队谭家驻所中队接到辖区银行协查，有一对公账户资金异常。民警建议银行先对其账户进行管控暂停业务，随后进行紧急止付，对帐单进行查询后迅速联系转账对端，对端是一名70岁老人，称其在网上投资理财被骗，这10万元是毕生积蓄养老钱。@未央公安民警告知对方钱款已追回，老人激动万分，同家人一起从武汉连夜赶往西安表达感谢。L西安公安的微博视频,,,"西安公安,未央公安","民警联合银行帮老人保住10万养老钱,反诈第一线",1,0,3,2024-05-29 16:30,微博视频号,,"http://f.video.weibocdn.com/o0/xATXGb3Flx08fd3V36yk01041200aXAU0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012718&ssig=hG6c1LbVsS&KID=unistore,video",,,蓝V
5039398208669040,OgwVuAnde,2175409884,商洛中院,#民警联合银行帮老人保住10万养老钱#,,,,民警联合银行帮老人保住10万养老钱,0,1,7,2024-05-29 16:00,微博网页版,,,5039308468391723,,蓝V
