id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5023096444551812,O9GQkj68k,2282670150,宿迁之声,【今年#江苏免费培训50万老人用智能手机#】为消除老年人的“数字鸿沟”，今年，江苏继续将“老年人运用智能技术专项普及培训工程”列入省政府民生实事。今年，江苏省级财政投入专项资金980万元，将免费培训老年人50万人次。今年，江苏还将举办“老年达人”运用智能技术大赛，吸引更多老人加入学习。（江苏新闻）L江苏新闻的微博视频,,,,江苏免费培训50万老人用智能手机,0,0,0,2024-04-14 16:23,微博视频号,,"http://f.video.weibocdn.com/o0/pvQg6nmrlx08e3aZLp0Y01041200VQee0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012516&ssig=rofbaAH%2Fzd&KID=unistore,video",,,蓝V
5022973321019551,O9DDK4hen,5303188384,连云港发布,【今年#江苏免费培训50万老人用智能手机#】为消除老年人的“数字鸿沟”，今年，江苏继续将“老年人运用智能技术专项普及培训工程”列入省政府民生实事。今年，江苏省级财政投入专项资金980万元，将免费培训老年人50万人次。今年，江苏还将举办“老年达人”运用智能技术大赛，吸引更多老人加入学习。L江苏新闻的微博视频#爸妈学会网购后#,,,,"江苏免费培训50万老人用智能手机,爸妈学会网购后",0,0,0,2024-04-14 08:13,微博视频号,,"http://f.video.weibocdn.com/o0/pvQg6nmrlx08e3aZLp0Y01041200VQee0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012516&ssig=rofbaAH%2Fzd&KID=unistore,video",,,蓝V
5022787109131900,O9yNoCjCI,3106250394,南通发布,【今年#江苏免费培训50万老人用智能手机#】为消除老年人的“数字鸿沟”，今年，江苏继续将“老年人运用智能技术专项普及培训工程”列入省政府民生实事。今年，江苏省级财政投入专项资金980万元，将免费培训老年人50万人次。今年，江苏还将举办“老年达人”运用智能技术大赛，吸引更多老人加入学习。L江苏新闻的微博视频,,,,江苏免费培训50万老人用智能手机,0,2,1,2024-04-13 19:53,iPhone客户端,,"http://f.video.weibocdn.com/o0/pvQg6nmrlx08e3aZLp0Y01041200VQee0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012516&ssig=rofbaAH%2Fzd&KID=unistore,video",,,蓝V
5022776589552664,O9ywqE55e,2710498342,无锡博报,【今年#江苏免费培训50万老人用智能手机#】为消除老年人的“数字鸿沟”，今年，江苏继续将“老年人运用智能技术专项普及培训工程”列入省政府民生实事。今年，江苏省级财政投入专项资金980万元，将免费培训老年人50万人次。今年，江苏还将举办“老年达人”运用智能技术大赛，吸引更多老人加入学习。L江苏新闻的微博视频,,,,江苏免费培训50万老人用智能手机,0,2,0,2024-04-13 19:12,微博视频号,,"http://f.video.weibocdn.com/o0/pvQg6nmrlx08e3aZLp0Y01041200VQee0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012516&ssig=rofbaAH%2Fzd&KID=unistore,video",,,蓝V
5022769941842257,O9ylI7JfP,6233152436,西瓜黄马车,#江苏免费培训50万老人用智能手机#棒棒棒,,,,江苏免费培训50万老人用智能手机,0,0,1,2024-04-13 18:45,Android,,,,,普通用户
5022748165015024,O9xMAl2Du,1746067030,937江苏新闻广播,【今年#江苏免费培训50万老人用智能手机#】为消除老年人的“数字鸿沟”，今年，江苏继续将“老年人运用智能技术专项普及培训工程”列入省政府民生实事。今年，江苏省级财政投入专项资金980万元，将免费培训老年人50万人次。今年，江苏还将举办“老年达人”运用智能技术大赛，吸引更多老人加入学习。L江苏新闻的微博视频,,,,江苏免费培训50万老人用智能手机,0,0,0,2024-04-13 17:19,微博视频号,,"http://f.video.weibocdn.com/o0/pvQg6nmrlx08e3aZLp0Y01041200VQee0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012516&ssig=rofbaAH%2Fzd&KID=unistore,video",,,蓝V
5022747197443621,O9xL1veqp,2288595114,926梁溪之声广播,【今年#江苏免费培训50万老人用智能手机#】为消除老年人的“数字鸿沟”，今年，江苏继续将“老年人运用智能技术专项普及培训工程”列入省政府民生实事。今年，江苏省级财政投入专项资金980万元，将免费培训老年人50万人次。今年，江苏还将举办“老年达人”运用智能技术大赛，吸引更多老人加入学习。L江苏新闻的微博视频,,,,江苏免费培训50万老人用智能手机,1,0,1,2024-04-13 17:15,iPhone客户端,,"http://f.video.weibocdn.com/o0/pvQg6nmrlx08e3aZLp0Y01041200VQee0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012516&ssig=rofbaAH%2Fzd&KID=unistore,video",,,蓝V
5022733245615789,O9xownyVf,2235240072,江苏好网民,【今年#江苏免费培训50万老人用智能手机#】为消除老年人的“数字鸿沟”，今年，江苏继续将“老年人运用智能技术专项普及培训工程”列入省政府民生实事。今年，江苏省级财政投入专项资金980万元，将免费培训老年人50万人次。今年，江苏还将举办“老年达人”运用智能技术大赛，吸引更多老人加入学习。#新质生产力在江苏#（江苏新闻）L江苏新闻的微博视频,,,,"江苏免费培训50万老人用智能手机,新质生产力在江苏",0,0,0,2024-04-13 16:19,微博视频号,,"http://f.video.weibocdn.com/o0/pvQg6nmrlx08e3aZLp0Y01041200VQee0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012516&ssig=rofbaAH%2Fzd&KID=unistore,video",,,蓝V
5022724566811496,O9xawszYQ,7754240978,张家港融媒,【今年#江苏免费培训50万老人用智能手机#】为消除老年人的“数字鸿沟”，今年，江苏继续将“老年人运用智能技术专项普及培训工程”列入省政府民生实事。今年，江苏省级财政投入专项资金980万元，将免费培训老年人50万人次。今年，江苏还将举办“老年达人”运用智能技术大赛，吸引更多老人加入学习。L江苏新闻的微博视频,,,,江苏免费培训50万老人用智能手机,1,2,4,2024-04-13 15:45,微博视频号,,"http://f.video.weibocdn.com/o0/pvQg6nmrlx08e3aZLp0Y01041200VQee0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012516&ssig=rofbaAH%2Fzd&KID=unistore,video",,,蓝V
5022724529588984,O9xasEex2,7754240978,张家港融媒,今年#江苏免费培训50万老人用智能手机#，你家老人会用智能手机吗？你家老人会用智能手机吗？,,,,江苏免费培训50万老人用智能手机,2,3,4,2024-04-13 15:45,微博网页版,,,,,蓝V
