id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4687023157544124,KAvRVvEzq,3195538854,泰州发布,【#江苏已进入中度老龄化社会#】记者从《江苏省老龄事业发展报告（2021年）》发布会上了解到，根据江苏省第七次全国人口普查结果，截至2020年11月1日零时，全省常住人口为8474.80万人。其中，60岁以上老年人口达1850.5万、65岁以上老年人口达1372.7万，占总人口比例分别为21.8%、16.2%，已进入中度老龄化社会。高寿老人多、增长速度快，是江苏人口老龄化的显著特点，全省80岁以上高龄老人在1999年时只有90万，去年底已达288万，增长3倍多；百岁老人7763人。,,泰州,,江苏已进入中度老龄化社会,3,2,4,2021-09-30 07:07,vivo S9e 极夜自拍,https://wx4.sinaimg.cn/large/003ug9Dgly1guyaab2gx4j61220qon2f02.jpg,,,,蓝V
4686853833228534,KArsPdxT8,1462203590,zxzxzx0528_0t5,//@132号的monologue:#江苏已进入中度老龄化社会#为啥看不到评论？,,,132号的monologue,江苏已进入中度老龄化社会,0,0,0,2021-09-29 19:54,Redmi K30 Pro 变焦版,,,,,普通用户
4686843482998418,KArc8cA1A,2257033612,苍梧晚报,【#江苏已进入中度老龄化社会#】记者从《江苏省老龄事业发展报告（2021年）》发布会上了解到，根据江苏省第七次全国人口普查结果，截至2020年11月1日零时，全省常住人口为8474.80万人。其中，60岁以上老年人口达1850.5万、65岁以上老年人口达1372.7万，占总人口比例分别为21.8%、16.2%，已进入中度老龄化社会。高寿老人多、增长速度快，是江苏人口老龄化的显著特点，全省80岁以上高龄老人在1999年时只有90万，去年底已达288万，增长3倍多；百岁老人7763人。,,,,江苏已进入中度老龄化社会,2,0,3,2021-09-29 19:13,HUAWEI P40 Pro 5G,https://wx3.sinaimg.cn/large/002sKhxWly1guxpnemjdqj60qo0rlmye02.jpg,,,,蓝V
4686817981628573,KAqx06PFj,2478851831,这是一个很有灵性的昵称,#江苏已进入中度老龄化社会#正常，地理位置再好也经不住政策的垃圾啊，没事以后国家让人口大省往江苏移民吧,,,,江苏已进入中度老龄化社会,0,0,0,2021-09-29 17:32,iPhone客户端,,,,,普通用户
4686771726583874,KApkorCLw,6042782410,盐网情深,【#江苏已进入中度老龄化社会#】记者从《江苏省老龄事业发展报告（2021年）》发布会上了解到，根据江苏省第七次全国人口普查结果，截至2020年11月1日零时，全省常住人口为8474.80万人。其中，60岁以上老年人口达1850.5万、65岁以上老年人口达1372.7万，占总人口比例分别为21.8%、16.2%，已进入中度老龄化社会。高寿老人多、增长速度快，是江苏人口老龄化的显著特点，全省80岁以上高龄老人在1999年时只有90万，去年底已达288万，增长3倍多；百岁老人7763人。,,盐城,,江苏已进入中度老龄化社会,0,0,0,2021-09-29 14:28,iPhone客户端,https://wx2.sinaimg.cn/large/006AWTKqly1guxhemn4kxj60qt0rq0vk02.jpg,,,,普通用户
4686755763064163,KAoUEcR7Z,1885454921,蓝鲸新闻,【#江苏已进入中度老龄化社会#】@937江苏新闻广播记者从《江苏省老龄事业发展报告（2021年）》发布会上了解到，根据江苏省第七次全国人口普查结果，截至2020年11月1日零时，全省常住人口为8474.80万人。其中，60岁以上老年人口达1850.5万、65岁以上老年人口达1372.7万，占总人口比例分别为21.8%、16.2%，已进入中度老龄化社会。高寿老人多、增长速度快，是江苏人口老龄化的显著特点，全省80岁以上高龄老人在1999年时只有90万，去年底已达288万，增长3倍多；百岁老人7763人。,,,937江苏新闻广播,江苏已进入中度老龄化社会,12,6,12,2021-09-29 13:25,iPhone 12 Pro,https://wx1.sinaimg.cn/large/0023BaXfly1guxf4ma1edj60qt0rq77d02.jpg,,,,蓝V
4686746660635750,KAoFY2Fo2,1765373140,福布斯中文网,【#江苏已进入中度老龄化社会#】记者从《江苏省老龄事业发展报告（2021年）》发布会上了解到，根据江苏省第七次全国人口普查结果，截至2020年11月1日零时，全省常住人口为8474.80万人。其中，60岁以上老年人口达1850.5万、65岁以上老年人口达1372.7万，占总人口比例分别为21.8%、16.2%，已进入中度老龄化社会。高寿老人多、增长速度快，是江苏人口老龄化的显著特点，全省80岁以上高龄老人在1999年时只有90万，去年底已达288万，增长3倍多；百岁老人7763人。（江苏新闻广播）,,,,江苏已进入中度老龄化社会,6,2,17,2021-09-29 12:49,微博 weibo.com,https://wx3.sinaimg.cn/large/001Vtkckgy1guxej1zp7jj60zk0np78902.jpg,,,,蓝V
4686741539392621,KAoxHDprT,5994003317,老板联播,【#江苏已进入中度老龄化社会#】记者从《江苏省老龄事业发展报告（2021年）》发布会上了解到，根据江苏省第七次全国人口普查结果，截至2020年11月1日零时，全省常住人口为8474.80万人。其中，60岁以上老年人口达1850.5万、65岁以上老年人口达1372.7万，占总人口比例分别为21.8%、16.2%，已进入中度老龄化社会。高寿老人多、增长速度快，是江苏人口老龄化的显著特点，全省80岁以上高龄老人在1999年时只有90万，去年底已达288万，增长3倍多；百岁老人7763人。（江苏新闻广播）,,,,江苏已进入中度老龄化社会,4,6,12,2021-09-29 12:28,iPhone X,https://wx3.sinaimg.cn/large/006xEe4Rly1guxdxxmy20j60qt0rq76302.jpg,,,,蓝V
4686740995182653,KAowPlKfb,1087813240,乱世俱灭之后,#江苏已进入中度老龄化社会#钱难挣，花钱容易花，养孩子成本高，房价高，物价贵，只有工资低,,南京·双龙嘉园,,江苏已进入中度老龄化社会,0,0,2,2021-09-29 12:26,Redmi Note 8 Pro四摄,,,,,普通用户
4686739232787055,KAotZbH2v,1998018012,初初见见渐渐,#江苏已进入中度老龄化社会#所以开始鼓动生娃？,,,,江苏已进入中度老龄化社会,0,2,8,2021-09-29 12:19,HUAWEI P40 5G,,,,,普通用户
