id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4566237630441290,JrN8T1QNA,3125714091,今日苏城,【#江苏已进入深度老龄化社会#】10月30日，江苏省老龄办发布《2020年江苏省老龄事业发展报告》。数据显示，截至2019年末，江苏60岁及以上老年人口达到1834.16万人，占户籍人口的23.32%，人口老龄化程度仅次于北京、上海。苏南、苏中老龄化程度明显高于苏北地区，60岁以上户籍老年人口占比最高的五个设区市为南通、镇江、泰州、无锡、扬州。L新闻360的微博视频苏州超话,,,,江苏已进入深度老龄化社会,3,1,7,2020-10-31 23:49,苏州超话,,"http://f.video.weibocdn.com/eQrFUCErlx07HDx7F7Hi01041201fxR50E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997630&ssig=ysr2bUA61z&KID=unistore,video",,,
4566601652775851,JrWC1bE7N,1998070491,房天下昆山,【#江苏已进入深度老龄化社会#】10月30日，江苏省老龄办发布《2020年江苏省老龄事业发展报告》。数据显示，截至2019年末，江苏60岁及以上老年人口达到1834.16万人，占户籍人口的23.32%，人口老龄化程度仅次于北京、上海,,,,江苏已进入深度老龄化社会,0,0,7,2020-11-01 23:55,iPhone客户端,,,4566237630441290,,普通用户
4566399836490922,JrRmvreAi,5357183385,无锡生活攻略,【#江苏##江苏已进入深度老龄化社会#】10月30日，江苏省老龄办发布《2020年江苏省老龄事业发展报告》。数据显示，截至2019年末，江苏60岁及以上老年人口达到1834.16万人，占户籍人口的23.32%，人口老龄化程度仅次于北京、上海。苏南、苏中老龄化程度明显高于苏北地区，60岁以上户籍老年人口占比最高的五个设区市为南通、镇江、泰州、无锡、扬州。L无锡生活攻略的微博视频,,无锡,,"江苏,江苏已进入深度老龄化社会",0,1,0,2020-11-01 10:33,iPhone客户端,,"http://f.video.weibocdn.com/OK4x8sOUlx07HEJbbyYw01041201ffYE0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997630&ssig=o6vY%2FWC9ZG&KID=unistore,video",,,黄V
4566128066037666,JrKiapkFI,2884913132,玄武发布,【#江苏##江苏已进入深度老龄化社会#】今天（30日），江苏发布老年人口白皮书，江苏老龄化程度全国第三，仅次于北京、上海。其中，苏南、苏中老龄化程度明显高于苏北地区。未来，江苏老年人口数量将有一个迅速增长过程。为提高养老服务能力，江苏计划到2022年，全省13个设区市都要建成一家三级老年医院。L荔枝新闻的微博视频,,,,"江苏,江苏已进入深度老龄化社会",9,6,6,2020-10-31 16:33,微博视频号,,"http://f.video.weibocdn.com/ttL3q9BQlx07HC93zpgI01041200B9vK0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997630&ssig=4zfXuMbp6o&KID=unistore,video",,,蓝V
4566119572056397,JrK4t8CXH,2809240460,金陵微雨花,【#江苏##江苏已进入深度老龄化社会#】今天，江苏发布老年人口白皮书，江苏老龄化水平老龄化程度全国第三，仅次于北京、上海。其中，苏南、苏中老龄化程度明显高于苏北地区。未来，江苏老年人口数量将有一个迅速增长过程。为提高养老服务能力，江苏计划到2022年，全省13各设区市都要建成一家三级老年医院。L荔枝新闻的微博视频via荔枝新闻,,,,"江苏,江苏已进入深度老龄化社会",0,1,0,2020-10-31 16:00,微博视频号,,"http://f.video.weibocdn.com/ttL3q9BQlx07HC93zpgI01041200B9vK0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997630&ssig=4zfXuMbp6o&KID=unistore,video",,,蓝V
4566097775035368,JrJvjl7VC,1910380137,江宁发布,【#江苏##江苏已进入深度老龄化社会#】今天（30日），江苏发布老年人口白皮书，江苏老龄化程度全国第三，仅次于北京、上海。其中，苏南、苏中老龄化程度明显高于苏北地区。未来，江苏老年人口数量将有一个迅速增长过程。为提高养老服务能力，江苏计划到2022年，全省13个设区市都要建成一家三级老年医院。L荔枝新闻的微博视频,,,,"江苏,江苏已进入深度老龄化社会",0,2,0,2020-10-31 14:33,微博视频号,,"http://f.video.weibocdn.com/ttL3q9BQlx07HC93zpgI01041200B9vK0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997630&ssig=4zfXuMbp6o&KID=unistore,video",,,蓝V
4566081319996177,JrJ4LFWsF,2986699172,溧水发布,【#江苏##江苏已进入深度老龄化社会#】今天（30日），江苏发布老年人口白皮书，江苏老龄化程度全国第三，仅次于北京、上海。其中，苏南、苏中老龄化程度明显高于苏北地区。未来，江苏老年人口数量将有一个迅速增长过程。为提高养老服务能力，江苏计划到2022年，全省13个设区市都要建成一家三级老年医院。L荔枝新闻的微博视频,,,,"江苏,江苏已进入深度老龄化社会",7,6,0,2020-10-31 13:28,微博视频号,,"http://f.video.weibocdn.com/ttL3q9BQlx07HC93zpgI01041200B9vK0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997631&ssig=isBUxRqdoL&KID=unistore,video",,,蓝V
4566025952036783,JrHDt8xRl,6135802538,江苏发展大会,【#江苏##江苏已进入深度老龄化社会#】10月30日，江苏发布老年人口白皮书，江苏老龄化程度全国第三，仅次于北京、上海。其中，苏南、苏中老龄化程度明显高于苏北地区。未来，江苏老年人口数量将有一个迅速增长过程。为提高养老服务能力，江苏计划到2022年，全省13个设区市都要建成一家三级老年医院。L我苏特稿的微博视频,,,,"江苏,江苏已进入深度老龄化社会",0,1,0,2020-10-31 09:48,微博视频号,,"http://f.video.weibocdn.com/1qnjPJsmlx07HD4YUyYE01041200daVr0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997631&ssig=HMplEmSvVD&KID=unistore,video",,,蓝V
4566025418315980,JrHCByTmI,7474091977,我苏特稿,【#江苏##江苏已进入深度老龄化社会#】10月30日，江苏发布老年人口白皮书，江苏老龄化程度全国第三，仅次于北京、上海。其中，苏南、苏中老龄化程度明显高于苏北地区。未来，江苏老年人口数量将有一个迅速增长过程。为提高养老服务能力，江苏计划到2022年，全省13个设区市都要建成一家三级老年医院。L我苏特稿的微博视频,,,,"江苏,江苏已进入深度老龄化社会",0,1,0,2020-10-31 09:45,微博视频号,,"http://f.video.weibocdn.com/1qnjPJsmlx07HD4YUyYE01041200daVr0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997631&ssig=HMplEmSvVD&KID=unistore,video",,,蓝V
4566016140774353,JrHnE3frz,2553737234,武汉市中小企业发展促进中心,#风向标#【#江苏已进入深度老龄化社会#】今天，江苏发布老年人口白皮书，江苏老龄化水平老龄化程度全国第三，仅次于北京、上海。其中，苏南、苏中老龄化程度明显高于苏北地区。未来，江苏老年人口数量将有一个迅速增长过程。为提高养老服务能力，江苏计划到2022年，全省13各设区市都要建成一家三级老年医院。L荔枝新闻的微博视频,,,,"风向标,江苏已进入深度老龄化社会",0,1,1,2020-10-31 09:09,微博视频号,,"http://f.video.weibocdn.com/ttL3q9BQlx07HC93zpgI01041200B9vK0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997631&ssig=isBUxRqdoL&KID=unistore,video",,,蓝V
